drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID30101,RIDNVLasVegas,26,60608.69,6941.03,5652.65
DRG039,PID290003,RIDNVLasVegas,39,41199.28,8062.79,6154.41
DRG039,PID290021,RIDNVLasVegas,18,53481.27,7790.66,6007.83
DRG039,PID290022,RIDNVLasVegas,15,82666.26,7442.26,4914.13
DRG039,PID290039,RIDNVLasVegas,17,41627.11,6634.52,5255.82
DRG039,PID290041,RIDNVLasVegas,31,61187.58,6885.41,5617.41
DRG039,PID290045,RIDNVLasVegas,36,45553.77,6986.52,4826.11
DRG039,PID290046,RIDNVLasVegas,11,53917.81,7013.81,6093.45
DRG039,PID290053,RIDNVLasVegas,15,38248.13,5981.26,4368.66
DRG057,PID30101,RIDNVLasVegas,15,57060.06,6155.33,5404.93
DRG057,PID30117,RIDNVLasVegas,12,34851.41,5860.25,5202.58
DRG057,PID290003,RIDNVLasVegas,24,45420.83,6823.91,5766.5
DRG057,PID290021,RIDNVLasVegas,26,58848.84,7366.5,6632.5
DRG057,PID290039,RIDNVLasVegas,22,46804.4,6773.5,5050.77
DRG057,PID290041,RIDNVLasVegas,19,41537.05,5920.15,5268.15
DRG057,PID290045,RIDNVLasVegas,29,58771.75,6619.13,4645.34
DRG057,PID290046,RIDNVLasVegas,13,28882.69,6187.53,5495.84
DRG064,PID30101,RIDNVLasVegas,21,112786.61,12496.71,11411.66
DRG064,PID290003,RIDNVLasVegas,85,105202.14,15493.24,13617.04
DRG064,PID290021,RIDNVLasVegas,75,90027.89,14163.96,12843.22
DRG064,PID290022,RIDNVLasVegas,14,118111.92,12264.85,11622.57
DRG064,PID290039,RIDNVLasVegas,46,83711.69,12379.93,10510.58
DRG064,PID290041,RIDNVLasVegas,14,105952.57,12602,11798
DRG064,PID290045,RIDNVLasVegas,39,68685.43,11574.84,10561.76
DRG064,PID290046,RIDNVLasVegas,21,118907.9,13109.66,12307.19
DRG064,PID290047,RIDNVLasVegas,11,93164.9,12974.36,12359.81
DRG065,PID30101,RIDNVLasVegas,43,62161.02,7667.04,6461.95
DRG065,PID30117,RIDNVLasVegas,13,32979.61,7169.92,6006.92
DRG065,PID290003,RIDNVLasVegas,93,61465.58,9257.26,7437.51
DRG065,PID290007,RIDNVLasVegas,21,33395.8,9864.71,9117.66
DRG065,PID290021,RIDNVLasVegas,71,67582.35,9369.57,8383.85
DRG065,PID290022,RIDNVLasVegas,29,49152.27,7126.75,5982.68
DRG065,PID290039,RIDNVLasVegas,56,49965.48,7467.94,6164.23
DRG065,PID290041,RIDNVLasVegas,25,47041.72,7433.32,6298.24
DRG065,PID290045,RIDNVLasVegas,51,45543.05,6929.11,5822.15
DRG065,PID290046,RIDNVLasVegas,40,54043.35,7388.25,6012.92
DRG065,PID290054,RIDNVLasVegas,11,69783.36,7255.54,6126.45
DRG066,PID30101,RIDNVLasVegas,14,50115.71,5493.21,4372.64
DRG066,PID290003,RIDNVLasVegas,46,46041.86,8157.39,4739.76
DRG066,PID290007,RIDNVLasVegas,16,30337.18,7183.06,6221.25
DRG066,PID290021,RIDNVLasVegas,41,37232.51,6850.43,5486.7
DRG066,PID290022,RIDNVLasVegas,17,38441.05,5229.52,3673.76
DRG066,PID290039,RIDNVLasVegas,40,42213.25,5440.02,4284.05
DRG066,PID290041,RIDNVLasVegas,20,36761.3,5443.7,4654.5
DRG066,PID290045,RIDNVLasVegas,34,32689.11,5587.88,3626.73
DRG066,PID290046,RIDNVLasVegas,23,38071.52,6231.69,4189.56
DRG069,PID30101,RIDNVLasVegas,34,39917,4897.38,3838.55
DRG069,PID30117,RIDNVLasVegas,14,24603.35,7220.78,3293.14
DRG069,PID290003,RIDNVLasVegas,30,41045.2,5660.33,4611.53
DRG069,PID290021,RIDNVLasVegas,62,34077.4,5744.16,4683.19
DRG069,PID290022,RIDNVLasVegas,40,28765.62,4765.5,3875.57
DRG069,PID290039,RIDNVLasVegas,73,37415.28,4862.71,3585.08
DRG069,PID290041,RIDNVLasVegas,61,34300.77,4918.01,4026.81
DRG069,PID290045,RIDNVLasVegas,23,43080.95,4663.6,3736.08
DRG069,PID290046,RIDNVLasVegas,52,29441.09,4803.9,3567.44
DRG069,PID290054,RIDNVLasVegas,20,36521.65,4424.65,3231.4
DRG074,PID290003,RIDNVLasVegas,13,41448.84,6346.07,5096.38
DRG074,PID290041,RIDNVLasVegas,11,49993.45,5552,4581.18
DRG074,PID290045,RIDNVLasVegas,13,71747.23,6726.15,4160.3
DRG074,PID290046,RIDNVLasVegas,13,39240.07,5885,4812.53
DRG074,PID290053,RIDNVLasVegas,15,31730.06,6078.93,4779.4
DRG074,PID290054,RIDNVLasVegas,13,54107.38,5651,4219.84
DRG101,PID30101,RIDNVLasVegas,17,44886.47,5101.58,4245.35
DRG101,PID290003,RIDNVLasVegas,70,30942.3,5961.31,4759.77
DRG101,PID290005,RIDNVLasVegas,12,37182.08,5836.25,5178.58
DRG101,PID290007,RIDNVLasVegas,16,38656,9280.37,8855.87
DRG101,PID290012,RIDNVLasVegas,16,27829.12,5349.37,3801.68
DRG101,PID290021,RIDNVLasVegas,70,33907.11,5985.24,5211.81
DRG101,PID290022,RIDNVLasVegas,24,36889.7,4838.04,4193.25
DRG101,PID290039,RIDNVLasVegas,41,36282.6,5420.58,3833.51
DRG101,PID290041,RIDNVLasVegas,24,30850.79,5126.08,4235.25
DRG101,PID290045,RIDNVLasVegas,32,32094.06,5126.65,3741.93
DRG101,PID290046,RIDNVLasVegas,18,31043.22,5036.61,4011.72
DRG101,PID290047,RIDNVLasVegas,14,37078.42,5510.07,3727.71
DRG101,PID290054,RIDNVLasVegas,21,38310.09,5788.38,3276.61
DRG149,PID290003,RIDNVLasVegas,18,42616.61,6412.11,3635.27
DRG149,PID290021,RIDNVLasVegas,24,26826.04,4906.16,3931.37
DRG149,PID290022,RIDNVLasVegas,18,25331.94,4170,3179.77
DRG149,PID290039,RIDNVLasVegas,28,31528.85,4159.39,2976.92
DRG149,PID290041,RIDNVLasVegas,14,30443.57,4295.85,3327.85
DRG149,PID290045,RIDNVLasVegas,14,24897.85,4430.5,2789.35
DRG149,PID290046,RIDNVLasVegas,11,29382.45,4471.9,3289.45
DRG149,PID290054,RIDNVLasVegas,13,30617,4201,2714.46
DRG176,PID290003,RIDNVLasVegas,28,50310.89,8244.28,6277.57
DRG176,PID290007,RIDNVLasVegas,15,35349.73,9555.6,8694.13
DRG176,PID290012,RIDNVLasVegas,17,50402.7,7888.35,5477.7
DRG176,PID290039,RIDNVLasVegas,32,56316.87,8243.93,5337.03
DRG176,PID290041,RIDNVLasVegas,13,61938.38,7201.84,6333.53
DRG176,PID290045,RIDNVLasVegas,23,56605.6,7355.08,6464
DRG176,PID290046,RIDNVLasVegas,15,60611.6,7673.26,6315.2
DRG176,PID290053,RIDNVLasVegas,12,39140,6475.41,4644.33
DRG176,PID290054,RIDNVLasVegas,11,57929,6565.9,5851.36
DRG177,PID30101,RIDNVLasVegas,12,148276.33,13863.91,13303.25
DRG177,PID290003,RIDNVLasVegas,19,122889.57,15808.21,15087.21
DRG177,PID290021,RIDNVLasVegas,11,96461,15642.9,13634.27
DRG177,PID290022,RIDNVLasVegas,11,99679.81,12978.72,11487.18
DRG177,PID290039,RIDNVLasVegas,25,108446.08,14249.68,12578.52
DRG177,PID290045,RIDNVLasVegas,20,85187.9,14803,14037.6
DRG177,PID290047,RIDNVLasVegas,17,112215.23,14412.76,13641.17
DRG178,PID290003,RIDNVLasVegas,15,84947.86,11393.26,10624
DRG178,PID290005,RIDNVLasVegas,11,61031.54,11546.27,9920.72
DRG178,PID290007,RIDNVLasVegas,13,103357.46,17083,15687.69
DRG178,PID290039,RIDNVLasVegas,19,81241.36,9182.42,8647.89
DRG178,PID290041,RIDNVLasVegas,15,120643.4,10311.6,9134.8
DRG178,PID290045,RIDNVLasVegas,24,65191.16,9059.54,8449.04
DRG178,PID290054,RIDNVLasVegas,12,78275.33,9500.33,8461.58
