drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID290001,RIDNVReno,73,23482.86,6807.83,5715.24
DRG039,PID290009,RIDNVReno,23,45601.95,6310,4667.39
DRG039,PID290019,RIDNVReno,33,35737.21,7683.81,6728.18
DRG057,PID290001,RIDNVReno,27,40184.29,6638.59,5100.11
DRG064,PID290001,RIDNVReno,70,58310.55,12553.32,11381.94
DRG064,PID290009,RIDNVReno,21,42929.09,11678.8,8990.71
DRG064,PID290019,RIDNVReno,23,38555.52,13434.26,12404.08
DRG065,PID290001,RIDNVReno,126,35855.05,7877.31,6464.33
DRG065,PID290009,RIDNVReno,56,29647.07,6652.23,5671.44
DRG065,PID290019,RIDNVReno,49,27915.83,8391.57,7474.02
DRG065,PID290032,RIDNVReno,12,42165,6860,6016.33
DRG066,PID290001,RIDNVReno,56,30556.98,5442.35,4325.67
DRG066,PID290009,RIDNVReno,19,24402.57,4714.68,3708.57
DRG066,PID290019,RIDNVReno,37,19352.13,6369.24,4691.59
DRG069,PID290001,RIDNVReno,59,26496.11,4839.5,3642.11
DRG069,PID290019,RIDNVReno,34,18488.05,5515.82,4488.41
DRG074,PID290001,RIDNVReno,17,29192.11,5673.82,5011.7
DRG101,PID290001,RIDNVReno,43,26710.39,4991.48,4040.72
DRG101,PID290019,RIDNVReno,13,15070.46,5747.69,4799.69
DRG149,PID290001,RIDNVReno,28,20198.42,4250.39,3373.5
DRG149,PID290019,RIDNVReno,14,15888.71,4819.85,3854.14
DRG176,PID290001,RIDNVReno,30,36763.6,7029.33,6282.13
DRG176,PID290009,RIDNVReno,14,23390.42,7564.85,4884.07
DRG176,PID290019,RIDNVReno,38,21832.36,7838.02,6917.07
DRG177,PID290001,RIDNVReno,43,59789.6,14020.93,12524.23
DRG177,PID290019,RIDNVReno,14,50791.28,15392.14,14826.14
DRG178,PID290001,RIDNVReno,22,40690.9,10480.5,8191.9
DRG178,PID290019,RIDNVReno,25,37730.4,10917.76,10151.88
DRG189,PID290001,RIDNVReno,73,46122.3,8589.52,7821.68
DRG189,PID290009,RIDNVReno,25,27806.84,7875.24,6382.6
DRG189,PID290019,RIDNVReno,25,32954.04,9662.72,9209.92
DRG189,PID290049,RIDNVReno,11,41475,7374.9,6763.27
DRG190,PID290001,RIDNVReno,98,30940.65,7976.79,6986.09
DRG190,PID290006,RIDNVReno,28,25701.46,10343.17,8674.46
DRG190,PID290009,RIDNVReno,39,23964.05,6833.94,5454
DRG190,PID290019,RIDNVReno,88,29751.82,8762.27,7881.95
DRG190,PID290032,RIDNVReno,18,34212.11,6771.16,5573.05
DRG190,PID290049,RIDNVReno,13,21009.61,6602.23,5821
DRG191,PID290001,RIDNVReno,96,24661.61,6590.36,5348.28
DRG191,PID290006,RIDNVReno,19,17024.26,7735.15,7026.94
DRG191,PID290009,RIDNVReno,45,22215.95,5666.2,4827.75
DRG191,PID290019,RIDNVReno,72,27413.3,7327.88,6200.18
DRG191,PID290032,RIDNVReno,34,37537.7,5575.58,4727.82
DRG192,PID290001,RIDNVReno,114,21542.28,4745.92,3913.31
DRG192,PID290006,RIDNVReno,35,15132.65,7002,4885.4
DRG192,PID290009,RIDNVReno,28,16709.85,4654,3094.35
DRG192,PID290019,RIDNVReno,52,20934.98,5439.5,4349.15
DRG192,PID290032,RIDNVReno,44,25577.38,4429.4,3202.84
DRG192,PID290049,RIDNVReno,17,18420.82,4205.58,2984.35
DRG193,PID290001,RIDNVReno,85,41335.96,10038.05,8453.08
DRG193,PID290006,RIDNVReno,30,30197.06,11955.73,11077.53
DRG193,PID290009,RIDNVReno,41,31359.26,8587.87,7644.24
DRG193,PID290019,RIDNVReno,49,44430.4,13004.53,10075.93
DRG193,PID290049,RIDNVReno,19,43139.05,8838.84,7933.57
DRG194,PID290001,RIDNVReno,100,26254.72,6680.76,5172.85
DRG194,PID290006,RIDNVReno,47,27028.48,8960.78,7263.12
DRG194,PID290009,RIDNVReno,92,23022.51,5934.32,4977.28
DRG194,PID290019,RIDNVReno,102,26827.44,7567.5,6580.57
DRG194,PID290032,RIDNVReno,22,33326.77,5636.95,4717.77
DRG194,PID290049,RIDNVReno,35,26043.37,5709.14,4806.28
DRG195,PID290001,RIDNVReno,36,25053.16,5271.69,3303.3
DRG195,PID290006,RIDNVReno,18,14386.22,5702.66,4701.77
DRG195,PID290009,RIDNVReno,26,18237.23,4663.19,3201.11
DRG195,PID290019,RIDNVReno,29,25275.65,6628.86,4546.06
DRG195,PID290032,RIDNVReno,19,23046.73,4087.52,3142.68
DRG195,PID290049,RIDNVReno,13,21990.76,4068,3035.38
DRG202,PID290001,RIDNVReno,15,21654.13,5560.6,4734.73
DRG202,PID290019,RIDNVReno,12,17573.41,6354.91,5694.58
DRG207,PID290001,RIDNVReno,61,160963.75,35582.01,32903.34
DRG207,PID290009,RIDNVReno,14,105994.42,28883.21,26105.92
DRG207,PID290019,RIDNVReno,14,113916.07,37352.57,36467.71
DRG207,PID290032,RIDNVReno,13,116986.38,30770.76,21335.07
DRG208,PID290001,RIDNVReno,55,78625.49,16343.41,14365.07
