drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID330011,RIDNYBinghamton,16,17173.12,5777,4649
DRG039,PID330394,RIDNYBinghamton,44,13858.29,6572.5,5366.09
DRG057,PID330394,RIDNYBinghamton,12,13289.41,6231.16,5201.5
DRG064,PID330011,RIDNYBinghamton,18,20934.38,10652.83,9901.72
DRG064,PID330394,RIDNYBinghamton,51,23350.07,12178.23,11295.41
DRG065,PID330011,RIDNYBinghamton,53,10699.66,6424.3,5595.54
DRG065,PID330085,RIDNYBinghamton,13,10380.84,6375.69,5509.84
DRG065,PID330394,RIDNYBinghamton,69,16899.02,7474.28,6527.85
DRG066,PID330011,RIDNYBinghamton,18,9463.72,4533.44,3663.66
DRG066,PID330394,RIDNYBinghamton,24,11828.95,5360,4376.16
DRG069,PID330011,RIDNYBinghamton,32,7364.03,4152.75,3273.37
DRG069,PID330394,RIDNYBinghamton,26,12777.57,4761.15,3768.38
DRG074,PID330011,RIDNYBinghamton,14,9647.85,4631.07,3667.64
DRG074,PID330033,RIDNYBinghamton,15,10272.33,6186.06,5299.86
DRG101,PID330011,RIDNYBinghamton,27,7256.33,4167.29,3419.74
DRG101,PID330394,RIDNYBinghamton,20,11229.4,4917.3,4126.5
DRG149,PID330011,RIDNYBinghamton,12,9138.75,3645.08,2518.41
DRG149,PID330085,RIDNYBinghamton,12,7114.16,3684,2560
DRG149,PID330394,RIDNYBinghamton,14,10005.85,4169.92,3206.5
DRG176,PID330011,RIDNYBinghamton,20,14533,6829.6,5985.4
DRG176,PID330394,RIDNYBinghamton,24,15293.58,6880.12,5492.5
DRG177,PID330011,RIDNYBinghamton,19,25548,11323.73,9867.42
DRG177,PID330085,RIDNYBinghamton,11,18837.81,10674.27,10165.54
DRG177,PID330394,RIDNYBinghamton,21,23288.09,12851.19,12101.09
DRG178,PID330011,RIDNYBinghamton,16,14524.37,8036.75,7472.75
DRG178,PID330033,RIDNYBinghamton,13,15786.92,10381.15,9774.07
DRG178,PID330085,RIDNYBinghamton,16,10891.75,8167.62,7603.62
DRG178,PID330394,RIDNYBinghamton,60,21076.61,9653.55,8529.23
DRG189,PID330011,RIDNYBinghamton,23,10771.17,7289.17,6750.56
DRG189,PID330033,RIDNYBinghamton,12,18484.66,9478.5,8723.75
DRG189,PID330394,RIDNYBinghamton,54,21561.14,8657.38,7693.33
DRG190,PID330011,RIDNYBinghamton,99,12478.46,6687.17,5926.55
DRG190,PID330033,RIDNYBinghamton,24,22075.29,8877,8085.83
DRG190,PID330085,RIDNYBinghamton,41,11126.56,6859.09,6202.7
DRG190,PID330394,RIDNYBinghamton,64,18868.59,7872.51,6722.29
DRG191,PID330011,RIDNYBinghamton,108,8922.93,5489.4,4722.62
DRG191,PID330033,RIDNYBinghamton,24,17128.54,6996.79,6304.75
DRG191,PID330085,RIDNYBinghamton,49,9195.95,5499.04,4718.14
DRG191,PID330394,RIDNYBinghamton,58,14898.31,6359.15,5388.75
DRG192,PID330011,RIDNYBinghamton,64,7506.01,4107.93,3193.18
DRG192,PID330033,RIDNYBinghamton,22,13159.18,5183.22,4365.77
DRG192,PID330085,RIDNYBinghamton,68,7303.79,4138.89,3296.01
DRG192,PID330394,RIDNYBinghamton,36,10409.19,4664.66,3695.22
DRG193,PID330011,RIDNYBinghamton,52,14701.59,8210.09,7565.01
DRG193,PID330085,RIDNYBinghamton,21,17783.23,8454.8,7867.95
DRG193,PID330394,RIDNYBinghamton,75,21657.37,9730.32,8657.14
DRG194,PID330011,RIDNYBinghamton,124,10253.45,5678.67,4861.23
DRG194,PID330033,RIDNYBinghamton,27,21249.03,7169.7,6425.7
DRG194,PID330085,RIDNYBinghamton,63,10235.79,5865.61,4908.5
DRG194,PID330394,RIDNYBinghamton,140,15056.32,6653.81,5609.86
DRG195,PID330011,RIDNYBinghamton,37,8338.1,4001.08,3090.16
DRG195,PID330033,RIDNYBinghamton,17,11321.64,5100,4044
DRG195,PID330085,RIDNYBinghamton,22,7605.18,4086.54,3266.18
DRG195,PID330394,RIDNYBinghamton,38,11911.39,4689.6,3527.21
DRG202,PID330011,RIDNYBinghamton,18,7265.83,4798.22,3799.11
DRG202,PID330394,RIDNYBinghamton,16,11782.12,5496.25,4584.5
DRG207,PID330011,RIDNYBinghamton,14,50206.5,27715,27038
DRG207,PID330394,RIDNYBinghamton,13,70436.61,34113.53,28652.92
DRG208,PID330011,RIDNYBinghamton,18,29418.05,13631.16,13074.05
DRG208,PID330085,RIDNYBinghamton,15,22124.2,12229.26,11327.93
DRG208,PID330394,RIDNYBinghamton,38,27973.71,15268.07,12915.78
DRG238,PID330011,RIDNYBinghamton,20,62210.05,19088.7,18019.7
DRG238,PID330394,RIDNYBinghamton,24,73057.58,21762.58,20682.95
DRG243,PID330394,RIDNYBinghamton,18,50483.05,17896.44,16895.55
DRG244,PID330394,RIDNYBinghamton,16,37789.81,13756.43,11118.87
DRG246,PID330394,RIDNYBinghamton,19,49571.26,21035.84,19968.47
DRG247,PID330394,RIDNYBinghamton,52,39251.59,12901.61,11473.51
DRG249,PID330394,RIDNYBinghamton,33,33745,11556.66,10466.72
DRG252,PID330394,RIDNYBinghamton,12,37639.58,19337.41,18965.41
DRG253,PID330011,RIDNYBinghamton,15,54642.46,19021.2,18499.33
DRG253,PID330394,RIDNYBinghamton,27,37619.25,15987.59,15030.44
DRG254,PID330011,RIDNYBinghamton,12,45728.66,11640.75,10797.08
DRG254,PID330394,RIDNYBinghamton,26,24888.34,10714.07,9103.15
DRG280,PID330011,RIDNYBinghamton,45,16914.88,10269.93,9451.04
DRG280,PID330033,RIDNYBinghamton,11,30585.81,12703.81,11783.45
DRG280,PID330394,RIDNYBinghamton,82,22443.35,12042.53,10805
DRG281,PID330011,RIDNYBinghamton,48,9640.14,6442.14,5644.31
DRG281,PID330033,RIDNYBinghamton,13,19477,8564.38,7611.46
DRG281,PID330085,RIDNYBinghamton,16,10442.75,5873.18,5242.43
DRG281,PID330394,RIDNYBinghamton,58,16074.68,7662.06,6730.75
DRG282,PID330011,RIDNYBinghamton,24,6547.58,4517.58,3866.58
DRG282,PID330085,RIDNYBinghamton,14,6465.57,4431,3707.85
DRG282,PID330394,RIDNYBinghamton,33,12755.96,5198.48,4347.69
DRG287,PID330394,RIDNYBinghamton,34,19003.11,7340.38,5653.17
DRG291,PID330011,RIDNYBinghamton,76,13286.18,8289.6,7743.55
DRG291,PID330085,RIDNYBinghamton,33,11429.18,8370.18,7798.51
DRG291,PID330394,RIDNYBinghamton,99,22079.31,10037.92,9449.79
DRG292,PID330011,RIDNYBinghamton,125,9321.42,5690.59,4947.99
DRG292,PID330033,RIDNYBinghamton,24,14261.2,7147.2,6445.04
DRG292,PID330085,RIDNYBinghamton,52,9616,5941,5292.23
DRG292,PID330394,RIDNYBinghamton,132,13684.12,6570,5908.55
DRG293,PID330011,RIDNYBinghamton,54,6080.18,3865.85,3075.18
DRG293,PID330033,RIDNYBinghamton,15,11542.93,4925.86,3951.2
DRG293,PID330085,RIDNYBinghamton,39,6868.48,3952,3433.64
DRG293,PID330394,RIDNYBinghamton,54,10639.55,4421.01,3735.75
DRG300,PID330011,RIDNYBinghamton,11,10920.63,5589.18,4777.54
DRG300,PID330394,RIDNYBinghamton,18,18497.94,6496.27,5217.66
DRG303,PID330011,RIDNYBinghamton,17,5429.88,3317,2717.7
DRG303,PID330394,RIDNYBinghamton,14,12982,3848.57,3125.42
DRG305,PID330011,RIDNYBinghamton,14,7386.78,3494.71,2538.14
DRG305,PID330394,RIDNYBinghamton,13,10516.07,4009.38,2969.38
DRG308,PID330011,RIDNYBinghamton,32,13640.31,7033.15,6317.46
DRG308,PID330085,RIDNYBinghamton,11,12659.09,7116,6295.63
DRG308,PID330394,RIDNYBinghamton,50,20288.12,8512.62,7662.94
DRG309,PID330011,RIDNYBinghamton,64,7578.5,4748.6,3958.67
DRG309,PID330033,RIDNYBinghamton,16,14417.31,5923.87,5014.12
DRG309,PID330085,RIDNYBinghamton,20,8177.5,4956.05,3862.55
DRG309,PID330394,RIDNYBinghamton,62,14186.93,5519.93,4704
DRG310,PID330011,RIDNYBinghamton,53,6285.28,3251.64,2358.81
DRG310,PID330033,RIDNYBinghamton,15,11753.8,4092.06,3111
DRG310,PID330085,RIDNYBinghamton,31,6194.19,3328.51,2393.58
DRG310,PID330394,RIDNYBinghamton,59,10494.83,3901.76,2859.27
DRG312,PID330011,RIDNYBinghamton,72,6348.5,4075.25,3094.08
DRG312,PID330085,RIDNYBinghamton,27,6870.51,4112.81,3199.92
DRG312,PID330394,RIDNYBinghamton,67,12416.47,4674.8,3871.46
DRG313,PID330011,RIDNYBinghamton,50,6038.06,3127.5,2273.58
DRG313,PID330085,RIDNYBinghamton,21,6471.33,3171,2209.85
DRG313,PID330394,RIDNYBinghamton,31,16398.16,3638.29,2624.09
DRG314,PID330394,RIDNYBinghamton,26,20459.3,11291.07,10685.23
DRG315,PID330011,RIDNYBinghamton,14,7425.85,5277.35,4653
DRG329,PID330011,RIDNYBinghamton,24,60241.04,30198.62,29263.33
DRG329,PID330394,RIDNYBinghamton,24,73620.79,33162.66,31952.5
DRG330,PID330011,RIDNYBinghamton,28,42558.71,15891.78,14891.32
DRG330,PID330085,RIDNYBinghamton,18,23715.33,14895,14275
DRG330,PID330394,RIDNYBinghamton,36,45656.83,17356.52,16483.16
DRG372,PID330011,RIDNYBinghamton,13,16216.38,7402.53,6763
DRG372,PID330394,RIDNYBinghamton,16,25202.31,10641.31,8949.31
DRG377,PID330011,RIDNYBinghamton,12,15555.5,9637,9165.33
DRG377,PID330394,RIDNYBinghamton,33,27383.48,11456.87,10607.06
DRG378,PID330011,RIDNYBinghamton,78,12146.57,5775.87,5026.53
DRG378,PID330085,RIDNYBinghamton,34,10965.44,5811.97,5047.29
DRG378,PID330394,RIDNYBinghamton,86,15608.34,6613.58,5765.05
DRG379,PID330011,RIDNYBinghamton,19,7910.42,4020.63,3196.63
DRG379,PID330085,RIDNYBinghamton,16,7618.75,4121,3217.25
DRG379,PID330394,RIDNYBinghamton,17,10560.35,4565.76,3709.52
DRG389,PID330011,RIDNYBinghamton,31,12710.41,5346.9,4478.77
DRG389,PID330033,RIDNYBinghamton,11,15899,6715,5797.54
DRG389,PID330394,RIDNYBinghamton,21,14955.85,6017.38,5265.76
DRG390,PID330011,RIDNYBinghamton,17,9498.47,3628.94,2837.41
DRG390,PID330394,RIDNYBinghamton,29,11674.27,4218.31,3210.03
DRG391,PID330011,RIDNYBinghamton,22,12525,6565.36,5847.9
DRG391,PID330394,RIDNYBinghamton,26,19842.46,7689.3,6913
DRG392,PID330011,RIDNYBinghamton,130,10148.94,4098.06,3235.6
DRG392,PID330033,RIDNYBinghamton,20,12102.55,5157.1,4201.3
DRG392,PID330085,RIDNYBinghamton,64,7528.89,4136,3297.6
DRG392,PID330394,RIDNYBinghamton,97,12262.89,4826.09,3710.82
DRG394,PID330011,RIDNYBinghamton,24,13301.04,5670,4504.83
DRG394,PID330394,RIDNYBinghamton,28,14631.82,6540.85,5858.14
DRG418,PID330011,RIDNYBinghamton,12,29591.58,9656.33,8621.33
DRG418,PID330394,RIDNYBinghamton,20,29758.65,10980.3,9909.7
DRG419,PID330011,RIDNYBinghamton,14,23144.14,6641.07,5594.5
DRG419,PID330394,RIDNYBinghamton,16,26495,7572.12,6444.12
DRG439,PID330011,RIDNYBinghamton,12,12136.41,5746.16,4996.83
DRG439,PID330394,RIDNYBinghamton,16,15719.75,6797.31,5417
DRG460,PID330011,RIDNYBinghamton,34,44919.08,22082.38,21057.79
DRG460,PID330394,RIDNYBinghamton,132,59815.43,25581.25,23610.28
DRG469,PID330011,RIDNYBinghamton,16,45669.81,20672.43,19554.43
DRG469,PID330394,RIDNYBinghamton,19,52942.73,23116.73,20284.78
DRG470,PID330011,RIDNYBinghamton,247,31951.37,12011.54,10819.97
DRG470,PID330033,RIDNYBinghamton,40,43813.12,15568.77,13640.75
DRG470,PID330085,RIDNYBinghamton,29,21264.27,11963.89,10290.89
DRG470,PID330394,RIDNYBinghamton,241,36765.02,13985.03,12010.05
DRG473,PID330394,RIDNYBinghamton,38,32614.47,13493.65,12485.86
DRG480,PID330011,RIDNYBinghamton,11,37434.27,18501.18,17489.54
DRG480,PID330394,RIDNYBinghamton,16,45124.87,20193.06,19350.06
DRG481,PID330011,RIDNYBinghamton,41,23832.21,10567.48,9664.17
DRG481,PID330394,RIDNYBinghamton,44,30782.31,12369.88,10929.34
DRG536,PID330011,RIDNYBinghamton,28,8775.71,4049.89,3046.03
DRG536,PID330085,RIDNYBinghamton,12,7496.16,4029.33,3191
DRG536,PID330394,RIDNYBinghamton,24,11719.12,4733.12,3749.29
DRG552,PID330011,RIDNYBinghamton,34,11286.52,4643.41,3880.47
DRG552,PID330085,RIDNYBinghamton,31,8527.38,4680.38,3829.29
DRG552,PID330394,RIDNYBinghamton,36,13500.36,5289.05,4321.38
DRG563,PID330011,RIDNYBinghamton,24,9868.79,4081.95,3102.12
DRG563,PID330394,RIDNYBinghamton,15,16168.06,4770.53,3416.4
DRG602,PID330394,RIDNYBinghamton,18,28075.05,9852.44,9007.05
DRG603,PID330011,RIDNYBinghamton,66,10368.57,4694.46,3649.56
DRG603,PID330033,RIDNYBinghamton,16,18058.87,6474.68,5625.75
DRG603,PID330085,RIDNYBinghamton,46,7498.23,4851.43,3690.58
DRG603,PID330394,RIDNYBinghamton,65,17694.24,5696.93,4883.36
DRG638,PID330011,RIDNYBinghamton,29,9303.89,4742.1,4005.96
DRG638,PID330394,RIDNYBinghamton,27,15223.66,5331.77,4628.51
