drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID330059,RIDNYBronx,13,37429.92,13079.38,10280.76
DRG057,PID330009,RIDNYBronx,12,22540.5,15419.83,14104.5
DRG057,PID330059,RIDNYBronx,105,43850.77,12149.81,10790.94
DRG057,PID330080,RIDNYBronx,21,13835.09,13583.28,12676.04
DRG057,PID330127,RIDNYBronx,13,17476.23,12181.23,11489.53
DRG057,PID330184,RIDNYBronx,28,15809.57,9239.71,8476.14
DRG064,PID330059,RIDNYBronx,106,94160.35,23960.66,22268.07
DRG064,PID330080,RIDNYBronx,15,29746.86,28169.8,27350.33
DRG064,PID330127,RIDNYBronx,12,30886.41,25025.75,24276.41
DRG064,PID330184,RIDNYBronx,19,38220.42,18222.42,17568.63
DRG064,PID330316,RIDNYBronx,13,25609.92,14545.46,13597.46
DRG064,PID330399,RIDNYBronx,18,62100.05,26741.22,26180.55
DRG065,PID330009,RIDNYBronx,17,19312.58,17263,16338.29
DRG065,PID330059,RIDNYBronx,147,52734,14615.32,13368.75
DRG065,PID330127,RIDNYBronx,21,27211.33,15695.95,14998.23
DRG065,PID330184,RIDNYBronx,34,19450,11507.14,10181.64
DRG065,PID330316,RIDNYBronx,21,21908.14,9118.52,8151.28
DRG065,PID330399,RIDNYBronx,20,41296.65,17232.05,16331.25
DRG066,PID330059,RIDNYBronx,53,39939.39,10307.54,9334.71
DRG066,PID330080,RIDNYBronx,14,11355.85,11796.5,10992.5
DRG066,PID330184,RIDNYBronx,19,14610.21,8017.31,6956.68
DRG069,PID330009,RIDNYBronx,17,12407.88,10817.7,9959.58
DRG069,PID330059,RIDNYBronx,87,34243.05,9155.42,8265.35
DRG069,PID330080,RIDNYBronx,20,9225.25,10673.85,9501.75
DRG069,PID330184,RIDNYBronx,37,14815.08,7231.35,6186.05
DRG069,PID330316,RIDNYBronx,56,15563.66,5741.51,4612.92
DRG069,PID330399,RIDNYBronx,19,16206.15,10529.31,9754.78
DRG074,PID330059,RIDNYBronx,69,34142.1,10804.46,10059.92
DRG074,PID330080,RIDNYBronx,12,13372,13025.5,12278.83
DRG074,PID330184,RIDNYBronx,12,14535.16,8487.33,7740.66
DRG101,PID330009,RIDNYBronx,44,11336.15,11111.34,10316.7
DRG101,PID330059,RIDNYBronx,120,33154.93,9597.09,8728.65
DRG101,PID330080,RIDNYBronx,39,9114.12,10703.94,9941.33
DRG101,PID330127,RIDNYBronx,34,17001.14,10914.88,9735.64
DRG101,PID330184,RIDNYBronx,40,16131.52,7524.35,6666
DRG101,PID330316,RIDNYBronx,34,15462.52,5952.47,5046.76
DRG101,PID330385,RIDNYBronx,14,14319.85,10017.28,9030.21
DRG101,PID330399,RIDNYBronx,19,15178.63,10791.94,10027.52
DRG149,PID330009,RIDNYBronx,34,9132.88,9284.08,8394.55
DRG149,PID330059,RIDNYBronx,102,25429.08,7894.07,6981.09
DRG149,PID330080,RIDNYBronx,25,6375.4,9293.48,8258.96
DRG149,PID330127,RIDNYBronx,21,11090.61,9074.38,8053.23
DRG149,PID330184,RIDNYBronx,17,11007.88,6354.41,5425.94
DRG149,PID330316,RIDNYBronx,14,12429,5044.35,3796.71
DRG149,PID330385,RIDNYBronx,19,8764.73,8202.78,7254.57
DRG149,PID330399,RIDNYBronx,19,16282.21,9325.21,8615.31
DRG176,PID330059,RIDNYBronx,31,49434.61,12770.74,12011.12
DRG177,PID330059,RIDNYBronx,58,90402.68,25312.48,24649.53
DRG177,PID330184,RIDNYBronx,33,34286.78,19000.45,18131.54
DRG177,PID330316,RIDNYBronx,13,25907.23,15488.69,14884.07
DRG178,PID330059,RIDNYBronx,53,48565.98,17445.77,16852.56
DRG178,PID330184,RIDNYBronx,15,24333.33,14200.13,13747.33
DRG189,PID330009,RIDNYBronx,18,17949.55,18671.05,18328.72
DRG189,PID330059,RIDNYBronx,49,68019.91,16649.14,15842.97
DRG189,PID330184,RIDNYBronx,20,26304.05,12521,11708.3
DRG189,PID330316,RIDNYBronx,12,20207.58,10006.5,9443.16
DRG190,PID330009,RIDNYBronx,55,14461.21,17080.7,16493.72
DRG190,PID330059,RIDNYBronx,249,49664.82,14908.5,13981.1
DRG190,PID330080,RIDNYBronx,34,11259.2,16667.05,16014.2
DRG190,PID330127,RIDNYBronx,18,25738.11,17534.22,16662.72
DRG190,PID330184,RIDNYBronx,33,22947,12439.9,11620.51
DRG190,PID330316,RIDNYBronx,66,25874.43,9135.72,8068.43
DRG190,PID330399,RIDNYBronx,24,31711.12,16978.87,16469.04
DRG191,PID330009,RIDNYBronx,41,13457.92,14191.14,13343.82
DRG191,PID330059,RIDNYBronx,228,38020.39,12060.5,11321.7
DRG191,PID330080,RIDNYBronx,40,8591.72,13859.67,13015.47
DRG191,PID330127,RIDNYBronx,26,17096.15,14553.15,13803.38
DRG191,PID330184,RIDNYBronx,28,19620.35,9350.96,8199.46
DRG191,PID330316,RIDNYBronx,39,20761.74,7523.17,6859.69
DRG191,PID330399,RIDNYBronx,28,18141.78,13745.46,12903.32
DRG192,PID330009,RIDNYBronx,37,10435.83,10538.54,9766.59
DRG192,PID330059,RIDNYBronx,112,26343.66,8974.54,8106.97
DRG192,PID330080,RIDNYBronx,58,7043.84,10397.5,9623.98
DRG192,PID330127,RIDNYBronx,16,10715.37,10403.62,9700.12
DRG192,PID330184,RIDNYBronx,24,13582.2,7157.87,6311.54
DRG192,PID330316,RIDNYBronx,66,17373.77,5873.93,4904.31
DRG192,PID330399,RIDNYBronx,12,15307.5,10409.91,9566.25
DRG193,PID330009,RIDNYBronx,24,14628.33,21132.66,20264.08
DRG193,PID330059,RIDNYBronx,148,56099.07,17671.35,16949.75
DRG193,PID330080,RIDNYBronx,15,16474.86,20666,19919.86
DRG193,PID330127,RIDNYBronx,14,28677.57,21535.71,20812.57
DRG193,PID330184,RIDNYBronx,16,33333.12,16190,15490.5
DRG193,PID330316,RIDNYBronx,39,34925.33,11963.02,11056.51
DRG193,PID330399,RIDNYBronx,18,37357.05,20593.5,20093.94
DRG194,PID330009,RIDNYBronx,27,11841.51,14566.22,13861.77
DRG194,PID330059,RIDNYBronx,291,42450.5,12853.35,11645.16
DRG194,PID330080,RIDNYBronx,26,10168.65,14425.46,13558.38
DRG194,PID330127,RIDNYBronx,26,13631.03,14370.73,12875.34
