drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID330005,RIDNYBuffalo,23,27984.39,7567.39,6636.43
DRG039,PID330078,RIDNYBuffalo,15,11361.86,7261.8,4929.13
DRG039,PID330188,RIDNYBuffalo,13,19445.3,7921,4183.38
DRG057,PID330005,RIDNYBuffalo,55,14561.61,7352.65,6334.41
DRG057,PID330078,RIDNYBuffalo,11,13449.63,5767.54,4853
DRG057,PID330219,RIDNYBuffalo,13,19540.07,9368,8328
DRG057,PID330279,RIDNYBuffalo,16,12367.18,5419.31,4509.56
DRG064,PID330005,RIDNYBuffalo,110,44973.02,17526.21,15476.81
DRG064,PID330078,RIDNYBuffalo,23,33473.56,12941.34,12106.08
DRG064,PID330219,RIDNYBuffalo,27,38950.11,18181.48,17179.29
DRG064,PID330279,RIDNYBuffalo,33,21998.57,11183.84,9528.75
DRG065,PID330005,RIDNYBuffalo,202,24393.7,9403.76,8118.82
DRG065,PID330053,RIDNYBuffalo,11,7962.54,7045.54,6231
DRG065,PID330078,RIDNYBuffalo,39,16886.94,7768.61,6241.05
DRG065,PID330102,RIDNYBuffalo,12,7599.33,5956.83,4929.83
DRG065,PID330188,RIDNYBuffalo,13,17084,7255.15,6573.3
DRG065,PID330219,RIDNYBuffalo,20,23701.85,11117.3,10331.3
DRG065,PID330279,RIDNYBuffalo,59,17027.06,6639.35,5885.28
DRG066,PID330005,RIDNYBuffalo,127,17393.59,6467.39,5119.71
DRG066,PID330065,RIDNYBuffalo,16,14423.18,6193.12,4771.87
DRG066,PID330078,RIDNYBuffalo,11,17482.81,5339.36,4424.81
DRG066,PID330102,RIDNYBuffalo,11,9284.27,4273,3039.09
DRG066,PID330188,RIDNYBuffalo,18,8850.83,5273.61,3604
DRG066,PID330279,RIDNYBuffalo,20,12695.15,5018.6,3606.3
DRG069,PID330005,RIDNYBuffalo,75,13426.52,5863.82,4321.29
DRG069,PID330065,RIDNYBuffalo,14,9996.5,5383.21,4496.07
DRG069,PID330078,RIDNYBuffalo,23,9445.47,4769.65,3424.17
DRG069,PID330102,RIDNYBuffalo,25,6202.08,3982.2,3169.72
DRG069,PID330103,RIDNYBuffalo,21,7126.85,4058.95,3094.76
DRG069,PID330163,RIDNYBuffalo,27,7697.4,4655.77,3740.51
DRG069,PID330188,RIDNYBuffalo,36,7853,4545.61,3579.72
DRG069,PID330219,RIDNYBuffalo,11,15157.81,6639.36,5713.18
DRG069,PID330279,RIDNYBuffalo,40,9869.6,4205,3283.1
DRG074,PID330005,RIDNYBuffalo,21,16720.47,7228.14,5864.85
DRG074,PID330078,RIDNYBuffalo,12,10271.25,5488,4463.66
DRG074,PID330163,RIDNYBuffalo,14,10756.07,6601.57,3813.21
DRG101,PID330005,RIDNYBuffalo,106,13343.85,5947.42,4797.54
DRG101,PID330078,RIDNYBuffalo,17,8644.41,4832.47,4035.29
DRG101,PID330102,RIDNYBuffalo,13,9666.3,4058.76,3459.07
DRG101,PID330103,RIDNYBuffalo,12,5825.66,4224.08,3294.08
DRG101,PID330163,RIDNYBuffalo,12,5771.25,4853.33,3734.66
DRG101,PID330188,RIDNYBuffalo,11,5770.72,4738.72,3715.45
