drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID330044,RIDNYElmira,40,19167.42,5740.32,4673.7
DRG039,PID330090,RIDNYElmira,35,14121.48,6449.51,4957.62
DRG039,PID330245,RIDNYElmira,42,11658.47,6260.61,4766.4
DRG057,PID330044,RIDNYElmira,33,10959.96,5096.96,3798.27
DRG057,PID330090,RIDNYElmira,13,11200.92,5409.84,4720.61
DRG057,PID330108,RIDNYElmira,11,14777.45,5968.27,5456.63
DRG064,PID330044,RIDNYElmira,45,33676.68,12268.66,11495.26
DRG064,PID330090,RIDNYElmira,22,31444.5,11116,10452.86
DRG065,PID330044,RIDNYElmira,93,20194.91,6410.15,5381.12
DRG065,PID330090,RIDNYElmira,41,17213.73,6879,5973.34
DRG065,PID330245,RIDNYElmira,28,18016.07,7120.1,6195.96
DRG066,PID330044,RIDNYElmira,52,15774.76,4719.71,3523.48
DRG066,PID330090,RIDNYElmira,25,13146.44,5189.12,3873.96
DRG066,PID330108,RIDNYElmira,14,16906.92,5232.85,4103.14
DRG066,PID330245,RIDNYElmira,21,11559.47,5014.71,4049
DRG069,PID330044,RIDNYElmira,156,14018.83,4254.26,3170.39
DRG069,PID330090,RIDNYElmira,45,13393.93,4360.11,3486.77
DRG069,PID330108,RIDNYElmira,16,16312.43,4628.06,3783.06
DRG069,PID330245,RIDNYElmira,32,10035.53,4485.65,3431.25
DRG074,PID330044,RIDNYElmira,17,11659.11,5170.7,3800.35
DRG074,PID330090,RIDNYElmira,19,15050.84,5159.73,4567.31
DRG101,PID330044,RIDNYElmira,31,12644.67,4341.16,3437.19
DRG101,PID330090,RIDNYElmira,14,12620.42,6007.57,3027.42
DRG101,PID330108,RIDNYElmira,11,13565.63,4863.09,4022.81
DRG101,PID330245,RIDNYElmira,18,11128.5,4563.66,3747.88
DRG149,PID330044,RIDNYElmira,33,11613.15,3573.9,2588.81
DRG149,PID330108,RIDNYElmira,11,12939.54,4077,2747.9
DRG149,PID330245,RIDNYElmira,16,9721.12,4015.37,2952.25
DRG176,PID330044,RIDNYElmira,26,21608.96,5995.84,5390
DRG176,PID330245,RIDNYElmira,16,18943,7019.93,5090.18
DRG177,PID330044,RIDNYElmira,62,34070.5,11793.69,11275.37
DRG177,PID330090,RIDNYElmira,35,30822.14,12447.05,11873.88
DRG177,PID330108,RIDNYElmira,16,45819.87,13083.87,12254.56
DRG177,PID330245,RIDNYElmira,18,29309.77,12503.72,11984.88
DRG178,PID330044,RIDNYElmira,84,20713.04,8274.28,7626.04
DRG178,PID330090,RIDNYElmira,40,25904.22,9213.47,8192.12
DRG178,PID330108,RIDNYElmira,19,29418.68,9266.68,8642.78
DRG178,PID330245,RIDNYElmira,37,16908.89,8500.78,7908.08
DRG189,PID330044,RIDNYElmira,54,26209.24,7428.88,6655.37
DRG189,PID330090,RIDNYElmira,46,24523.3,8540.82,6847.84
DRG189,PID330108,RIDNYElmira,24,25750.37,8087.16,7387.66
DRG189,PID330245,RIDNYElmira,14,31227.5,8950.42,8384.5
DRG190,PID330044,RIDNYElmira,92,21095.29,7006.95,5898.9
DRG190,PID330090,RIDNYElmira,84,17770.72,7171.29,6166.78
DRG190,PID330108,RIDNYElmira,26,25064.42,7473.61,6511.03
DRG190,PID330245,RIDNYElmira,74,18852.77,7320.54,6566.31
DRG191,PID330044,RIDNYElmira,99,18424.46,5429.13,4624.67
DRG191,PID330090,RIDNYElmira,115,13944.5,6012.08,4857.94
DRG191,PID330108,RIDNYElmira,63,16403.73,6104.07,5373.98
DRG191,PID330245,RIDNYElmira,82,15574.13,6161.36,5012.4
DRG192,PID330044,RIDNYElmira,68,13753.92,4128.82,3203.7
DRG192,PID330090,RIDNYElmira,75,10798.04,4268.32,3461.38
DRG192,PID330108,RIDNYElmira,40,11072.92,4602.02,3568.77
DRG192,PID330245,RIDNYElmira,54,11886.53,4651.24,3393.9
DRG193,PID330044,RIDNYElmira,67,27059.28,8456.79,7631.02
DRG193,PID330090,RIDNYElmira,56,23867.96,8769.67,8178.21
DRG193,PID330108,RIDNYElmira,38,29979.73,9572.39,8965.07
DRG193,PID330245,RIDNYElmira,38,19947.02,8974.78,8259.13
DRG194,PID330044,RIDNYElmira,143,17082.92,5901.37,4646.16
DRG194,PID330090,RIDNYElmira,132,15811.17,6056.07,5176.27
DRG194,PID330108,RIDNYElmira,90,19573.57,6388.34,5460.61
DRG194,PID330245,RIDNYElmira,119,16266.89,6322.84,5463.01
DRG195,PID330044,RIDNYElmira,78,12349.35,3996.1,3005.8
DRG195,PID330090,RIDNYElmira,50,12927.22,4370.88,3442.5
DRG195,PID330108,RIDNYElmira,34,16157.73,4511.35,3582.88
DRG195,PID330245,RIDNYElmira,46,10188.43,4448.28,3598.1
DRG202,PID330044,RIDNYElmira,20,12972.6,4714.6,3645.6
DRG202,PID330090,RIDNYElmira,18,10609.77,5526.05,3925.44
DRG202,PID330245,RIDNYElmira,17,12898,5196.88,4207.47
DRG203,PID330044,RIDNYElmira,11,11762.9,3676.45,2484.09
DRG207,PID330044,RIDNYElmira,22,109624.4,40131.59,36336.22
DRG207,PID330245,RIDNYElmira,18,64223.83,30287.55,29662.16
DRG208,PID330044,RIDNYElmira,37,44994.24,14198.83,13076.43
DRG208,PID330090,RIDNYElmira,18,38827.16,13478.83,12733
DRG208,PID330245,RIDNYElmira,31,31159.87,13736.22,13155.06
DRG238,PID330044,RIDNYElmira,27,62720.11,17822,16858.88
DRG238,PID330090,RIDNYElmira,14,44139.14,18208.71,17166.71
DRG238,PID330245,RIDNYElmira,22,42151.77,18291.54,17369.72
DRG243,PID330044,RIDNYElmira,17,46059.41,15721.88,14861.88
DRG243,PID330090,RIDNYElmira,20,38898.8,15816.9,13896.35
DRG243,PID330245,RIDNYElmira,18,35160.61,15448.66,14636.44
DRG244,PID330090,RIDNYElmira,24,28487.75,12070.79,11084.29
DRG244,PID330245,RIDNYElmira,25,29125.48,11927.96,11124.44
DRG246,PID330090,RIDNYElmira,14,46863.21,19574,18927.14
DRG246,PID330245,RIDNYElmira,36,61765.5,20123.22,17907.05
DRG247,PID330044,RIDNYElmira,25,43260.12,11208.16,9712.28
DRG247,PID330090,RIDNYElmira,92,31497.5,12509.3,10230.48
DRG247,PID330245,RIDNYElmira,198,38099.75,11675.62,10242.95
DRG249,PID330090,RIDNYElmira,45,27887.64,12555.66,8781.33
DRG249,PID330245,RIDNYElmira,18,32400.88,10379.38,9506.05
DRG251,PID330245,RIDNYElmira,36,28374.83,10624.72,9405.02
DRG252,PID330044,RIDNYElmira,21,53617.61,19121.85,18085.9
DRG253,PID330044,RIDNYElmira,20,42530.2,14257.85,13467.05
DRG253,PID330090,RIDNYElmira,22,37151.68,14416.09,13651.54
DRG253,PID330245,RIDNYElmira,27,36000.29,14501.51,13163.22
DRG254,PID330245,RIDNYElmira,24,31089.41,10189.25,8024.5
DRG280,PID330044,RIDNYElmira,14,42174.14,11962.14,10917.78
DRG280,PID330090,RIDNYElmira,43,23191.9,11709.16,9233.86
DRG280,PID330108,RIDNYElmira,18,25803.66,11481.27,10924.16
DRG280,PID330245,RIDNYElmira,16,27947.43,11412.06,9835.37
DRG281,PID330044,RIDNYElmira,20,22295.75,6313.1,5476.9
DRG281,PID330090,RIDNYElmira,28,15604.46,6896.07,6172.92
DRG281,PID330245,RIDNYElmira,21,24128.66,7401.19,6812.8
DRG282,PID330044,RIDNYElmira,14,19702.35,4509.28,3543.57
DRG282,PID330090,RIDNYElmira,14,15607.21,4775.64,3738.21
DRG282,PID330245,RIDNYElmira,14,17714.21,4963.35,4078.5
DRG286,PID330090,RIDNYElmira,13,27096.3,11898.69,11209.46
DRG287,PID330044,RIDNYElmira,49,19345.2,6017.38,5131.14
DRG287,PID330090,RIDNYElmira,58,17667.31,7064.37,5293.24
DRG287,PID330245,RIDNYElmira,87,20852.82,6680.98,5510.05
DRG291,PID330044,RIDNYElmira,101,26682.3,9109.05,8499.67
DRG291,PID330090,RIDNYElmira,45,24364,9109.84,8440.48
DRG291,PID330108,RIDNYElmira,20,32805,9410.95,8738.15
DRG291,PID330245,RIDNYElmira,74,21503.78,9190.94,8429.48
DRG292,PID330044,RIDNYElmira,136,16533.49,5726.22,4987.02
DRG292,PID330090,RIDNYElmira,71,16330.97,6166.32,5627.4
DRG292,PID330108,RIDNYElmira,26,19020.76,6409.15,5589.3
DRG292,PID330245,RIDNYElmira,164,14439.45,6297.98,5682.29
DRG293,PID330044,RIDNYElmira,50,14149.36,3899.7,3121.48
DRG293,PID330090,RIDNYElmira,35,10285.48,4095.77,3197.48
DRG293,PID330108,RIDNYElmira,12,13823.5,4276.5,3529.83
DRG293,PID330245,RIDNYElmira,62,9934.03,4254.35,3602.22
DRG300,PID330044,RIDNYElmira,35,14040.6,5344.4,4491.31
DRG300,PID330090,RIDNYElmira,13,12833.15,5817.3,4420.76
DRG300,PID330245,RIDNYElmira,29,12498.51,6007.65,5346.27
DRG301,PID330044,RIDNYElmira,17,9864.05,3640.76,2714.17
DRG301,PID330245,RIDNYElmira,15,9577.86,4243.33,3171.13
DRG303,PID330044,RIDNYElmira,11,15085,3263.54,2346.09
DRG303,PID330090,RIDNYElmira,33,11833.15,3481.15,2789.42
DRG303,PID330245,RIDNYElmira,20,10001.5,3904.65,2721.3
DRG305,PID330090,RIDNYElmira,16,9537.68,3653.37,2600.12
DRG308,PID330044,RIDNYElmira,30,21051.26,7816.8,7300.1
DRG308,PID330090,RIDNYElmira,23,14805.08,7195.56,6509.3
DRG308,PID330245,RIDNYElmira,25,19197.28,7641.68,7010.32
DRG309,PID330044,RIDNYElmira,60,16621.31,4791.86,3950.86
DRG309,PID330090,RIDNYElmira,54,13721.07,5091.98,4193.5
DRG309,PID330245,RIDNYElmira,50,14104.42,5252.68,4531.4
