drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID330024,RIDNYManhattan,29,22169.41,11165.17,9504.37
DRG039,PID330028,RIDNYManhattan,12,32246.66,10165,9321.33
DRG039,PID330101,RIDNYManhattan,49,32142.36,11869,9417.73
DRG039,PID330119,RIDNYManhattan,17,29515.52,8963.64,7907.64
DRG039,PID330160,RIDNYManhattan,18,21700.11,9393.33,8458.88
DRG039,PID330169,RIDNYManhattan,17,31149.82,11056.88,10065.58
DRG039,PID330194,RIDNYManhattan,11,28410,11972.27,10957.72
DRG039,PID330214,RIDNYManhattan,33,37047.06,9422.84,8141.36
DRG039,PID330236,RIDNYManhattan,16,22077.12,10657.43,9091
DRG057,PID330019,RIDNYManhattan,21,20655.14,9809.95,9007.47
DRG057,PID330024,RIDNYManhattan,102,31751,12590.08,11432.9
DRG057,PID330028,RIDNYManhattan,13,23190.3,9181.61,8146.53
DRG057,PID330046,RIDNYManhattan,71,40586.71,12038.73,10752.54
DRG057,PID330056,RIDNYManhattan,14,18455.57,11353.07,10475.07
DRG057,PID330064,RIDNYManhattan,13,18786.76,11929.53,10979.07
DRG057,PID330101,RIDNYManhattan,163,41609.15,12118.48,10505.14
DRG057,PID330119,RIDNYManhattan,40,67397.65,10014.65,9013.45
DRG057,PID330152,RIDNYManhattan,13,27314,11063.3,10030.69
DRG057,PID330160,RIDNYManhattan,57,26132.47,8888.36,8079.19
DRG057,PID330169,RIDNYManhattan,116,34283.56,10651.64,9816.81
DRG057,PID330194,RIDNYManhattan,49,38575.36,11960.24,11022.2
DRG057,PID330196,RIDNYManhattan,33,13807.78,11101.33,10352.45
DRG057,PID330201,RIDNYManhattan,15,29731.46,9042.93,8214.93
DRG057,PID330202,RIDNYManhattan,15,16525.2,12511,11609.66
DRG057,PID330204,RIDNYManhattan,17,30326.35,13759.11,13097
DRG057,PID330214,RIDNYManhattan,41,39497.21,9736.58,8648.56
DRG057,PID330221,RIDNYManhattan,19,18791.36,11068.84,10181.89
DRG057,PID330233,RIDNYManhattan,13,25251.69,11941.53,11167.69
DRG057,PID330236,RIDNYManhattan,48,18444.68,9749.62,8733
DRG057,PID330306,RIDNYManhattan,31,14298.64,10849.77,9885.61
DRG057,PID330350,RIDNYManhattan,14,18583.85,12851.57,12126.14
DRG057,PID330397,RIDNYManhattan,15,20100.46,11676.13,10921.46
DRG064,PID330019,RIDNYManhattan,15,32432.8,17976.8,17228.53
DRG064,PID330024,RIDNYManhattan,62,66406.72,25758,22022.8
DRG064,PID330028,RIDNYManhattan,15,58766.93,19560.86,18665.93
DRG064,PID330046,RIDNYManhattan,70,90664.51,26581.2,25139.8
DRG064,PID330056,RIDNYManhattan,16,43108.12,23907.31,23184.12
DRG064,PID330064,RIDNYManhattan,26,46854.46,25396.53,24576.73
DRG064,PID330101,RIDNYManhattan,195,82704.03,26057.97,24396.69
DRG064,PID330119,RIDNYManhattan,28,101615.5,17916.32,17272.89
DRG064,PID330152,RIDNYManhattan,14,97668.42,30672.85,29648.85
DRG064,PID330160,RIDNYManhattan,48,54556.93,18826.02,17055.56
DRG064,PID330169,RIDNYManhattan,60,77658.36,22626.58,21428.25
DRG064,PID330194,RIDNYManhattan,94,82992.64,26658.01,25078.03
DRG064,PID330196,RIDNYManhattan,41,47567.85,33598.31,32734.92
DRG064,PID330201,RIDNYManhattan,31,77499.41,18838.83,18112.61
DRG064,PID330202,RIDNYManhattan,23,47566,27598.91,25382.56
DRG064,PID330204,RIDNYManhattan,22,49034.04,26532.81,25112.45
DRG064,PID330214,RIDNYManhattan,35,90928.94,21789.94,20274.45
DRG064,PID330221,RIDNYManhattan,14,43296.57,22177.07,21375.35
DRG064,PID330233,RIDNYManhattan,38,43399.1,22883.84,21513.86
DRG064,PID330236,RIDNYManhattan,34,57781.32,22039.2,21029.44
DRG064,PID330306,RIDNYManhattan,53,37121.01,22834.37,21686.22
DRG064,PID330350,RIDNYManhattan,30,45501.2,25992.06,24029.06
DRG064,PID330396,RIDNYManhattan,12,34591,24574.5,23636.5
DRG065,PID330019,RIDNYManhattan,26,17716.15,11866.3,9767.69
DRG065,PID330024,RIDNYManhattan,95,35342.65,14670.78,12861.86
DRG065,PID330028,RIDNYManhattan,31,38775.61,11955.19,11112.16
DRG065,PID330046,RIDNYManhattan,93,49756.79,13587.59,12237.3
DRG065,PID330056,RIDNYManhattan,18,29534.61,15044.88,14173.33
