drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID330125,RIDNYRochester,27,7468,7546.29,4373.07
DRG039,PID330285,RIDNYRochester,16,14264.37,9044.75,6423.81
DRG057,PID330125,RIDNYRochester,23,14337.39,6061.82,5255.34
DRG057,PID330285,RIDNYRochester,27,20347.07,9704.48,8788.07
DRG064,PID330125,RIDNYRochester,37,29703.45,12842.24,11270.43
DRG064,PID330164,RIDNYRochester,21,15441.38,11914.47,11059.57
DRG064,PID330226,RIDNYRochester,22,16417.72,12040.31,10100.13
DRG064,PID330285,RIDNYRochester,60,31805.06,16166.6,14828.21
DRG064,PID330307,RIDNYRochester,24,13457.7,11127.95,10382.62
DRG065,PID330058,RIDNYRochester,23,11608.86,6530.21,5648.47
DRG065,PID330125,RIDNYRochester,63,18909.15,7547.82,6385.23
DRG065,PID330164,RIDNYRochester,14,10013.28,7178.42,6212.71
DRG065,PID330226,RIDNYRochester,25,11473.76,6738.96,5751.76
DRG065,PID330285,RIDNYRochester,60,20193.53,10284.73,8598.36
DRG065,PID330307,RIDNYRochester,30,10757.73,6495.3,5599.3
DRG066,PID330125,RIDNYRochester,34,14707.02,5148.55,4189.61
DRG066,PID330164,RIDNYRochester,15,7376.8,5325.73,3792.86
DRG066,PID330226,RIDNYRochester,14,9051.28,5023.64,3986.21
DRG066,PID330285,RIDNYRochester,36,15562.94,7613.94,4908.94
DRG066,PID330307,RIDNYRochester,23,12036.08,4832.17,3801.39
DRG069,PID330125,RIDNYRochester,79,11404.34,4593.69,3588.65
DRG069,PID330164,RIDNYRochester,19,6518.36,4559.68,3434.42
DRG069,PID330285,RIDNYRochester,48,11126.2,5961.7,4983.1
DRG074,PID330125,RIDNYRochester,51,12217.35,5620.37,4842.98
DRG074,PID330285,RIDNYRochester,36,15645.02,9041.83,7138.38
DRG101,PID330125,RIDNYRochester,44,12392.86,4806.77,4039.31
DRG101,PID330226,RIDNYRochester,16,5899.37,4569.12,3871.62
DRG101,PID330285,RIDNYRochester,68,19223.89,6889.97,5353
DRG101,PID330307,RIDNYRochester,16,10351.31,4584.18,3486.43
DRG149,PID330125,RIDNYRochester,26,12358.3,4030.76,2992
DRG149,PID330285,RIDNYRochester,13,12518.84,5524.61,4069.76
DRG176,PID330125,RIDNYRochester,21,12733.71,6300.19,5713.33
DRG176,PID330164,RIDNYRochester,12,8638.33,6258.08,5506.08
DRG176,PID330226,RIDNYRochester,15,12254.86,6372.86,5473.66
DRG176,PID330285,RIDNYRochester,30,14136.43,9399.13,7465.4
DRG177,PID330074,RIDNYRochester,15,29169.6,12784.8,11212.4
DRG177,PID330125,RIDNYRochester,25,24639.04,12208.36,11014.84
DRG177,PID330164,RIDNYRochester,49,18188.55,12217.89,11641.1
DRG177,PID330226,RIDNYRochester,23,25504.47,13133,12323.69
DRG177,PID330285,RIDNYRochester,23,21441.78,17287.43,15480.04
DRG178,PID330008,RIDNYRochester,18,6879,10896,10398.22
DRG178,PID330030,RIDNYRochester,16,25405.43,9071.87,8235.87
