drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID330140,RIDNYSyracuse,137,13836.72,6673.68,5471.58
DRG039,PID330203,RIDNYSyracuse,27,13116.14,7271.14,6275.59
DRG039,PID330241,RIDNYSyracuse,18,27395.66,8910.83,7847
DRG057,PID330140,RIDNYSyracuse,23,21995.34,7557.6,6822.13
DRG057,PID330157,RIDNYSyracuse,12,17106.91,8515,7765.66
DRG057,PID330203,RIDNYSyracuse,21,16101.66,6995.9,6197.95
DRG057,PID330215,RIDNYSyracuse,13,10615.53,5107,4156.53
DRG057,PID330218,RIDNYSyracuse,20,17970.95,7243.95,5504.15
DRG057,PID330235,RIDNYSyracuse,17,21635.64,5865.82,5003.94
DRG057,PID330241,RIDNYSyracuse,41,33070.02,10769.12,9679.43
DRG064,PID330140,RIDNYSyracuse,34,26400.08,13807.11,11130.79
DRG064,PID330157,RIDNYSyracuse,12,41067,19012.33,18053.41
DRG064,PID330203,RIDNYSyracuse,111,25402.64,13761.5,12632.86
DRG064,PID330235,RIDNYSyracuse,13,29776.46,12028.76,11247.53
DRG064,PID330241,RIDNYSyracuse,98,53439.38,21397.28,19690.3
DRG065,PID330140,RIDNYSyracuse,33,12507.78,7370.75,6268.72
DRG065,PID330157,RIDNYSyracuse,23,26428.69,10617.13,9784.6
DRG065,PID330203,RIDNYSyracuse,109,18330.04,8535.16,7368.11
DRG065,PID330213,RIDNYSyracuse,11,10727.27,7617.36,6794.09
DRG065,PID330235,RIDNYSyracuse,19,18487.42,7372.1,6488.52
DRG065,PID330241,RIDNYSyracuse,92,34220.64,11612.82,10162.13
DRG066,PID330140,RIDNYSyracuse,35,11381.91,5650.2,4372.25
DRG066,PID330157,RIDNYSyracuse,13,17678.3,7367.61,6504.23
DRG066,PID330203,RIDNYSyracuse,41,14538.78,6228,4638.85
DRG066,PID330235,RIDNYSyracuse,12,11138.83,5769.91,3875.58
DRG066,PID330241,RIDNYSyracuse,64,21905.98,7632.59,6099.76
DRG069,PID330140,RIDNYSyracuse,70,9314.5,4874.27,3895.12
DRG069,PID330157,RIDNYSyracuse,21,15166.42,6393.33,5592.38
DRG069,PID330175,RIDNYSyracuse,13,8868.15,4563,3697.15
DRG069,PID330203,RIDNYSyracuse,107,13310.53,5464.49,4238.47
DRG069,PID330215,RIDNYSyracuse,16,13097.5,4194.25,3072.25
DRG069,PID330218,RIDNYSyracuse,13,12213.46,4799.07,3674.46
DRG069,PID330235,RIDNYSyracuse,35,12922.6,5211.02,3666.31
DRG069,PID330241,RIDNYSyracuse,65,21658.09,7255.36,6339.26
DRG069,PID330263,RIDNYSyracuse,13,13640.38,5424,4471.07
DRG074,PID330140,RIDNYSyracuse,20,10211,5798.45,5177.45
DRG074,PID330203,RIDNYSyracuse,21,12080.38,6475.47,5433.19
DRG074,PID330241,RIDNYSyracuse,20,25217.05,9065.2,8555.9
DRG101,PID330140,RIDNYSyracuse,23,9671.69,5092.82,4362.91
DRG101,PID330157,RIDNYSyracuse,12,16164.58,6938,6094.33
DRG101,PID330203,RIDNYSyracuse,46,14833.19,6551.52,5544.6
DRG101,PID330235,RIDNYSyracuse,20,15584.55,4944.3,3867.85
DRG101,PID330241,RIDNYSyracuse,43,21026.74,7548.18,6312.16
DRG149,PID330140,RIDNYSyracuse,14,8054.21,4267.78,3225.78
DRG149,PID330175,RIDNYSyracuse,12,7604.75,3988,3058
DRG149,PID330203,RIDNYSyracuse,26,12106.15,4686.42,3609.03
DRG149,PID330235,RIDNYSyracuse,15,9805.73,3997.33,3475.46
DRG149,PID330241,RIDNYSyracuse,11,17613.81,5885.09,4861.81
DRG176,PID330140,RIDNYSyracuse,47,15036.87,7398.85,5918.44
DRG176,PID330157,RIDNYSyracuse,12,19324.25,9750,8909
DRG176,PID330159,RIDNYSyracuse,21,15869.76,6672.28,5364.52
DRG176,PID330175,RIDNYSyracuse,25,13066.48,6671.88,5996.52
DRG176,PID330203,RIDNYSyracuse,21,15924.42,7819.8,6442.47
DRG176,PID330235,RIDNYSyracuse,12,15848.83,7070.91,5669.83
DRG176,PID330241,RIDNYSyracuse,25,22913.08,10149.28,9059.44
DRG177,PID330140,RIDNYSyracuse,67,24993.29,13357.61,12652.77
DRG177,PID330157,RIDNYSyracuse,26,32019.73,18788.8,17981.11
DRG177,PID330175,RIDNYSyracuse,15,22729.66,12509.26,11756.73
DRG177,PID330203,RIDNYSyracuse,56,30049.14,14714.37,14081.6
DRG177,PID330211,RIDNYSyracuse,13,11354.76,11339.61,9792.3
DRG177,PID330215,RIDNYSyracuse,20,28122.3,11837.25,11222.65
DRG177,PID330235,RIDNYSyracuse,11,34009.09,13093.27,12481.63
DRG177,PID330241,RIDNYSyracuse,20,69874.8,24221.9,21951.15
DRG178,PID330140,RIDNYSyracuse,70,19873.75,9748.14,9081.6
DRG178,PID330157,RIDNYSyracuse,19,19059.36,12660.52,11472.52
DRG178,PID330175,RIDNYSyracuse,17,14440.88,8350.64,7692.23
DRG178,PID330203,RIDNYSyracuse,18,15737.61,10302.27,9802.72
DRG178,PID330215,RIDNYSyracuse,18,19887.77,8489.27,7863.94
DRG178,PID330218,RIDNYSyracuse,20,16816.3,9432.55,8699.95
DRG178,PID330235,RIDNYSyracuse,23,18495.95,9423.6,8939.78
DRG178,PID330241,RIDNYSyracuse,41,28520.82,12834.68,11745.24
DRG189,PID330115,RIDNYSyracuse,18,21563.88,8274.61,6862.11
