drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID330126,RIDNYWhitePlains,18,21845.72,7167.44,6292.33
DRG039,PID330234,RIDNYWhitePlains,23,53046.6,11289.21,9853.3
DRG039,PID330264,RIDNYWhitePlains,17,19814.58,7292.7,6432.7
DRG039,PID330304,RIDNYWhitePlains,20,16213.85,6927.65,5978.25
DRG057,PID330006,RIDNYWhitePlains,14,8284.21,8460.92,7432.28
DRG057,PID330061,RIDNYWhitePlains,23,26132.08,7180.86,6248.47
DRG057,PID330086,RIDNYWhitePlains,12,10369.83,8643.41,7797.08
DRG057,PID330126,RIDNYWhitePlains,31,32647.54,6443.16,5412.74
DRG057,PID330162,RIDNYWhitePlains,28,18342.42,6154.5,5394.35
DRG057,PID330208,RIDNYWhitePlains,51,22589.88,8573.52,7738.23
DRG057,PID330234,RIDNYWhitePlains,24,78508.2,17129.08,16369.29
DRG057,PID330261,RIDNYWhitePlains,22,19788.04,7607.9,6894.81
DRG057,PID330264,RIDNYWhitePlains,35,23419.68,6719.71,5789.08
DRG057,PID330267,RIDNYWhitePlains,22,23810.45,6413.18,5395.72
DRG057,PID330304,RIDNYWhitePlains,36,24875.58,6690.3,5603.08
DRG064,PID330006,RIDNYWhitePlains,13,25408.61,17236.3,16372.92
DRG064,PID330061,RIDNYWhitePlains,30,28946,12306.23,11591.43
DRG064,PID330126,RIDNYWhitePlains,36,71561.58,15129.25,12602.33
DRG064,PID330162,RIDNYWhitePlains,11,32830.72,13794.27,10341.09
DRG064,PID330208,RIDNYWhitePlains,29,48296.13,17092.58,16313.44
DRG064,PID330234,RIDNYWhitePlains,22,129879.81,28006.68,27396.54
DRG064,PID330261,RIDNYWhitePlains,15,84463.26,19695.93,18427.93
DRG064,PID330264,RIDNYWhitePlains,50,49598.8,13166.32,12311.76
DRG064,PID330267,RIDNYWhitePlains,26,43832.23,12914.69,11710.61
DRG064,PID330304,RIDNYWhitePlains,33,40215.93,13307.06,11498
DRG065,PID330006,RIDNYWhitePlains,19,20458.42,10921.47,9917.05
DRG065,PID330061,RIDNYWhitePlains,57,25665.05,8139.54,6721.21
DRG065,PID330126,RIDNYWhitePlains,83,45780.07,8257.66,7098.3
DRG065,PID330162,RIDNYWhitePlains,24,22198.12,8046.41,6451.79
DRG065,PID330208,RIDNYWhitePlains,44,27536.43,10600.88,9323.36
DRG065,PID330234,RIDNYWhitePlains,36,93843.36,19370.63,17459.27
