drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID360019,RIDOHAkron,20,28604.9,6357.35,4688.7
DRG039,PID360020,RIDOHAkron,23,22104.04,6870,5277.69
DRG039,PID360027,RIDOHAkron,32,22974.03,6443.75,5249.43
DRG039,PID360078,RIDOHAkron,17,15782.11,5583.88,4526
DRG057,PID360020,RIDOHAkron,66,21179.27,6197.65,5279.81
DRG057,PID360027,RIDOHAkron,35,16001.31,6043.74,4826.48
DRG057,PID360078,RIDOHAkron,11,9904.36,4622.63,3262.81
DRG064,PID360020,RIDOHAkron,97,68676.21,15586.24,12685.7
DRG064,PID360027,RIDOHAkron,60,40846.26,12087.68,10396.91
DRG065,PID360019,RIDOHAkron,14,36223.92,7184.64,6223.5
DRG065,PID360020,RIDOHAkron,100,43828.31,7846.63,6892.47
DRG065,PID360027,RIDOHAkron,76,27779.69,7519.9,6262.17
DRG065,PID360078,RIDOHAkron,14,27902.28,6425,5385.28
DRG065,PID360150,RIDOHAkron,15,27161.06,6436.2,5465.8
DRG066,PID360020,RIDOHAkron,46,32691.26,5649.45,4395.78
DRG066,PID360027,RIDOHAkron,36,21264.05,5368.58,3834.36
DRG066,PID360078,RIDOHAkron,14,17014.71,4426.35,3541.5
DRG069,PID360019,RIDOHAkron,26,23502.96,4556.69,3775.46
DRG069,PID360020,RIDOHAkron,99,31521.83,5016.77,4000.82
DRG069,PID360027,RIDOHAkron,49,22065.73,4908.69,3595.18
DRG069,PID360078,RIDOHAkron,26,15859.65,4017.23,3196.15
DRG069,PID360195,RIDOHAkron,14,21846.71,3840,2952.85
DRG074,PID360019,RIDOHAkron,13,24517,5562.07,4078.07
DRG074,PID360020,RIDOHAkron,61,23553.13,5884.54,5186.7
DRG074,PID360027,RIDOHAkron,23,22164.43,5932.86,3886.3
DRG074,PID360078,RIDOHAkron,11,15369.09,4731.36,3605.18
DRG101,PID360020,RIDOHAkron,46,21665.08,5123.5,4160.45
DRG101,PID360027,RIDOHAkron,29,18948,4874.41,3857.86
DRG101,PID360078,RIDOHAkron,18,11510.38,4185.33,3310.22
DRG149,PID360019,RIDOHAkron,16,25392.62,4009.37,2887.37
DRG149,PID360020,RIDOHAkron,60,22357.1,4392.83,3280.61
DRG149,PID360027,RIDOHAkron,20,24045.95,4180.7,3166.7
DRG149,PID360078,RIDOHAkron,14,15389.71,3679.78,2357.07
DRG176,PID360020,RIDOHAkron,31,32840.09,8287.58,5548.77
DRG176,PID360027,RIDOHAkron,16,20673.25,6869.87,5679.31
DRG176,PID360078,RIDOHAkron,15,23739.8,6116.93,4754.86
DRG177,PID360019,RIDOHAkron,35,55876.14,12675.68,11464.4
DRG177,PID360020,RIDOHAkron,134,49412.43,13410.85,12104.16
DRG177,PID360027,RIDOHAkron,94,42273.62,12931.54,12003.63
DRG177,PID360078,RIDOHAkron,20,37288.85,11441.9,9965
DRG177,PID360195,RIDOHAkron,13,36227,10535.76,10107.76
DRG178,PID360019,RIDOHAkron,12,31078.41,9138.66,8596.25
DRG178,PID360020,RIDOHAkron,75,34544.77,9580.16,8738.64
DRG178,PID360027,RIDOHAkron,27,26800.18,9367.55,7478.62
DRG178,PID360078,RIDOHAkron,16,21429.18,7999.68,7296.18
DRG189,PID360019,RIDOHAkron,50,35273.06,8103.26,7014.4
DRG189,PID360020,RIDOHAkron,53,50621.77,8772.86,7907.2
DRG189,PID360027,RIDOHAkron,181,33542.68,8711.74,7432.69
DRG189,PID360078,RIDOHAkron,50,24208.26,7066.86,6234.16
DRG190,PID360019,RIDOHAkron,49,33925.48,7564.48,6637.2
DRG190,PID360020,RIDOHAkron,128,34524.39,7917.82,6946.89
DRG190,PID360027,RIDOHAkron,129,23849.37,7655.75,6742
DRG190,PID360078,RIDOHAkron,77,20020.28,6423.75,5468.22
DRG190,PID360150,RIDOHAkron,18,30600.61,7534.11,6660.77
DRG190,PID360195,RIDOHAkron,26,25625.69,6223.8,5083.8
DRG193,PID360078,RIDOHAkron,43,28157.81,7852.53,6873.69
DRG191,PID360019,RIDOHAkron,46,29073.5,6116.19,5141.54
DRG191,PID360020,RIDOHAkron,141,26322.5,6555.76,5745.89
DRG191,PID360027,RIDOHAkron,59,20015.55,6315.66,5307.57
DRG191,PID360078,RIDOHAkron,70,15133.57,5389.41,4560.1
DRG191,PID360150,RIDOHAkron,26,31081,6026.69,4990.88
DRG191,PID360195,RIDOHAkron,25,20352.88,4983.88,4171.4
DRG192,PID360019,RIDOHAkron,53,21404.28,4530.01,3523.79
DRG192,PID360020,RIDOHAkron,52,20661.46,4961.48,3913.28
DRG192,PID360027,RIDOHAkron,39,13601.3,4789.89,3356.51
DRG192,PID360078,RIDOHAkron,58,13277.44,4035.06,3037.25
DRG192,PID360150,RIDOHAkron,42,22576.88,4564.4,3609.23
DRG192,PID360195,RIDOHAkron,18,16866,3785.22,2784.33
DRG193,PID360019,RIDOHAkron,40,42181,9306.9,8495.8
DRG193,PID360020,RIDOHAkron,93,43627.83,10017.19,9028.7
DRG193,PID360027,RIDOHAkron,187,33170.03,9698.37,8247.51
DRG193,PID360150,RIDOHAkron,23,51871.95,9391.17,8655.69
DRG193,PID360195,RIDOHAkron,25,31578.6,7408.28,6732.92
DRG194,PID360019,RIDOHAkron,44,25940.18,6310,5574.09
DRG194,PID360020,RIDOHAkron,99,26591.64,6810.47,5730.78
DRG194,PID360027,RIDOHAkron,125,19152.46,6457.76,5312.24
