drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID360056,RIDOHCincinnati,23,27526.39,8977.56,3932.91
DRG039,PID360132,RIDOHCincinnati,11,36421.81,6051,5027.72
DRG039,PID360134,RIDOHCincinnati,17,36665.58,6971.52,6041.17
DRG039,PID360163,RIDOHCincinnati,34,29258.82,6465,5317.35
DRG039,PID360179,RIDOHCincinnati,25,36272.88,5897.64,4558.76
DRG057,PID150086,RIDOHCincinnati,13,10767.84,5239.46,4455.76
DRG057,PID360003,RIDOHCincinnati,33,17589.48,9513.36,8696.87
DRG057,PID360056,RIDOHCincinnati,15,14396.73,5079.73,4178.4
DRG057,PID360134,RIDOHCincinnati,12,19027.83,7518.08,5100.75
DRG057,PID360163,RIDOHCincinnati,14,17727.28,6102.78,5224.78
DRG057,PID360179,RIDOHCincinnati,15,17922.13,5415.46,4289.86
DRG064,PID360001,RIDOHCincinnati,18,25073,9837,9085.88
DRG064,PID360003,RIDOHCincinnati,99,44736.75,18760.56,17804.63
DRG064,PID360016,RIDOHCincinnati,21,24134.23,11333.61,9131.95
DRG064,PID360056,RIDOHCincinnati,20,23980.35,9872.55,8645.75
DRG064,PID360113,RIDOHCincinnati,15,32621.93,9885.4,9065.93
DRG064,PID360132,RIDOHCincinnati,13,31184.69,10523.23,9836.46
DRG064,PID360134,RIDOHCincinnati,37,30929.97,12159.59,11247.81
DRG064,PID360163,RIDOHCincinnati,34,36841.26,12212.17,11387.35
DRG064,PID360175,RIDOHCincinnati,12,15232.33,11728.66,11265
DRG064,PID360179,RIDOHCincinnati,54,32043.53,10347.24,9464.48
DRG064,PID360354,RIDOHCincinnati,13,33631.07,9350.53,7294.3
DRG065,PID150086,RIDOHCincinnati,16,20110.93,6323,5621.5
DRG065,PID360001,RIDOHCincinnati,37,18819.75,7077.4,5117.97
DRG065,PID360003,RIDOHCincinnati,110,26178.89,11328.82,9981.32
DRG065,PID360016,RIDOHCincinnati,34,23482.5,7216.02,6353.2
DRG065,PID360046,RIDOHCincinnati,12,11565.5,6591.16,5849.83
DRG065,PID360056,RIDOHCincinnati,38,24029.73,6698.1,5309.28
DRG065,PID360113,RIDOHCincinnati,26,19093.38,6547.46,4739.57
DRG065,PID360132,RIDOHCincinnati,24,24034.16,6657.54,5701.2
DRG065,PID360134,RIDOHCincinnati,47,27674.25,7604.8,6571.14
DRG065,PID360163,RIDOHCincinnati,50,21179.96,7465.34,6558.44
DRG065,PID360175,RIDOHCincinnati,15,8643.2,6571.4,5676.46
DRG065,PID360179,RIDOHCincinnati,62,22870.85,6664.3,5697.04
DRG065,PID360234,RIDOHCincinnati,21,15773.66,6718.09,6023.42
DRG065,PID360236,RIDOHCincinnati,11,17037.63,7146.63,5098.45
DRG065,PID360354,RIDOHCincinnati,21,24284.47,5955.85,4776.71
DRG066,PID150086,RIDOHCincinnati,17,14359.58,4662.17,3672.76
DRG066,PID360001,RIDOHCincinnati,36,16207.08,4623.55,3685.55
DRG066,PID360003,RIDOHCincinnati,40,16902.12,7859.95,6454.72
DRG066,PID360016,RIDOHCincinnati,20,20219.1,5795.5,3995.9
DRG066,PID360056,RIDOHCincinnati,29,18647.51,4592.2,3583.93
DRG066,PID360113,RIDOHCincinnati,20,19519.75,4468.05,3452.45
DRG066,PID360132,RIDOHCincinnati,18,18695.11,4940.94,3661.66
DRG066,PID360134,RIDOHCincinnati,23,21607.82,5702.08,4571
DRG066,PID360163,RIDOHCincinnati,27,20653.92,5618.48,4575.07
DRG066,PID360175,RIDOHCincinnati,12,8860.41,5194.66,4162.33
DRG066,PID360179,RIDOHCincinnati,51,18617.23,4916.68,3466.92
DRG066,PID360234,RIDOHCincinnati,17,17729.88,4779.7,3788.41
DRG066,PID360354,RIDOHCincinnati,11,19226.72,4217.9,3297.54
DRG069,PID150086,RIDOHCincinnati,11,15507.45,4275.09,2750
DRG069,PID360001,RIDOHCincinnati,55,14550.45,5008.12,2959.12
DRG069,PID360003,RIDOHCincinnati,23,16645.08,7174.65,6346.3
DRG069,PID360016,RIDOHCincinnati,43,16378.69,4569.53,3597.72
DRG069,PID360046,RIDOHCincinnati,11,7567.54,4131.54,3217
DRG069,PID360056,RIDOHCincinnati,80,16581.3,4458.62,2984.73
DRG069,PID360113,RIDOHCincinnati,44,16362.38,4164.52,3079.88
DRG069,PID360132,RIDOHCincinnati,31,18983.67,4415.38,3316.9
DRG069,PID360134,RIDOHCincinnati,34,20422.35,5310.97,3675.5
DRG069,PID360163,RIDOHCincinnati,49,15991.04,4849.97,3840.67
DRG069,PID360175,RIDOHCincinnati,12,5389.5,4538.33,3662.66
DRG069,PID360179,RIDOHCincinnati,72,18229.88,4972.36,3171.86
DRG069,PID360234,RIDOHCincinnati,20,12478.85,4327.45,3261.65
DRG069,PID360236,RIDOHCincinnati,25,13277.28,4850.6,3282.72
DRG069,PID360354,RIDOHCincinnati,50,16820.44,4200.2,2635.6
DRG074,PID360003,RIDOHCincinnati,18,18629.83,8881.22,8194.77
DRG074,PID360016,RIDOHCincinnati,16,15248.62,5439.81,4805.06
DRG074,PID360056,RIDOHCincinnati,12,13306.25,4487.83,3463.5
DRG074,PID360163,RIDOHCincinnati,13,20068.84,6376.84,4446.38
DRG074,PID360234,RIDOHCincinnati,27,9986.77,5100.62,4808.33
DRG074,PID360236,RIDOHCincinnati,13,11972.92,5182.69,4839.3
DRG101,PID360001,RIDOHCincinnati,18,11202.77,4325.94,3580.16
DRG101,PID360003,RIDOHCincinnati,86,20744.8,7834.68,6861.91
DRG101,PID360016,RIDOHCincinnati,20,12651.3,4556.85,3712.65
DRG101,PID360056,RIDOHCincinnati,29,15368.37,4368.58,3540.96
DRG101,PID360134,RIDOHCincinnati,19,21948.89,5552.31,4511.63
DRG101,PID360163,RIDOHCincinnati,23,16011.39,5057.21,4375.13
DRG101,PID360179,RIDOHCincinnati,21,14902.28,4603.33,3481.28
