drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID360025,RIDOHCleveland,22,22475.04,5792.13,4868.86
DRG039,PID360041,RIDOHCleveland,15,14555.8,5496.06,4116.8
DRG039,PID360059,RIDOHCleveland,12,19931.5,9506.58,8660.25
DRG039,PID360077,RIDOHCleveland,21,34193.04,6225.71,4854.28
DRG039,PID360098,RIDOHCleveland,19,19797.05,5360.1,4473.15
DRG039,PID360137,RIDOHCleveland,14,34898.07,8591.78,6591.5
DRG039,PID360155,RIDOHCleveland,20,30076.15,5554.5,3921.95
DRG039,PID360180,RIDOHCleveland,44,41630.9,8079.97,5266.93
DRG039,PID360230,RIDOHCleveland,21,29421.14,5860.33,3746.19
DRG057,PID360025,RIDOHCleveland,39,12146.28,5509.58,4791.33
DRG057,PID360041,RIDOHCleveland,14,10505.07,4935.71,4129.42
DRG057,PID360059,RIDOHCleveland,13,9056.38,8227.23,7358.92
DRG057,PID360065,RIDOHCleveland,15,13475.06,5270.73,4377.93
DRG057,PID360077,RIDOHCleveland,25,17970.52,5534.68,4594.04
DRG057,PID360082,RIDOHCleveland,18,11696.27,4946.61,4075.05
DRG057,PID360098,RIDOHCleveland,25,14130.48,4393.68,3542.32
DRG057,PID360123,RIDOHCleveland,37,15376.59,5476.51,4622.45
DRG057,PID360137,RIDOHCleveland,28,24476.03,8767.42,8043.14
DRG057,PID360143,RIDOHCleveland,18,24531.38,4906.72,4089.16
DRG057,PID360144,RIDOHCleveland,11,11541.36,5848.81,5237.18
DRG057,PID360180,RIDOHCleveland,53,30057.2,7444.75,6611.05
DRG057,PID360230,RIDOHCleveland,34,17787.32,4844.73,3830.88
DRG064,PID360025,RIDOHCleveland,16,24856.37,9741.12,9179.12
DRG064,PID360041,RIDOHCleveland,33,20296.93,9471.12,8787
DRG064,PID360059,RIDOHCleveland,36,30958.19,17926.55,17020
DRG064,PID360077,RIDOHCleveland,39,54086.64,11421.79,10730.92
DRG064,PID360091,RIDOHCleveland,11,40700.72,11012.9,10195.45
DRG064,PID360098,RIDOHCleveland,38,36342.76,9451.94,8771
DRG064,PID360115,RIDOHCleveland,11,32649.72,9085.18,7961.9
DRG064,PID360123,RIDOHCleveland,37,26748.02,10257.43,9560.67
DRG064,PID360125,RIDOHCleveland,13,22501.76,10745.23,10051.07
DRG064,PID360137,RIDOHCleveland,97,44811.79,16777.54,15476.17
DRG064,PID360143,RIDOHCleveland,29,34218.03,8864.62,8282.41
DRG064,PID360144,RIDOHCleveland,17,33492.76,11446.35,10451.29
DRG064,PID360155,RIDOHCleveland,26,40121.88,9739.61,8507.57
DRG064,PID360180,RIDOHCleveland,126,85336.5,17629.07,16447.9
DRG064,PID360212,RIDOHCleveland,23,43241.6,10482.13,9750.82
DRG064,PID360230,RIDOHCleveland,42,43866.97,10265.9,9229.66
DRG065,PID360025,RIDOHCleveland,35,18463.88,6746.42,5504.54
DRG065,PID360037,RIDOHCleveland,11,32958.27,9464.81,8641.54
DRG065,PID360041,RIDOHCleveland,89,13887.68,5724.95,4794.86
DRG065,PID360059,RIDOHCleveland,67,18565.01,10807.88,9757.59
DRG065,PID360065,RIDOHCleveland,16,20462.68,6660.93,5821.93
DRG065,PID360077,RIDOHCleveland,43,29691.79,7155.97,6167.51
DRG065,PID360082,RIDOHCleveland,15,25619.53,6334.46,5510.73
DRG065,PID360091,RIDOHCleveland,18,21066.11,5708.94,4709.83
DRG065,PID360098,RIDOHCleveland,81,28557.82,5963.24,4885.4
DRG065,PID360107,RIDOHCleveland,11,18180.72,6125.72,5102.45
DRG065,PID360115,RIDOHCleveland,11,28918.63,6148.36,5128
DRG065,PID360123,RIDOHCleveland,50,22123.8,6957.4,5747.56
DRG065,PID360125,RIDOHCleveland,18,18145.27,7066,6314.88
DRG065,PID360137,RIDOHCleveland,96,28751.73,10339.34,9116.51
DRG065,PID360143,RIDOHCleveland,41,29540.82,6217.36,5003.51
DRG065,PID360144,RIDOHCleveland,16,26738,7326.31,6620.81
DRG065,PID360155,RIDOHCleveland,47,28192.46,6171.4,4717.68
DRG065,PID360180,RIDOHCleveland,98,49012.82,9246.19,7564.85
DRG065,PID360192,RIDOHCleveland,22,25497.45,5976.68,5159.22
DRG065,PID360212,RIDOHCleveland,29,31560.96,6249.44,5588.06
DRG065,PID360230,RIDOHCleveland,76,29471.75,6319.46,5025.31
DRG066,PID360025,RIDOHCleveland,26,15449.88,4765.69,3858.76
DRG066,PID360041,RIDOHCleveland,57,12713.84,4307.56,3399.07
DRG066,PID360059,RIDOHCleveland,21,12862.76,7897.8,6828.85
DRG066,PID360065,RIDOHCleveland,15,17119.73,5150.4,3545.33
DRG066,PID360077,RIDOHCleveland,26,29506.76,5065.34,4154.73
DRG066,PID360082,RIDOHCleveland,11,20990.9,4905.81,3396.63
DRG066,PID360091,RIDOHCleveland,19,18345,4855.84,3142.63
DRG066,PID360098,RIDOHCleveland,43,24489.02,4262.51,3094.72
DRG066,PID360123,RIDOHCleveland,25,17097.84,4967.52,3975.2
DRG066,PID360137,RIDOHCleveland,76,18397.96,7168.34,6164.89
DRG066,PID360143,RIDOHCleveland,24,25345.12,4340.87,3358.37
DRG066,PID360144,RIDOHCleveland,12,24615.41,5182.41,4063.75
DRG066,PID360155,RIDOHCleveland,47,22041.72,4265.04,3426.82
DRG066,PID360180,RIDOHCleveland,62,35060.46,6159.54,4832.25
DRG066,PID360192,RIDOHCleveland,11,20419.27,4244.63,3430.09
DRG066,PID360212,RIDOHCleveland,19,26520.68,5404.21,3442.47
DRG066,PID360230,RIDOHCleveland,51,20892.35,4399.54,3362.33
DRG069,PID360025,RIDOHCleveland,25,14832.04,4478.16,3101.68
DRG069,PID360041,RIDOHCleveland,64,12456.67,3860.12,2927.68
DRG069,PID360059,RIDOHCleveland,20,11474.95,6952.2,5773.05
DRG069,PID360065,RIDOHCleveland,26,13296.92,4172.84,3349.3
DRG069,PID360075,RIDOHCleveland,17,16385.88,5897.11,4978.05
DRG069,PID360077,RIDOHCleveland,63,20913.53,4520.06,3677.01
DRG069,PID360082,RIDOHCleveland,24,19719.54,4015.58,3310.75
DRG069,PID360091,RIDOHCleveland,13,17088.23,3767.15,2901.3
DRG069,PID360098,RIDOHCleveland,86,20185.84,3869.62,2906.18
DRG069,PID360115,RIDOHCleveland,16,20928.25,3852.93,2939.18
DRG069,PID360123,RIDOHCleveland,84,16704.46,4436.75,3500.4
DRG069,PID360125,RIDOHCleveland,13,16029.61,5271.92,3635.38
DRG069,PID360137,RIDOHCleveland,37,16259.81,6258.62,5313.64
DRG069,PID360143,RIDOHCleveland,54,22458.85,3874.14,2958.29
DRG069,PID360144,RIDOHCleveland,47,18271.97,4605.87,3627.31
DRG069,PID360155,RIDOHCleveland,60,21873.61,3878.61,2885.03
DRG069,PID360180,RIDOHCleveland,31,28554.7,5482.83,4308.06
DRG069,PID360192,RIDOHCleveland,12,21270.16,3881.16,2943.16
DRG069,PID360212,RIDOHCleveland,23,24039.39,4128.13,3152.13
DRG069,PID360230,RIDOHCleveland,76,19233.67,3904.67,2885.35
DRG069,PID360359,RIDOHCleveland,12,24385.25,3514.41,2665.41
DRG074,PID360025,RIDOHCleveland,16,11774.31,7072.93,2527.75
DRG074,PID360037,RIDOHCleveland,12,14669,6840.66,5970.75
DRG074,PID360041,RIDOHCleveland,12,10521.91,4581,3371.16
DRG074,PID360059,RIDOHCleveland,19,12495.05,8413.84,7644.36
DRG074,PID360077,RIDOHCleveland,22,18675.68,5283.63,4467.63
DRG074,PID360098,RIDOHCleveland,25,17734.76,4529.24,3718.04
DRG074,PID360123,RIDOHCleveland,14,19701.64,5163.85,3891.14
DRG074,PID360137,RIDOHCleveland,42,29892,7835.47,7324.9
DRG074,PID360143,RIDOHCleveland,17,16772.47,4562.35,3907.76
DRG074,PID360144,RIDOHCleveland,16,17316.62,5415.31,4503.56
DRG074,PID360155,RIDOHCleveland,16,21564.31,4527.93,3610.18
DRG074,PID360180,RIDOHCleveland,43,28031.9,6673.25,5925.69
DRG074,PID360230,RIDOHCleveland,32,15520.4,4595.09,3770.78
