drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID360006,RIDOHColumbus,59,30554.45,6823.81,5235.22
DRG039,PID360008,RIDOHColumbus,13,34969.92,6794.23,5925.92
DRG039,PID360012,RIDOHColumbus,25,30998.16,6684.04,4873.32
DRG039,PID360017,RIDOHColumbus,15,44739.2,7772.26,7021.86
DRG039,PID360035,RIDOHColumbus,38,21647.57,6748.26,4792.5
DRG039,PID360039,RIDOHColumbus,23,20142.04,6472.78,5188.78
DRG039,PID360072,RIDOHColumbus,23,23898.04,6037.04,5199.08
DRG039,PID360085,RIDOHColumbus,37,42623.1,8222.27,6870.89
DRG039,PID360118,RIDOHColumbus,29,11684.44,5566.79,4561.82
DRG039,PID360147,RIDOHColumbus,14,19650.07,5434.71,4314.14
DRG039,PID360159,RIDOHColumbus,34,22654.52,6407.02,5612.67
DRG057,PID360006,RIDOHColumbus,62,18988.83,5759.06,4979.12
DRG057,PID360008,RIDOHColumbus,18,13645.72,7332.61,4395.88
DRG057,PID360012,RIDOHColumbus,22,14315.86,5713.31,4797.31
DRG057,PID360017,RIDOHColumbus,11,27768.81,6861.36,5946.81
DRG057,PID360035,RIDOHColumbus,34,8976.64,5725.47,4838.97
DRG057,PID360039,RIDOHColumbus,31,11931.16,6213.61,4585.45
DRG057,PID360072,RIDOHColumbus,18,8405.38,5125.44,4183.88
DRG057,PID360085,RIDOHColumbus,52,30041.3,8003.86,6682.53
DRG057,PID360118,RIDOHColumbus,14,12057.57,5077.21,4037.5
DRG057,PID360147,RIDOHColumbus,16,12558.75,4707.87,3658.62
DRG064,PID360006,RIDOHColumbus,189,43833.06,11964.22,10835.82
DRG064,PID360008,RIDOHColumbus,21,33127.38,12545.57,12011.14
DRG064,PID360012,RIDOHColumbus,17,18715.23,11185.64,9481.41
DRG064,PID360017,RIDOHColumbus,36,33871.5,14240.33,13395.77
DRG064,PID360035,RIDOHColumbus,87,19966.88,11585.96,10522.82
DRG064,PID360039,RIDOHColumbus,21,27600.76,11632.57,10882.47
DRG064,PID360085,RIDOHColumbus,56,70599.51,19449.35,15749.08
DRG064,PID360118,RIDOHColumbus,38,26122.18,9762.21,8950.57
DRG064,PID360147,RIDOHColumbus,22,23961.68,9551.31,7976.31
DRG064,PID360159,RIDOHColumbus,15,22908.33,10488.93,9671.6
DRG065,PID360002,RIDOHColumbus,12,10431.66,6233.58,5295.58
DRG065,PID360006,RIDOHColumbus,232,27886.36,7457.09,6306.86
DRG065,PID360008,RIDOHColumbus,37,18746,7238.56,6614.83
DRG065,PID360011,RIDOHColumbus,15,13906.73,6699.13,5946.6
DRG065,PID360012,RIDOHColumbus,22,15991.72,7203.77,5803.9
DRG065,PID360017,RIDOHColumbus,45,25534.91,9175.53,7417.24
DRG065,PID360035,RIDOHColumbus,97,14485.81,7389.57,6130.79
