drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID360009,RIDOHDayton,19,17463,5634.68,4628.57
DRG039,PID360051,RIDOHDayton,29,33755.31,7358.62,5180.68
DRG039,PID360052,RIDOHDayton,29,59512.24,6449.79,5568.65
DRG039,PID360066,RIDOHDayton,26,28088.11,5875.61,4839.3
DRG039,PID360086,RIDOHDayton,13,20787.38,6901.61,4725.61
DRG039,PID360133,RIDOHDayton,16,47552.12,7375.25,6188.5
DRG057,PID360051,RIDOHDayton,27,37908.81,6355.92,5530.25
DRG057,PID360052,RIDOHDayton,71,28132.88,6041.95,5051.56
DRG057,PID360066,RIDOHDayton,35,16055.4,5261.48,4522.17
DRG057,PID360086,RIDOHDayton,18,16196.22,5369.88,4555.88
DRG057,PID360133,RIDOHDayton,11,21832.27,6835.81,6015.45
DRG057,PID360174,RIDOHDayton,12,20418.75,4984.91,4141.25
DRG064,PID360009,RIDOHDayton,30,26959.73,10034.4,9095.33
DRG064,PID360051,RIDOHDayton,79,60576.81,13579.98,12191.94
DRG064,PID360052,RIDOHDayton,37,57535.05,12078.83,11229.94
DRG064,PID360066,RIDOHDayton,36,37793.75,10634.16,9651.66
DRG064,PID360086,RIDOHDayton,35,28689.82,10574.51,9039.4
DRG064,PID360133,RIDOHDayton,22,42639.04,13220.9,12279.18
DRG064,PID360174,RIDOHDayton,14,36583.92,9731.85,8851.57
DRG065,PID360009,RIDOHDayton,33,17417.51,6306.24,5420.18
DRG065,PID360051,RIDOHDayton,109,41310.85,7845.44,6803.11
DRG065,PID360052,RIDOHDayton,58,42569.51,7546.37,6561.25
DRG065,PID360058,RIDOHDayton,11,13934.36,6758,5946.36
DRG065,PID360066,RIDOHDayton,65,24378.29,6586.8,5723.41
DRG065,PID360086,RIDOHDayton,54,24804.62,7560.61,5906.18
DRG065,PID360133,RIDOHDayton,25,35833.2,9467.68,6170.36
DRG065,PID360174,RIDOHDayton,31,27400,6130.45,5221.67
DRG066,PID360051,RIDOHDayton,60,35245.56,5589.6,4558.33
DRG066,PID360052,RIDOHDayton,29,32714.82,5284.48,4239.37
DRG066,PID360066,RIDOHDayton,28,21459.71,4743.21,3696.64
DRG066,PID360086,RIDOHDayton,24,20870.83,5759.87,3900.83
DRG066,PID360174,RIDOHDayton,18,20522.83,4617.55,3614.88
DRG069,PID360009,RIDOHDayton,24,14693.54,4050.7,3062.87
DRG069,PID360051,RIDOHDayton,46,35209.6,5020.19,4141.23
DRG069,PID360052,RIDOHDayton,44,31260.2,4898.63,3384.29
DRG069,PID360066,RIDOHDayton,63,15109.93,4222.47,3295.23
