drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID360079,RIDOHKettering,61,41482.78,6873.44,4997.37
DRG057,PID360079,RIDOHKettering,25,24490.64,6245.84,5126.64
DRG064,PID360076,RIDOHKettering,30,50434.36,10354.53,9229.66
DRG064,PID360079,RIDOHKettering,29,41690.55,11825.41,10600.55
DRG065,PID360026,RIDOHKettering,16,33338.12,6074.87,5157.12
DRG065,PID360076,RIDOHKettering,29,35864.37,6275.82,5302.17
DRG065,PID360079,RIDOHKettering,61,26903.57,6897.37,5969.59
DRG065,PID360239,RIDOHKettering,19,21658.26,6209.1,5381.73
DRG066,PID360076,RIDOHKettering,20,29849.65,4632.85,3846.85
DRG066,PID360079,RIDOHKettering,31,22200.32,5251.74,4417.03
DRG066,PID360239,RIDOHKettering,14,27405.42,4836.28,3872.85
DRG069,PID360076,RIDOHKettering,24,28086.08,4185.5,3341.83
DRG069,PID360079,RIDOHKettering,31,22934.93,4792.25,3926.19
DRG069,PID360239,RIDOHKettering,21,20227.8,4368,3562.47
DRG074,PID360076,RIDOHKettering,12,33142.25,4926,4556.66
DRG074,PID360079,RIDOHKettering,18,21222.94,5526.44,4651.33
DRG101,PID360076,RIDOHKettering,23,21598.56,4405.69,3331.43
DRG101,PID360079,RIDOHKettering,27,23548.96,4954,3860.4
DRG101,PID360239,RIDOHKettering,15,24005.86,4330.8,3878
DRG149,PID360079,RIDOHKettering,17,18446.35,4114.17,3128.52
DRG176,PID360076,RIDOHKettering,16,34265.43,6002.81,5368.06
DRG176,PID360079,RIDOHKettering,19,21914.84,6233.26,5346.31
DRG176,PID360239,RIDOHKettering,11,21762.63,5895.18,4977.72
DRG177,PID360026,RIDOHKettering,22,30918.27,10469.36,9085.95
DRG177,PID360076,RIDOHKettering,48,52685.29,11363.72,10639.95
DRG177,PID360079,RIDOHKettering,42,34443.5,11934.07,11347.21
DRG178,PID360026,RIDOHKettering,20,26810.1,8073.6,7537.5
DRG178,PID360076,RIDOHKettering,16,31571.62,7970.31,7355.25
DRG178,PID360079,RIDOHKettering,27,25351.92,8650.96,7597.55
DRG189,PID360026,RIDOHKettering,13,27697.38,7576.61,5871.07
DRG189,PID360076,RIDOHKettering,73,33088.23,7462.86,6344.26
DRG189,PID360079,RIDOHKettering,31,24886.09,8252.25,7573.77
DRG189,PID360239,RIDOHKettering,17,27735.41,7812.23,6683.58
DRG190,PID360026,RIDOHKettering,40,20805.42,6607.77,5588.87
DRG190,PID360076,RIDOHKettering,64,29841.35,6512.34,5545.54
DRG190,PID360079,RIDOHKettering,47,26334.55,7823.34,6462.53
DRG190,PID360239,RIDOHKettering,19,25978.63,6956,6429.89
DRG191,PID360026,RIDOHKettering,30,17111.53,5356,4191.8
DRG191,PID360076,RIDOHKettering,51,22178.43,5768.94,4330.29
DRG191,PID360079,RIDOHKettering,76,19099.21,6072.82,5153.6
DRG191,PID360239,RIDOHKettering,50,22120.04,5605.56,4661.58
DRG192,PID360026,RIDOHKettering,18,14595.83,3980.88,3294.44
DRG192,PID360076,RIDOHKettering,38,21404.71,4160.86,3009.5
DRG192,PID360079,RIDOHKettering,32,15625.5,4867.03,3630.65
DRG192,PID360239,RIDOHKettering,30,15985.5,4427.7,3385.3
DRG193,PID360026,RIDOHKettering,43,27947.88,8056.23,7228.48
DRG193,PID360076,RIDOHKettering,104,37900.88,8423.14,7428.61
DRG193,PID360079,RIDOHKettering,60,30810.31,9465.28,8431.95
DRG193,PID360239,RIDOHKettering,22,35068.95,8518.54,6688.81
DRG194,PID360026,RIDOHKettering,58,20926.2,5533.62,4586.1
DRG194,PID360076,RIDOHKettering,73,22992.47,5561.76,4695.31
DRG194,PID360079,RIDOHKettering,73,22275.15,6616.95,5421.3
DRG194,PID360239,RIDOHKettering,53,24745.11,5872.11,5088.49
DRG195,PID360026,RIDOHKettering,12,17182.16,3976.16,2946.5
DRG195,PID360076,RIDOHKettering,23,21011.3,3999.6,3120.65
DRG195,PID360079,RIDOHKettering,21,13776.9,4502.38,3644.47
DRG195,PID360239,RIDOHKettering,20,15851.8,4183.05,3338.85
DRG207,PID360076,RIDOHKettering,17,166115,35804.17,35149.58
DRG207,PID360239,RIDOHKettering,11,116014.45,31194.18,30476.81
DRG208,PID360026,RIDOHKettering,13,49911.53,13344.46,11657.69
DRG208,PID360076,RIDOHKettering,50,84455.44,15039.54,13643.32
DRG208,PID360079,RIDOHKettering,35,61384.74,15593.17,14899.6
DRG208,PID360239,RIDOHKettering,31,41554.06,13258.41,11955.12
DRG238,PID360079,RIDOHKettering,39,88457.97,18266.25,17291.69
DRG243,PID360076,RIDOHKettering,13,68457.3,15181.07,14310.3
DRG243,PID360079,RIDOHKettering,31,48924.22,14950.25,14190.64
DRG244,PID360079,RIDOHKettering,33,38550.12,12153.03,10394.54
DRG246,PID360079,RIDOHKettering,16,69080.12,19791.56,17595.93
DRG247,PID360076,RIDOHKettering,38,79340.76,12871.86,10148.57
DRG247,PID360079,RIDOHKettering,68,50844.17,12205.07,9976.41
DRG249,PID360076,RIDOHKettering,16,66268.12,10152,9315
DRG249,PID360079,RIDOHKettering,15,57881.8,11603.53,7836.13
DRG251,PID360079,RIDOHKettering,17,77018.05,11909.58,9558.88
DRG252,PID360079,RIDOHKettering,16,61986.43,18242.56,17680.56
DRG253,PID360076,RIDOHKettering,11,76932.9,14134.81,13214.45
DRG253,PID360079,RIDOHKettering,28,63162.03,17718.21,13531.89
DRG254,PID360079,RIDOHKettering,19,52945,11130.36,8214.52
DRG280,PID360026,RIDOHKettering,15,45779.2,10223.4,9621.73
DRG280,PID360076,RIDOHKettering,34,60020.41,11277.02,10649.14
DRG280,PID360079,RIDOHKettering,28,43204.89,11630.28,10828.57
DRG281,PID360076,RIDOHKettering,19,42923.15,7281.26,6271.78
DRG281,PID360079,RIDOHKettering,15,34985.53,7626.66,6727.46
DRG282,PID360076,RIDOHKettering,11,32167.81,4617.9,3797.54
DRG286,PID360076,RIDOHKettering,19,63717,12130.52,11299.78
DRG287,PID360076,RIDOHKettering,45,40365.68,6451.2,5117.95
DRG287,PID360079,RIDOHKettering,39,42794.28,6907.69,5759.12
DRG291,PID360026,RIDOHKettering,36,26012.36,7086.16,6312.36
DRG291,PID360076,RIDOHKettering,122,47690.88,8895.84,8285.9
DRG291,PID360079,RIDOHKettering,91,28528.02,9269.15,8702.85
DRG291,PID360239,RIDOHKettering,25,33606.44,9890.6,8086.44
DRG292,PID360026,RIDOHKettering,31,20721.74,5375.09,4657
DRG292,PID360076,RIDOHKettering,68,32225.64,5885.26,5037.23
DRG292,PID360079,RIDOHKettering,104,23117.34,7025.04,5576.6
DRG292,PID360239,RIDOHKettering,62,22440.37,6071.56,5418.91
DRG293,PID360076,RIDOHKettering,18,25059.38,3924,3110
DRG293,PID360079,RIDOHKettering,46,16051.13,4530.8,3686.1
DRG293,PID360239,RIDOHKettering,24,19631.5,4026.58,3514.41
DRG300,PID360076,RIDOHKettering,21,22293.85,5275.28,4417.38
DRG300,PID360079,RIDOHKettering,17,16572,5534.47,4744.82
DRG305,PID360076,RIDOHKettering,14,18972.92,3872.42,2460.35
DRG305,PID360079,RIDOHKettering,13,19919.15,4271.61,3408.23
DRG305,PID360239,RIDOHKettering,11,14448.27,3762,2530.54
DRG308,PID360026,RIDOHKettering,16,22463.75,6823.25,6261.25
DRG308,PID360076,RIDOHKettering,23,33755.82,7064.43,6281.13
DRG308,PID360079,RIDOHKettering,41,28886.34,8355.36,7432.82
DRG309,PID360026,RIDOHKettering,18,22366,4722.38,3585.38
DRG309,PID360076,RIDOHKettering,34,29217.97,6148.61,3568.05
DRG309,PID360079,RIDOHKettering,54,17644.2,5660,4384.79
DRG309,PID360239,RIDOHKettering,18,21184.11,5011.77,4150.61
DRG310,PID360026,RIDOHKettering,11,15097.27,4286.45,1965.63
DRG310,PID360076,RIDOHKettering,43,19375.9,3390.27,2248.93
DRG310,PID360079,RIDOHKettering,51,13949.47,3835.03,2767.41
DRG312,PID360026,RIDOHKettering,17,21348.47,3994.76,3134.76
DRG312,PID360076,RIDOHKettering,44,25094.95,5630.5,3062.5
DRG312,PID360079,RIDOHKettering,48,19745.25,4943.66,3512.39
DRG312,PID360239,RIDOHKettering,24,18384.5,4244.7,3402.37
DRG313,PID360026,RIDOHKettering,12,21120.75,3092.66,2346
DRG313,PID360076,RIDOHKettering,29,20052.27,3260.37,2230.93
DRG313,PID360079,RIDOHKettering,21,17641.33,3529.28,2622.04
DRG314,PID360026,RIDOHKettering,11,33112.09,9087.81,8780.54
DRG314,PID360076,RIDOHKettering,22,54328.27,10630.45,9920.27
DRG314,PID360079,RIDOHKettering,34,44886.85,12561.44,11691.14
DRG314,PID360239,RIDOHKettering,12,36145.08,11565.66,8329.16
DRG315,PID360076,RIDOHKettering,15,32437.73,5846.8,4299.53
DRG315,PID360079,RIDOHKettering,12,26935.75,6412.33,4853
DRG329,PID360026,RIDOHKettering,13,101231.61,28359.69,27491.3
DRG329,PID360076,RIDOHKettering,15,130931.8,31897.26,31092.4
DRG329,PID360079,RIDOHKettering,26,148516.73,38768.46,34864.69
DRG330,PID360076,RIDOHKettering,24,68277,14817.75,13012.95
DRG330,PID360079,RIDOHKettering,41,68663.26,15955.09,14487.65
DRG372,PID360079,RIDOHKettering,19,27026.47,8280.42,7194
DRG377,PID360076,RIDOHKettering,27,45376.66,10114.4,9473.44
DRG377,PID360079,RIDOHKettering,31,43232.83,11805.16,10151.48
DRG377,PID360239,RIDOHKettering,16,49570.37,10544.68,9915.93
DRG378,PID360026,RIDOHKettering,32,19559.68,5544.03,4767.78
DRG378,PID360076,RIDOHKettering,50,27960.96,5789.96,5088.88
DRG378,PID360079,RIDOHKettering,116,29315.77,6877.72,5788.85
DRG378,PID360239,RIDOHKettering,52,28709.88,5960.57,5202.96
DRG379,PID360079,RIDOHKettering,16,19151.75,4513.62,3533.12
DRG379,PID360239,RIDOHKettering,11,25151.54,4542.09,3398.72
DRG389,PID360076,RIDOHKettering,18,24260.88,5213.5,4527.05
DRG389,PID360079,RIDOHKettering,23,24273.56,6060.26,5157.17
DRG390,PID360076,RIDOHKettering,12,16821.5,3646.41,2519.75
DRG390,PID360079,RIDOHKettering,15,21115.26,4977.6,3507.2
DRG391,PID360026,RIDOHKettering,11,27264.72,6510.45,5693
DRG391,PID360076,RIDOHKettering,22,35403.9,6611,5846.45
DRG391,PID360079,RIDOHKettering,21,27030.71,7509.71,6813.52
DRG392,PID360026,RIDOHKettering,27,21464,4165.44,2802.81
DRG392,PID360076,RIDOHKettering,55,21085.98,4208.12,3153.38
DRG392,PID360079,RIDOHKettering,128,21852.97,4826.61,3896.35
DRG392,PID360239,RIDOHKettering,73,26064.68,4377.94,3496.23
DRG394,PID360079,RIDOHKettering,29,23398.06,6584.41,5210.79
DRG394,PID360239,RIDOHKettering,14,32130.5,5995.92,5111.07
DRG418,PID360079,RIDOHKettering,12,43112.75,10385,9352.66
DRG419,PID360079,RIDOHKettering,17,42133.23,10437.82,5834.76
DRG439,PID360026,RIDOHKettering,17,18095.35,5668.82,4808.82
DRG439,PID360079,RIDOHKettering,14,29522.85,7331.5,6536.64
DRG460,PID360076,RIDOHKettering,27,86606.11,24181.85,20439.51
DRG460,PID360079,RIDOHKettering,76,109829.65,24671.69,21969.88
DRG469,PID360076,RIDOHKettering,17,95469,19859.52,18931.05
DRG469,PID360079,RIDOHKettering,20,80200.3,20593.05,19580.65
DRG470,PID360026,RIDOHKettering,44,44092.38,11736.7,10444.27
DRG470,PID360076,RIDOHKettering,96,60586.82,12462.58,10513.18
DRG470,PID360079,RIDOHKettering,519,56351.92,13607.57,10741.01
DRG470,PID360239,RIDOHKettering,68,54755.02,12943.42,10934.2
DRG473,PID360079,RIDOHKettering,32,59835.25,12873.62,10148.12
DRG480,PID360076,RIDOHKettering,23,90028.52,17377.3,16597.69
DRG480,PID360079,RIDOHKettering,17,69933.05,18409.35,17555
DRG481,PID360026,RIDOHKettering,14,41912.71,10223.21,9176.64
DRG481,PID360076,RIDOHKettering,57,57144.8,10474.33,9469.91
DRG481,PID360079,RIDOHKettering,50,51984.88,11874.86,10908.38
DRG481,PID360239,RIDOHKettering,23,49927.3,10929.39,10047.65
DRG482,PID360079,RIDOHKettering,11,48817.54,9880.45,9171.72
DRG491,PID360079,RIDOHKettering,16,37765,6634.18,4616.43
DRG536,PID360079,RIDOHKettering,16,16552.62,4759.75,3844
DRG552,PID360026,RIDOHKettering,11,22507.36,4500.09,3588.45
DRG552,PID360076,RIDOHKettering,28,27730.64,4989.6,3551.82
DRG552,PID360079,RIDOHKettering,25,19606,5242.12,4077.72
DRG552,PID360239,RIDOHKettering,11,25308.45,4876.09,3723.9
DRG563,PID360076,RIDOHKettering,15,22703.06,4275.8,2527.53
DRG563,PID360079,RIDOHKettering,15,20206.66,4645.6,3744.26
DRG603,PID360026,RIDOHKettering,18,14388.61,4604.61,3731.27
DRG603,PID360076,RIDOHKettering,47,23207.57,4820.19,3745.02
DRG603,PID360079,RIDOHKettering,48,19219.75,5685.75,4398.83
DRG603,PID360239,RIDOHKettering,26,17765.5,4932.23,3706.19
DRG638,PID360076,RIDOHKettering,16,21363.43,4755,3910
DRG638,PID360079,RIDOHKettering,22,20299.95,5212.63,4420.18
DRG638,PID360239,RIDOHKettering,16,17605.75,4992.06,4575.56
DRG640,PID360026,RIDOHKettering,17,18901,6112.05,5518.41
DRG640,PID360076,RIDOHKettering,24,31861.29,6163.79,5414.45
DRG640,PID360079,RIDOHKettering,30,25428.3,7129.5,6125.96
DRG641,PID360026,RIDOHKettering,19,15760.31,3764.68,3054.78
DRG641,PID360076,RIDOHKettering,34,19137.58,3923.55,2999.79
