drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID360048,RIDOHToledo,11,29398.54,8010.45,6482.09
DRG039,PID360068,RIDOHToledo,51,32739.43,6722.54,5507.94
DRG039,PID360095,RIDOHToledo,21,12743,6139.9,4372.85
DRG039,PID360112,RIDOHToledo,21,38106,8347.52,7096.85
DRG039,PID360262,RIDOHToledo,22,51405.5,5735,4919
DRG057,PID230099,RIDOHToledo,16,9765.62,5453.18,4537.43
DRG057,PID360048,RIDOHToledo,21,12898.71,7581.95,6631.61
DRG057,PID360068,RIDOHToledo,14,30092.21,6128.85,5167.71
DRG057,PID360090,RIDOHToledo,18,13400.33,4960.22,4088.66
DRG064,PID230099,RIDOHToledo,29,21292.24,11008.48,9395.58
DRG064,PID360048,RIDOHToledo,22,40953.59,15774.95,14851.63
DRG064,PID360068,RIDOHToledo,54,61093.85,12019.57,11042.87
DRG064,PID360074,RIDOHToledo,14,48554.5,10634.14,9666.14
DRG064,PID360081,RIDOHToledo,16,48287.62,11555,10645.25
DRG064,PID360090,RIDOHToledo,15,32695.73,10560.4,9583.6
DRG064,PID360112,RIDOHToledo,59,70140.79,16473.44,15545.11
DRG065,PID230099,RIDOHToledo,39,17985.53,6960.46,5876.15
DRG065,PID360029,RIDOHToledo,15,15065.93,6582.13,4923.73
DRG065,PID360048,RIDOHToledo,19,22290.94,9036.68,7746.63
DRG065,PID360068,RIDOHToledo,83,35351.96,7743.77,6083.62
DRG065,PID360074,RIDOHToledo,16,27051.43,6636.37,5651.87
DRG065,PID360081,RIDOHToledo,25,28905.64,7161.72,6261.24
DRG065,PID360090,RIDOHToledo,35,19117.71,6233.77,5410.77
DRG065,PID360095,RIDOHToledo,33,14623.78,6180.6,5363.15
DRG065,PID360112,RIDOHToledo,57,41841.57,9785.17,8739.45
DRG065,PID360262,RIDOHToledo,14,36628.57,6335.21,5531.21
DRG066,PID230099,RIDOHToledo,21,14053.04,4732.23,3929.76
DRG066,PID360029,RIDOHToledo,11,12024.63,4585,3561.72
DRG066,PID360048,RIDOHToledo,15,17017.13,7475.2,5057.06
DRG066,PID360068,RIDOHToledo,41,30235.34,5283.7,4378.82
DRG066,PID360074,RIDOHToledo,23,24493.47,4826.82,3848.04
DRG066,PID360081,RIDOHToledo,15,24040.33,5089.73,3964.13
DRG066,PID360090,RIDOHToledo,24,18133.75,4509.83,3526
DRG066,PID360095,RIDOHToledo,20,11093.85,4478.9,3468.1
DRG066,PID360112,RIDOHToledo,42,28760.28,7017.57,6189.66
DRG066,PID360262,RIDOHToledo,13,28069.46,4615,3579.92
DRG069,PID230099,RIDOHToledo,40,11921.42,4324.75,3508.85
DRG069,PID360048,RIDOHToledo,16,13797.12,6042.93,5268.68
DRG069,PID360068,RIDOHToledo,54,28922.29,5180.81,3857.07
DRG069,PID360074,RIDOHToledo,20,24983.4,4366.3,3026.8
DRG069,PID360081,RIDOHToledo,29,20515.89,4562.55,3436.1
DRG069,PID360089,RIDOHToledo,13,9486.53,4486.92,3444.46
DRG069,PID360090,RIDOHToledo,62,13305.69,4084.75,2968.79
DRG069,PID360095,RIDOHToledo,24,11671.08,3988.83,3048.16
DRG069,PID360112,RIDOHToledo,40,19233.05,6139.25,5297.45
DRG069,PID360259,RIDOHToledo,13,23974.15,4237,3284.07
DRG069,PID360262,RIDOHToledo,12,35387.16,4117.66,3090.66
DRG074,PID360048,RIDOHToledo,14,19816.5,7108.64,6625.78
DRG074,PID360068,RIDOHToledo,28,25963.03,5621.89,4696.6
DRG074,PID360074,RIDOHToledo,13,21603.07,5212.23,3995.69
DRG074,PID360090,RIDOHToledo,23,13086.56,4778.69,3860.6
DRG074,PID360095,RIDOHToledo,12,12530.5,4702.58,3761.91
DRG101,PID230099,RIDOHToledo,30,12492.03,4854.2,3266.1
DRG101,PID360048,RIDOHToledo,49,22673,6480.81,5310.59
DRG101,PID360068,RIDOHToledo,33,28307.15,4937.18,4017.78
DRG101,PID360074,RIDOHToledo,25,23320.16,4740.6,3420.2
DRG101,PID360081,RIDOHToledo,11,18276.45,4598.36,4092.54
DRG101,PID360090,RIDOHToledo,27,16708.11,4258.18,3263
DRG101,PID360095,RIDOHToledo,21,15496.61,4258.57,3160.85
DRG101,PID360112,RIDOHToledo,38,22587.42,6423.13,5417.63
DRG149,PID230099,RIDOHToledo,21,11727.38,4163.28,2588.42
DRG149,PID360068,RIDOHToledo,31,24658.03,4182.41,3236.09
DRG149,PID360090,RIDOHToledo,19,11904,3514,2567.47
DRG149,PID360112,RIDOHToledo,27,17225.7,5426.88,4676.96
DRG176,PID230099,RIDOHToledo,19,20006.89,6228.1,5637.36
DRG176,PID360048,RIDOHToledo,14,26929.14,9076.71,8196.42
DRG176,PID360068,RIDOHToledo,17,36212.88,6983.52,5940.41
DRG176,PID360081,RIDOHToledo,12,33749.33,6615.08,5871.08
DRG176,PID360095,RIDOHToledo,15,12275.66,5859.06,5028.93
DRG176,PID360112,RIDOHToledo,26,32661.73,9079.76,8298.53
DRG176,PID360156,RIDOHToledo,11,15535.63,6771.9,4171.63
DRG177,PID230099,RIDOHToledo,19,38365.84,14157.42,13392.94
DRG177,PID360048,RIDOHToledo,12,49945.16,18175.16,14504
DRG177,PID360068,RIDOHToledo,46,80468.8,15361.73,12012.1
DRG177,PID360074,RIDOHToledo,15,42859.66,11063.13,10314.86
DRG177,PID360081,RIDOHToledo,24,66302.54,13247.29,12274.75
DRG177,PID360090,RIDOHToledo,25,29814.88,10994.04,10249.48
DRG177,PID360095,RIDOHToledo,14,24084.28,9909,8947.85
DRG178,PID230099,RIDOHToledo,33,21564.3,8653.69,7290.3
DRG178,PID360048,RIDOHToledo,18,30297.05,12115.05,10927.05
DRG178,PID360068,RIDOHToledo,31,48649.54,9754.93,8370.58
DRG178,PID360081,RIDOHToledo,15,48285,9113.26,8178.46
DRG178,PID360089,RIDOHToledo,15,17328,8652.66,7902.26
DRG178,PID360090,RIDOHToledo,22,19633.9,8070.13,7352.68
DRG189,PID230099,RIDOHToledo,65,19855.4,7903.32,6418.13
DRG189,PID360029,RIDOHToledo,12,18134.58,7187.91,5937.66
DRG189,PID360048,RIDOHToledo,13,39485.07,11505.3,10263.07
DRG189,PID360068,RIDOHToledo,44,43253.13,8381.18,7618.04
DRG189,PID360074,RIDOHToledo,36,42660.13,7550.91,6862.69
DRG189,PID360081,RIDOHToledo,15,29090,7717.8,7045
DRG189,PID360090,RIDOHToledo,43,23536.11,7042.25,6388.58
DRG189,PID360095,RIDOHToledo,12,18941.33,8154.91,7313.91
DRG189,PID360112,RIDOHToledo,22,44776.18,10834.09,10190.9
DRG189,PID360259,RIDOHToledo,21,53341.95,7651.14,6808.23
DRG189,PID360262,RIDOHToledo,18,39193.5,7219.33,6536.44
DRG190,PID230099,RIDOHToledo,71,16644.38,7131.6,6012.29
DRG190,PID360029,RIDOHToledo,23,13747.47,6639.13,5709.56
DRG190,PID360048,RIDOHToledo,35,30775.57,10042.51,8924.14
DRG190,PID360068,RIDOHToledo,87,45469.33,8079.09,7248.86
DRG190,PID360074,RIDOHToledo,69,36777.59,7145.33,6241.76
DRG190,PID360081,RIDOHToledo,88,36470.22,7572.57,6497.36
DRG190,PID360089,RIDOHToledo,19,17163.31,7272.94,6380.94
DRG190,PID360090,RIDOHToledo,69,20899.07,6605.04,5692.65
DRG190,PID360095,RIDOHToledo,34,14758.73,6430.14,5701.44
DRG190,PID360112,RIDOHToledo,83,31787.45,9733.68,8952.33
DRG190,PID360259,RIDOHToledo,52,38049.21,7067.23,5876.38
DRG190,PID360262,RIDOHToledo,94,40750.53,6824.32,5709.62
DRG191,PID230099,RIDOHToledo,120,15611.92,5717.95,4920.74
DRG191,PID360029,RIDOHToledo,13,12009.84,6585.92,4243.38
DRG191,PID360048,RIDOHToledo,49,20740.77,8287.08,6979.85
