drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID360064,RIDOHYoungstown,43,28946.88,6284.11,4673.44
DRG039,PID360161,RIDOHYoungstown,13,28002.46,6195.46,4717.38
DRG057,PID360055,RIDOHYoungstown,15,19626.73,4845.06,4017.06
DRG057,PID360064,RIDOHYoungstown,55,13687.52,5526.92,4670.05
DRG057,PID360276,RIDOHYoungstown,21,11787.33,4572.95,3718.09
DRG057,PID390211,RIDOHYoungstown,13,12340.23,5840.3,4720.61
DRG064,PID360055,RIDOHYoungstown,17,49423.82,9812.17,8822.76
DRG064,PID360064,RIDOHYoungstown,61,38853.24,11081.19,10190
DRG064,PID360141,RIDOHYoungstown,17,57484.76,11879.88,10339.23
DRG064,PID360161,RIDOHYoungstown,13,26597,10920.15,10315.53
DRG064,PID360276,RIDOHYoungstown,11,31903.18,9670.36,6603.63
DRG064,PID390016,RIDOHYoungstown,12,15561.25,10114,8605.08
DRG064,PID390211,RIDOHYoungstown,19,24923.68,11325,10481.05
DRG065,PID360055,RIDOHYoungstown,26,34401.8,6340.34,5391.11
DRG065,PID360064,RIDOHYoungstown,103,25522.26,7054.09,6173.72
DRG065,PID360141,RIDOHYoungstown,20,29943.75,7056.25,6080.35
DRG065,PID360161,RIDOHYoungstown,18,24158.16,6774.88,6086.66
DRG065,PID360276,RIDOHYoungstown,27,18220.33,5722.85,4724.92
DRG065,PID390016,RIDOHYoungstown,13,10431.46,6434.38,5832.23
DRG065,PID390211,RIDOHYoungstown,24,18935.79,6920.7,5935.54
DRG066,PID360055,RIDOHYoungstown,18,33854,4495.38,3560.94
DRG066,PID360064,RIDOHYoungstown,44,16613.88,5041.84,4045.4
DRG066,PID360141,RIDOHYoungstown,20,34120.05,6199.9,4279.75
DRG066,PID360161,RIDOHYoungstown,23,17420.17,4759.6,3685.17
DRG066,PID360276,RIDOHYoungstown,13,17424.07,4323.53,2909.23
DRG069,PID360055,RIDOHYoungstown,39,25905.48,4069.02,3242
DRG069,PID360064,RIDOHYoungstown,47,15479.63,4971.82,3107.31
DRG069,PID360141,RIDOHYoungstown,31,23541.45,4926.83,4051.48
DRG069,PID360161,RIDOHYoungstown,25,19810.28,4313.8,3325.32
DRG069,PID360185,RIDOHYoungstown,13,11426.15,3907.76,3039.46
DRG069,PID360276,RIDOHYoungstown,67,15213.35,3733.86,2789.31
DRG069,PID390016,RIDOHYoungstown,32,9211.31,4380.25,3294.18
DRG069,PID390211,RIDOHYoungstown,47,14331.1,4541.82,3493.8
DRG074,PID360055,RIDOHYoungstown,15,19824.6,4718.46,3951.33
DRG074,PID360064,RIDOHYoungstown,15,17772.46,5249.8,4505.8
DRG074,PID360276,RIDOHYoungstown,20,16629.8,4384,3491.2
DRG074,PID390211,RIDOHYoungstown,14,11211.85,5391.14,4746.57
DRG101,PID360055,RIDOHYoungstown,26,24405.07,4081.69,3425.11
DRG101,PID360064,RIDOHYoungstown,43,13868.18,4682.9,3488.46
DRG101,PID360141,RIDOHYoungstown,14,18153.92,5093.14,4284.57
DRG101,PID360276,RIDOHYoungstown,13,10826.61,3968.07,2933.92
DRG101,PID390211,RIDOHYoungstown,17,12476.64,4684.76,3897
DRG149,PID360055,RIDOHYoungstown,12,17410.5,3510.5,2486.16
DRG149,PID360276,RIDOHYoungstown,11,11526.9,3254,2236.54
DRG149,PID390016,RIDOHYoungstown,11,7077.54,3946.09,2919.9
DRG149,PID390211,RIDOHYoungstown,16,9154.43,3942.62,2781.68
DRG176,PID360055,RIDOHYoungstown,13,33286.3,5876.38,5339.53
DRG176,PID360064,RIDOHYoungstown,18,21614.11,6437.72,5751.27
DRG176,PID360185,RIDOHYoungstown,13,13458.92,5956.38,4107.92
DRG176,PID360276,RIDOHYoungstown,17,17276.76,5789.94,4415.7
DRG177,PID360055,RIDOHYoungstown,41,48296.73,11156.43,10855.07
DRG177,PID360064,RIDOHYoungstown,59,34826.72,12263.37,11213.3
DRG177,PID360141,RIDOHYoungstown,22,61434.81,14550.95,13823.59
