drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID370056,RIDOKLawton,47,16458.95,5789.27,4809.27
DRG057,PID370056,RIDOKLawton,19,13876.94,5324.68,4556.89
DRG057,PID370097,RIDOKLawton,14,16750.85,6648.92,5761.78
DRG064,PID370056,RIDOKLawton,23,29092,10634.73,9806.39
DRG064,PID370097,RIDOKLawton,11,73053.54,13919.54,13099.18
DRG065,PID370023,RIDOKLawton,28,16719.71,5908.92,5186.92
DRG065,PID370056,RIDOKLawton,53,17291.52,6577.58,5625.5
DRG065,PID370097,RIDOKLawton,24,44433.7,8105.04,7260.04
DRG066,PID370023,RIDOKLawton,19,12400.36,4224.94,3276.73
DRG066,PID370056,RIDOKLawton,22,11772.9,4895,3481.68
DRG069,PID370023,RIDOKLawton,22,13594.27,4112.63,2958.27
DRG069,PID370056,RIDOKLawton,55,12475.52,4161.5,3279.98
DRG074,PID370056,RIDOKLawton,14,14565.07,4898.71,4097
DRG074,PID370097,RIDOKLawton,11,17321.45,6204,5798.18
DRG101,PID370056,RIDOKLawton,16,14683.37,4511.93,3372.93
DRG101,PID370097,RIDOKLawton,18,15911.66,5492,4678
DRG176,PID370023,RIDOKLawton,15,17897.93,6372.93,4738.86
DRG176,PID370056,RIDOKLawton,16,16184.5,6096.62,5324.37
DRG177,PID370023,RIDOKLawton,14,29638.85,10513.71,10190.28
DRG177,PID370056,RIDOKLawton,21,36494.28,11075.95,10189.57
DRG178,PID370023,RIDOKLawton,15,17902.2,7357.2,6458
DRG178,PID370056,RIDOKLawton,14,36451,9775.5,8893
DRG189,PID370023,RIDOKLawton,28,21029.46,6836.78,6073.21
DRG189,PID370056,RIDOKLawton,33,18587.93,7789.81,6338.18
DRG190,PID370023,RIDOKLawton,33,17138.69,6358.54,5475.39
DRG190,PID370056,RIDOKLawton,51,22027.19,6759.76,5581.66
DRG191,PID370023,RIDOKLawton,42,14933.59,5743.88,3963.09
DRG191,PID370051,RIDOKLawton,16,7684.5,6018.75,5384
DRG191,PID370056,RIDOKLawton,80,15861.8,5590.5,4629.46
DRG191,PID370097,RIDOKLawton,24,24526.62,6956.41,6159.91
DRG192,PID370023,RIDOKLawton,35,13256.28,4514.82,2504.14
DRG192,PID370056,RIDOKLawton,35,9778.25,4103.82,3071.11
DRG192,PID370097,RIDOKLawton,22,16617.22,5470.18,4102.4
DRG193,PID370023,RIDOKLawton,19,21732.1,7650.42,6880.94
DRG193,PID370056,RIDOKLawton,38,26979.52,8409.1,7789.39
DRG194,PID370023,RIDOKLawton,60,16070.91,5340,4518.4
DRG194,PID370051,RIDOKLawton,13,8954.84,6564.92,5614.46
DRG194,PID370056,RIDOKLawton,54,19051.62,5844.2,4738.79
DRG194,PID370097,RIDOKLawton,19,28269.26,7318,6606.42
DRG195,PID370023,RIDOKLawton,18,15157.16,4065.27,2582.61
DRG195,PID370056,RIDOKLawton,15,11183.46,4038.86,3141.8
DRG202,PID370056,RIDOKLawton,12,10445.75,4794.66,3765
DRG203,PID370056,RIDOKLawton,11,12068.72,3565.9,2599.9
DRG207,PID370056,RIDOKLawton,11,89871.18,29602.18,28893.45
DRG208,PID370023,RIDOKLawton,17,37547.58,12036,10284.05
DRG208,PID370056,RIDOKLawton,40,40570.82,12716.97,11534.65
DRG238,PID370056,RIDOKLawton,31,47562.77,17514.96,16679.22
DRG243,PID370056,RIDOKLawton,26,51016.46,14931.88,14021.26
DRG244,PID370056,RIDOKLawton,11,42985.72,11589,10671.54
DRG246,PID370056,RIDOKLawton,43,64888.6,18882.81,16114.41
DRG247,PID370056,RIDOKLawton,85,46131.51,11300.31,9986.38
DRG249,PID370056,RIDOKLawton,17,42623.82,10080.76,9156.05
DRG252,PID370056,RIDOKLawton,15,63599.86,18692.13,18189.13
DRG253,PID370056,RIDOKLawton,23,41555.04,14621.13,11685.78
DRG254,PID370056,RIDOKLawton,11,25150.63,9179.45,8164.9
DRG280,PID370056,RIDOKLawton,25,30130.16,10425.8,9514
DRG281,PID370056,RIDOKLawton,25,18610.92,6531.32,5676.12
DRG282,PID370056,RIDOKLawton,15,19308.4,4586,3607.06
DRG286,PID370056,RIDOKLawton,26,40558.03,11881.53,11019.34
DRG287,PID370056,RIDOKLawton,94,19357.86,7119.15,5169.04
DRG291,PID370023,RIDOKLawton,25,20655.2,7851.64,7132.28
DRG291,PID370051,RIDOKLawton,14,11304.35,9381.28,8905.28
DRG291,PID370056,RIDOKLawton,70,22632.65,8366.47,7684.21
DRG291,PID370097,RIDOKLawton,15,33657.46,10652.33,10091.66
DRG292,PID370023,RIDOKLawton,50,14449.14,5415.48,4649.5
DRG292,PID370051,RIDOKLawton,23,8598.6,6469.13,5466.3
DRG292,PID370056,RIDOKLawton,77,15733.46,5844.5,5115.67
DRG292,PID370097,RIDOKLawton,31,27507.48,7367.09,6639.87
DRG293,PID370023,RIDOKLawton,23,12211.95,3789.56,2965.17
DRG293,PID370056,RIDOKLawton,31,10894.25,3901.32,3089
DRG300,PID370056,RIDOKLawton,14,15079.35,5566.5,4524.5
DRG303,PID370056,RIDOKLawton,30,10449.83,3370.56,2309.8
DRG305,PID370056,RIDOKLawton,16,8675.81,3491.81,2430.56
DRG308,PID370023,RIDOKLawton,17,23624.11,6711,5915.7
DRG308,PID370056,RIDOKLawton,28,21340.67,7018,6177
DRG309,PID370023,RIDOKLawton,20,14847.75,4413.4,3680.8
DRG309,PID370056,RIDOKLawton,31,14293.12,4773.12,3974.93
DRG310,PID370023,RIDOKLawton,28,9884.5,3170.5,2219.21
DRG310,PID370056,RIDOKLawton,39,8730.69,3328.1,2124.61
DRG312,PID370023,RIDOKLawton,29,12048.03,3901,3287.48
DRG312,PID370056,RIDOKLawton,49,12728.4,4082.08,3139.46
DRG312,PID370097,RIDOKLawton,12,18731.66,5170,4423.33
DRG313,PID370023,RIDOKLawton,16,12795.81,2991,2495.75
DRG313,PID370056,RIDOKLawton,72,9444.36,3126.5,2182.04
DRG314,PID370056,RIDOKLawton,30,29737.36,11099.3,9249.8
DRG329,PID370056,RIDOKLawton,21,107741.52,32407.85,29098.57
DRG330,PID370023,RIDOKLawton,24,48554.83,13475.95,12590.5
DRG330,PID370056,RIDOKLawton,26,42848.8,14363.03,13500.88
DRG372,PID370023,RIDOKLawton,11,15533.27,7035,6423.36
DRG372,PID370056,RIDOKLawton,11,13270,7181,6549
DRG377,PID370056,RIDOKLawton,29,27161.51,10106.41,9409.31
DRG378,PID370023,RIDOKLawton,25,14477.24,5435.12,4806.32
DRG378,PID370056,RIDOKLawton,58,14164.77,5845.48,4935.89
DRG378,PID370097,RIDOKLawton,19,25512.42,7350.31,6461.68
DRG389,PID370023,RIDOKLawton,13,11657.46,5082,4303.23
DRG389,PID370056,RIDOKLawton,11,15392.18,5322.09,4295.9
DRG390,PID370023,RIDOKLawton,11,8879.27,3464,2643.63
DRG391,PID370056,RIDOKLawton,12,26041.5,6583.08,5561.41
DRG392,PID370023,RIDOKLawton,37,12060.59,4050.05,2783.64
DRG392,PID370051,RIDOKLawton,18,9036.83,4755.33,3885.55
DRG392,PID370056,RIDOKLawton,116,12636.52,4097.56,3136
DRG392,PID370097,RIDOKLawton,43,22939.37,5287.88,4292.74
DRG394,PID370056,RIDOKLawton,19,20036.31,5660.47,4786.73
DRG418,PID370056,RIDOKLawton,12,42939.08,9845.66,8912.91
DRG419,PID370056,RIDOKLawton,13,23728.23,6652.84,5791.92
DRG439,PID370023,RIDOKLawton,12,12704.41,5376,4626.66
DRG439,PID370056,RIDOKLawton,11,15536.54,5745.27,4719.09
DRG460,PID370056,RIDOKLawton,61,57517.42,21759.72,20173.62
DRG460,PID370097,RIDOKLawton,29,116710.06,28010,25513.13
DRG469,PID370056,RIDOKLawton,17,78415.29,20052.23,19136.94
