drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID370016,RIDOKOklahomaCity,17,29367.05,7900.64,5537.17
DRG039,PID370028,RIDOKOklahomaCity,56,38192.26,7193.07,5729.41
DRG039,PID370037,RIDOKOklahomaCity,19,30496.52,7824.78,6008.15
DRG039,PID370215,RIDOKOklahomaCity,170,20634.97,5351.27,4286.02
DRG039,PID370234,RIDOKOklahomaCity,16,17032.06,5365.56,3927.56
DRG057,PID370013,RIDOKOklahomaCity,14,36063.35,7517.64,6646.28
DRG057,PID370026,RIDOKOklahomaCity,11,14224.36,4597.9,3874.9
DRG057,PID370028,RIDOKOklahomaCity,22,32085.68,6853.36,5987.36
DRG057,PID370094,RIDOKOklahomaCity,24,31060,5073.66,4370.16
DRG057,PID370106,RIDOKOklahomaCity,12,44405.5,5372.16,4428.83
DRG064,PID370008,RIDOKOklahomaCity,28,38780.53,9776.46,9176.89
DRG064,PID370013,RIDOKOklahomaCity,106,34292.5,10794.18,9619.28
DRG064,PID370020,RIDOKOklahomaCity,12,17641.75,10403.83,9277.16
DRG064,PID370026,RIDOKOklahomaCity,14,32452.92,9505.71,9022.85
DRG064,PID370028,RIDOKOklahomaCity,57,52983.31,12473.26,11358.1
DRG064,PID370032,RIDOKOklahomaCity,16,39336.06,10471,9696.75
DRG064,PID370037,RIDOKOklahomaCity,40,38466.2,13291.6,12364.37
DRG064,PID370047,RIDOKOklahomaCity,19,23576.47,10662.84,9718
DRG064,PID370093,RIDOKOklahomaCity,49,78156.59,17839.26,15410.48
DRG064,PID370094,RIDOKOklahomaCity,20,75259.3,10162.85,9278.4
DRG064,PID370106,RIDOKOklahomaCity,56,71833.14,12444.42,11125.96
DRG065,PID370006,RIDOKOklahomaCity,19,20057.73,6571.47,5248.84
DRG065,PID370008,RIDOKOklahomaCity,95,31286.42,6330.26,5465.17
DRG065,PID370013,RIDOKOklahomaCity,92,20739.76,6287.44,5278.3
DRG065,PID370016,RIDOKOklahomaCity,11,40356.54,8250.81,7333.36
DRG065,PID370020,RIDOKOklahomaCity,12,12614.25,6327.58,5489.25
DRG065,PID370022,RIDOKOklahomaCity,32,14944.46,6694.21,5785.46
DRG065,PID370026,RIDOKOklahomaCity,40,33424.45,5973.4,5159.9
DRG065,PID370028,RIDOKOklahomaCity,119,33202.08,7914.34,6978.48
DRG065,PID370032,RIDOKOklahomaCity,18,24070.72,6331.94,4925.22
DRG065,PID370037,RIDOKOklahomaCity,55,22833.54,8710.01,7872.56
DRG065,PID370047,RIDOKOklahomaCity,42,20849.4,7167.35,6036.78
DRG065,PID370054,RIDOKOklahomaCity,12,11275,7628,6784.33
DRG065,PID370093,RIDOKOklahomaCity,52,35024.67,9675.46,8818.65
DRG065,PID370094,RIDOKOklahomaCity,31,37656.96,6287.9,5065.51
DRG065,PID370106,RIDOKOklahomaCity,111,29116.04,7236.32,5841.72
DRG065,PID370149,RIDOKOklahomaCity,20,12739.3,6478.3,5469.1
DRG066,PID370006,RIDOKOklahomaCity,12,18078.58,5326,3322.58
DRG066,PID370008,RIDOKOklahomaCity,57,23454.24,5029.71,3312.71
DRG066,PID370013,RIDOKOklahomaCity,74,15487.29,4513.93,3363.72
