drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID370001,RIDOKTulsa,42,22767.52,7645.5,6358.42
DRG039,PID370091,RIDOKTulsa,32,19518.68,6308.21,4684.37
DRG039,PID370114,RIDOKTulsa,48,18535.12,6342.25,4777.81
DRG039,PID370202,RIDOKTulsa,16,26152.75,6771.93,4668.25
DRG057,PID370001,RIDOKTulsa,15,17669.66,7765.86,5556.06
DRG057,PID370025,RIDOKTulsa,11,16460.18,5632.72,4265.27
DRG057,PID370091,RIDOKTulsa,36,16001.52,5413,4543.22
DRG057,PID370114,RIDOKTulsa,35,12722.37,5201.71,4493.82
DRG064,PID170145,RIDOKTulsa,11,13561.54,8598.54,7678.18
DRG064,PID370001,RIDOKTulsa,34,48258.2,14413.26,13753.02
DRG064,PID370018,RIDOKTulsa,16,27687.56,10104.75,9187
DRG064,PID370025,RIDOKTulsa,19,35087.21,10845.84,9826.52
DRG064,PID370049,RIDOKTulsa,12,15076.16,9722.25,9114.41
DRG064,PID370091,RIDOKTulsa,122,31288.01,11241.78,10083.8
DRG064,PID370114,RIDOKTulsa,102,41034.11,11149.61,10310.53
DRG065,PID170145,RIDOKTulsa,21,12182.09,5958.66,5153.14
DRG065,PID370001,RIDOKTulsa,50,27735.32,8710.72,7520.14
DRG065,PID370018,RIDOKTulsa,45,17525.11,6331.17,5196.33
DRG065,PID370025,RIDOKTulsa,54,22104.09,7066.29,5508.03
DRG065,PID370034,RIDOKTulsa,21,22142.66,6245,5390.14
DRG065,PID370039,RIDOKTulsa,14,15883.57,6697.92,5822.21
DRG065,PID370049,RIDOKTulsa,19,12277.57,6316.89,4935.31
DRG065,PID370065,RIDOKTulsa,11,11530.45,6909.81,5992.36
DRG065,PID370078,RIDOKTulsa,17,23127.29,9637.29,8649.76
DRG065,PID370089,RIDOKTulsa,14,13294.5,6290.57,5410.28
DRG065,PID370091,RIDOKTulsa,129,21037.87,6854.62,5845.68
DRG065,PID370114,RIDOKTulsa,200,23536.75,6811.26,5585.83
DRG065,PID370202,RIDOKTulsa,11,34710.09,7235.72,5734.36
DRG066,PID170145,RIDOKTulsa,11,9045,4088.54,3174
DRG066,PID370001,RIDOKTulsa,27,22387.51,6030.62,5078.18
DRG066,PID370025,RIDOKTulsa,18,17448,4801.55,3867.11
DRG066,PID370034,RIDOKTulsa,11,12193.36,4597,3785.36
DRG066,PID370039,RIDOKTulsa,12,14859.66,4865.58,3927.58
DRG066,PID370078,RIDOKTulsa,11,17691,6672.63,5205.81
DRG066,PID370091,RIDOKTulsa,72,15109.16,5074.95,3786.81
DRG066,PID370114,RIDOKTulsa,92,16237.9,4737.3,3593.78
DRG069,PID370001,RIDOKTulsa,35,18319.31,5372.8,4503.2
DRG069,PID370025,RIDOKTulsa,51,18633.45,4279.29,3211.7
DRG069,PID370039,RIDOKTulsa,19,17225.31,4435,3607.63
DRG069,PID370089,RIDOKTulsa,18,8130.27,4084,3083.11
DRG069,PID370091,RIDOKTulsa,160,12585.22,4486.28,3264.5
DRG069,PID370099,RIDOKTulsa,14,14499.64,5290.64,3354.57
DRG069,PID370114,RIDOKTulsa,125,13894.14,4308.83,3127.6
DRG069,PID370166,RIDOKTulsa,11,11422.45,5534.09,4323.18
