drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID380047,RIDORBend,19,24736.57,7044.52,5230.63
DRG064,PID380047,RIDORBend,23,47055.78,13374.04,12395.3
DRG065,PID380040,RIDORBend,12,16233.08,10462.16,9521.5
DRG065,PID380047,RIDORBend,53,22879.15,7406.03,6365.49
DRG066,PID380047,RIDORBend,16,18108.43,5467.06,3961.12
DRG069,PID380047,RIDORBend,11,15012.45,4609.72,3583.54
DRG176,PID380040,RIDORBend,11,11262.45,9887.27,9072.72
DRG176,PID380047,RIDORBend,31,13815.45,7198.74,5252.74
DRG178,PID380047,RIDORBend,24,24476.54,9113.37,8361.37
DRG190,PID380047,RIDORBend,39,21020.58,7401.66,6596.33
DRG191,PID380040,RIDORBend,17,16215.82,9353.7,8556.52
DRG191,PID380047,RIDORBend,39,16315.17,6118.25,5311.28
DRG192,PID380040,RIDORBend,11,11945.36,6894.18,5870.9
DRG192,PID380047,RIDORBend,31,14114.45,4561.7,3583
DRG193,PID380047,RIDORBend,44,31968.75,9705.93,8791.59
DRG194,PID380040,RIDORBend,19,15293.78,9276.68,8267.21
DRG194,PID380047,RIDORBend,87,16157.74,6648.62,5222.31
DRG195,PID380040,RIDORBend,11,12431.36,6749.63,5829.27
DRG195,PID380047,RIDORBend,34,10966,4432.55,3409.85
DRG208,PID380047,RIDORBend,12,53845.25,17891.66,14068.5
DRG238,PID380047,RIDORBend,18,73660.44,21345.94,20348.55
DRG243,PID380047,RIDORBend,16,47987.25,17290,16230.75
DRG244,PID380047,RIDORBend,20,47618.9,14663.75,10959.15
DRG247,PID380047,RIDORBend,50,54359.34,12589.26,11512.78
DRG249,PID380047,RIDORBend,21,55217.19,11397,10329.57
DRG251,PID380047,RIDORBend,20,47130.55,11737.6,10898.25
DRG281,PID380047,RIDORBend,11,19659.54,7538.9,6624.36
DRG286,PID380047,RIDORBend,13,38331.46,12637.15,11858.38
DRG287,PID380047,RIDORBend,37,22102.89,7472.45,5669.7
DRG291,PID380047,RIDORBend,36,29857.3,10060,9309.77
DRG292,PID380040,RIDORBend,17,15497.52,9548.76,8256
DRG292,PID380047,RIDORBend,57,17261.7,6236.47,5391.19
DRG293,PID380047,RIDORBend,19,14325.52,4215.26,3568.31
DRG300,PID380047,RIDORBend,13,31084.92,6714.61,5764.23
DRG308,PID380047,RIDORBend,16,23289.43,8107.12,7405.62
DRG309,PID380047,RIDORBend,26,17895,5404.03,4716.03
DRG310,PID380047,RIDORBend,33,10083.45,3613.45,2590.18
DRG312,PID380047,RIDORBend,36,11453.75,4534.83,3502.5
DRG313,PID380047,RIDORBend,11,9820.81,3480.45,2663
DRG314,PID380047,RIDORBend,18,21948.55,11206.83,9652
DRG329,PID380047,RIDORBend,13,84383.76,40545.76,39592.84
DRG330,PID380047,RIDORBend,23,52525.43,16239.39,15309.82
DRG372,PID380047,RIDORBend,11,16765.63,7716.36,6824.63
DRG377,PID380047,RIDORBend,14,48282.78,13821.71,13260.28
DRG378,PID380047,RIDORBend,62,26981.9,6909.08,5761.61
DRG379,PID380047,RIDORBend,14,14435.35,4540.92,3577.5
DRG389,PID380047,RIDORBend,15,15506.46,5917.46,5018.26
DRG390,PID380040,RIDORBend,21,11075.28,6502.61,4945.52
DRG390,PID380047,RIDORBend,13,12422.3,4280,2786.38
DRG392,PID380040,RIDORBend,19,14193.05,7002.31,6176.63
DRG392,PID380047,RIDORBend,59,14213.96,4578.72,3537.06
DRG394,PID380047,RIDORBend,24,25532.91,6296.62,5593.12
DRG418,PID380047,RIDORBend,19,29096.26,12013,9257.47
DRG419,PID380047,RIDORBend,20,22191.45,7397.45,6331.65
DRG439,PID380047,RIDORBend,13,18032.92,6414.53,5372.07
DRG460,PID380047,RIDORBend,65,88801.7,29554.61,25737.46
DRG469,PID380047,RIDORBend,11,77429,25168.18,24250.72
DRG470,PID380040,RIDORBend,40,47860.42,22804.25,18282.85
DRG470,PID380047,RIDORBend,472,50145.84,14293.99,11721.43
DRG473,PID380047,RIDORBend,27,47439.81,13957.88,11962.14
DRG480,PID380047,RIDORBend,11,62353.18,19798.09,19083.63
DRG481,PID380047,RIDORBend,48,42474.52,11941.58,10981.33
DRG482,PID380047,RIDORBend,20,29043.25,9754.75,8853.95
DRG491,PID380047,RIDORBend,127,17518.1,6740.41,5050.73
DRG536,PID380047,RIDORBend,21,16059.04,4459.66,3447.66
DRG552,PID380047,RIDORBend,22,18427.72,5250.5,4058.54
DRG603,PID380047,RIDORBend,38,14352,5265.63,4214.39
DRG640,PID380047,RIDORBend,22,26530.22,7942.18,7126.18
DRG641,PID380040,RIDORBend,17,13837.05,7320.52,5645.88
DRG641,PID380047,RIDORBend,29,12999.44,4287.27,3236.65
DRG682,PID380047,RIDORBend,20,22239.25,10264.35,9368.35
DRG683,PID380040,RIDORBend,12,16725.25,9587,8832.33
DRG683,PID380047,RIDORBend,31,18272.29,6323.8,5362.32
DRG689,PID380047,RIDORBend,12,22402.08,7724.83,6972.83
DRG690,PID380040,RIDORBend,13,13544.76,7466.61,6690.3
DRG690,PID380047,RIDORBend,61,13251.91,4871.44,4059.63
DRG853,PID380047,RIDORBend,18,131023.83,48384.72,47698.27
DRG871,PID380040,RIDORBend,14,29202.57,18047.64,17567.07
DRG871,PID380047,RIDORBend,58,50256.41,13549.67,12661.25
DRG872,PID380047,RIDORBend,17,22241.88,7912.47,6428.52
DRG885,PID380047,RIDORBend,60,11974.43,5774.98,5232.11
DRG897,PID380047,RIDORBend,12,18019.08,4225.83,3287.83
DRG917,PID380047,RIDORBend,13,28413.07,10039,9347.3
DRG918,PID380047,RIDORBend,24,11742.16,3900.87,3052.08
DRG948,PID380047,RIDORBend,22,11201.31,4209.95,3231.22
