drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID380014,RIDOREugene,37,21741.08,7298.1,5383.7
DRG039,PID380020,RIDOREugene,11,33958.9,6461,5337.72
DRG039,PID380090,RIDOREugene,23,16988.91,8851,7821.6
DRG039,PID380102,RIDOREugene,46,21209.04,7188.71,5366.06
DRG057,PID380090,RIDOREugene,22,19346.95,8075.27,7090.59
DRG064,PID380014,RIDOREugene,28,50768.64,15027.82,14303.57
DRG064,PID380090,RIDOREugene,14,28173.92,15131.5,14253.5
DRG064,PID380102,RIDOREugene,47,33217.91,13002.95,12022.27
DRG065,PID380014,RIDOREugene,31,20191.29,7201.51,6259.32
DRG065,PID380020,RIDOREugene,14,19587.21,7135.14,6010
DRG065,PID380022,RIDOREugene,17,14371.64,6892.23,5961.88
DRG065,PID380090,RIDOREugene,30,21610.46,9932.06,8945.53
DRG065,PID380102,RIDOREugene,93,19242.11,8211.63,7037.24
DRG066,PID380014,RIDOREugene,17,11668.05,5510.17,3838.7
DRG066,PID380090,RIDOREugene,48,15288.37,7150.6,6158.16
DRG066,PID380102,RIDOREugene,33,16280.9,6744.57,4350.09
DRG069,PID380014,RIDOREugene,11,17070.63,6564.81,2857.54
DRG069,PID380020,RIDOREugene,15,14736,4636.6,3582.2
DRG069,PID380090,RIDOREugene,24,15967.54,6354,5558.83
DRG069,PID380102,RIDOREugene,18,15921.94,5191.27,4192.16
DRG101,PID380090,RIDOREugene,18,19653.16,6543.66,5853.66
DRG101,PID380102,RIDOREugene,18,20653.38,6638.72,4117.88
DRG176,PID380014,RIDOREugene,13,17567.07,6714.07,5858.07
DRG176,PID380102,RIDOREugene,18,16526.16,7706.16,6342.27
DRG177,PID380014,RIDOREugene,11,52099.54,13263.18,12542.81
DRG177,PID380102,RIDOREugene,55,30521.69,13906.87,12720.96
DRG178,PID380014,RIDOREugene,14,23692.92,9258.78,8302.21
DRG178,PID380022,RIDOREugene,13,17089.61,9545.07,7706.46
DRG178,PID380090,RIDOREugene,13,40063.53,15290.46,11143.53
DRG178,PID380102,RIDOREugene,15,24289.2,10583.4,9203.46
DRG189,PID380014,RIDOREugene,14,16439.57,8202.5,7557.92
