drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID380002,RIDORMedford,14,24885.71,6234.78,5597.07
DRG039,PID380018,RIDORMedford,93,20648.46,6694.95,5404.56
DRG039,PID380075,RIDORMedford,14,25407.85,6090,5209.71
DRG064,PID380002,RIDORMedford,25,36458.48,12113.48,11176.72
DRG064,PID380018,RIDORMedford,37,40194.89,11674.4,10850.89
DRG064,PID380050,RIDORMedford,23,43847.52,14873.17,13227.52
DRG064,PID380075,RIDORMedford,13,41168.15,12909.92,9736.23
DRG065,PID50417,RIDORMedford,13,33610.46,9997.61,8965
DRG065,PID380002,RIDORMedford,37,19875.51,6631.62,5718.97
DRG065,PID380018,RIDORMedford,56,19750.75,7277.16,5610.46
DRG065,PID380050,RIDORMedford,21,25477.57,9216.47,8569.61
DRG065,PID380075,RIDORMedford,27,20655.29,6783.7,5779.85
DRG066,PID380002,RIDORMedford,16,12737.68,5112.43,3783.93
DRG066,PID380018,RIDORMedford,26,12887.26,5130.46,4005.84
DRG066,PID380050,RIDORMedford,16,15918.87,6581.43,5017.75
DRG066,PID380075,RIDORMedford,12,14807.83,5651.41,3333
DRG069,PID380018,RIDORMedford,11,20716.27,4740.27,3917
DRG069,PID380050,RIDORMedford,11,15739.9,5721.09,4497.81
DRG069,PID380075,RIDORMedford,12,14055.66,4704.5,3073.5
DRG074,PID380018,RIDORMedford,14,22194.14,5410.28,5167.71
DRG176,PID380002,RIDORMedford,14,17074.21,6883.07,5186.42
DRG176,PID380018,RIDORMedford,23,20802.34,8107.69,5272.21
DRG176,PID380075,RIDORMedford,14,19714.07,8092.85,5058.28
DRG177,PID50417,RIDORMedford,11,59886.27,18252.27,17740.63
DRG177,PID380002,RIDORMedford,13,65745.61,19795.76,19101.53
DRG177,PID380018,RIDORMedford,18,52784.61,14169.5,13607
DRG178,PID50417,RIDORMedford,13,40005.46,11994.69,11305.46
DRG178,PID380018,RIDORMedford,16,36514,10376.25,8505.68
DRG178,PID380075,RIDORMedford,11,24192.27,8703.09,7077
DRG189,PID50417,RIDORMedford,43,42047.32,14100.11,12021.16
DRG189,PID380002,RIDORMedford,28,37242.96,8024.21,7261.75
DRG189,PID380018,RIDORMedford,22,30428.68,8492.18,7832.04
DRG189,PID380050,RIDORMedford,21,31048.52,10070.38,9106.19
DRG189,PID380075,RIDORMedford,44,24595.5,7793.18,6766.75
DRG190,PID380002,RIDORMedford,32,21395.75,7112.53,6201.78
DRG190,PID380018,RIDORMedford,63,30578.3,7696.44,6803.87
DRG190,PID380050,RIDORMedford,25,21950.88,9410.16,8373.84
DRG190,PID380075,RIDORMedford,23,22060.56,6923.34,6092.21
DRG191,PID380002,RIDORMedford,40,16742.12,5897.57,4828.57
DRG191,PID380018,RIDORMedford,51,22784.74,6064.5,5271.09
DRG191,PID380050,RIDORMedford,15,27918.8,7692.4,6719.86
DRG191,PID380075,RIDORMedford,28,16615.6,5722.53,5040.96
DRG192,PID380002,RIDORMedford,24,12100.04,4356.66,3425.33
DRG192,PID380018,RIDORMedford,16,18394.81,4829.75,3591.56
DRG192,PID380050,RIDORMedford,12,20307.5,5726.91,4883.25
DRG192,PID380075,RIDORMedford,17,13386.17,4317,3592.05
DRG193,PID50417,RIDORMedford,38,41115.47,14036.94,11500.6
