drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID380004,RIDORPortland,52,21415.26,7538.67,5289.05
DRG039,PID380007,RIDORPortland,11,32728.45,8428,7816.36
DRG039,PID380089,RIDORPortland,15,27706.13,6153,5176.2
DRG039,PID500050,RIDORPortland,16,34394.5,12451,5455.87
DRG057,PID380004,RIDORPortland,19,19066.78,6253.26,4858.21
DRG057,PID380009,RIDORPortland,15,28826.33,10523.86,9536.73
DRG057,PID500041,RIDORPortland,13,29247.76,6754.15,5890.76
DRG057,PID500050,RIDORPortland,40,17818.57,6556.67,5638.47
DRG064,PID380004,RIDORPortland,33,25944.36,12037.27,11219.81
DRG064,PID380007,RIDORPortland,28,42065.78,15932.42,14097.89
DRG064,PID380009,RIDORPortland,43,58131.48,21766.11,21110.95
DRG064,PID380017,RIDORPortland,19,38293.94,14913.47,14145.68
DRG064,PID380060,RIDORPortland,23,17272.13,11700.78,10624.95
DRG064,PID380061,RIDORPortland,30,24562.96,12582.2,11717.5
DRG064,PID380089,RIDORPortland,23,24248.43,10770.86,9260.26
DRG064,PID500041,RIDORPortland,17,23517.05,11920.47,11058.58
DRG064,PID500050,RIDORPortland,53,42335.49,13345.43,12560.6
DRG064,PID500150,RIDORPortland,19,31790.63,12590.84,11150.68
DRG065,PID380004,RIDORPortland,59,18697.84,7682.54,6729.72
DRG065,PID380007,RIDORPortland,22,36415,10477.68,9611.68
DRG065,PID380009,RIDORPortland,48,34027.89,12896.47,10724.75
DRG065,PID380017,RIDORPortland,24,23039.08,9309.45,7918.37
DRG065,PID380021,RIDORPortland,17,24510.64,7588.29,6859.58
DRG065,PID380025,RIDORPortland,17,25494.64,7818,6824.82
DRG065,PID380060,RIDORPortland,24,16126.79,6953.75,5856.75
DRG065,PID380061,RIDORPortland,43,18432.44,8209.39,6539.02
DRG065,PID380071,RIDORPortland,14,24900.14,7248.5,6453.64
DRG065,PID380089,RIDORPortland,38,22425.89,7490.76,5711.42
DRG065,PID380091,RIDORPortland,14,8639.35,8229.42,7340
DRG065,PID500041,RIDORPortland,32,19910.87,8030.25,7081.12
DRG065,PID500050,RIDORPortland,73,30663.61,8467.79,6529.68
DRG065,PID500150,RIDORPortland,34,25749.76,8121.2,7035.58
DRG066,PID380001,RIDORPortland,12,12260.16,6320,5204
DRG066,PID380004,RIDORPortland,49,14075.71,5650.38,4202.1
DRG066,PID380009,RIDORPortland,29,18695.13,8155.72,7151.86
DRG066,PID380021,RIDORPortland,21,19147.28,5832.85,4224.66
DRG066,PID380025,RIDORPortland,11,21704,5494,4573.63
DRG066,PID380038,RIDORPortland,16,11346.62,5075.12,4023.87
DRG066,PID380060,RIDORPortland,14,14224.5,5915.5,3406
DRG066,PID380061,RIDORPortland,31,12996.74,6009.48,4225
DRG066,PID380071,RIDORPortland,12,18150.41,5084.83,4243.83
DRG066,PID380089,RIDORPortland,24,17908.87,5311.75,3663.83
DRG066,PID500041,RIDORPortland,18,17157.11,5409.22,4602.33
DRG066,PID500050,RIDORPortland,30,22622.03,6194.7,4460.83
DRG066,PID500150,RIDORPortland,13,24999.38,5818.07,4862.69
DRG069,PID380004,RIDORPortland,40,10453.47,5348.17,3663.55
DRG069,PID380009,RIDORPortland,11,12467.9,8834.27,5133.63
DRG069,PID380060,RIDORPortland,22,12663.72,4905.09,3939.09
DRG069,PID380061,RIDORPortland,24,9984.95,5299.54,3646.95
DRG069,PID380089,RIDORPortland,17,15106.17,4416,3422.82
DRG069,PID500041,RIDORPortland,14,13287.5,5126.14,4010.14
DRG069,PID500050,RIDORPortland,55,19752.76,5185.16,3941.56
DRG069,PID500150,RIDORPortland,13,19601.15,5470.23,4024.61
DRG074,PID380089,RIDORPortland,12,18988.25,6616.75,4116.08
DRG074,PID500041,RIDORPortland,14,14397.64,5864.57,5067.42
DRG074,PID500050,RIDORPortland,30,19525.93,6630.06,4474.03
DRG101,PID380007,RIDORPortland,12,20203.08,6376.5,5257.83
DRG101,PID380009,RIDORPortland,41,14605.53,8045.46,6254.29
DRG101,PID380061,RIDORPortland,27,12534.22,5126.62,4194.07
DRG101,PID500050,RIDORPortland,29,20728.86,6386.96,3730.06
DRG101,PID500150,RIDORPortland,17,19744.41,5518.47,4658.47
DRG149,PID380061,RIDORPortland,12,8653.75,4287.75,3158.41
DRG149,PID500050,RIDORPortland,27,16205.29,4560.92,3270.66
DRG176,PID380001,RIDORPortland,13,19898.07,8637,7945.3
DRG176,PID380004,RIDORPortland,25,18415.6,9344.76,5807.84
DRG176,PID380061,RIDORPortland,18,13848.38,6947.61,6201.83
DRG176,PID500041,RIDORPortland,11,20637.27,7486.54,6360.36
DRG176,PID500050,RIDORPortland,19,32013.42,7522.47,5923.31
DRG176,PID500150,RIDORPortland,13,23364,7274.84,6406.53
