drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID380051,RIDORSalem,19,24192.89,6752.36,5690.05
DRG064,PID380051,RIDORSalem,25,32391.12,12883.04,11173
DRG065,PID380051,RIDORSalem,60,18358.1,7412.53,6391.98
DRG066,PID380051,RIDORSalem,22,13918.18,5678.59,4091.09
DRG069,PID380051,RIDORSalem,21,13578.28,5132.42,3710.95
DRG176,PID380051,RIDORSalem,26,21241.53,7078.92,5832.53
DRG177,PID380051,RIDORSalem,15,23033.53,15145.8,11424
DRG178,PID380051,RIDORSalem,32,22093.9,9384.78,8858.15
DRG189,PID380051,RIDORSalem,50,28081.6,9184.56,8000.54
DRG190,PID380051,RIDORSalem,57,25537.21,7856.82,7029.45
DRG191,PID380051,RIDORSalem,46,17624.3,6751.78,5223.43
DRG192,PID380051,RIDORSalem,31,13887.58,4786.32,3988.12
DRG193,PID380051,RIDORSalem,51,26652.29,10471.29,8435.35
DRG194,PID380051,RIDORSalem,83,17526.53,6999.37,5621.54
DRG195,PID380051,RIDORSalem,34,13794.5,4744.5,3588.44
DRG208,PID380051,RIDORSalem,33,47174.75,16510.15,14698.33
DRG238,PID380051,RIDORSalem,25,67288.8,24165.96,21509.56
DRG243,PID380051,RIDORSalem,35,42674.68,17493.31,16594.11
DRG244,PID380051,RIDORSalem,24,32381.04,13471.37,12540.04
DRG247,PID380051,RIDORSalem,52,47485.75,14394.07,11436.34
DRG249,PID380051,RIDORSalem,23,40719.34,13306.13,10869.08
DRG251,PID380051,RIDORSalem,19,31448.47,13122.1,10411.26
DRG252,PID380051,RIDORSalem,20,43801.55,21115.9,20438.3
DRG253,PID380051,RIDORSalem,23,45424.56,17146.13,15026.04
DRG254,PID380051,RIDORSalem,11,47705.45,12022.72,11008.18
DRG280,PID380051,RIDORSalem,23,29013.78,13209.56,10606.17
DRG281,PID380051,RIDORSalem,25,22104.92,9681.72,6081.8
DRG282,PID380051,RIDORSalem,19,15032.36,5269.1,4325.94
DRG286,PID380051,RIDORSalem,15,33023.73,12752.66,12153.2
DRG287,PID380051,RIDORSalem,94,23513.59,7707.96,5844.7
DRG291,PID380051,RIDORSalem,60,22634.75,9573.43,8859.71
DRG292,PID380051,RIDORSalem,87,18734.85,6871.33,6078.97
DRG293,PID380051,RIDORSalem,23,12162,5017.3,3613.78
DRG300,PID380051,RIDORSalem,15,14520.8,6138.33,5312.66
DRG303,PID380051,RIDORSalem,16,9366.06,3865.81,3160.31
DRG308,PID380051,RIDORSalem,21,23220.57,8153.23,7510.95
DRG309,PID380051,RIDORSalem,35,14936.88,5733.08,4537.82
DRG310,PID380051,RIDORSalem,45,8159.46,4104.82,2632.55
DRG312,PID380051,RIDORSalem,42,12518.78,4852.73,3807.14
DRG313,PID380051,RIDORSalem,75,10595.33,3742.5,2697.17
DRG314,PID380051,RIDORSalem,18,20886.72,11898.22,11253.61
DRG315,PID380051,RIDORSalem,11,15828.72,9677.18,5269.72
DRG329,PID380051,RIDORSalem,22,81582,39646.27,36529.95
DRG330,PID380051,RIDORSalem,19,39911.94,22066.89,14284.52
DRG372,PID380051,RIDORSalem,14,15067.5,8308.57,7751.71
DRG377,PID380051,RIDORSalem,24,31342.7,12633.95,9601.58
DRG378,PID380051,RIDORSalem,77,16031.31,6871.35,5487.4
DRG378,PID380056,RIDORSalem,12,12609,7556.75,6521.75
DRG389,PID380051,RIDORSalem,25,13321.92,5955,5098.52
DRG390,PID380051,RIDORSalem,24,9566.33,4587.54,2802.83
DRG391,PID380051,RIDORSalem,19,23039.15,8808.31,6480.84
DRG392,PID380051,RIDORSalem,53,15437.22,4894.9,3885
DRG394,PID380051,RIDORSalem,23,15426.73,6878.82,5520.47
DRG418,PID380051,RIDORSalem,16,27839.87,12092.43,9646.87
DRG419,PID380051,RIDORSalem,12,21572.33,7756.66,6727
DRG460,PID380051,RIDORSalem,60,67146.21,26305.26,24221.88
DRG470,PID380051,RIDORSalem,291,33649.05,15532.12,11580.86
DRG470,PID380056,RIDORSalem,15,30733.66,17621.26,14186.66
DRG473,PID380051,RIDORSalem,11,37447.27,13770.18,12644
DRG480,PID380051,RIDORSalem,17,50257.05,20296.76,17005.47
DRG481,PID380051,RIDORSalem,52,41268.69,13535.84,12086
DRG491,PID380051,RIDORSalem,30,22545.23,6838.9,5417.1
DRG552,PID380051,RIDORSalem,15,12585.4,5112,3708.8
DRG602,PID380051,RIDORSalem,13,21526.46,9324.23,7725.23
DRG603,PID380051,RIDORSalem,29,13911.68,5813.27,4354.44
DRG638,PID380051,RIDORSalem,19,12586.31,5425.26,4530.73
DRG640,PID380051,RIDORSalem,24,13824.87,7558.87,7019.79
DRG641,PID380051,RIDORSalem,44,14048.52,4552.5,3862.95
DRG641,PID380056,RIDORSalem,13,9085.07,5218.38,4355
DRG682,PID380051,RIDORSalem,32,26728.65,11505.78,10721.96
DRG683,PID380051,RIDORSalem,52,17326.73,6905.36,5604.5
DRG689,PID380051,RIDORSalem,22,16194.27,7794.04,6303.36
DRG690,PID380051,RIDORSalem,72,11841.52,5383.06,4202.05
DRG690,PID380056,RIDORSalem,11,7666.72,6013.9,5193.54
DRG698,PID380051,RIDORSalem,29,27969.1,11641.58,9936.13
DRG699,PID380051,RIDORSalem,16,14019.18,6626.87,5994.12
DRG811,PID380051,RIDORSalem,15,24410.2,9059.93,7201.73
DRG812,PID380051,RIDORSalem,21,13232,5275,4527.95
DRG853,PID380051,RIDORSalem,46,103893.65,45065.84,42284
