drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390049,RIDPAAllentown,43,46133.88,6832.72,5535.9
DRG039,PID390057,RIDPAAllentown,11,39160.36,5990.27,4967
DRG039,PID390133,RIDPAAllentown,36,43653.77,7739.44,5559.69
DRG039,PID390162,RIDPAAllentown,19,116349.84,6826.47,6000.78
DRG039,PID390197,RIDPAAllentown,11,26401.54,6836.36,5816
DRG039,PID390201,RIDPAAllentown,14,14979.92,7244,6359.14
DRG057,PID310060,RIDPAAllentown,16,38323.87,6230.75,5395.75
DRG057,PID390049,RIDPAAllentown,71,37730.38,6440.64,5629.49
DRG057,PID390133,RIDPAAllentown,50,38374.34,7489.56,5907.86
DRG057,PID390162,RIDPAAllentown,32,31550.56,6222.15,5451.9
DRG057,PID390201,RIDPAAllentown,35,23509.2,6578.42,5616.34
DRG057,PID390263,RIDPAAllentown,14,27791.57,5778.57,4817.42
DRG064,PID390049,RIDPAAllentown,87,86879.63,13053.13,11635.26
DRG064,PID390057,RIDPAAllentown,14,45020.28,9998.21,9275.07
DRG064,PID390133,RIDPAAllentown,176,74681.34,13927.93,12310.98
DRG064,PID390162,RIDPAAllentown,13,42558,11932.15,10832.53
DRG064,PID390185,RIDPAAllentown,29,35116.03,10085.55,9310.37
DRG064,PID390201,RIDPAAllentown,34,37139.02,12819.55,11991.91
DRG064,PID390263,RIDPAAllentown,24,66813.2,13163.91,12507.54
DRG065,PID310060,RIDPAAllentown,26,67588.38,8267,7324.15
DRG065,PID390019,RIDPAAllentown,13,14960.61,6017.38,5330.61
DRG065,PID390035,RIDPAAllentown,11,38525.9,6853,6038.45
DRG065,PID390049,RIDPAAllentown,109,55388.44,8203.78,6753.91
DRG065,PID390057,RIDPAAllentown,43,26742.93,6404.9,5362.95
DRG065,PID390133,RIDPAAllentown,200,43307.03,8379.05,7202.68
DRG065,PID390162,RIDPAAllentown,40,42863.95,7797.95,7094.45
DRG065,PID390183,RIDPAAllentown,11,25205.09,7430,6409.63
DRG065,PID390185,RIDPAAllentown,30,25784.56,6154.53,5184.13
DRG065,PID390194,RIDPAAllentown,16,13351.18,6225.93,4573.06
DRG065,PID390197,RIDPAAllentown,22,47470.63,8733.59,6445.54
DRG065,PID390201,RIDPAAllentown,64,30450.79,8294.21,7256.98
DRG065,PID390263,RIDPAAllentown,74,39604.98,7261.71,6064.37
DRG066,PID310060,RIDPAAllentown,23,49435.04,5876.13,4875.86
DRG066,PID390049,RIDPAAllentown,64,38935.25,5732.06,4759.48
DRG066,PID390057,RIDPAAllentown,21,23970.04,4812.71,3395
DRG066,PID390133,RIDPAAllentown,58,28011.41,5902.39,4722.6
DRG066,PID390162,RIDPAAllentown,17,27167.35,5282.05,4349.94
DRG066,PID390185,RIDPAAllentown,33,21002.57,4679.96,3727.24
DRG066,PID390194,RIDPAAllentown,13,12583.3,5574.3,2984.46
DRG066,PID390201,RIDPAAllentown,56,22272.39,5895.96,4533.5
DRG066,PID390263,RIDPAAllentown,20,28128.3,5186.6,4175.8
DRG069,PID310060,RIDPAAllentown,31,41099.29,5521.29,4614.58
DRG069,PID390035,RIDPAAllentown,11,31662.18,4294,3170.72
DRG069,PID390049,RIDPAAllentown,84,31456.79,5084.08,4117.78
DRG069,PID390057,RIDPAAllentown,44,23004.52,4388.93,3135.2
DRG069,PID390133,RIDPAAllentown,135,25423.84,5203.71,4095.82
DRG069,PID390162,RIDPAAllentown,54,26987.27,5015.35,3917.29
DRG069,PID390183,RIDPAAllentown,11,18979.9,4656,3741.45
DRG069,PID390185,RIDPAAllentown,34,19586.29,4217.76,3349.17
DRG069,PID390197,RIDPAAllentown,12,35423.75,6131.08,3790.75
DRG069,PID390201,RIDPAAllentown,59,19425.16,5251.55,3955.72
DRG069,PID390263,RIDPAAllentown,58,24404.12,4707.37,3546.51
DRG074,PID390049,RIDPAAllentown,48,35809.31,6432.77,5254.27
DRG074,PID390133,RIDPAAllentown,40,29810.7,6210.95,5343.17
DRG074,PID390162,RIDPAAllentown,22,28526.27,5696.22,5034.59
DRG074,PID390263,RIDPAAllentown,26,24693.88,5919.65,3578.73
