drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390073,RIDPAAltoona,40,20481.7,5773.5,4093.87
DRG057,PID390073,RIDPAAltoona,58,19238.91,5412.87,4558.06
DRG064,PID390073,RIDPAAltoona,58,25636.1,10050.2,9199.17
DRG065,PID390052,RIDPAAltoona,14,13024.07,6316.14,5274.14
DRG065,PID390073,RIDPAAltoona,47,19697.34,6550.51,5172.91
DRG066,PID390073,RIDPAAltoona,41,15904.46,4580.51,3262.41
DRG069,PID390073,RIDPAAltoona,59,13947.28,4157.32,2950.1
DRG074,PID390073,RIDPAAltoona,16,17621.68,5096.87,3248.68
DRG101,PID390073,RIDPAAltoona,23,12178.26,4223.26,3345.69
DRG176,PID390073,RIDPAAltoona,17,19532.41,6122.76,4793.52
DRG177,PID390073,RIDPAAltoona,41,28104.17,11248.63,10521.46
DRG178,PID390073,RIDPAAltoona,23,26016.95,7721.26,6780.65
DRG189,PID390073,RIDPAAltoona,28,17185.67,7112.89,6229.17
DRG190,PID390052,RIDPAAltoona,13,9444.3,6127.23,5129.53
DRG190,PID390056,RIDPAAltoona,22,14545.63,7160.36,5443.72
DRG190,PID390073,RIDPAAltoona,60,20368.7,6632.7,5569.06
DRG191,PID390052,RIDPAAltoona,36,10103.22,5234.91,4509.83
DRG191,PID390056,RIDPAAltoona,14,9663.78,5756.71,4714.71
DRG191,PID390073,RIDPAAltoona,44,15074.34,5458.25,4456.59
DRG192,PID390052,RIDPAAltoona,26,7068.15,3987.69,3062.03
DRG192,PID390056,RIDPAAltoona,20,9063.05,4339.45,3381.65
DRG192,PID390073,RIDPAAltoona,48,11344.54,4058.56,2834.95
DRG192,PID390117,RIDPAAltoona,13,6568.07,4266.69,3201.38
DRG193,PID390052,RIDPAAltoona,22,12810.9,7485.95,6874.31
DRG193,PID390056,RIDPAAltoona,11,19136.63,9020.63,8097.36
DRG193,PID390073,RIDPAAltoona,68,21202.63,8052.64,7249.79
DRG194,PID390052,RIDPAAltoona,60,11715.83,5535.71,4692.26
DRG194,PID390056,RIDPAAltoona,42,12323.71,6068.8,5268.61
DRG194,PID390062,RIDPAAltoona,24,8080.04,6142.58,5296.25
