drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390006,RIDPADanville,26,38481.38,8216.46,7269.69
DRG039,PID390013,RIDPADanville,19,13645.52,5388,4264.42
DRG039,PID390045,RIDPADanville,34,25911.64,6051.29,5060
DRG039,PID390268,RIDPADanville,16,16022.06,5209.25,4226.75
DRG057,PID390006,RIDPADanville,25,41164.96,8931.52,8300.2
DRG057,PID390045,RIDPADanville,15,11553.8,5382.4,4782.93
DRG064,PID390006,RIDPADanville,63,65962.42,16786.22,16109.53
DRG064,PID390013,RIDPADanville,11,15374,8751,7936.45
DRG064,PID390045,RIDPADanville,19,20194.78,10904.31,10075.26
DRG064,PID390268,RIDPADanville,17,25114.7,8583.64,7794
DRG065,PID390006,RIDPADanville,92,38445.96,10440.8,9235.23
DRG065,PID390013,RIDPADanville,46,12566.19,5773.21,4611.82
DRG065,PID390045,RIDPADanville,68,16868.66,6717.45,5774.69
DRG065,PID390268,RIDPADanville,33,23021.63,5713.6,4861.84
DRG066,PID390006,RIDPADanville,63,28330.52,7759.36,6182.15
DRG066,PID390013,RIDPADanville,26,12424.88,4669.07,3090.92
DRG066,PID390045,RIDPADanville,40,12863.75,5122.37,3629.1
DRG066,PID390189,RIDPADanville,13,7279.69,4937,3991.46
DRG066,PID390268,RIDPADanville,15,23112.8,4195.06,3369.2
DRG069,PID390006,RIDPADanville,53,24737.58,6567.18,5677.98
DRG069,PID390013,RIDPADanville,23,11631.65,3867,2788.39
DRG069,PID390045,RIDPADanville,44,11397.27,4399.77,3353.68
DRG069,PID390072,RIDPADanville,26,27475.96,4058.92,3194.3
DRG069,PID390189,RIDPADanville,13,6486.76,4403,3537.15
DRG069,PID390268,RIDPADanville,24,15839.33,4016.75,2650.45
DRG074,PID390006,RIDPADanville,12,34652.5,8321.83,7501.75
DRG101,PID390006,RIDPADanville,97,30993.97,7677.16,6369.96
DRG101,PID390045,RIDPADanville,20,10283.9,4594.15,3918.15
DRG101,PID390268,RIDPADanville,15,19704.26,3825.26,3223.66
DRG149,PID390006,RIDPADanville,11,16824.54,5427.18,4615.54
DRG149,PID390045,RIDPADanville,12,7986,3844.83,2901.5
DRG149,PID390268,RIDPADanville,17,12778.23,4038.94,2012.35
DRG176,PID390006,RIDPADanville,35,36879.74,9372.31,8021.08
DRG176,PID390013,RIDPADanville,22,10861.63,5638.45,4618.09
DRG176,PID390045,RIDPADanville,17,17250.17,6432.23,5626.41
DRG176,PID390268,RIDPADanville,20,19401.75,5836.65,4442.45
DRG177,PID390006,RIDPADanville,14,63714.85,18514.07,17793.21
DRG177,PID390013,RIDPADanville,23,11257.82,8933,7957
DRG177,PID390045,RIDPADanville,22,33090.45,12301.54,10521.5
DRG177,PID390268,RIDPADanville,28,35966.6,10756.32,9492.71
DRG178,PID390006,RIDPADanville,23,40790.95,13027.69,12295
DRG178,PID390013,RIDPADanville,14,7227.28,7111.57,6148.14
