drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390009,RIDPAErie,39,40927.28,6337.05,5475.3
DRG039,PID390063,RIDPAErie,16,47562.06,5802.18,4748.93
DRG057,PID330239,RIDPAErie,14,8884.42,5177,4132.71
DRG057,PID390009,RIDPAErie,26,21551.96,6061.03,5238.73
DRG057,PID390122,RIDPAErie,12,6124.16,7257.83,6508.5
DRG057,PID390178,RIDPAErie,14,13180.85,5202.78,4401.07
DRG064,PID330239,RIDPAErie,14,21321.28,10325.5,9447.5
DRG064,PID390009,RIDPAErie,35,47596.65,11488.94,10687.68
DRG064,PID390063,RIDPAErie,51,55321.84,11565.01,9238.76
DRG064,PID390091,RIDPAErie,18,23988.83,10154.72,9468.27
DRG064,PID390113,RIDPAErie,15,22459.06,10242.46,9716.33
DRG064,PID390178,RIDPAErie,12,19125.41,9493.25,8552.58
DRG065,PID330239,RIDPAErie,30,11529.36,6526.43,5309.86
DRG065,PID390009,RIDPAErie,57,38453.43,7381.98,6475.17
DRG065,PID390063,RIDPAErie,52,27931.32,7187.94,5042.8
DRG065,PID390091,RIDPAErie,21,15010.14,5473.42,4712.71
DRG065,PID390113,RIDPAErie,32,19755.62,6911.84,5930.34
DRG065,PID390118,RIDPAErie,18,9061.05,6401.11,5400.22
DRG065,PID390146,RIDPAErie,18,15808.11,7149.77,6210
DRG065,PID390154,RIDPAErie,18,16380.33,5503.44,4626.55
DRG065,PID390178,RIDPAErie,29,16110.96,6495.58,5089.51
DRG066,PID330239,RIDPAErie,12,8113.33,4440.91,3594.58
DRG066,PID390009,RIDPAErie,39,27933.48,5276.48,3986.1
DRG066,PID390063,RIDPAErie,30,27265.93,5529.6,3528.03
DRG066,PID390091,RIDPAErie,15,12222.46,4351.6,3379.06
DRG066,PID390113,RIDPAErie,16,15049.43,4947.56,3894.31
DRG066,PID390154,RIDPAErie,16,11212.12,4020.37,3318.87
DRG066,PID390178,RIDPAErie,27,13649.22,4467.92,3509.55
DRG069,PID390063,RIDPAErie,22,28376.4,5262.5,3109.04
DRG069,PID330239,RIDPAErie,14,10359.57,4219.64,2880.85
DRG069,PID390009,RIDPAErie,49,27900.93,4666.77,3633.06
DRG069,PID390091,RIDPAErie,39,11493.66,3856.43,2933.35
DRG069,PID390113,RIDPAErie,24,14319.12,4422.29,3492.29
DRG069,PID390146,RIDPAErie,13,13256.76,4813.76,4035
DRG069,PID390178,RIDPAErie,16,14194.12,4109.75,2895.93
DRG074,PID390009,RIDPAErie,18,36270.61,5540.44,4667.11
DRG101,PID330239,RIDPAErie,34,7536.2,4278.79,3334.79
DRG101,PID390009,RIDPAErie,17,21574.7,4979.05,4072.7
DRG101,PID390063,RIDPAErie,22,18960.4,4381.9,3467.36
DRG101,PID390091,RIDPAErie,19,9306.26,3980.73,3151.68
DRG101,PID390113,RIDPAErie,19,13332.94,4568.36,3626.89
DRG101,PID390178,RIDPAErie,12,14429,4335,2981.66
DRG149,PID330239,RIDPAErie,11,8228.72,3538,2408.9
DRG149,PID390009,RIDPAErie,29,25214.34,4196.31,2912.31
DRG149,PID390091,RIDPAErie,11,10140.36,3382.54,2359.27
DRG176,PID390009,RIDPAErie,14,44095,6969.07,5927.07
DRG176,PID390063,RIDPAErie,23,51153.82,13606.52,4776.13
DRG176,PID390113,RIDPAErie,11,20137.45,6317.81,5185.81
DRG176,PID390178,RIDPAErie,12,16114.41,5443.25,3686.25
DRG177,PID330239,RIDPAErie,16,30018.68,11443,10319
DRG177,PID390009,RIDPAErie,20,52521.4,12632.7,11481.2
DRG177,PID390063,RIDPAErie,73,54687.08,11641.17,10229.39
DRG177,PID390091,RIDPAErie,33,22373.24,10607.24,9970.84
DRG177,PID390113,RIDPAErie,19,22207.36,12187.26,11758.68
DRG177,PID390118,RIDPAErie,20,20860,11389.8,10773.6
DRG177,PID390178,RIDPAErie,19,31811.89,10780,10134.73
DRG178,PID330239,RIDPAErie,25,20413.36,8496.96,7502.08
DRG178,PID390063,RIDPAErie,31,38078.67,9046.32,7228.12
DRG178,PID390091,RIDPAErie,56,17086.33,7705.53,7068.87
DRG178,PID390113,RIDPAErie,33,21019.39,8655.78,8087.03
DRG178,PID390146,RIDPAErie,16,21928.43,9447.75,8881.75
DRG178,PID390154,RIDPAErie,16,15824.68,7360.81,6445.06
DRG178,PID390178,RIDPAErie,17,19177.05,7830.11,7171.76
DRG189,PID330239,RIDPAErie,45,24712.04,7418.26,6604.88
DRG189,PID390009,RIDPAErie,54,32405.88,8203.37,7286.01
DRG189,PID390063,RIDPAErie,58,43076.43,11539.77,5921.56
DRG189,PID390091,RIDPAErie,12,12010.58,6491.83,6117.16
DRG189,PID390113,RIDPAErie,17,18923.11,7717.47,6985
DRG189,PID390118,RIDPAErie,49,9311.91,7193.28,6231.79
DRG189,PID390122,RIDPAErie,23,8536.95,10059.43,9522.21
DRG189,PID390146,RIDPAErie,26,15478.88,7913.38,7310
DRG189,PID390178,RIDPAErie,13,25118.46,7133.61,6013.15
DRG190,PID330239,RIDPAErie,15,16297.33,6746.13,5262.66
DRG190,PID390009,RIDPAErie,42,33853.02,7577.33,6693.23
DRG190,PID390063,RIDPAErie,39,37331.87,9628.64,5328.05
DRG190,PID390091,RIDPAErie,91,15118.09,6276.46,5422.1
DRG190,PID390104,RIDPAErie,22,13166.86,7655.77,6732.5
DRG190,PID390113,RIDPAErie,48,16437.87,7112.25,6304.62
DRG190,PID390118,RIDPAErie,22,14281.86,6531.59,5855.63
DRG190,PID390122,RIDPAErie,27,6430.29,9148.77,8398.85
DRG190,PID390146,RIDPAErie,43,16356.93,7753.46,7022.3
DRG190,PID390154,RIDPAErie,27,11671.48,5521.88,4768.4
DRG190,PID390178,RIDPAErie,44,17879.52,6540,5429.93
DRG191,PID330239,RIDPAErie,44,11308.52,5362.22,4315.5
DRG191,PID390009,RIDPAErie,45,25251.71,6277.6,5377.68
DRG191,PID390063,RIDPAErie,30,26585.4,5511.66,4952.06
DRG191,PID390091,RIDPAErie,65,12097.26,5060.73,4294.66
DRG191,PID390104,RIDPAErie,22,11237.5,6512,5655.95
DRG191,PID390113,RIDPAErie,39,15817.79,5859.76,5081
DRG191,PID390118,RIDPAErie,24,9669.66,5496.83,4603.33
DRG191,PID390122,RIDPAErie,22,7163,7511.45,6696.9
DRG191,PID390146,RIDPAErie,42,14999.26,6240.59,5495.07
DRG191,PID390154,RIDPAErie,39,10839.12,5008.82,3852.2
DRG191,PID390178,RIDPAErie,38,14468.44,5424.44,4307.5
DRG191,PID390198,RIDPAErie,16,11470.87,7257.62,6558.12
DRG192,PID330239,RIDPAErie,36,10389.69,3919.16,3077.27
DRG192,PID390009,RIDPAErie,29,19337.27,4703.58,3815.72
DRG192,PID390063,RIDPAErie,29,28375.37,4214.24,3596.31
DRG192,PID390091,RIDPAErie,67,9509.38,3830.38,2882.71
DRG192,PID390104,RIDPAErie,19,9621.78,4821.78,3996.1
DRG192,PID390113,RIDPAErie,57,12658.17,4427.01,3476.7
DRG192,PID390118,RIDPAErie,21,10233.8,4067.76,3214.42
DRG192,PID390146,RIDPAErie,29,11261.72,4750.24,3702.93
DRG192,PID390154,RIDPAErie,42,9354.19,3645.95,2736.42
DRG192,PID390178,RIDPAErie,45,11441.24,4105.22,2846.8
DRG192,PID390198,RIDPAErie,30,11774.3,5511.43,4876.36
DRG193,PID330239,RIDPAErie,18,17403.38,7994.5,7189.38
DRG193,PID390009,RIDPAErie,52,36417.23,9348.59,8396.75
DRG193,PID390063,RIDPAErie,82,48320.5,11575.09,6828.79
DRG193,PID390091,RIDPAErie,30,17661.73,7616.93,6978.66
DRG193,PID390104,RIDPAErie,17,19269.52,9363.41,8703.17
DRG193,PID390113,RIDPAErie,23,20662.65,8511.04,7775.56
DRG193,PID390118,RIDPAErie,37,14009,8214.89,7363.43
DRG193,PID390122,RIDPAErie,22,7797.18,11412.04,10746.04
DRG193,PID390146,RIDPAErie,44,23437.27,9367.02,8573.84
DRG193,PID390154,RIDPAErie,18,13572.5,7012.66,6371.61
DRG193,PID390178,RIDPAErie,22,25261.77,8263.81,7446.36
DRG194,PID330239,RIDPAErie,80,12202.65,5646.73,4562.16
DRG194,PID390009,RIDPAErie,41,24510.46,6317.19,5410.75
DRG194,PID390063,RIDPAErie,61,24170.67,5739.44,4608.86
DRG194,PID390091,RIDPAErie,59,14860.1,5349.61,4391
DRG194,PID390104,RIDPAErie,30,14200.66,6677.6,5538.43
DRG194,PID390113,RIDPAErie,41,14091.6,6078.85,5207.09
DRG194,PID390118,RIDPAErie,26,9216.07,5571.96,4234.26
DRG194,PID390122,RIDPAErie,28,6794.78,7699.46,7012.64
DRG194,PID390146,RIDPAErie,38,17988.02,6642.31,5754.52
DRG194,PID390154,RIDPAErie,56,11001.05,5032.25,4229.39
DRG194,PID390178,RIDPAErie,48,17575.41,5637.66,4648.27
DRG194,PID390198,RIDPAErie,32,16948.78,7206.9,6323.71
DRG195,PID330239,RIDPAErie,31,8255.96,4065.09,2933.09
DRG195,PID390009,RIDPAErie,25,17289.64,4617.32,3527.52
DRG195,PID390063,RIDPAErie,19,25335.89,4231.42,3286.57
DRG195,PID390091,RIDPAErie,27,10035.55,3769.48,2936.88
DRG195,PID390104,RIDPAErie,25,11034.24,4747,3890.52
DRG195,PID390113,RIDPAErie,21,11387.9,4345.52,3151.66
DRG195,PID390118,RIDPAErie,17,8012.17,4010.05,3011.23
DRG195,PID390122,RIDPAErie,19,6457.78,5472.63,4476.63
DRG195,PID390146,RIDPAErie,18,11897.33,4599.61,3663.38
DRG195,PID390154,RIDPAErie,33,9033.57,3575.9,2585
DRG195,PID390178,RIDPAErie,40,11832.55,3992.27,2878.37
DRG195,PID390198,RIDPAErie,19,14284.42,5595.05,4766
DRG202,PID390009,RIDPAErie,13,18486.92,5413.84,4552.92
DRG202,PID390063,RIDPAErie,11,27425.81,14961.09,3017.45
DRG202,PID390091,RIDPAErie,19,11294.36,4470.15,3520.26
DRG203,PID390009,RIDPAErie,11,15810.72,3931.45,3111.09
DRG203,PID390178,RIDPAErie,13,11539.07,3419.15,2219.23
DRG252,PID390063,RIDPAErie,37,116365.08,29096.18,13655.27
DRG207,PID390009,RIDPAErie,19,147459.78,31196.94,30455.57
DRG207,PID390063,RIDPAErie,39,181107.51,38706.23,25956.87
DRG207,PID390113,RIDPAErie,12,62449.91,30338.58,28999.66
DRG208,PID390009,RIDPAErie,47,63107.25,14247.97,13410.46
DRG208,PID390063,RIDPAErie,72,83004.2,17117.09,12226.41
DRG208,PID390091,RIDPAErie,21,26301.85,10846.76,10194.04
DRG208,PID390113,RIDPAErie,26,36960.61,13445.96,12633
DRG208,PID390118,RIDPAErie,20,29701.85,12524.65,11796.8
DRG208,PID390178,RIDPAErie,17,25948.05,9176.58,7266.47
DRG238,PID390009,RIDPAErie,43,99716.11,19249.9,17965.27
DRG238,PID390063,RIDPAErie,52,116468.67,20479.5,16587.82
DRG243,PID330239,RIDPAErie,14,41763.42,15906.71,12647.28
DRG243,PID390009,RIDPAErie,14,73430.35,16644.07,15514.35
DRG243,PID390063,RIDPAErie,28,67162.75,14869.82,13944.53
DRG244,PID330239,RIDPAErie,14,36279.28,11294,10171.14
DRG244,PID390009,RIDPAErie,32,70530.71,12752.46,11768.96
DRG244,PID390063,RIDPAErie,25,58175.48,13257.16,10227.48
DRG246,PID390009,RIDPAErie,23,109452.52,20016.04,18126.43
DRG246,PID390063,RIDPAErie,71,127220.8,22695.49,16061.07
DRG247,PID390009,RIDPAErie,139,97777.89,12184.48,10971.85
DRG247,PID390063,RIDPAErie,127,90997.89,15745.76,8936.81
DRG249,PID390009,RIDPAErie,46,81977.91,11119.65,9664.13
DRG249,PID390063,RIDPAErie,32,83118.43,12137.09,8899.75
DRG251,PID390009,RIDPAErie,25,74199.8,11259.08,10076.36
DRG251,PID390063,RIDPAErie,14,58332,12598.64,7947.64
DRG253,PID390009,RIDPAErie,26,96801.42,15105.96,13809.5
DRG253,PID390063,RIDPAErie,49,94856.02,17272.06,12747.48
DRG254,PID390009,RIDPAErie,24,60963.25,9985.5,8961.16
DRG291,PID390154,RIDPAErie,33,12137.51,6981.27,6470.6
DRG280,PID330239,RIDPAErie,29,23381.03,9687.89,8801.13
DRG280,PID390009,RIDPAErie,46,61915.19,12696.52,10680.08
DRG280,PID390063,RIDPAErie,64,62099.07,17128.32,8504.67
DRG280,PID390091,RIDPAErie,17,12259.82,7682.29,7155.23
DRG280,PID390113,RIDPAErie,16,24561.31,10230.06,9601.31
DRG280,PID390118,RIDPAErie,15,17722.93,9930.8,9035.86
DRG280,PID390146,RIDPAErie,17,20962.7,11001.58,10274.76
DRG280,PID390154,RIDPAErie,15,12611.86,7070.86,6546.86
DRG280,PID390178,RIDPAErie,19,21214.57,8236.73,7089.57
DRG281,PID330239,RIDPAErie,19,14126.73,6441.68,5551.36
DRG281,PID390009,RIDPAErie,21,38262.52,7459.38,6606.04
DRG281,PID390063,RIDPAErie,31,41180.9,6692.48,5929.77
DRG281,PID390113,RIDPAErie,11,14582.45,6180.36,5874.54
DRG281,PID390154,RIDPAErie,11,9356.45,5519.72,4599.36
DRG282,PID330239,RIDPAErie,15,10140.06,4302.6,3627.66
DRG282,PID390009,RIDPAErie,11,28092.81,5144.63,4224.27
DRG282,PID390063,RIDPAErie,12,36604.5,4638.5,3797.5
DRG282,PID390091,RIDPAErie,11,6884.63,3996,3593.09
DRG286,PID390009,RIDPAErie,20,60741.9,12277.1,11494.3
DRG286,PID390063,RIDPAErie,22,83047.63,27998.86,8823.09
DRG287,PID330239,RIDPAErie,12,17052.83,5823.16,4798.83
DRG287,PID390009,RIDPAErie,122,35696.49,6918.42,5901.67
DRG287,PID390063,RIDPAErie,74,49039.78,9592.83,4642.51
DRG287,PID390113,RIDPAErie,15,23681.46,6609.06,4904.8
DRG287,PID390198,RIDPAErie,13,16651.53,7654.38,7071.53
DRG291,PID330239,RIDPAErie,44,16385.43,8192.4,7411.43
DRG291,PID390009,RIDPAErie,112,48866.17,9990.5,9345.91
DRG291,PID390063,RIDPAErie,144,65836.85,9835.48,7921.33
DRG291,PID390091,RIDPAErie,63,18793.03,7696.36,7102.98
DRG291,PID390104,RIDPAErie,17,26329.82,11205.82,10645.47
DRG291,PID390113,RIDPAErie,16,17166.37,8527.31,7755.06
DRG291,PID390118,RIDPAErie,19,12829.21,8397.1,7745.1
DRG291,PID390122,RIDPAErie,20,8240.9,11101.6,10542
DRG291,PID390146,RIDPAErie,22,28237.22,9794.9,9257.45
DRG291,PID390178,RIDPAErie,42,23805.54,8419.73,7499.9
DRG292,PID330239,RIDPAErie,83,12806.26,5712.91,4688.02
DRG292,PID390009,RIDPAErie,122,34890.98,6709.8,5951.86
DRG292,PID390063,RIDPAErie,80,40549.03,6798.61,5026.33
DRG292,PID390091,RIDPAErie,50,11769.8,5198.3,4637.42
DRG292,PID390104,RIDPAErie,55,15772.58,6843.87,6252.23
DRG292,PID390113,RIDPAErie,45,16703.26,6163.48,5416.64
DRG292,PID390118,RIDPAErie,19,9417.42,5546.42,4568.05
DRG292,PID390122,RIDPAErie,25,7376.68,7846.04,7259.96
DRG292,PID390146,RIDPAErie,46,15357.36,6604.1,5847.5
DRG292,PID390154,RIDPAErie,57,10688.19,5015.94,4443.94
DRG292,PID390178,RIDPAErie,62,17231.41,5879.8,5076.38
DRG292,PID390198,RIDPAErie,25,14501.4,7670,7134.32
DRG293,PID330239,RIDPAErie,27,7878.81,3753.85,2921.25
DRG293,PID390009,RIDPAErie,53,20675.2,4413.94,3757.26
DRG293,PID390063,RIDPAErie,38,22894,3917.57,3206
DRG293,PID390091,RIDPAErie,34,8495.76,3484.17,2594.64
DRG293,PID390104,RIDPAErie,23,8017.65,4483.39,3607.21
