drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390058,RIDPAHarrisburg,22,46258.04,5956.95,4083.68
DRG039,PID390151,RIDPAHarrisburg,17,20269.05,6053.17,5330.11
DRG039,PID390256,RIDPAHarrisburg,19,28563.1,8643.42,7756.47
DRG057,PID390004,RIDPAHarrisburg,31,21212.25,4771.48,3831.35
DRG057,PID390066,RIDPAHarrisburg,21,17686.33,5397.71,4376.57
DRG057,PID390067,RIDPAHarrisburg,30,13786.73,6625.1,5125.8
DRG057,PID390151,RIDPAHarrisburg,15,13852.93,5368.86,4620.6
DRG057,PID390256,RIDPAHarrisburg,21,37324.8,11198.66,9527.47
DRG064,PID390004,RIDPAHarrisburg,26,34969.26,9668.5,9062.65
DRG064,PID390065,RIDPAHarrisburg,15,24257.8,11520.66,9584.2
DRG064,PID390067,RIDPAHarrisburg,51,26328.41,12285.07,10399.21
DRG064,PID390151,RIDPAHarrisburg,25,28687.52,10816.64,9010.36
DRG064,PID390256,RIDPAHarrisburg,87,43750.54,17392.77,16067.47
DRG065,PID390004,RIDPAHarrisburg,58,27606.39,5845.22,4990.87
DRG065,PID390048,RIDPAHarrisburg,17,13634.29,6539.94,5746.52
DRG065,PID390058,RIDPAHarrisburg,25,22309.88,6118.2,4737.4
DRG065,PID390065,RIDPAHarrisburg,29,17122.55,7501.51,5289.62
DRG065,PID390066,RIDPAHarrisburg,28,17475.07,6566.28,5642.14
DRG065,PID390067,RIDPAHarrisburg,84,17533.85,7945.32,6628.22
DRG065,PID390138,RIDPAHarrisburg,21,22901.28,7770.19,6806
DRG065,PID390151,RIDPAHarrisburg,53,24837.54,7069.26,5779.35
DRG065,PID390256,RIDPAHarrisburg,85,30409.38,10796.56,9524.24
DRG066,PID390004,RIDPAHarrisburg,46,21294.02,4342.78,3323.02
DRG066,PID390048,RIDPAHarrisburg,23,12068.91,5153.91,3779.08
DRG066,PID390066,RIDPAHarrisburg,28,16870.28,4803.64,3626.39
DRG066,PID390067,RIDPAHarrisburg,50,14201.88,5805.18,4673.94
DRG066,PID390151,RIDPAHarrisburg,38,20678.39,5282.65,3739.28
DRG066,PID390256,RIDPAHarrisburg,50,25755,7641.26,6615.32
DRG069,PID390004,RIDPAHarrisburg,56,20834.03,3915.92,2981.67
DRG069,PID390048,RIDPAHarrisburg,14,12431,4545.28,3748.14
DRG069,PID390058,RIDPAHarrisburg,38,14328.81,3937.81,2731.15
DRG069,PID390065,RIDPAHarrisburg,12,15420.66,4304.66,3178
DRG069,PID390066,RIDPAHarrisburg,52,14744.67,4250.19,3203.71
DRG069,PID390067,RIDPAHarrisburg,37,13827.48,5312.89,4236.45
DRG069,PID390138,RIDPAHarrisburg,14,15874.14,5464.5,3825.85
DRG069,PID390151,RIDPAHarrisburg,51,17814.88,4363.29,3481.72
DRG069,PID390256,RIDPAHarrisburg,62,22447.75,6900.32,5574.74
DRG074,PID390067,RIDPAHarrisburg,12,14916.41,6252.58,5137.66
DRG074,PID390151,RIDPAHarrisburg,18,20900.94,5629.61,4201.77
DRG101,PID390004,RIDPAHarrisburg,22,19851.45,4084.27,3269.72
DRG101,PID390066,RIDPAHarrisburg,23,15986.95,4582.26,3410.95
DRG101,PID390067,RIDPAHarrisburg,47,14724.74,5671.63,4291.7
DRG101,PID390151,RIDPAHarrisburg,43,16770.81,4741.95,3439.25
DRG101,PID390256,RIDPAHarrisburg,39,18145.53,7121.48,5811.97
DRG149,PID390004,RIDPAHarrisburg,19,18523.78,3422.15,2421.1
DRG149,PID390058,RIDPAHarrisburg,11,16967.63,3384.09,2560.81
DRG149,PID390066,RIDPAHarrisburg,21,12575.61,3672.04,2547.66
