drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390110,RIDPAJohnstown,22,15863.27,6220.18,5196.9
DRG057,PID390110,RIDPAJohnstown,41,11206.8,6048.9,5222.29
DRG064,PID390110,RIDPAJohnstown,44,25634.88,11882.43,11194.34
DRG065,PID390039,RIDPAJohnstown,12,19371.66,6423.83,5488.5
DRG065,PID390110,RIDPAJohnstown,54,16675.7,7540.27,6843.64
DRG066,PID390110,RIDPAJohnstown,28,14711.57,5438.71,4518
DRG069,PID390110,RIDPAJohnstown,59,14034.67,5006.15,4112.86
DRG074,PID390110,RIDPAJohnstown,24,13103.66,5697.79,5081.16
DRG101,PID390110,RIDPAJohnstown,56,11114.07,5108.03,4323.1
DRG149,PID390110,RIDPAJohnstown,27,10106.22,4185.85,3183.18
DRG176,PID390110,RIDPAJohnstown,23,17303.52,7037.78,6447.17
DRG177,PID390039,RIDPAJohnstown,14,24207.78,10877.92,10157.07
DRG177,PID390110,RIDPAJohnstown,50,25847.16,13297.72,12531.32
DRG178,PID390110,RIDPAJohnstown,19,20303.57,9461,8689.84
DRG189,PID390110,RIDPAJohnstown,36,18453.83,8421.3,7644.83
DRG190,PID390039,RIDPAJohnstown,13,15639.53,6643.76,6128.69
DRG190,PID390110,RIDPAJohnstown,81,17618.32,7888.59,6820.19
DRG190,PID390130,RIDPAJohnstown,25,14832.04,6716.16,5950.24
DRG191,PID390039,RIDPAJohnstown,20,13843.75,5304.5,4405.3
DRG191,PID390110,RIDPAJohnstown,54,12425.14,6120.38,5400.12
DRG192,PID390039,RIDPAJohnstown,13,9868.15,4017,3148.69
DRG192,PID390110,RIDPAJohnstown,39,10807,4805.15,3999.82
DRG192,PID390130,RIDPAJohnstown,15,8233.73,4288.2,3460.2
DRG193,PID390039,RIDPAJohnstown,20,21434.35,8170,7274
DRG193,PID390110,RIDPAJohnstown,86,23814.37,9720.8,8852.91
DRG193,PID390112,RIDPAJohnstown,15,18021,7606.2,6575.73
DRG193,PID390130,RIDPAJohnstown,28,20761.71,8522.6,7563.75
DRG194,PID390039,RIDPAJohnstown,14,18466.5,5646.85,4845.14
DRG194,PID390110,RIDPAJohnstown,76,13830.67,6516.72,5734.03
DRG194,PID390130,RIDPAJohnstown,17,16255.47,5763,5100.88
DRG195,PID390110,RIDPAJohnstown,28,14440.46,5094.35,3935.25
DRG202,PID390110,RIDPAJohnstown,24,12730,5623.62,4658.2
DRG207,PID390110,RIDPAJohnstown,28,62857.67,30644.71,29276.6
DRG208,PID390110,RIDPAJohnstown,47,37935.7,14683.23,14019.65
DRG238,PID390110,RIDPAJohnstown,20,54589.9,18755.15,17855.95
DRG243,PID390110,RIDPAJohnstown,31,35427.38,15821.8,14914.06
DRG244,PID390110,RIDPAJohnstown,33,28726.81,12492.78,11489
DRG246,PID390110,RIDPAJohnstown,42,62722.95,19749.5,18867.69
DRG247,PID390110,RIDPAJohnstown,127,44054.25,12086.49,10956.56
DRG249,PID390110,RIDPAJohnstown,30,35448.83,10872.36,9980.63
DRG252,PID390110,RIDPAJohnstown,23,59525.73,19994.21,19189.08
DRG253,PID390110,RIDPAJohnstown,14,39740.28,15022.42,14377.85
DRG280,PID390110,RIDPAJohnstown,72,27346.61,11835.83,11163.76
DRG281,PID390110,RIDPAJohnstown,22,17092.31,7815.86,7151.31
DRG282,PID390110,RIDPAJohnstown,16,13544.18,5176.5,4264.75
DRG286,PID390110,RIDPAJohnstown,16,28219.31,12647.62,11735.87
DRG287,PID390110,RIDPAJohnstown,105,19462,7057.72,5935.77
DRG291,PID390039,RIDPAJohnstown,15,23667.53,7883.73,7433.06
DRG291,PID390110,RIDPAJohnstown,125,26331.28,10245.46,9601.54
DRG291,PID390112,RIDPAJohnstown,15,16834.93,7377.8,6705
DRG292,PID390039,RIDPAJohnstown,21,14902.14,5596.52,4628.71
DRG292,PID390110,RIDPAJohnstown,147,15281.89,6872.63,6168.46
DRG292,PID390112,RIDPAJohnstown,18,14668.61,5336.33,4270.77
DRG292,PID390130,RIDPAJohnstown,15,11970.8,5645.66,4746.46
DRG293,PID390110,RIDPAJohnstown,67,10571.37,4639.76,3950.38
DRG293,PID390112,RIDPAJohnstown,13,8795.23,3449.38,2581.07
DRG300,PID390110,RIDPAJohnstown,34,13058.11,6234.05,5575.7
DRG301,PID390110,RIDPAJohnstown,17,7850.52,4215.64,3290.94
DRG303,PID390110,RIDPAJohnstown,34,9818.23,3930.5,3236.02
DRG305,PID390110,RIDPAJohnstown,12,9733.75,4067.16,3134.5
