drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390100,RIDPALancaster,51,18478.94,6225.17,4992.6
DRG039,PID390225,RIDPALancaster,11,23510,5646.63,4514.63
DRG057,PID390076,RIDPALancaster,22,38563.95,5508.18,4637.81
DRG057,PID390100,RIDPALancaster,37,23315.48,5601.45,4794.59
DRG064,PID390076,RIDPALancaster,11,76901.9,10329.18,9823.36
DRG064,PID390100,RIDPALancaster,128,28618.35,10882.32,9828.82
DRG064,PID390225,RIDPALancaster,13,29876.53,9351.84,8493.38
DRG065,PID390061,RIDPALancaster,15,29382.33,6835.26,5298.53
DRG065,PID390076,RIDPALancaster,26,51103.57,6944.46,6165.69
DRG065,PID390100,RIDPALancaster,137,20439.97,6529.9,5595.89
DRG065,PID390225,RIDPALancaster,33,20907.72,6614.48,5420.24
DRG066,PID390076,RIDPALancaster,18,38657.61,4950.83,4135.05
DRG066,PID390100,RIDPALancaster,51,14732.17,5017.88,3784.7
DRG066,PID390220,RIDPALancaster,15,35195.53,4983,4305.93
DRG066,PID390225,RIDPALancaster,15,16097.8,4465.46,3492.93
DRG069,PID390076,RIDPALancaster,38,33917.23,4529.84,3504.65
DRG069,PID390100,RIDPALancaster,109,16158.83,4472.78,3376.56
DRG069,PID390220,RIDPALancaster,28,31085.39,4408.14,3566
DRG069,PID390225,RIDPALancaster,48,17797.16,4204.14,2984.47
DRG074,PID390100,RIDPALancaster,28,27236.64,6237.85,4415.14
DRG101,PID390076,RIDPALancaster,15,30187.33,4593.33,3709.06
DRG101,PID390100,RIDPALancaster,26,17639.07,4653.15,3517.8
DRG149,PID390100,RIDPALancaster,20,13727.55,3837.75,2713.75
DRG176,PID390076,RIDPALancaster,12,46928,6376.66,5341.66
DRG176,PID390100,RIDPALancaster,50,23213.32,6417.58,5652.3
DRG176,PID390225,RIDPALancaster,16,28850.81,5934.75,4952.25
DRG177,PID390061,RIDPALancaster,16,44553.62,11688.12,11051.37
DRG177,PID390068,RIDPALancaster,17,27835.52,11384.05,9965.41
DRG177,PID390076,RIDPALancaster,18,81622.22,12387.94,11607.16
DRG177,PID390100,RIDPALancaster,101,36364.68,11695.08,11000.29
DRG177,PID390220,RIDPALancaster,16,63800.5,11463.56,10758.06
DRG177,PID390225,RIDPALancaster,16,43472.81,10423.93,9649.68
DRG178,PID390076,RIDPALancaster,18,64750.61,9149.55,7372.88
DRG178,PID390100,RIDPALancaster,61,27189.9,8990.27,7708.04
DRG178,PID390220,RIDPALancaster,26,68120.26,8839.5,8185.38
DRG189,PID390061,RIDPALancaster,15,37804.2,7297.6,6471.73
DRG189,PID390076,RIDPALancaster,28,58006.07,7956,7121.92
DRG189,PID390100,RIDPALancaster,50,33762.44,8164.1,6726.84
DRG189,PID390225,RIDPALancaster,26,32702.57,8785.11,5870.57
DRG190,PID390061,RIDPALancaster,26,33668.19,7052.15,5349.26
DRG190,PID390068,RIDPALancaster,20,21013.2,6708.25,5919.05
DRG190,PID390076,RIDPALancaster,52,45192.59,7226.34,6161.61
DRG190,PID390100,RIDPALancaster,151,28438.89,7531.86,6021.27
DRG190,PID390220,RIDPALancaster,32,39329.25,7125.87,6260.21
DRG190,PID390225,RIDPALancaster,34,30248.5,6502.05,5776.17
DRG191,PID390068,RIDPALancaster,14,18860.07,5714.5,4777.71
DRG191,PID390076,RIDPALancaster,44,46170.72,6012.77,4961.38
DRG191,PID390100,RIDPALancaster,103,22140.23,6081.86,4860.86
DRG191,PID390220,RIDPALancaster,22,42686.04,5787.27,5132.68
DRG191,PID390225,RIDPALancaster,48,22021.56,5389.64,4438.95
DRG192,PID390061,RIDPALancaster,15,18198.86,4113.4,3143
DRG192,PID390076,RIDPALancaster,43,36571.06,4592.39,3636.23
DRG192,PID390100,RIDPALancaster,54,16804.81,4809.64,3237.79
DRG192,PID390220,RIDPALancaster,31,26092.9,4379.61,3432.25
DRG192,PID390225,RIDPALancaster,30,17821.7,4188.9,2776.06
DRG193,PID390061,RIDPALancaster,25,36232.72,8741.24,7489.84
DRG193,PID390068,RIDPALancaster,28,24654.35,8209.64,7284.35
DRG193,PID390076,RIDPALancaster,35,62421.34,8901.4,8170.17
DRG193,PID390100,RIDPALancaster,161,29790.6,9364.32,7886.86
DRG193,PID390220,RIDPALancaster,37,44295.48,8680.18,8011.43
DRG193,PID390225,RIDPALancaster,53,32191.67,7970.52,6890.39
DRG194,PID390061,RIDPALancaster,19,29073.94,5675.1,4851.1
DRG194,PID390068,RIDPALancaster,22,21293.72,5771.9,4751.54
DRG194,PID390076,RIDPALancaster,55,43312.01,6222.43,4958.96
DRG194,PID390100,RIDPALancaster,150,21335.3,6291.94,5034.34
DRG194,PID390220,RIDPALancaster,73,41502.95,6034.36,5201.82
DRG194,PID390225,RIDPALancaster,83,23348.84,6102,4324.21
DRG195,PID390076,RIDPALancaster,20,28048.15,4341.5,3329.1
DRG195,PID390100,RIDPALancaster,37,13736.78,4591.7,3063.62
DRG195,PID390220,RIDPALancaster,54,24502.38,4257.03,3381.33
DRG195,PID390225,RIDPALancaster,22,15414.81,4000.72,2675.59
DRG202,PID390076,RIDPALancaster,18,31432.27,5168.5,4172.94
DRG202,PID390100,RIDPALancaster,55,19590.92,5266.49,3943.54
DRG203,PID390076,RIDPALancaster,17,24517.52,4164.35,2719.29
DRG203,PID390100,RIDPALancaster,13,23422.23,3636,2836.07
DRG203,PID390220,RIDPALancaster,11,21590.36,3657.09,2636.72
DRG207,PID390100,RIDPALancaster,23,108407.6,31464.39,30445.39
DRG208,PID390076,RIDPALancaster,20,99501.15,14526.5,12400.5
DRG208,PID390100,RIDPALancaster,59,57178.3,15119.42,14285.91
DRG238,PID390100,RIDPALancaster,45,52510.71,18987.15,16913.8
DRG243,PID390100,RIDPALancaster,82,70968.52,16475.43,15536.68
DRG244,PID390076,RIDPALancaster,13,130537.3,13015.53,11886
DRG244,PID390100,RIDPALancaster,53,53692.86,12395.67,11486.9
DRG244,PID390225,RIDPALancaster,12,32650.25,11808.25,9431
DRG246,PID390100,RIDPALancaster,38,78875.81,21305.39,19330.13
DRG247,PID390061,RIDPALancaster,29,74424.58,11758.13,10195.75
DRG247,PID390076,RIDPALancaster,44,211082.43,14374.7,12914.97
DRG247,PID390100,RIDPALancaster,154,52988.37,13236.95,10312.7
DRG249,PID390076,RIDPALancaster,11,220942.54,15464,14438
DRG249,PID390100,RIDPALancaster,43,47084.86,10735.88,9689.55
DRG251,PID390100,RIDPALancaster,98,56597,10906.13,10002.41
