drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID310021,RIDPAPhiladelphia,13,46107.46,7859.53,6737.38
DRG039,PID310081,RIDPAPhiladelphia,39,38779.2,6463.84,5423.02
DRG039,PID390108,RIDPAPhiladelphia,14,46515.71,6942.42,5465.85
DRG039,PID390111,RIDPAPhiladelphia,27,67320.14,10129,8788.77
DRG039,PID390139,RIDPAPhiladelphia,29,23006.72,6742.31,5053.03
DRG039,PID390153,RIDPAPhiladelphia,25,20142.88,6357.68,4847.08
DRG039,PID390174,RIDPAPhiladelphia,25,51713.8,9313.24,7045.64
DRG039,PID390179,RIDPAPhiladelphia,11,20250,5986,5065.63
DRG039,PID390180,RIDPAPhiladelphia,13,77177.23,7469.84,6432.3
DRG039,PID390195,RIDPAPhiladelphia,18,22139.11,7097.55,6093.11
DRG039,PID390223,RIDPAPhiladelphia,13,65682.38,8886,6318.92
DRG039,PID390226,RIDPAPhiladelphia,22,39054.81,7960.09,6991.18
DRG039,PID390231,RIDPAPhiladelphia,17,40088.58,6881.35,5825.35
DRG039,PID390258,RIDPAPhiladelphia,19,40932.84,7512.1,4533.52
DRG057,PID310005,RIDPAPhiladelphia,16,21006.12,6476.56,5633.56
DRG057,PID310044,RIDPAPhiladelphia,11,36907.9,6122.72,5099.45
DRG057,PID310081,RIDPAPhiladelphia,23,38799.6,5975.47,5047.3
DRG057,PID310092,RIDPAPhiladelphia,22,63740.68,6628.09,6030.81
DRG057,PID310110,RIDPAPhiladelphia,25,37230.16,5531.64,4585.88
DRG057,PID390026,RIDPAPhiladelphia,23,35448.17,5902.43,4972.86
DRG057,PID390027,RIDPAPhiladelphia,21,72530.42,11260.8,10620.04
DRG057,PID390080,RIDPAPhiladelphia,23,42114.69,6014.65,4705.95
DRG057,PID390097,RIDPAPhiladelphia,25,30705.72,5583.88,4953.8
DRG057,PID390111,RIDPAPhiladelphia,24,62964.25,9922.41,9263.41
DRG057,PID390115,RIDPAPhiladelphia,15,33559.6,6427.06,5344.53
DRG057,PID390116,RIDPAPhiladelphia,12,28922.08,7158.66,6689.66
DRG057,PID390139,RIDPAPhiladelphia,35,44919.37,6031.05,5041.6
DRG057,PID390142,RIDPAPhiladelphia,16,53388.12,12835.31,11490.31
DRG057,PID390153,RIDPAPhiladelphia,19,37631.89,5440.31,4551.68
DRG057,PID390156,RIDPAPhiladelphia,27,59012.03,9155.33,8407.77
DRG057,PID390174,RIDPAPhiladelphia,59,47967.28,9725.4,7703.16
DRG057,PID390180,RIDPAPhiladelphia,33,80348.21,7427.21,6611.69
DRG057,PID390195,RIDPAPhiladelphia,15,31604,6589.33,5177.53
DRG057,PID390204,RIDPAPhiladelphia,20,33099.4,5587.4,4688.2
DRG057,PID390222,RIDPAPhiladelphia,13,36333.07,5225.23,4359.38
DRG057,PID390223,RIDPAPhiladelphia,25,24425.76,7180.8,6508
DRG057,PID390226,RIDPAPhiladelphia,30,32776.7,7397.43,6190.76
DRG057,PID390231,RIDPAPhiladelphia,34,42874.14,6317.26,5381.41
DRG057,PID390258,RIDPAPhiladelphia,22,21830.22,5409.72,4439.36
DRG057,PID390290,RIDPAPhiladelphia,26,101689.34,9848.8,8247.96
DRG064,PID310005,RIDPAPhiladelphia,13,48518.3,13541.53,12932
DRG064,PID310081,RIDPAPhiladelphia,13,66472.76,11530.84,10665
DRG064,PID310092,RIDPAPhiladelphia,175,167546.42,15890,14599.4
DRG064,PID310110,RIDPAPhiladelphia,17,65895.23,11171.88,10380.35
DRG064,PID390026,RIDPAPhiladelphia,16,109984.12,12785.5,11311.81
DRG064,PID390027,RIDPAPhiladelphia,36,154644.02,21040.02,20289.8
DRG064,PID390081,RIDPAPhiladelphia,15,150975.33,13963.66,13142.06
DRG064,PID390111,RIDPAPhiladelphia,55,124335.05,20652.4,19986.4
DRG064,PID390115,RIDPAPhiladelphia,27,60528.44,13268,12265.85
DRG064,PID390139,RIDPAPhiladelphia,31,78434.96,10718.83,9765.12
DRG064,PID390142,RIDPAPhiladelphia,20,66432.8,20705.05,18993.95
DRG064,PID390153,RIDPAPhiladelphia,31,54328,10660.93,9175.87
DRG064,PID390156,RIDPAPhiladelphia,19,84003.21,14956.21,14305.94
DRG064,PID390174,RIDPAPhiladelphia,152,100441.47,18462.65,17672.93
DRG064,PID390179,RIDPAPhiladelphia,17,39828.35,10836.23,10059.47
DRG064,PID390180,RIDPAPhiladelphia,38,225088,16539.92,15684.86
