drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID360211,RIDPAPittsburgh,14,19495.71,5664.71,4782.14
DRG039,PID390050,RIDPAPittsburgh,26,23118.26,7177.92,6399.15
DRG039,PID390086,RIDPAPittsburgh,31,13167.19,6239.51,5062.93
DRG039,PID390145,RIDPAPittsburgh,11,10425.36,5427.18,4409.72
DRG039,PID390164,RIDPAPittsburgh,20,59151.9,8074.2,6425.5
DRG039,PID390168,RIDPAPittsburgh,13,26107.15,5435.53,4393.07
DRG039,PID390265,RIDPAPittsburgh,20,16710.3,5182,4397.6
DRG039,PID510050,RIDPAPittsburgh,20,11842.35,5592.4,4636.6
DRG057,PID360211,RIDPAPittsburgh,13,9788.38,4919.92,4143.61
DRG057,PID390002,RIDPAPittsburgh,22,17544.4,7637.09,7075.45
DRG057,PID390028,RIDPAPittsburgh,17,17916.17,8128.11,7469.76
DRG057,PID390032,RIDPAPittsburgh,14,12095.42,5065.71,4340.28
DRG057,PID390036,RIDPAPittsburgh,24,7608.45,5353.37,4499.91
DRG057,PID390050,RIDPAPittsburgh,17,28731.88,8269.23,7607.11
DRG057,PID390102,RIDPAPittsburgh,22,16852.09,6726.09,5448.13
DRG057,PID390107,RIDPAPittsburgh,23,14723.65,4637.65,3456.52
DRG057,PID390145,RIDPAPittsburgh,19,14503.21,4812.15,4046.05
DRG057,PID390147,RIDPAPittsburgh,11,13255.54,4198.54,3581.09
DRG057,PID390163,RIDPAPittsburgh,12,9042.33,5219.58,4284.25
DRG057,PID390164,RIDPAPittsburgh,42,38221.04,8325.42,7202.14
DRG057,PID390219,RIDPAPittsburgh,17,9405.11,5441.23,4588.76
DRG057,PID390228,RIDPAPittsburgh,15,18166.86,4606.86,3411.73
DRG057,PID390265,RIDPAPittsburgh,11,9811.27,4313.72,3390.45
DRG057,PID390267,RIDPAPittsburgh,16,11394.68,4823.18,3980.18
DRG064,PID360211,RIDPAPittsburgh,29,16137.34,10156.89,9578
DRG064,PID390028,RIDPAPittsburgh,48,42043.7,15093.14,13292.37
DRG064,PID390036,RIDPAPittsburgh,15,15199.33,10472.8,9722.4
DRG064,PID390041,RIDPAPittsburgh,12,9539.08,9810.41,8966.75
DRG064,PID390042,RIDPAPittsburgh,13,22726.3,9933.46,9503
DRG064,PID390050,RIDPAPittsburgh,101,55112.74,14515.68,13501.18
DRG064,PID390086,RIDPAPittsburgh,14,22214.14,9576.85,8853.71
DRG064,PID390102,RIDPAPittsburgh,21,30134.8,12091.57,10908.23
DRG064,PID390107,RIDPAPittsburgh,18,26209.5,9371.11,8440.22
DRG064,PID390145,RIDPAPittsburgh,14,22332.07,10153.57,8192.78
DRG064,PID390147,RIDPAPittsburgh,13,20932.07,8875.76,8184.07
DRG064,PID390160,RIDPAPittsburgh,14,16623.85,8174.28,7455.71
DRG064,PID390164,RIDPAPittsburgh,166,104702.69,15857.68,14100.66
DRG064,PID390168,RIDPAPittsburgh,16,32706,9437.56,8661.31
DRG064,PID390173,RIDPAPittsburgh,18,19231.33,9505.77,8628.88
DRG064,PID390217,RIDPAPittsburgh,11,23766.45,9666.09,8639.9
DRG064,PID390228,RIDPAPittsburgh,17,28544.7,9546.64,7952.64
DRG064,PID390265,RIDPAPittsburgh,16,11572.31,8861.37,8087.12
DRG064,PID390267,RIDPAPittsburgh,17,23742.29,10062.82,9269.41
DRG064,PID510039,RIDPAPittsburgh,15,21238.66,10122.46,9300.86
DRG064,PID510050,RIDPAPittsburgh,12,16170.66,9771.25,8830.58
DRG065,PID360211,RIDPAPittsburgh,47,13748.25,6208.91,5329.23
DRG065,PID390002,RIDPAPittsburgh,18,20068.05,8047.77,6660.22
DRG065,PID390028,RIDPAPittsburgh,41,29913.85,9790.34,8443.87
DRG065,PID390032,RIDPAPittsburgh,15,16089.66,6453.93,4962.73
DRG065,PID390036,RIDPAPittsburgh,28,17604.42,7044.71,5687.39
DRG065,PID390041,RIDPAPittsburgh,14,8717.85,6718.71,6076.42
DRG065,PID390042,RIDPAPittsburgh,23,16410.17,6639.43,6006.56
DRG065,PID390050,RIDPAPittsburgh,88,38352.75,9515.09,8482.02
DRG065,PID390086,RIDPAPittsburgh,38,12652.34,6030.57,5110.47
DRG065,PID390093,RIDPAPittsburgh,14,9854.14,6743.85,5780.42
DRG065,PID390102,RIDPAPittsburgh,38,21655.92,7676.07,5861.42
DRG065,PID390107,RIDPAPittsburgh,47,21640.31,5547.8,4555.63
DRG065,PID390145,RIDPAPittsburgh,38,16154.23,6510.18,4835.47
DRG065,PID390147,RIDPAPittsburgh,30,18301.4,5642.8,4730.96
DRG065,PID390163,RIDPAPittsburgh,20,13783.1,6489.1,5481.5
DRG065,PID390164,RIDPAPittsburgh,142,69011.35,9999.95,8508.36
DRG065,PID390168,RIDPAPittsburgh,35,19955.8,5963.34,4890.68
DRG065,PID390173,RIDPAPittsburgh,24,11557.37,6134.41,5359.95
DRG065,PID390217,RIDPAPittsburgh,11,20081.63,6413.45,4789.36
DRG065,PID390219,RIDPAPittsburgh,25,16989.44,7119.2,6218.72
DRG065,PID390228,RIDPAPittsburgh,33,15208.03,5681.21,4473.12
DRG065,PID390265,RIDPAPittsburgh,43,12620.95,5981.13,5057.06
DRG065,PID390267,RIDPAPittsburgh,46,18363.58,6287.08,5477.78
DRG065,PID510013,RIDPAPittsburgh,13,10834.92,6099.69,5228.92
DRG065,PID510023,RIDPAPittsburgh,13,15685,5763.23,4902.3
DRG065,PID510039,RIDPAPittsburgh,19,20206.52,6475.05,5414.21
DRG065,PID510050,RIDPAPittsburgh,44,13979.7,6490.79,5574.06
DRG066,PID360211,RIDPAPittsburgh,24,10145.5,4505.83,3577
DRG066,PID390002,RIDPAPittsburgh,13,16975.23,6439.92,5320.23
