drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390031,RIDPAReading,14,10625.21,5274,4438.71
DRG039,PID390044,RIDPAReading,30,20686.66,6894.8,5954.66
DRG057,PID390030,RIDPAReading,18,15562.77,6743.33,5995.77
DRG057,PID390031,RIDPAReading,14,9218,4617.64,4056.21
DRG057,PID390044,RIDPAReading,37,22181.64,6675.05,5856.78
DRG057,PID390123,RIDPAReading,18,27223.55,5444.16,4631.94
DRG064,PID390031,RIDPAReading,19,21009.15,9650,8820.94
DRG064,PID390044,RIDPAReading,83,34478.28,12730.31,11437.19
DRG064,PID390123,RIDPAReading,12,108789.75,11348.41,10410.41
DRG065,PID390030,RIDPAReading,25,18336.8,7122,6176.24
DRG065,PID390031,RIDPAReading,33,14485.48,6259,5017.51
DRG065,PID390044,RIDPAReading,116,24291.09,7951.88,7086.21
DRG065,PID390096,RIDPAReading,34,25906.17,7667.41,6743.64
DRG065,PID390123,RIDPAReading,27,50775.85,6738.18,5822.92
DRG066,PID390030,RIDPAReading,19,12551.78,4875.89,4106.42
DRG066,PID390031,RIDPAReading,15,12890.06,4245,3270.33
DRG066,PID390044,RIDPAReading,70,18244.47,5950.98,4624.75
DRG066,PID390096,RIDPAReading,17,22290.64,5706.35,4108.64
DRG066,PID390123,RIDPAReading,26,40197.38,4942.88,3685.53
DRG069,PID390030,RIDPAReading,44,8954.34,4567.88,3328.59
DRG069,PID390031,RIDPAReading,24,9492.37,3786,2765.45
DRG069,PID390044,RIDPAReading,127,17293.8,5177.28,4166.48
DRG069,PID390096,RIDPAReading,20,18739.45,5259.85,3745.45
DRG069,PID390123,RIDPAReading,32,28115.4,4284.46,3371.71
DRG069,PID390313,RIDPAReading,15,11112.53,4011.6,3112.4
DRG074,PID390030,RIDPAReading,11,13358.9,5298.54,4381.09
DRG074,PID390044,RIDPAReading,23,22514.17,6209,5227.43
DRG074,PID390123,RIDPAReading,11,31391,5064,4349.45
DRG101,PID390030,RIDPAReading,13,11356.76,5306.3,4440.46
DRG101,PID390044,RIDPAReading,58,18584.6,5613.18,4307.39
DRG101,PID390096,RIDPAReading,11,18642.27,4855.9,3941.36
DRG101,PID390123,RIDPAReading,16,26162.87,4483,3989.75
DRG149,PID390030,RIDPAReading,17,7761.76,3875.52,2823.29
DRG149,PID390044,RIDPAReading,38,16340.21,4513.71,3506.76
DRG149,PID390123,RIDPAReading,13,24437.3,3759.53,2811.53
DRG176,PID390030,RIDPAReading,14,10894.42,6316.5,5750.5
DRG176,PID390044,RIDPAReading,70,22921.37,7781.32,6568.6
DRG176,PID390096,RIDPAReading,13,17937.07,7273.3,5877.38
DRG177,PID390030,RIDPAReading,23,25733.73,12261.52,10841.26
DRG177,PID390044,RIDPAReading,56,40927.69,14417.41,13781.76
DRG177,PID390096,RIDPAReading,18,45696.55,13552.83,12992.16
DRG177,PID390123,RIDPAReading,19,109090.73,12712.78,11290.42
DRG178,PID390030,RIDPAReading,20,17509.15,8875.45,8201.05
DRG178,PID390031,RIDPAReading,12,15387.16,7571.33,7008
DRG178,PID390044,RIDPAReading,39,26197.61,9528.79,8951.56
DRG178,PID390123,RIDPAReading,36,82556.19,9053.52,8177.52
DRG189,PID390030,RIDPAReading,36,19558.41,8625.05,7013.22
DRG189,PID390031,RIDPAReading,67,17888.49,6639.28,5817.68
DRG189,PID390044,RIDPAReading,117,31485.56,9842.23,8687.55
DRG189,PID390096,RIDPAReading,143,24542.94,72797.93,7718.09
DRG190,PID390030,RIDPAReading,41,15012.19,7819.24,6590.04
DRG190,PID390031,RIDPAReading,57,15024.82,6106.52,5050.05
DRG190,PID390044,RIDPAReading,124,27016.45,8671.27,7562.05
DRG190,PID390096,RIDPAReading,36,17949.47,8099.22,6794.22
DRG190,PID390123,RIDPAReading,46,71240.34,7065.15,6452.71
DRG191,PID390030,RIDPAReading,30,12782.46,5840.66,5123.53
DRG191,PID390031,RIDPAReading,36,12883.91,4978.63,4089.55
DRG191,PID390044,RIDPAReading,123,21916.91,6904.68,6053.72
DRG191,PID390096,RIDPAReading,37,17016.67,6825.78,5125.45
DRG191,PID390123,RIDPAReading,97,47746.49,5701.67,4799.34
DRG191,PID390313,RIDPAReading,24,11521.91,5232.5,4577.5
DRG192,PID390030,RIDPAReading,37,10126.43,4718.27,3496.45
DRG192,PID390031,RIDPAReading,47,9496,3860.12,2697.7
DRG192,PID390044,RIDPAReading,59,17127.44,5162.2,4327.22
DRG192,PID390096,RIDPAReading,29,12625.79,4976.31,3388.86
DRG192,PID390123,RIDPAReading,99,31624.82,4197.57,3301.67
DRG192,PID390313,RIDPAReading,17,13745.17,3957.82,2966.52
DRG193,PID390030,RIDPAReading,60,17838.1,8874.41,7750.11
DRG193,PID390031,RIDPAReading,51,16742.47,7477.74,6690.11
DRG193,PID390044,RIDPAReading,118,33375.33,10544.04,9800.64
DRG193,PID390096,RIDPAReading,49,22225.44,10021.46,8730.02
DRG193,PID390123,RIDPAReading,25,63621.96,8747.56,7099.2
DRG194,PID390030,RIDPAReading,74,10918.16,6080.77,5136.27
DRG194,PID390031,RIDPAReading,68,12266.32,5283.01,4237.32
DRG194,PID390044,RIDPAReading,167,22880.37,7409.26,6211.44
DRG194,PID390096,RIDPAReading,29,19652.62,6786.68,5691.86
DRG194,PID390123,RIDPAReading,85,55567.11,5939.97,4858.49
DRG194,PID390313,RIDPAReading,46,15880.91,5477.52,4608.82
DRG195,PID390030,RIDPAReading,30,7276.9,4647.7,3199.7
DRG195,PID390031,RIDPAReading,33,9454.63,3592.36,2739.63
DRG195,PID390044,RIDPAReading,53,19146.73,5170.73,4217.45
DRG195,PID390096,RIDPAReading,13,13419.46,4716.07,3857.61
DRG195,PID390123,RIDPAReading,49,32633.08,4136.93,3245.1
DRG195,PID390313,RIDPAReading,17,11001.17,3890,2896.76
DRG202,PID390030,RIDPAReading,11,8859.45,5242.72,3903.18
DRG202,PID390031,RIDPAReading,17,11936.11,4331.82,3407.11
DRG202,PID390044,RIDPAReading,46,22594.28,6158.43,4992.76
DRG202,PID390096,RIDPAReading,14,13800.5,5631,4408.28
DRG202,PID390123,RIDPAReading,35,41622.8,4957,4101.74
DRG203,PID390030,RIDPAReading,11,7979.63,3745.9,2625.54
DRG203,PID390031,RIDPAReading,19,10082.63,3316.05,2150.84
DRG203,PID390044,RIDPAReading,15,18057.4,4541.2,3786.53
DRG203,PID390123,RIDPAReading,33,24605.72,3680.84,2388.84
DRG208,PID390030,RIDPAReading,11,18307.36,12669.27,11954.72
DRG208,PID390044,RIDPAReading,60,57748.5,16212.13,15101.96
DRG208,PID390096,RIDPAReading,22,36976.18,14906.72,13216.18
DRG208,PID390123,RIDPAReading,27,103515.96,13946.22,12986.62
DRG238,PID390044,RIDPAReading,19,56848.63,20446.63,19619.26
DRG243,PID390044,RIDPAReading,38,53612.86,17630.05,15860.65
DRG243,PID390096,RIDPAReading,14,37146.71,16462.21,14621.21
DRG244,PID390030,RIDPAReading,13,22125.38,12117.3,11249
DRG244,PID390031,RIDPAReading,16,24001,10503,9666
DRG244,PID390044,RIDPAReading,31,49623.19,15274.96,12396.54
DRG244,PID390096,RIDPAReading,18,30349.83,13576.88,12646
DRG246,PID390044,RIDPAReading,33,101350.21,33145.06,21573.66
DRG246,PID390096,RIDPAReading,18,76809.44,31908.61,18612
DRG247,PID390044,RIDPAReading,78,70607.82,13602.39,12124.67
DRG247,PID390096,RIDPAReading,72,49695.73,13096.25,11822.29
DRG249,PID390044,RIDPAReading,23,54727.26,13691.13,10551.3
DRG249,PID390096,RIDPAReading,12,53526.41,12592.75,9887.5
DRG251,PID390044,RIDPAReading,27,61905.07,12943.25,10696.29
DRG251,PID390096,RIDPAReading,27,42084.96,12039.81,10657.77
DRG252,PID390044,RIDPAReading,35,66129,20679.08,20166.14
DRG252,PID390123,RIDPAReading,12,173909.41,19666.91,18962.08
DRG253,PID390044,RIDPAReading,38,48675.52,16415.63,15114.26
DRG253,PID390096,RIDPAReading,28,48398.39,16368.14,15556.6
DRG253,PID390123,RIDPAReading,13,192512.3,15656.69,15141.61
DRG254,PID390044,RIDPAReading,19,31632.68,10897.1,10125.94
DRG280,PID390030,RIDPAReading,33,16054.57,10109.3,9340.9
DRG280,PID390031,RIDPAReading,22,18439.18,8526.45,8057.77
DRG280,PID390044,RIDPAReading,65,36979.87,12723.44,11856.6
DRG280,PID390096,RIDPAReading,14,30734.57,11527.57,11125.57
DRG280,PID390123,RIDPAReading,20,63525.65,10636.2,9965
DRG281,PID390030,RIDPAReading,17,12142.88,6271.76,5348.94
DRG281,PID390044,RIDPAReading,41,26926.19,8272.7,7395.43
DRG281,PID390096,RIDPAReading,16,18026.87,7991.62,7362.87
DRG281,PID390123,RIDPAReading,16,37727.62,6254.81,5553.31
DRG282,PID390030,RIDPAReading,13,7976.61,4686.3,3905.07
DRG282,PID390044,RIDPAReading,15,21870.6,5715.53,4891.8
DRG282,PID390123,RIDPAReading,17,19946.58,4592.88,3801.35
DRG286,PID390044,RIDPAReading,26,40583.11,13836.11,12969.03
DRG287,PID390044,RIDPAReading,85,27853.1,7702.36,6714.25
DRG287,PID390096,RIDPAReading,51,24723.11,7594.45,5814
DRG291,PID390030,RIDPAReading,38,15206.39,8830.44,8240.15
DRG291,PID390031,RIDPAReading,54,16104.62,7749.12,6539.24
DRG291,PID390044,RIDPAReading,223,30055.16,10592.77,9840.69
DRG291,PID390096,RIDPAReading,99,22076.62,9867.44,9287.52
DRG291,PID390123,RIDPAReading,50,67889.8,8609.64,7766.56
DRG291,PID390313,RIDPAReading,13,19853.84,7192.53,6505.76
DRG292,PID390030,RIDPAReading,64,12853.09,6330.04,5638.6
DRG292,PID390031,RIDPAReading,89,13288.15,5260.05,4617.6
DRG292,PID390044,RIDPAReading,284,22521.77,7416.79,6522.27
DRG292,PID390096,RIDPAReading,72,16676.61,6821.04,6058.2
DRG292,PID390123,RIDPAReading,91,38000.69,6087.02,5289.52
DRG292,PID390313,RIDPAReading,30,16751.7,5521.4,4884.2
DRG293,PID390030,RIDPAReading,46,8670.91,4248.86,3492.26
DRG293,PID390031,RIDPAReading,62,9515.08,3516.29,2826.09
DRG293,PID390044,RIDPAReading,89,14032.91,4974.44,4093.17
DRG293,PID390096,RIDPAReading,26,12092.23,4720.92,3507.61
DRG293,PID390123,RIDPAReading,57,25563.38,3951.5,3341.47
DRG293,PID390313,RIDPAReading,17,11565.23,4024.05,2614.23
DRG300,PID390030,RIDPAReading,21,12873.57,5802.28,4960.71
DRG300,PID390031,RIDPAReading,11,9004.63,4731.63,4220
DRG300,PID390044,RIDPAReading,34,21736.11,6838.02,6109.32
DRG300,PID390123,RIDPAReading,23,38748.69,5264.95,4582.86
DRG301,PID390030,RIDPAReading,13,8253.69,3887.38,3111.07
DRG301,PID390044,RIDPAReading,18,14973.11,4735.44,4045.44
DRG303,PID390030,RIDPAReading,22,6838.04,3518.5,2855.4
DRG303,PID390031,RIDPAReading,17,7193.82,3019,2219.94
DRG305,PID390044,RIDPAReading,19,18122,4371.63,3423.42
DRG305,PID390123,RIDPAReading,22,24111.59,3612,2587.27
DRG308,PID390030,RIDPAReading,15,12256.4,7373.53,6265.06
DRG308,PID390031,RIDPAReading,15,13042.33,6390,5559.86
DRG308,PID390044,RIDPAReading,76,25182.42,8911.59,7802.42
DRG308,PID390096,RIDPAReading,23,20635.56,8392.65,7201.34
DRG308,PID390123,RIDPAReading,21,50924.04,7317.71,6273
DRG309,PID390030,RIDPAReading,34,9928.23,5172.79,4438.88
DRG309,PID390031,RIDPAReading,25,11726.72,4285.08,3301.72
DRG309,PID390044,RIDPAReading,86,16317.36,6068.03,4816.13
DRG309,PID390096,RIDPAReading,37,15830.75,5646.05,4701.94
DRG309,PID390123,RIDPAReading,62,33781.45,5012.08,4075.96
DRG310,PID390030,RIDPAReading,36,10380.16,4123,2701.27
DRG310,PID390031,RIDPAReading,45,8257.71,3008.77,1917.06
DRG310,PID390044,RIDPAReading,82,13174.25,4207.29,3069.19
DRG310,PID390096,RIDPAReading,35,13841.51,4392.91,2882.94
DRG310,PID390123,RIDPAReading,75,24136.86,3455.02,2403.38
DRG312,PID390030,RIDPAReading,35,7717.68,4365.74,3596.82
DRG312,PID390031,RIDPAReading,45,8982.28,3775.08,2932.26
DRG312,PID390044,RIDPAReading,113,21379.92,5429.39,4345.85
DRG312,PID390096,RIDPAReading,50,15360.08,4826.3,3973.02
DRG312,PID390123,RIDPAReading,50,27389.88,4205.94,3333.22
DRG313,PID390030,RIDPAReading,27,6352.77,3261.85,2352.51
DRG313,PID390031,RIDPAReading,33,6037.57,2765.48,1833.96
DRG313,PID390044,RIDPAReading,28,16696.14,4021.6,3422.03
DRG313,PID390096,RIDPAReading,30,11888.9,3668.06,2962.86
DRG313,PID390123,RIDPAReading,33,28399.9,3236,2474.84
DRG314,PID390044,RIDPAReading,41,43288.34,12577.8,11869.97
DRG314,PID390096,RIDPAReading,14,33894.57,11432.07,10916.71
DRG314,PID390123,RIDPAReading,17,89053.88,10910.17,9929.94
DRG315,PID390044,RIDPAReading,18,22267.55,7197,6037.83
DRG315,PID390096,RIDPAReading,11,15303.72,6273.27,5452.9
DRG315,PID390123,RIDPAReading,15,42572,5512.26,4988.26
DRG329,PID390031,RIDPAReading,12,54502.08,26651.16,25666
DRG329,PID390044,RIDPAReading,46,106821.02,42313.52,36043.67
