drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG057,PID330277,RIDPASayre,11,8093.09,4705.72,3891.18
DRG057,PID390079,RIDPASayre,18,21200.77,6351.16,5476.05
DRG064,PID330277,RIDPASayre,11,22650.09,10352.09,9428.81
DRG064,PID390079,RIDPASayre,25,26200.48,11755.64,10992.28
DRG065,PID330277,RIDPASayre,19,15111.63,6402.31,5518.73
DRG065,PID390043,RIDPASayre,11,14135,7744.54,6718.36
DRG065,PID390079,RIDPASayre,30,18923.8,7452.86,6551.53
DRG066,PID330277,RIDPASayre,12,14265.08,4643.33,3616.33
DRG066,PID390079,RIDPASayre,19,23479.26,5761.94,4368.84
DRG069,PID330277,RIDPASayre,42,12569.88,4258.11,3118.14
DRG069,PID390079,RIDPASayre,54,16186.62,4758.61,3843.35
DRG074,PID390079,RIDPASayre,13,16896.3,5815.46,4952.07
DRG101,PID390079,RIDPASayre,28,13076.28,5126.85,4170.78
DRG149,PID390079,RIDPASayre,15,13763.53,4514.93,2982.33
DRG176,PID330277,RIDPASayre,12,14072.41,6194.91,5256.91
DRG176,PID390079,RIDPASayre,29,20752.27,7246.96,6196
DRG177,PID330277,RIDPASayre,23,31274.65,12774.65,11769.86
DRG177,PID390043,RIDPASayre,12,19518.75,14009.41,13632.08
DRG177,PID390079,RIDPASayre,15,39411.2,13205.66,12608.33
DRG178,PID390079,RIDPASayre,12,26650.16,9798.66,8902.5
DRG189,PID330277,RIDPASayre,38,15491.52,7495.13,6313.05
DRG189,PID390043,RIDPASayre,11,21618.36,8265.72,7854.09
DRG189,PID390079,RIDPASayre,46,21815.08,8420.84,7887
DRG189,PID390236,RIDPASayre,13,15694.07,7235.84,6800.46
DRG190,PID330277,RIDPASayre,39,13242.74,6745.48,5882.1
DRG190,PID390043,RIDPASayre,30,19166.53,8276.16,7171.73
DRG190,PID390079,RIDPASayre,66,21746.86,8079.37,6846.87
DRG190,PID390192,RIDPASayre,22,19233.77,7116.9,6299.45
DRG190,PID390236,RIDPASayre,28,17746.03,7446.46,6641.32
DRG191,PID330277,RIDPASayre,24,11282.54,5584.29,4646.29
DRG191,PID390043,RIDPASayre,46,17389.69,7076.1,5693.06
DRG191,PID390079,RIDPASayre,65,16815.07,6642.87,5470.4
DRG191,PID390192,RIDPASayre,28,16649.03,5823.17,5096.6
DRG191,PID390236,RIDPASayre,16,12016.62,6182.18,5337.18
DRG192,PID330277,RIDPASayre,17,7772.17,4177.82,3116.17
DRG192,PID390043,RIDPASayre,64,12056.95,4961.67,4279.35
DRG192,PID390079,RIDPASayre,44,14353.5,4829.29,3936.84
DRG192,PID390192,RIDPASayre,41,14377.02,4349.82,3552.26
DRG192,PID390236,RIDPASayre,18,9948.72,4545.5,3735.05
DRG193,PID330277,RIDPASayre,67,17340.28,8240.05,7448.83
DRG193,PID390043,RIDPASayre,15,23144.93,9720.93,8903.6
DRG193,PID390079,RIDPASayre,54,27073.27,9594.62,8938.74
DRG193,PID390192,RIDPASayre,15,29118.33,8922.8,7948.13
DRG193,PID390236,RIDPASayre,17,21757.94,9067.64,8276.11
DRG194,PID330277,RIDPASayre,28,11113.32,5757.25,5032.96
DRG194,PID390043,RIDPASayre,63,17917,7012.17,6244.09
DRG194,PID390079,RIDPASayre,56,17114.48,6651.53,5939.64
DRG194,PID390192,RIDPASayre,42,18649.09,6048.78,5217.83
DRG194,PID390236,RIDPASayre,26,13371.57,5989.61,5341.46
DRG195,PID330277,RIDPASayre,14,8199.57,4273.5,2925.5
DRG195,PID390043,RIDPASayre,20,13706.1,4904,3891.6
DRG195,PID390079,RIDPASayre,23,12741.82,4701.17,3773
DRG195,PID390192,RIDPASayre,15,12856.4,4167.26,3341.4
DRG195,PID390236,RIDPASayre,12,11247.5,4444.16,3600.5
DRG202,PID390079,RIDPASayre,28,15147.42,5650.14,4549.78
DRG207,PID390079,RIDPASayre,15,78970,33198.2,32825.13
DRG208,PID390043,RIDPASayre,19,31766.52,16066.78,15479.42
DRG208,PID390079,RIDPASayre,22,50434.86,15920,14359.22
DRG238,PID390079,RIDPASayre,22,66199.95,20549.59,17214.36
DRG243,PID390079,RIDPASayre,58,36634.46,16277.12,15580.01
DRG244,PID390079,RIDPASayre,62,30915.91,13109.09,11442.75
DRG246,PID390079,RIDPASayre,46,54970.82,20459.02,18221.56
DRG247,PID390079,RIDPASayre,130,31152.06,12467.26,10852.32
DRG249,PID390079,RIDPASayre,39,28562.97,11121.82,10316.48
