drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390001,RIDPAScranton,29,19793.68,5969.65,4651.1
DRG039,PID390237,RIDPAScranton,14,18849.21,5681,4636.71
DRG057,PID390001,RIDPAScranton,14,30756.42,5386.78,4665.92
DRG057,PID390119,RIDPAScranton,14,28207.71,6291.14,5406.35
DRG057,PID390237,RIDPAScranton,17,16136.47,5122,4524.58
DRG064,PID390001,RIDPAScranton,22,35758.22,10259.9,9546.81
DRG064,PID390119,RIDPAScranton,12,54554.41,11324.83,9462.91
DRG064,PID390237,RIDPAScranton,28,29794.32,9852.82,9053.39
DRG065,PID390001,RIDPAScranton,52,23509.23,6532.34,5558.26
DRG065,PID390095,RIDPAScranton,13,14166.61,6187.53,5324.15
DRG065,PID390119,RIDPAScranton,31,25977.51,6995.19,6162.54
DRG065,PID390125,RIDPAScranton,19,15111.94,6700.42,5690.94
DRG065,PID390237,RIDPAScranton,56,19569.14,6520.42,5795.57
DRG066,PID390001,RIDPAScranton,32,19508.25,4736.71,3858.34
DRG066,PID390119,RIDPAScranton,20,27928.95,5180.05,4057.65
DRG066,PID390237,RIDPAScranton,34,17560.26,4621.47,3700.52
DRG069,PID390001,RIDPAScranton,66,17574.57,4255.42,3386.03
DRG069,PID390095,RIDPAScranton,11,12791.18,3958.72,3038.36
DRG069,PID390119,RIDPAScranton,20,24794.95,4769.9,3656.75
DRG069,PID390125,RIDPAScranton,14,9075.85,4517.28,3551.57
DRG069,PID390237,RIDPAScranton,46,16158.54,4152.52,3223.65
DRG074,PID390001,RIDPAScranton,19,16015.15,5010.21,4189.57
DRG101,PID390001,RIDPAScranton,35,16113.05,4363.45,3529.85
DRG101,PID390119,RIDPAScranton,17,22168.35,4795.41,3660.58
DRG101,PID390237,RIDPAScranton,19,14572.31,4282.05,3074.68
DRG149,PID390001,RIDPAScranton,34,16357.67,3815.11,2673.61
DRG176,PID390237,RIDPAScranton,18,20123.88,5775.5,4903.94
DRG177,PID390119,RIDPAScranton,20,40543.3,12829.25,12268.05
DRG177,PID390125,RIDPAScranton,27,20715.7,12360.03,11776.62
DRG177,PID390237,RIDPAScranton,31,36134.74,11599.22,10322.45
DRG178,PID390001,RIDPAScranton,15,24464.06,8429.4,7637
DRG178,PID390119,RIDPAScranton,16,35123.93,9007,8517.75
DRG178,PID390125,RIDPAScranton,13,22252.61,9283.46,8850.53
DRG178,PID390237,RIDPAScranton,21,24059.71,8262.85,7497.76
DRG189,PID390001,RIDPAScranton,24,27476.79,7477.66,6824
DRG189,PID390095,RIDPAScranton,19,18538.73,6436.1,5782.42
DRG189,PID390119,RIDPAScranton,42,27612.35,8212.42,7215.92
DRG189,PID390125,RIDPAScranton,65,13693.92,8038.33,7193.87
DRG189,PID390237,RIDPAScranton,19,25660.21,7268.26,6558.36
DRG190,PID390001,RIDPAScranton,55,22617.56,6830.34,5942.58
DRG190,PID390095,RIDPAScranton,17,14236.52,6228.76,5345.82
DRG190,PID390119,RIDPAScranton,35,26406.6,7318.94,6340.77
DRG190,PID390125,RIDPAScranton,16,15466.12,7350.68,6231.87
DRG190,PID390237,RIDPAScranton,70,21166.32,6766.32,5950.15
DRG191,PID390001,RIDPAScranton,57,20366.07,5631.5,4858.19
DRG191,PID390095,RIDPAScranton,19,11330.94,5138.21,4428.31
DRG191,PID390119,RIDPAScranton,52,23112.01,6031.4,4728.25
DRG191,PID390125,RIDPAScranton,12,12968.58,6073.75,4720.5
DRG191,PID390237,RIDPAScranton,82,18363.7,5509.6,4879.65
DRG192,PID390001,RIDPAScranton,47,14451.02,4211.63,3325.93
DRG192,PID390095,RIDPAScranton,19,10367.73,3899.31,3009
DRG192,PID390119,RIDPAScranton,52,18131.01,4599.53,3380.57
DRG192,PID390237,RIDPAScranton,61,13018.37,4109.39,2954.09
DRG193,PID390001,RIDPAScranton,45,32008.02,8593.2,7967.15
DRG193,PID390095,RIDPAScranton,50,16208.06,8056.22,7425.5
DRG193,PID390119,RIDPAScranton,46,35176.82,9210.65,8340.45
DRG193,PID390125,RIDPAScranton,41,14883.8,8662.87,7642.39
DRG193,PID390237,RIDPAScranton,67,23608,8116.22,7465.41
DRG194,PID390001,RIDPAScranton,67,22002.13,5876.92,5008.38
DRG194,PID390095,RIDPAScranton,56,12111.21,5435.17,4654.25
DRG194,PID390119,RIDPAScranton,87,26942.29,6352.02,5454.2
DRG194,PID390125,RIDPAScranton,62,13538.88,6185.46,5297.53
DRG194,PID390237,RIDPAScranton,107,18055.75,5848.5,4958.14
DRG195,PID390001,RIDPAScranton,46,15059.73,4174.8,3079.06
