drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390137,RIDPAWilkesBarre,43,34977.55,5896.04,4765.97
DRG039,PID390270,RIDPAWilkesBarre,28,32645.71,6387.39,5585.67
DRG057,PID390137,RIDPAWilkesBarre,46,15982.97,5333.41,4231.91
DRG057,PID390270,RIDPAWilkesBarre,13,18467.07,5826.46,5045.23
DRG064,PID390137,RIDPAWilkesBarre,42,30550.76,10727.64,9981.38
DRG064,PID390270,RIDPAWilkesBarre,29,44769.51,11782.86,10808.27
DRG065,PID390137,RIDPAWilkesBarre,88,27871.38,6626.27,5593.89
DRG065,PID390270,RIDPAWilkesBarre,78,30252.74,7251.88,6315.52
DRG066,PID390137,RIDPAWilkesBarre,71,19606.73,5035.64,3620.04
DRG066,PID390270,RIDPAWilkesBarre,19,26663.57,5781.36,4094.05
DRG069,PID390137,RIDPAWilkesBarre,69,19166.28,4241.17,3394.1
DRG069,PID390270,RIDPAWilkesBarre,29,22750.86,4779.89,3894.24
DRG074,PID390137,RIDPAWilkesBarre,29,21442.86,5030.17,3796.65
DRG074,PID390270,RIDPAWilkesBarre,11,40340.72,6920.09,5303.27
DRG101,PID390137,RIDPAWilkesBarre,48,22994.54,4459.06,3507.08
DRG101,PID390270,RIDPAWilkesBarre,48,21381.6,5097.04,4075.31
DRG149,PID390137,RIDPAWilkesBarre,37,16938.75,3710.32,2643.83
DRG176,PID390137,RIDPAWilkesBarre,18,29602.5,7290.77,5078.05
DRG176,PID390270,RIDPAWilkesBarre,14,25944.07,6622.42,6061
DRG177,PID390137,RIDPAWilkesBarre,50,46235.9,11429.08,10634.9
DRG177,PID390270,RIDPAWilkesBarre,11,44695.63,13206.27,12285.9
DRG178,PID390137,RIDPAWilkesBarre,50,52462.94,9743.26,8649.28
DRG178,PID390270,RIDPAWilkesBarre,19,41760.47,9780.73,9184.94
DRG189,PID390137,RIDPAWilkesBarre,70,35744.82,7764.91,6165.14
DRG189,PID390270,RIDPAWilkesBarre,27,29972.03,8349.66,7620.11
DRG190,PID390137,RIDPAWilkesBarre,155,33486.58,6817.52,5953.39
DRG190,PID390270,RIDPAWilkesBarre,70,30757.35,7799.5,6639.38
DRG191,PID390137,RIDPAWilkesBarre,143,29386.14,5643.19,4816.04
DRG191,PID390270,RIDPAWilkesBarre,62,27629.3,6332.06,5652.75
DRG192,PID390137,RIDPAWilkesBarre,168,21944.26,4376.41,3194.57
DRG192,PID390270,RIDPAWilkesBarre,44,21994.43,4851.75,3873.47
DRG193,PID390137,RIDPAWilkesBarre,116,42254.62,8645.42,7582.05
DRG193,PID390270,RIDPAWilkesBarre,64,40487.42,9546.81,8852.6
DRG194,PID390137,RIDPAWilkesBarre,155,31909.25,6068.87,4717.56
DRG194,PID390270,RIDPAWilkesBarre,144,26305.4,6472.93,5668.04
DRG195,PID390137,RIDPAWilkesBarre,98,23043.73,4385.11,3119.21
DRG195,PID390270,RIDPAWilkesBarre,37,20926.48,4602.59,3696
DRG202,PID390137,RIDPAWilkesBarre,23,29803.34,4930.21,4134.6
DRG202,PID390270,RIDPAWilkesBarre,13,23660.15,5666.69,4694.46
DRG203,PID390137,RIDPAWilkesBarre,34,21230.17,3561.79,2635.2
DRG207,PID390137,RIDPAWilkesBarre,20,111276.55,31654.25,26604.85
DRG207,PID390270,RIDPAWilkesBarre,16,142856.06,33767.87,32675.06
DRG208,PID390137,RIDPAWilkesBarre,75,57873.72,13541.04,11550.49
DRG208,PID390270,RIDPAWilkesBarre,26,67006.07,14314.46,13793.23
DRG238,PID390137,RIDPAWilkesBarre,46,132723.54,19716.93,17247.32
DRG238,PID390270,RIDPAWilkesBarre,29,104285.44,19312.55,18267.44
