drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID390046,RIDPAYork,25,16807.88,7825.68,5505.28
DRG057,PID390046,RIDPAYork,48,10852.6,6928.85,6085.85
DRG057,PID390233,RIDPAYork,16,10814.68,6011,5309.5
DRG064,PID390046,RIDPAYork,90,22842.06,13442.96,12029.24
DRG064,PID390233,RIDPAYork,19,20314.31,12046.52,11096.68
DRG065,PID390046,RIDPAYork,117,16812.92,8648.23,7087.71
DRG065,PID390101,RIDPAYork,17,14890.94,7004.17,6073.82
DRG065,PID390233,RIDPAYork,50,14710.72,7471.44,6480.4
DRG066,PID390046,RIDPAYork,73,13353.82,5996.15,4817.46
DRG066,PID390233,RIDPAYork,22,12648.63,5270,4199.63
DRG069,PID390046,RIDPAYork,84,12277.96,5374.45,4220.71
DRG069,PID390233,RIDPAYork,38,11459.78,4700,3783.26
DRG074,PID390046,RIDPAYork,34,9771.02,6373.17,5228.14
DRG101,PID390046,RIDPAYork,34,13776.47,6953.5,4131.76
DRG149,PID390046,RIDPAYork,15,14864.73,4899.06,3771.33
DRG176,PID390046,RIDPAYork,34,14751.76,7982.08,7148.23
DRG176,PID390233,RIDPAYork,20,12069.55,6792.55,5893.35
DRG177,PID390046,RIDPAYork,47,26928.93,15103.93,14517.93
DRG177,PID390101,RIDPAYork,11,25495.18,12808.09,11445
DRG177,PID390233,RIDPAYork,23,17855.43,12348.78,11711.73
DRG178,PID390046,RIDPAYork,46,18216.23,10690.5,9957.8
DRG178,PID390101,RIDPAYork,20,18989.95,9063.85,7803.1
DRG189,PID390046,RIDPAYork,26,15186.65,9493.46,8281.03
DRG189,PID390233,RIDPAYork,40,14771.75,8888.42,7251.45
DRG190,PID390046,RIDPAYork,125,15383.8,9241.62,7503.26
DRG190,PID390101,RIDPAYork,31,14934.48,8269.48,6609.29
DRG190,PID390233,RIDPAYork,26,16612.65,7666,6718
DRG193,PID390046,RIDPAYork,69,19541.66,11079.21,9467.62
DRG191,PID390046,RIDPAYork,109,10559.42,6978.42,5808.75
DRG191,PID390101,RIDPAYork,50,16112.2,6690.9,5501.02
DRG191,PID390233,RIDPAYork,23,14633.17,6258,5426.86
DRG192,PID390046,RIDPAYork,57,8213.75,5224.29,4277.21
DRG192,PID390101,RIDPAYork,35,10815.6,5651.77,3446
DRG192,PID390233,RIDPAYork,13,8613.07,4923.69,3595.69
DRG193,PID390101,RIDPAYork,14,31946.21,11314.42,10595.92
DRG193,PID390233,RIDPAYork,36,22274.94,10333.91,9333.05
DRG194,PID390046,RIDPAYork,156,12285.06,7442.58,6301.16
DRG194,PID390101,RIDPAYork,47,13359.76,6753,5491.46
DRG194,PID390233,RIDPAYork,35,11907.57,6527,5532.6
DRG195,PID390046,RIDPAYork,62,10552.32,5466.27,4279.09
DRG195,PID390101,RIDPAYork,16,10485.5,5072.06,3434.81
DRG195,PID390233,RIDPAYork,13,8038.38,4553.07,3600.15
DRG202,PID390046,RIDPAYork,44,12250.52,6748.7,4999.22
DRG202,PID390101,RIDPAYork,20,10415.5,5479.1,4524.9
DRG207,PID390046,RIDPAYork,21,75054.28,40614.57,35441.04
DRG208,PID390046,RIDPAYork,58,36149.29,16605.72,15083.31
DRG208,PID390101,RIDPAYork,11,45405.27,14677.45,12951.27
DRG238,PID390046,RIDPAYork,59,65243.03,24741.83,21332.64
DRG243,PID390046,RIDPAYork,61,36495.37,18330.47,17499.59
DRG243,PID390101,RIDPAYork,12,46540.08,17288.5,16439.5
DRG244,PID390046,RIDPAYork,28,27151.92,14365.71,12903.14
DRG246,PID390046,RIDPAYork,19,44668.42,24594.31,18756.31
DRG247,PID390046,RIDPAYork,85,43021.03,16532.6,11124.02
DRG247,PID390101,RIDPAYork,17,49591.88,13733.11,12673.35
DRG249,PID390046,RIDPAYork,42,42024.16,13423.61,11077.11
DRG251,PID390046,RIDPAYork,22,48384.77,14086.5,11435.59
DRG252,PID390046,RIDPAYork,17,44426.58,21141.35,20477.35
DRG253,PID390046,RIDPAYork,48,32679.39,16792.08,15820.83
DRG254,PID390046,RIDPAYork,25,27654.32,13698.72,8942.16
DRG280,PID390046,RIDPAYork,85,23688.87,13429.23,12381.1
DRG280,PID390101,RIDPAYork,34,27233.2,11629.58,10384.88
DRG280,PID390233,RIDPAYork,70,16434.57,11261.52,10506.5
DRG281,PID390046,RIDPAYork,24,16762.62,8660.91,7869.75
DRG281,PID390101,RIDPAYork,19,20225.21,7783.57,5096
DRG281,PID390233,RIDPAYork,22,13421.81,7246.4,6227.5
DRG282,PID390046,RIDPAYork,23,16091.86,6251.52,4618.86
DRG282,PID390233,RIDPAYork,23,10801.17,5087.21,4206.86
DRG286,PID390046,RIDPAYork,30,35972.9,16635.16,14037.36
DRG286,PID390101,RIDPAYork,13,30940.76,12931.46,11178
DRG287,PID390046,RIDPAYork,85,19300.67,8258.7,6551.42
DRG287,PID390101,RIDPAYork,26,21409.73,7068.76,6077.23
DRG291,PID390046,RIDPAYork,163,18081.17,11201.84,9183.45
DRG291,PID390101,RIDPAYork,27,19193.07,9846.85,8900.51
DRG291,PID390233,RIDPAYork,66,15859.6,9549.63,8880.8
DRG292,PID390046,RIDPAYork,281,12289.63,7574.32,6567.84
DRG292,PID390101,RIDPAYork,30,16048.36,6920.03,5631.63
DRG292,PID390233,RIDPAYork,51,11577.03,6520.64,5760.52
DRG293,PID390046,RIDPAYork,107,9869.28,5084.52,4411.62
DRG293,PID390101,RIDPAYork,12,10581.66,4574.5,3639.16
DRG293,PID390233,RIDPAYork,22,8738.59,4406,3485.63
DRG300,PID390046,RIDPAYork,61,13894.72,7031.13,6007.57
DRG300,PID390101,RIDPAYork,17,9392,6468.41,5675
DRG300,PID390233,RIDPAYork,12,11426.41,6285,5538.33
DRG301,PID390046,RIDPAYork,19,7572.47,4797,4085.42
DRG301,PID390101,RIDPAYork,11,7921.54,4372.27,3354.81
DRG303,PID390046,RIDPAYork,21,12088.52,4837.61,3330.71
DRG303,PID390233,RIDPAYork,15,7257.46,3762.13,2952.06
DRG305,PID390046,RIDPAYork,16,9574.56,4456.43,3542.68
DRG308,PID390046,RIDPAYork,99,15416.9,8975.17,8015.1
DRG308,PID390101,RIDPAYork,12,17830.91,8257.08,7602.08
DRG308,PID390233,RIDPAYork,25,12990.16,8002.04,6853.6
DRG309,PID390046,RIDPAYork,114,11853.04,6430.02,4882.57
DRG309,PID390101,RIDPAYork,25,13955.8,5579.64,4728.28
DRG309,PID390233,RIDPAYork,27,11196.66,5392,4431.25
DRG310,PID390046,RIDPAYork,87,7768.36,4377.01,2940.49
DRG310,PID390101,RIDPAYork,25,9888.12,3774.68,2923.32
DRG310,PID390233,RIDPAYork,26,9358.34,3791.23,2663
DRG312,PID390046,RIDPAYork,94,10799.18,5426.57,4228.95
DRG312,PID390101,RIDPAYork,14,12337.21,5195.28,3509.07
DRG312,PID390233,RIDPAYork,23,9794.78,4611,3584.39
DRG313,PID390046,RIDPAYork,18,11616.88,4043,3173.22
DRG314,PID390046,RIDPAYork,58,30246.24,14643.43,12838.05
DRG315,PID390046,RIDPAYork,20,17497,7166.95,6552.35
DRG329,PID390046,RIDPAYork,36,68381.25,38502.3,36328.75
DRG329,PID390101,RIDPAYork,13,83521.76,39440.69,38930.53
DRG330,PID390046,RIDPAYork,65,37205.35,19788.47,15750.89
DRG330,PID390101,RIDPAYork,23,33639.69,16700.56,15041.65
DRG330,PID390233,RIDPAYork,15,29994.46,16545.46,14064.93
DRG372,PID390046,RIDPAYork,39,14885.97,9511.56,8763.33
DRG372,PID390101,RIDPAYork,11,16609,8604.36,6112.63
DRG372,PID390233,RIDPAYork,13,19663.46,8316,7708.92
DRG377,PID390046,RIDPAYork,51,23197.23,12408.56,11679.86
DRG377,PID390233,RIDPAYork,11,15493.18,11115.36,10506.63
DRG378,PID390046,RIDPAYork,128,13751.12,7503.29,6380.71
DRG378,PID390101,RIDPAYork,26,13415.88,6672.76,5896.46
DRG378,PID390233,RIDPAYork,43,12109.95,6796.9,5590.09
DRG379,PID390046,RIDPAYork,23,9406.69,5552.39,4091.65
DRG389,PID390046,RIDPAYork,52,12564.48,7141.36,5802.32
DRG389,PID390101,RIDPAYork,15,11168,6244.4,5194.26
DRG389,PID390233,RIDPAYork,17,12870.11,6007,4949.11
DRG390,PID390046,RIDPAYork,29,10548.48,5824.79,3583.65
DRG390,PID390101,RIDPAYork,11,7418.9,4295.54,3383.9
DRG391,PID390046,RIDPAYork,41,20953.09,9568.8,8595.53
DRG391,PID390101,RIDPAYork,13,11533,7563.69,6254.15
DRG392,PID390046,RIDPAYork,206,11736.51,5563.86,4319.71
DRG392,PID390101,RIDPAYork,41,9833.19,4946.09,3547.65
DRG392,PID390233,RIDPAYork,44,10602.81,4760.43,3637.29
DRG394,PID390046,RIDPAYork,80,14234.26,7582.97,6470.35
DRG394,PID390101,RIDPAYork,11,13354.54,6723.54,6109
DRG418,PID390046,RIDPAYork,20,19846.8,12499.3,10389.6
DRG419,PID390046,RIDPAYork,24,18807.54,8295.62,7263.29
DRG439,PID390046,RIDPAYork,22,16859.4,7625.63,6648.22
DRG460,PID390046,RIDPAYork,34,59412.17,31321.44,21906.2
DRG460,PID390325,RIDPAYork,32,34819.31,20355.78,19260.15
DRG469,PID390046,RIDPAYork,15,41147.13,23842.93,22876.8
DRG470,PID390046,RIDPAYork,151,30568.24,15298.35,12773.95
DRG470,PID390101,RIDPAYork,57,23925,13828.08,12292.43
DRG470,PID390233,RIDPAYork,146,26091.54,13548.32,12273.71
DRG470,PID390325,RIDPAYork,246,31050.32,12392.06,10828.87
DRG473,PID390046,RIDPAYork,21,31319.14,14839.42,10689.23
DRG473,PID390325,RIDPAYork,17,27891.35,12317.23,8535.05
DRG480,PID390046,RIDPAYork,32,51045.34,23432.59,21343.15
DRG480,PID390233,RIDPAYork,12,26467.58,18770.5,17929.5
DRG481,PID390046,RIDPAYork,103,30509.71,13313.85,11706.33
DRG481,PID390101,RIDPAYork,14,24845.28,12048.92,11085.5
DRG481,PID390233,RIDPAYork,54,23203.42,11795.18,10920.05
DRG482,PID390046,RIDPAYork,27,24877.25,12019.37,8892.11
DRG491,PID390046,RIDPAYork,34,18263.38,8022.52,5539.44
DRG536,PID390046,RIDPAYork,28,10077.32,5517.39,4000.5
DRG552,PID390046,RIDPAYork,81,15568.48,7072.81,5408.75
DRG552,PID390101,RIDPAYork,11,9128.81,5169.18,4351.72
DRG563,PID390046,RIDPAYork,33,10705.21,6137.18,3933.03
DRG602,PID390046,RIDPAYork,28,20128.07,11130.85,10370.71
DRG603,PID390046,RIDPAYork,133,8960.63,6325.53,5055.72
DRG603,PID390101,RIDPAYork,43,8865.58,5670.6,4130.58
DRG603,PID390233,RIDPAYork,34,10211.88,5301.11,4430.35
DRG638,PID390046,RIDPAYork,51,11638.09,7554.98,4259.23
DRG638,PID390101,RIDPAYork,16,12218.87,5471.81,4699.56
DRG640,PID390046,RIDPAYork,41,11115.39,8085.97,7491.7
DRG641,PID390046,RIDPAYork,69,8242.53,5159.97,3968.27
DRG641,PID390101,RIDPAYork,15,11212.06,4561.2,3961.73
DRG641,PID390233,RIDPAYork,33,8415.6,4413.06,3558.39
DRG682,PID390046,RIDPAYork,259,18777.29,12846.99,10511.91
DRG682,PID390101,RIDPAYork,39,30443.66,12237.94,11566.35
DRG682,PID390233,RIDPAYork,15,20444.4,11538.46,10714.73
DRG683,PID390046,RIDPAYork,294,12181.89,7441.1,6621.23
DRG683,PID390101,RIDPAYork,38,14290.86,6836.84,5787.36
DRG683,PID390233,RIDPAYork,35,11208.34,6683.68,5576.82
DRG684,PID390046,RIDPAYork,21,9670.09,5574.04,3630.95
DRG689,PID390046,RIDPAYork,66,14233.16,8791.57,7864.84
DRG689,PID390101,RIDPAYork,11,13807.09,7874.27,7053.9
DRG690,PID390046,RIDPAYork,198,10488.2,6098.68,4783.57
DRG690,PID390101,RIDPAYork,39,9221.87,5234.92,3991.38
DRG690,PID390233,RIDPAYork,32,8646.5,5042.56,3819.25
DRG698,PID390046,RIDPAYork,66,18975.72,11387.68,10800.56
DRG698,PID390101,RIDPAYork,11,14791.54,10030.63,9519
DRG699,PID390046,RIDPAYork,39,11956.66,7277.35,6758.17
DRG699,PID390101,RIDPAYork,11,10402.18,6120.18,5405.63
DRG811,PID390046,RIDPAYork,20,13017.35,8986.9,7976.75
DRG812,PID390046,RIDPAYork,37,11599.37,5814.7,5180
DRG812,PID390101,RIDPAYork,16,13037.5,5235.06,4533.56
DRG812,PID390233,RIDPAYork,13,13420.61,5115,4251.61
DRG853,PID390046,RIDPAYork,59,69991.35,41709.3,38311.54
DRG853,PID390233,RIDPAYork,14,45782.14,31845.85,31185.64
DRG870,PID390046,RIDPAYork,31,90716.45,45008.96,37924.38
DRG871,PID390046,RIDPAYork,367,27704.69,15269.96,12982.11
DRG871,PID390101,RIDPAYork,38,27985.57,12087.84,11540.1
DRG871,PID390233,RIDPAYork,197,22137.98,12871.48,11663.12
DRG872,PID390046,RIDPAYork,162,14286.51,8645.4,7360.63
DRG872,PID390101,RIDPAYork,19,14793.47,7711.78,6074
DRG872,PID390233,RIDPAYork,73,12849.43,7600.32,6381.3
DRG897,PID390046,RIDPAYork,24,12671.7,5139.37,4480.37
DRG917,PID390046,RIDPAYork,15,17057.2,11206.86,8854.66
DRG918,PID390046,RIDPAYork,29,7984,4533.1,3480.34
DRG948,PID390046,RIDPAYork,32,10537.81,5138.21,4128.31
DRG948,PID390101,RIDPAYork,13,8676.84,5115.61,3377
