drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID220008,RIDRIProvidence,18,14884,7302.72,4931.66
DRG039,PID410007,RIDRIProvidence,43,23619.86,9262.11,8123.53
DRG039,PID410009,RIDRIProvidence,20,23947.55,7467.6,5681.9
DRG039,PID410012,RIDRIProvidence,13,27174,7160.76,6212.76
DRG057,PID410007,RIDRIProvidence,29,28577.55,8852.06,8038.96
DRG057,PID410009,RIDRIProvidence,17,24683.88,6155.7,5227.23
DRG057,PID410012,RIDRIProvidence,16,19401.5,5818.5,4613.87
DRG064,PID220008,RIDRIProvidence,14,19614.28,11858.21,10892.5
DRG064,PID410007,RIDRIProvidence,142,47426.06,17710.12,16300.47
DRG064,PID410009,RIDRIProvidence,23,36294.3,12628.78,11697.82
DRG064,PID410012,RIDRIProvidence,16,39915,12558.87,11649.12
DRG065,PID220008,RIDRIProvidence,27,12116.33,7215.37,6422.33
DRG065,PID410001,RIDRIProvidence,17,33646.47,12489.29,9148.17
DRG065,PID410004,RIDRIProvidence,12,12292.41,9079.75,8422.08
DRG065,PID410005,RIDRIProvidence,19,17806.57,7366.89,6476.57
DRG065,PID410006,RIDRIProvidence,35,17757,6861.65,5996.62
DRG065,PID410007,RIDRIProvidence,87,30891.13,10755.88,9930.5
DRG065,PID410008,RIDRIProvidence,16,21651.87,6828,5847.5
DRG065,PID410009,RIDRIProvidence,33,25883.45,7718.57,6864.87
DRG065,PID410011,RIDRIProvidence,14,19475.5,7484.35,6516.35
DRG065,PID410012,RIDRIProvidence,55,27163.94,7943.14,7062.2
DRG066,PID220008,RIDRIProvidence,17,10478.41,5154.94,4161.76
DRG066,PID410005,RIDRIProvidence,12,16487.75,5333.75,4487.41
DRG066,PID410007,RIDRIProvidence,67,22486.83,7728.98,6380.31
DRG066,PID410008,RIDRIProvidence,11,14938,4797,3885.36
DRG066,PID410009,RIDRIProvidence,18,21851.61,6060.72,4175.94
DRG066,PID410012,RIDRIProvidence,33,22138.57,5763.03,4567.87
DRG069,PID410001,RIDRIProvidence,28,20105.53,7128.96,5791.46
DRG069,PID410004,RIDRIProvidence,11,9217.72,6213.27,5498.72
DRG069,PID410005,RIDRIProvidence,12,15637.66,4782.66,3753
DRG069,PID410007,RIDRIProvidence,57,18243.98,6676.7,5823
DRG069,PID410009,RIDRIProvidence,35,20295.48,5739.94,3826.2
DRG069,PID410011,RIDRIProvidence,20,22690.8,5232.75,3338.95
DRG069,PID410012,RIDRIProvidence,20,20570.95,5198.65,4296.25
DRG074,PID410001,RIDRIProvidence,12,19664.75,10174.16,6086.83
DRG074,PID410007,RIDRIProvidence,20,19855.15,8109.75,7381.95
DRG074,PID410009,RIDRIProvidence,11,21214.54,6226.27,4622.81
DRG074,PID410012,RIDRIProvidence,22,20508.22,6166.45,5654.81
DRG101,PID410001,RIDRIProvidence,24,16143.95,6882.87,6044.54
DRG101,PID410005,RIDRIProvidence,14,13437.71,4970.14,4089.85
DRG101,PID410007,RIDRIProvidence,67,18615.79,7028.43,5733.5
DRG101,PID410008,RIDRIProvidence,11,14373.36,4343.18,3419.9
DRG101,PID410009,RIDRIProvidence,17,18526.05,5195.11,4268.52
DRG101,PID410011,RIDRIProvidence,13,16414.46,4976.84,4459.3
DRG101,PID410012,RIDRIProvidence,20,22596.55,5273.1,4483.9
DRG149,PID410001,RIDRIProvidence,19,17086.94,6028,5146.1
DRG149,PID410005,RIDRIProvidence,15,13269.66,4181.73,3060.4
DRG149,PID410007,RIDRIProvidence,16,18219.37,6041.06,5125.31
DRG149,PID410009,RIDRIProvidence,17,22232.94,4369.41,3574.11
DRG176,PID220008,RIDRIProvidence,13,16862.61,7330.92,5518.23
