drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID420004,RIDSCCharleston,30,24844.36,9314.2,7729.5
DRG039,PID420049,RIDSCCharleston,23,16748.91,6365.82,5434.86
DRG039,PID420079,RIDSCCharleston,55,35191.47,8095.12,4735.09
DRG039,PID420085,RIDSCCharleston,40,27919.72,5441.87,4514.37
DRG039,PID420087,RIDSCCharleston,48,24662.72,5664.85,4612.93
DRG039,PID420098,RIDSCCharleston,11,27898.54,5542.36,3748.36
DRG057,PID420004,RIDSCCharleston,20,17187.2,9481.25,7093.05
DRG057,PID420020,RIDSCCharleston,15,13554.86,5675.13,5000.2
DRG057,PID420049,RIDSCCharleston,19,17386.15,5848.36,5261
DRG057,PID420079,RIDSCCharleston,50,33778.42,5654.34,4710.5
DRG057,PID420085,RIDSCCharleston,33,18633.42,5471.78,3974.42
DRG057,PID420087,RIDSCCharleston,11,20922.63,4848.72,3937.09
DRG057,PID420098,RIDSCCharleston,17,18115.29,4544.58,3812.11
DRG064,PID420004,RIDSCCharleston,140,47951.36,20640.7,19630.8
DRG064,PID420020,RIDSCCharleston,12,30248.83,11696.58,10932.25
DRG064,PID420049,RIDSCCharleston,13,34986.53,11439.92,10499.3
DRG064,PID420065,RIDSCCharleston,20,41662.55,11837.85,10886.9
DRG064,PID420079,RIDSCCharleston,47,91540.14,13458.02,11994.85
DRG064,PID420085,RIDSCCharleston,42,44289.21,9994.76,8499.11
DRG064,PID420087,RIDSCCharleston,44,43602.54,11236.68,10292.72
DRG064,PID420098,RIDSCCharleston,19,32884.52,9176.42,8463.15
DRG065,PID420004,RIDSCCharleston,84,25697.9,10983.95,9510.02
DRG065,PID420020,RIDSCCharleston,29,20955.2,6819.93,6042.55
DRG065,PID420030,RIDSCCharleston,11,20148.18,6848.36,5460.81
DRG065,PID420049,RIDSCCharleston,42,25907.19,7469.85,6615.76
DRG065,PID420065,RIDSCCharleston,36,24452,6852.83,5824.94
DRG065,PID420079,RIDSCCharleston,95,33720.38,6853.78,6025.07
DRG065,PID420085,RIDSCCharleston,73,28335.97,6062.98,5201.17
DRG065,PID420087,RIDSCCharleston,70,28775.55,6341.7,5238.72
DRG065,PID420089,RIDSCCharleston,11,38072.72,6328.81,5411.36
DRG065,PID420098,RIDSCCharleston,38,21230.57,6124.84,4757.07
DRG066,PID420004,RIDSCCharleston,39,19601.94,8280.1,6644.05
DRG066,PID420020,RIDSCCharleston,21,17324.57,5060.61,4259.66
DRG066,PID420030,RIDSCCharleston,15,16681.66,4892.13,3915.33
DRG066,PID420049,RIDSCCharleston,27,17271.22,5209.29,4209
DRG066,PID420065,RIDSCCharleston,22,22581.95,5078.04,4157.68
DRG066,PID420079,RIDSCCharleston,64,26593.26,5612.14,3866.45
DRG066,PID420085,RIDSCCharleston,52,17684.15,4336.34,3339.26
DRG066,PID420087,RIDSCCharleston,34,22197.23,4607.61,3617.26
DRG066,PID420089,RIDSCCharleston,11,23846.27,4442.81,3619.54
DRG066,PID420098,RIDSCCharleston,27,20986.48,4699.14,3106.88
DRG069,PID420004,RIDSCCharleston,28,20500.85,7196.35,5739.89
DRG069,PID420020,RIDSCCharleston,28,15679.03,4600.25,3634.32
DRG069,PID420049,RIDSCCharleston,24,13470.08,4620,3637.5
DRG069,PID420065,RIDSCCharleston,15,19109.6,4524.86,3476.86
DRG069,PID420079,RIDSCCharleston,73,22022.69,4462.38,3370.68
DRG069,PID420085,RIDSCCharleston,52,17851.46,4163.94,2839.03
DRG069,PID420087,RIDSCCharleston,28,19025.78,4273.78,3095.67
DRG069,PID420098,RIDSCCharleston,70,16977.4,4099.57,2720.88
DRG074,PID420004,RIDSCCharleston,17,18423.94,9163.23,7615
DRG074,PID420079,RIDSCCharleston,21,29024.52,5599.61,3770.85
DRG074,PID420085,RIDSCCharleston,21,22059.23,5983.09,3521.14
DRG101,PID420004,RIDSCCharleston,77,18145.92,7828.72,6456.76
DRG101,PID420020,RIDSCCharleston,18,9312.11,4678.55,3482.16
DRG101,PID420049,RIDSCCharleston,22,13674.72,4912.31,3837.59
DRG101,PID420079,RIDSCCharleston,52,25301.25,4615.69,3687.61
