drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID420018,RIDSCColumbia,25,46681.92,8213.56,6272.52
DRG039,PID420026,RIDSCColumbia,47,45046.14,5345.59,4181.06
DRG039,PID420071,RIDSCColumbia,22,26383.72,8193,7225.54
DRG039,PID420073,RIDSCColumbia,58,32362.67,5813.31,4564.25
DRG057,PID420018,RIDSCColumbia,29,47899.79,10487.06,6843.86
DRG057,PID420026,RIDSCColumbia,15,12541.6,4952,3762.66
DRG057,PID420070,RIDSCColumbia,12,9839.91,5660.33,5000
DRG057,PID420071,RIDSCColumbia,15,17775.53,7312.93,6524.8
DRG057,PID420073,RIDSCColumbia,25,24560,5192.04,4380.84
DRG057,PID420086,RIDSCColumbia,21,34090.57,6319.33,5464.47
DRG064,PID420018,RIDSCColumbia,73,64464.36,15288.67,14186.08
DRG064,PID420026,RIDSCColumbia,35,30308.4,9973.65,9077.17
DRG064,PID420048,RIDSCColumbia,12,21845.25,8766.41,8205.75
DRG064,PID420068,RIDSCColumbia,59,46625.45,12407.94,11600.42
DRG064,PID420070,RIDSCColumbia,31,22656.48,11273.83,10586.22
DRG064,PID420071,RIDSCColumbia,35,43952.54,16268.71,14917.42
DRG064,PID420073,RIDSCColumbia,44,50618.9,11718.02,10433.61
DRG064,PID420086,RIDSCColumbia,23,51749.08,15724.69,14710.34
DRG065,PID420010,RIDSCColumbia,18,30821.16,7606.88,5916.11
DRG065,PID420018,RIDSCColumbia,80,48808.98,9901.56,9061.96
DRG065,PID420026,RIDSCColumbia,74,16818.05,5969.56,5030.21
DRG065,PID420048,RIDSCColumbia,33,16504.84,6156.87,5371.78
DRG065,PID420053,RIDSCColumbia,20,18278.7,7804.7,6789.1
DRG065,PID420068,RIDSCColumbia,43,23784.04,7740.88,6152.32
DRG065,PID420070,RIDSCColumbia,56,13946.53,6679.5,5872.73
DRG065,PID420071,RIDSCColumbia,61,23770.85,9148.01,8263.55
