drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID420051,RIDSCFlorence,71,25785.69,6814.33,5140.95
DRG039,PID420091,RIDSCFlorence,43,72954.62,6416.27,5427.06
DRG057,PID420051,RIDSCFlorence,30,18915.9,5600.43,4738.96
DRG057,PID420091,RIDSCFlorence,21,30391.9,5546.42,4904.14
DRG064,PID420051,RIDSCFlorence,81,56978.93,13102.88,12243.45
DRG064,PID420064,RIDSCFlorence,11,34141.54,10953.72,10036.27
DRG064,PID420091,RIDSCFlorence,37,76440.37,11195.29,10499.4
DRG065,PID420005,RIDSCFlorence,15,17646.86,6226.13,5329.06
DRG065,PID420051,RIDSCFlorence,94,32753.32,7545.37,6415.71
DRG065,PID420055,RIDSCFlorence,19,22654.05,6715.1,5646.05
DRG065,PID420062,RIDSCFlorence,12,30438.25,6228.66,5573.66
DRG065,PID420064,RIDSCFlorence,21,25075,7022.8,6006.23
DRG065,PID420091,RIDSCFlorence,68,49203.41,8286.91,5718.16
DRG066,PID420005,RIDSCFlorence,11,15048.36,6355.36,3583.9
DRG066,PID420051,RIDSCFlorence,40,24242.67,5522.4,4150.95
DRG066,PID420055,RIDSCFlorence,12,14696.91,4590.91,3749.91
DRG066,PID420062,RIDSCFlorence,12,18742.91,4674.83,3836.5
DRG066,PID420064,RIDSCFlorence,11,14879.18,4909.63,3780.54
DRG066,PID420091,RIDSCFlorence,39,34107.48,4892.33,3736.15
DRG069,PID420051,RIDSCFlorence,63,21050.96,4774.07,3763.93
DRG069,PID420055,RIDSCFlorence,14,14571.71,4194,3385.42
DRG069,PID420062,RIDSCFlorence,17,18303.23,4357,3561.7
DRG069,PID420091,RIDSCFlorence,71,31496.5,4297.83,3342.95
DRG074,PID420051,RIDSCFlorence,17,25722.58,5766.76,4307.58
DRG074,PID420091,RIDSCFlorence,13,39029,5131.38,4531.69
DRG101,PID420051,RIDSCFlorence,38,20730.63,4867.65,4069.23
DRG101,PID420055,RIDSCFlorence,12,23358.25,4373.08,3715.41
DRG101,PID420091,RIDSCFlorence,38,39446.52,4724.23,3463
DRG149,PID420051,RIDSCFlorence,11,16342.09,4210.27,2953.27
DRG149,PID420091,RIDSCFlorence,13,24247.69,3758.76,2815.69
DRG176,PID420051,RIDSCFlorence,31,33336.87,6720.35,5777.12
DRG176,PID420055,RIDSCFlorence,11,25382.54,6223.72,5103.36
DRG176,PID420091,RIDSCFlorence,29,48752.2,6453.86,5306.79
DRG177,PID420051,RIDSCFlorence,32,52990.9,14002.75,11897.96
DRG177,PID420064,RIDSCFlorence,15,34634.26,11520.86,9874.4
DRG177,PID420091,RIDSCFlorence,36,89802.08,13215.11,11756.5
DRG178,PID420051,RIDSCFlorence,38,49772.73,10360.68,9088.02
DRG178,PID420091,RIDSCFlorence,24,56583.87,8751.66,8193.66
DRG189,PID420005,RIDSCFlorence,43,23207.69,7567.76,6785.44
DRG189,PID420051,RIDSCFlorence,49,40392.26,8302,7766.26
DRG189,PID420055,RIDSCFlorence,11,26218.72,7466.09,6445.72
DRG189,PID420057,RIDSCFlorence,11,15392.27,6535.27,5920.72
DRG189,PID420064,RIDSCFlorence,57,21461.85,7841.75,6586.22
