drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID420023,RIDSCGreenville,41,39632.85,5766.65,4363.39
DRG039,PID420027,RIDSCGreenville,29,37210.1,6809.48,4700.17
DRG039,PID420078,RIDSCGreenville,55,33865.72,7367,5846.07
DRG057,PID420009,RIDSCGreenville,14,17189.64,5483.57,4479.57
DRG057,PID420027,RIDSCGreenville,21,21509.42,6246.76,4831.33
DRG057,PID420078,RIDSCGreenville,45,26180.48,7009,6058.11
DRG064,PID420009,RIDSCGreenville,18,41341.72,10599.5,9607.5
DRG064,PID420015,RIDSCGreenville,15,24288.73,10179.4,9286.6
DRG064,PID420023,RIDSCGreenville,45,32862.82,9807,8856.06
DRG064,PID420027,RIDSCGreenville,45,62514.51,12287.11,10269.66
DRG064,PID420038,RIDSCGreenville,11,54341.81,13401.45,12483.9
DRG064,PID420078,RIDSCGreenville,115,43337.22,13822.49,12204.29
DRG065,PID420009,RIDSCGreenville,31,23862.96,6534.51,5591.29
DRG065,PID420023,RIDSCGreenville,96,28243.92,6363.29,5328.72
DRG065,PID420027,RIDSCGreenville,75,37342.77,7008.93,6097.2
DRG065,PID420038,RIDSCGreenville,17,27192.82,7777.41,6917.41
DRG065,PID420078,RIDSCGreenville,159,28683.92,8335.96,7002.59
DRG066,PID420009,RIDSCGreenville,25,18114.28,4741.16,3795.4
DRG066,PID420023,RIDSCGreenville,38,22057.5,4560.47,3541.5
DRG066,PID420027,RIDSCGreenville,39,29877.74,5112.97,4124.41
DRG066,PID420078,RIDSCGreenville,59,21211.57,6023.66,4744.44
DRG069,PID420009,RIDSCGreenville,37,14222.75,4363.4,3127.18
DRG069,PID420023,RIDSCGreenville,59,19359.03,4077.71,3048.86
DRG069,PID420027,RIDSCGreenville,70,25770.88,4785.04,3514.65
DRG069,PID420038,RIDSCGreenville,14,14353.78,4675,3711.57
DRG069,PID420078,RIDSCGreenville,46,28202.04,5350.34,4446.08
DRG074,PID420027,RIDSCGreenville,28,35858.57,5566.57,4600.85
DRG074,PID420078,RIDSCGreenville,18,22623.77,6530.05,4920.55
DRG101,PID420009,RIDSCGreenville,17,15407.76,4333.82,3275.94
DRG101,PID420023,RIDSCGreenville,16,24574.12,4271.37,3455.56
DRG101,PID420078,RIDSCGreenville,56,22842.07,5855.44,4784.37
DRG176,PID420009,RIDSCGreenville,17,21327.52,6030.29,4970.52
DRG176,PID420023,RIDSCGreenville,26,31601.69,6210.5,4919.5
DRG176,PID420027,RIDSCGreenville,51,29645.25,6912.25,5614.94
DRG176,PID420078,RIDSCGreenville,38,29199.94,7888.36,7058.47
DRG177,PID420009,RIDSCGreenville,65,42909.2,11880.72,11206.44
DRG177,PID420015,RIDSCGreenville,42,60625.11,12643.61,11892.76
DRG177,PID420023,RIDSCGreenville,32,51009.68,11416.59,10784.84
DRG177,PID420027,RIDSCGreenville,100,80147.52,14435.96,12535.21
DRG177,PID420037,RIDSCGreenville,25,28176.24,10756.76,10086.52
DRG177,PID420078,RIDSCGreenville,121,44127.23,15655.51,14051.12
DRG178,PID420009,RIDSCGreenville,24,31469.2,8198.12,7392.5
DRG178,PID420015,RIDSCGreenville,15,40262.06,8443.13,7619.4
DRG178,PID420023,RIDSCGreenville,27,38400.29,8038.66,7153.66
DRG178,PID420027,RIDSCGreenville,94,52501.55,9446.28,8336.79
DRG178,PID420037,RIDSCGreenville,11,14223.63,8551,6546.9
DRG178,PID420038,RIDSCGreenville,13,29871.53,9412.84,8631.61
DRG178,PID420078,RIDSCGreenville,63,27722.79,10668.22,9613.3
DRG189,PID420009,RIDSCGreenville,60,21485.55,7397.6,6401.15
DRG189,PID420015,RIDSCGreenville,62,38044.53,8364.85,7146.17
DRG189,PID420023,RIDSCGreenville,87,35685.18,7178.7,6366.27
DRG189,PID420027,RIDSCGreenville,91,64446.36,9221.25,8042.98
DRG189,PID420033,RIDSCGreenville,43,17895.93,7459.76,6650.37
DRG189,PID420037,RIDSCGreenville,38,17493.84,7793.86,5866.18
DRG189,PID420078,RIDSCGreenville,115,26754.87,9251.95,8302.43
DRG189,PID420103,RIDSCGreenville,15,24321.93,10073.06,9398.2
DRG190,PID420009,RIDSCGreenville,81,22803.46,6824.44,5935.81
DRG190,PID420015,RIDSCGreenville,46,31906.93,7332.17,5969.1
DRG190,PID420023,RIDSCGreenville,58,36285.08,7280.01,5674.46
DRG190,PID420027,RIDSCGreenville,198,51866.77,8452.45,7118.88
DRG190,PID420033,RIDSCGreenville,25,21824.08,6989.88,5998.84
DRG190,PID420038,RIDSCGreenville,33,32480.09,7929.39,6335.75
DRG190,PID420078,RIDSCGreenville,109,28164.71,8758.81,7992.65
DRG191,PID420009,RIDSCGreenville,39,21147.12,5648.17,4899.25
DRG191,PID420015,RIDSCGreenville,17,32009.29,5986.35,4868.76
DRG191,PID420023,RIDSCGreenville,94,29007.36,5564.8,4475.24
DRG191,PID420027,RIDSCGreenville,159,40291.45,6508.18,5297.44
DRG191,PID420033,RIDSCGreenville,23,12642.04,5738.65,4959.52
DRG191,PID420038,RIDSCGreenville,17,22668.82,6004.11,5206.94
DRG191,PID420078,RIDSCGreenville,65,21724.61,7167.21,5972.5
DRG191,PID420103,RIDSCGreenville,11,18469.81,8360.45,7545.9
DRG192,PID420009,RIDSCGreenville,45,15828.11,4177.17,3438.06
DRG192,PID420011,RIDSCGreenville,24,14430.66,4095.29,3298.79
DRG192,PID420023,RIDSCGreenville,38,23015.6,4329.94,2897.39
DRG192,PID420027,RIDSCGreenville,81,24167.17,4740.41,3539.46
DRG192,PID420038,RIDSCGreenville,19,19633.63,5249.78,3358
DRG192,PID420078,RIDSCGreenville,19,13931.63,5157.94,4272.68
DRG192,PID420103,RIDSCGreenville,12,13522.58,5893.91,4339.91
DRG193,PID420009,RIDSCGreenville,104,29378.9,8485.54,7431.51
