drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID420007,RIDSCSpartanburg,48,32177.22,6949.97,5188.58
DRG057,PID420007,RIDSCSpartanburg,90,27485.18,6783.65,5664.93
DRG064,PID420007,RIDSCSpartanburg,97,44696.17,13658.45,10619.74
DRG064,PID420083,RIDSCSpartanburg,16,62985.68,10313.25,9539
DRG065,PID420007,RIDSCSpartanburg,133,25014.66,7666.24,6370.24
DRG065,PID420043,RIDSCSpartanburg,12,20753.58,6102.83,5253.83
DRG065,PID420083,RIDSCSpartanburg,30,41686.63,6675.9,5848.96
DRG066,PID420007,RIDSCSpartanburg,54,16258.29,5235.33,4000.96
DRG066,PID420083,RIDSCSpartanburg,12,31429.66,5185.83,2792.08
DRG069,PID420007,RIDSCSpartanburg,89,18358.3,5391.96,3484.47
DRG069,PID420083,RIDSCSpartanburg,35,34731.31,4449.74,3223.48
DRG074,PID420007,RIDSCSpartanburg,32,25770.28,6347.46,4317.9
DRG101,PID420007,RIDSCSpartanburg,37,19740.81,5159.18,3755.94
DRG176,PID420007,RIDSCSpartanburg,40,21431.5,7169.62,5956.92
DRG176,PID420083,RIDSCSpartanburg,13,39684.46,8359.53,5090.84
DRG177,PID420007,RIDSCSpartanburg,82,42375.59,13535.76,12239.62
DRG177,PID420043,RIDSCSpartanburg,12,48765.66,11102.41,10636.08
DRG177,PID420083,RIDSCSpartanburg,20,66397.1,11895.45,11516.6
DRG178,PID420007,RIDSCSpartanburg,48,21850.56,9198.45,8424.87
DRG178,PID420083,RIDSCSpartanburg,16,44697.62,8588.43,7880.93
DRG189,PID420007,RIDSCSpartanburg,341,26007.46,8492.21,7406.88
DRG189,PID420039,RIDSCSpartanburg,31,28120.77,7784.83,6561.67
DRG189,PID420043,RIDSCSpartanburg,43,23204.55,7178.95,6479.2
DRG189,PID420083,RIDSCSpartanburg,29,42696.41,7460.96,6579.24
DRG190,PID420007,RIDSCSpartanburg,155,21551.03,7885.95,6594.67
DRG190,PID420039,RIDSCSpartanburg,31,27363.51,7564.12,6598.41
DRG190,PID420043,RIDSCSpartanburg,35,29091.17,6566.71,5700.77
DRG190,PID420083,RIDSCSpartanburg,84,39371.5,7272.69,5798.46
DRG191,PID420007,RIDSCSpartanburg,101,18136.83,6270.32,5260.48
DRG191,PID420039,RIDSCSpartanburg,47,19683.25,5951.59,5209.04
DRG191,PID420043,RIDSCSpartanburg,47,21858.78,5529.17,4342.04
DRG191,PID420083,RIDSCSpartanburg,41,34051.17,5841.78,4776.68
DRG192,PID420007,RIDSCSpartanburg,52,13634.11,5260.3,3529.73
DRG192,PID420039,RIDSCSpartanburg,40,16314.05,4928.22,3244.15
DRG192,PID420043,RIDSCSpartanburg,47,20163.27,4066.27,3375.29
DRG192,PID420083,RIDSCSpartanburg,54,22759.01,4532.01,2828.4
DRG193,PID420007,RIDSCSpartanburg,168,29977.07,10071.24,8289.58
DRG193,PID420039,RIDSCSpartanburg,14,26230.14,8704,7902.28
DRG193,PID420043,RIDSCSpartanburg,50,33914.98,7902.8,7250.08
DRG193,PID420083,RIDSCSpartanburg,54,56201.18,9499.88,7823.5
DRG194,PID420007,RIDSCSpartanburg,127,20430.33,6924.58,5325.44
DRG194,PID420039,RIDSCSpartanburg,25,21781.04,7094.16,5044.32
