drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID430077,RIDSDRapidCity,18,30355.22,7857,6796.77
DRG057,PID430077,RIDSDRapidCity,15,16539.73,6725.86,5897.86
DRG064,PID430077,RIDSDRapidCity,27,51144.77,17697.66,16528.92
DRG065,PID430077,RIDSDRapidCity,70,22690.78,9585.75,7761.77
DRG066,PID430077,RIDSDRapidCity,32,14878.9,6936.06,5077
DRG069,PID430077,RIDSDRapidCity,31,14916.74,6177.96,4471.19
DRG074,PID430077,RIDSDRapidCity,12,25462.83,7745.08,6995.66
DRG101,PID430077,RIDSDRapidCity,27,15634.88,6343.77,4721.11
DRG149,PID430077,RIDSDRapidCity,19,13852.52,5753.31,3631.57
DRG176,PID430077,RIDSDRapidCity,21,20022.04,8972.61,7107.14
DRG177,PID430077,RIDSDRapidCity,24,47788.2,15828.45,15043.75
DRG178,PID430077,RIDSDRapidCity,24,29879.08,11896.91,10880.7
DRG189,PID430077,RIDSDRapidCity,45,32028.48,10713.95,10086.48
DRG190,PID430077,RIDSDRapidCity,90,28277.96,9572.75,8473.54
DRG191,PID430077,RIDSDRapidCity,61,21546.5,8024.16,6650.34
DRG192,PID430077,RIDSDRapidCity,50,13220.24,5711.58,4541.86
DRG192,PID430081,RIDSDRapidCity,15,5718,6428.4,6051.06
DRG193,PID430077,RIDSDRapidCity,88,32010.96,11533.02,10584.25
DRG194,PID430048,RIDSDRapidCity,22,14563.22,7196.31,6170.13
DRG194,PID430077,RIDSDRapidCity,77,25388.59,8473.87,7073.61
DRG195,PID430048,RIDSDRapidCity,26,11636.96,4979.61,3984.38
DRG195,PID430077,RIDSDRapidCity,49,14227.42,5767.87,4388.14
DRG207,PID430077,RIDSDRapidCity,17,114890.23,59849.88,34726.05
DRG208,PID430077,RIDSDRapidCity,61,53314.9,18476.6,17051.22
DRG238,PID430077,RIDSDRapidCity,41,76384.92,26914.29,22173.63
DRG243,PID430077,RIDSDRapidCity,33,45605.12,22060.12,17330.45
DRG244,PID430077,RIDSDRapidCity,55,36676.16,16488.65,14132.16
DRG246,PID430077,RIDSDRapidCity,22,70804.13,24436.59,23469.13
DRG247,PID430077,RIDSDRapidCity,109,48438.36,16780.25,13541.42
DRG249,PID430077,RIDSDRapidCity,34,47081.41,14780.79,12426.35
DRG251,PID430077,RIDSDRapidCity,30,43236.83,14187.46,12515.2
DRG252,PID430077,RIDSDRapidCity,18,96008.5,26560.55,25748.38
DRG253,PID430077,RIDSDRapidCity,23,60792.56,18737.65,17858.69
DRG254,PID430077,RIDSDRapidCity,17,58360.94,14068,13337.41
DRG280,PID430077,RIDSDRapidCity,28,31263.14,15089.71,12243.96
DRG281,PID430077,RIDSDRapidCity,21,28471.28,9860.33,7767.8
DRG282,PID430077,RIDSDRapidCity,11,27759.45,6991.27,5973.81
DRG287,PID430077,RIDSDRapidCity,71,20578.52,8809.08,7297.59
DRG291,PID430077,RIDSDRapidCity,75,36758.93,11883.72,10754.38
DRG292,PID430077,RIDSDRapidCity,110,25113.23,8127.5,7228.08
DRG293,PID430077,RIDSDRapidCity,33,16290.09,5333.06,4615.6
DRG300,PID430077,RIDSDRapidCity,16,18899.87,7608.87,6834.62
DRG301,PID430077,RIDSDRapidCity,11,14563.36,6776.09,3882.09
DRG303,PID430077,RIDSDRapidCity,17,15919.52,4522.23,3856.35
DRG305,PID430077,RIDSDRapidCity,16,16033.68,4767.12,3639.12
DRG308,PID430077,RIDSDRapidCity,26,28958.23,9579.26,8758.19
DRG309,PID430077,RIDSDRapidCity,56,16819.12,6494.1,5609.82
DRG310,PID430077,RIDSDRapidCity,68,15533.77,5282.3,3244.19
DRG312,PID430077,RIDSDRapidCity,81,16110.58,5632.06,4541.75
DRG313,PID430077,RIDSDRapidCity,89,12789.06,4655.86,3144.43
DRG314,PID430077,RIDSDRapidCity,20,30618.85,17125.25,12132
DRG329,PID430077,RIDSDRapidCity,50,112698.36,47648.52,41602.96
DRG330,PID430048,RIDSDRapidCity,11,45646.81,17706.72,16680.54
DRG330,PID430077,RIDSDRapidCity,40,56453.42,21132.45,18462.37
DRG377,PID430077,RIDSDRapidCity,32,36482.03,14519.81,12811.78
