drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID430012,RIDSDSiouxFalls,23,12715.56,6551.73,5719.21
DRG039,PID430027,RIDSDSiouxFalls,67,22746.73,6696.49,5238.01
DRG039,PID430095,RIDSDSiouxFalls,48,21530.18,6362.72,4394.89
DRG057,PID430016,RIDSDSiouxFalls,14,19412.71,6335.07,5452.5
DRG057,PID430027,RIDSDSiouxFalls,11,20976.09,5850,5032.54
DRG064,PID430013,RIDSDSiouxFalls,11,29068.18,11930.27,11107
DRG064,PID430014,RIDSDSiouxFalls,16,26593.75,11499.87,10937.87
DRG064,PID430016,RIDSDSiouxFalls,69,37058.33,12875.34,12062.94
DRG064,PID430027,RIDSDSiouxFalls,30,45116.6,12376.23,11549.3
DRG065,PID160112,RIDSDSiouxFalls,20,13528.2,6272.85,5370.45
DRG065,PID430005,RIDSDSiouxFalls,20,11903,7143.8,5590.45
DRG065,PID430012,RIDSDSiouxFalls,20,20079.9,7197.6,6237
DRG065,PID430014,RIDSDSiouxFalls,24,21517.75,7823.66,6934.16
DRG065,PID430015,RIDSDSiouxFalls,13,17581.61,7907.69,6783.07
DRG065,PID430016,RIDSDSiouxFalls,98,21120.65,7786.17,6982.5
DRG065,PID430027,RIDSDSiouxFalls,79,24718.97,8020.51,6417.81
DRG066,PID430005,RIDSDSiouxFalls,12,9927.41,4858.41,4017.41
DRG066,PID430013,RIDSDSiouxFalls,15,16801.2,6022.33,4076.66
DRG066,PID430014,RIDSDSiouxFalls,24,18216.54,5443.91,4414.25
DRG066,PID430016,RIDSDSiouxFalls,17,16268.11,5560.88,4501.11
DRG066,PID430027,RIDSDSiouxFalls,66,16352.12,5203.9,4138
DRG069,PID430005,RIDSDSiouxFalls,14,7120.07,4430.71,3550.42
DRG069,PID430012,RIDSDSiouxFalls,13,13620.15,4695.84,3917.07
DRG069,PID430014,RIDSDSiouxFalls,16,17815.5,4912.56,4000.81
DRG069,PID430016,RIDSDSiouxFalls,49,14493.79,5084.28,3929.38
DRG069,PID430027,RIDSDSiouxFalls,42,14659.3,4641.92,3651.54
DRG074,PID430016,RIDSDSiouxFalls,20,22774.5,7422.9,4538.2
DRG074,PID430027,RIDSDSiouxFalls,16,18016.93,5499.37,4585.62
DRG101,PID430016,RIDSDSiouxFalls,28,14577.21,5273.42,4143.67
DRG101,PID430027,RIDSDSiouxFalls,18,22422.77,4887.55,3890.22
DRG149,PID430016,RIDSDSiouxFalls,15,16507.73,4387.8,3335.53
DRG149,PID430027,RIDSDSiouxFalls,17,14676.29,4135.23,2914.82
DRG176,PID430005,RIDSDSiouxFalls,11,12728.9,6496.54,5676.18
DRG176,PID430012,RIDSDSiouxFalls,12,20021.16,6949,5916.66
DRG176,PID430013,RIDSDSiouxFalls,12,19325.75,6837,5815.33
DRG176,PID430014,RIDSDSiouxFalls,15,19172.86,7192.26,6521.6
DRG176,PID430016,RIDSDSiouxFalls,33,19204.3,7331.93,6211.3
DRG176,PID430027,RIDSDSiouxFalls,33,20918.66,6758.87,5938.51
DRG176,PID430095,RIDSDSiouxFalls,12,22483.33,5978,5328.33
DRG177,PID430012,RIDSDSiouxFalls,12,42951.91,14917.33,14264.91
DRG177,PID430014,RIDSDSiouxFalls,12,52674.16,15689.5,15034.5
DRG177,PID430016,RIDSDSiouxFalls,39,42664.69,13716.46,12880.48
DRG177,PID430027,RIDSDSiouxFalls,36,47644.63,13049.02,12392.25
DRG178,PID430005,RIDSDSiouxFalls,15,12401.06,8509.46,7612.4
DRG178,PID430012,RIDSDSiouxFalls,25,22867.04,9206.76,8484.84
DRG178,PID430013,RIDSDSiouxFalls,16,28347.68,9559.31,9278.37
DRG178,PID430014,RIDSDSiouxFalls,18,26593,9988.55,8287
DRG178,PID430016,RIDSDSiouxFalls,32,28714.12,10981.62,8858.78
DRG178,PID430027,RIDSDSiouxFalls,46,47138.91,9772.36,9061.3
DRG189,PID430014,RIDSDSiouxFalls,11,18513.81,8588.54,7976.9
