drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID440091,RIDTNChattanooga,92,21246.46,5565.96,3882.98
DRG039,PID440104,RIDTNChattanooga,39,20183.15,6963.61,5893.33
DRG039,PID440156,RIDTNChattanooga,13,25569.61,6785.07,5747.53
DRG039,PID440185,RIDTNChattanooga,11,46509.54,5726.36,4597.27
DRG057,PID440091,RIDTNChattanooga,36,21983.36,4717,3435.77
DRG057,PID440104,RIDTNChattanooga,36,21227.02,6300.61,5534.22
DRG057,PID440185,RIDTNChattanooga,15,24523.86,4836.8,3939.73
DRG064,PID440091,RIDTNChattanooga,65,34954.24,9599.92,8805.23
DRG064,PID440104,RIDTNChattanooga,230,42858.31,13036.39,11903.91
DRG064,PID440156,RIDTNChattanooga,13,45756.38,12429.3,11561
DRG064,PID440185,RIDTNChattanooga,11,34875,10068.81,9451.36
DRG065,PID440091,RIDTNChattanooga,143,25348.08,5846.48,4738.05
DRG065,PID440104,RIDTNChattanooga,252,24246.38,7844.27,6837.29
DRG065,PID440156,RIDTNChattanooga,27,31558.62,7465.55,6551.81
DRG065,PID440185,RIDTNChattanooga,22,33531,6487.13,5613.86
DRG066,PID440091,RIDTNChattanooga,110,23043.43,4206.52,3148.31
DRG066,PID440104,RIDTNChattanooga,91,20127.08,5607.34,4521.54
DRG066,PID440156,RIDTNChattanooga,21,24267.33,5604.47,4362.57
DRG066,PID440185,RIDTNChattanooga,17,19345.82,4476,3617.88
DRG069,PID440064,RIDTNChattanooga,12,14071.41,4567,3629
DRG069,PID440091,RIDTNChattanooga,105,18945.2,3800.56,2772.79
DRG069,PID440104,RIDTNChattanooga,114,19527.91,5058.35,4045.78
DRG069,PID440156,RIDTNChattanooga,18,24124.11,4991.83,3618.05
DRG069,PID440185,RIDTNChattanooga,23,19833.08,4112.73,3235.17
DRG074,PID440091,RIDTNChattanooga,42,19610.9,4631.11,3296.33
DRG074,PID440104,RIDTNChattanooga,31,20584.93,6124.38,4848.19
DRG101,PID440091,RIDTNChattanooga,30,17784.63,3916.3,2765.86
DRG101,PID440104,RIDTNChattanooga,68,17165.79,5187.02,4288.98
DRG101,PID440185,RIDTNChattanooga,17,25207,4211.11,3135.17
DRG149,PID440091,RIDTNChattanooga,12,18664.41,3312.16,2376.83
DRG149,PID440104,RIDTNChattanooga,15,14583.73,4421.8,3338.13
DRG176,PID440091,RIDTNChattanooga,54,22834.96,5756,4127.16
DRG176,PID440104,RIDTNChattanooga,18,19008.72,7376.11,6359.83
DRG176,PID440156,RIDTNChattanooga,14,27304.28,7294.71,4803.5
DRG176,PID440185,RIDTNChattanooga,23,31409.56,6112.43,4915.13
DRG177,PID110004,RIDTNChattanooga,11,37590.18,12401.63,11692.9
DRG177,PID440091,RIDTNChattanooga,82,38378.07,10388.39,9460.02
DRG177,PID440104,RIDTNChattanooga,62,37291.75,14045.37,13283.83
DRG177,PID440156,RIDTNChattanooga,22,76705.4,13935.81,13197.72
DRG177,PID440185,RIDTNChattanooga,15,51569.26,12488.33,11735.73
DRG178,PID110004,RIDTNChattanooga,14,30801.42,8877.35,8235.07
DRG178,PID440064,RIDTNChattanooga,33,29592.87,9160.75,8148.69
DRG178,PID440091,RIDTNChattanooga,63,28836.61,9089.14,6397.92
DRG178,PID440104,RIDTNChattanooga,37,19438.75,9800.97,9224.86
DRG178,PID440156,RIDTNChattanooga,30,47728.63,9541.83,8864.76
DRG178,PID440185,RIDTNChattanooga,21,43412.33,7699.23,7004.57
DRG189,PID110004,RIDTNChattanooga,17,25818.82,7784.76,7124.52
DRG189,PID440091,RIDTNChattanooga,132,27656.26,6891.28,5744.11
DRG189,PID440104,RIDTNChattanooga,27,41211.92,9100.25,8268.85
DRG189,PID440156,RIDTNChattanooga,73,38153.05,9084.87,7442.1
DRG189,PID440185,RIDTNChattanooga,60,41645.41,7340.66,6725
DRG190,PID110004,RIDTNChattanooga,16,23873.93,7041.62,6273.37
DRG190,PID440064,RIDTNChattanooga,13,22688.92,7204.76,5847.92
DRG190,PID440091,RIDTNChattanooga,135,23226.87,6145.28,5026.28
DRG190,PID440104,RIDTNChattanooga,79,22286.53,8103.15,7189.36
DRG190,PID440156,RIDTNChattanooga,71,32178.26,8059.33,6897.74
DRG190,PID440185,RIDTNChattanooga,116,38699.5,6920.02,5694.4
DRG191,PID110004,RIDTNChattanooga,23,20643.21,5995.34,4803.91
DRG191,PID440064,RIDTNChattanooga,23,20494.73,5963.6,5184.47
DRG191,PID440091,RIDTNChattanooga,135,21629.41,5009.73,4014.55
DRG191,PID440104,RIDTNChattanooga,50,16108.1,6615.02,5629.92
DRG191,PID440156,RIDTNChattanooga,54,28531.2,6339.75,5516.46
DRG191,PID440185,RIDTNChattanooga,156,26961.33,5460.7,4643.94
DRG192,PID110004,RIDTNChattanooga,20,14991.65,4379.05,3371.45
DRG192,PID440064,RIDTNChattanooga,36,13995.86,4511.38,3422.27
DRG192,PID440091,RIDTNChattanooga,95,16089.75,3889.22,2795.88
DRG192,PID440104,RIDTNChattanooga,37,13335.16,4963.05,3943.29
DRG192,PID440156,RIDTNChattanooga,52,20632.51,5156.17,3573.65
DRG192,PID440185,RIDTNChattanooga,141,21744.36,4073.41,3164.31
DRG193,PID110004,RIDTNChattanooga,23,21854.52,8597.78,7672.65
DRG193,PID440091,RIDTNChattanooga,170,29643.54,7573.77,6648.99
DRG193,PID440104,RIDTNChattanooga,57,26824.43,10129.49,9213.33
DRG193,PID440156,RIDTNChattanooga,51,40489.19,9588.39,8595.33
DRG193,PID440185,RIDTNChattanooga,74,49290.7,8333.06,7670.2
DRG194,PID110004,RIDTNChattanooga,53,20710.49,6133.47,5119.75
DRG194,PID440064,RIDTNChattanooga,58,20457.25,6312.46,5018.31
DRG194,PID440091,RIDTNChattanooga,193,20593.03,5338.75,4210.31
DRG194,PID440104,RIDTNChattanooga,51,15816.45,6903.23,6002
DRG194,PID440156,RIDTNChattanooga,79,28974.41,6803.79,5728.22
DRG194,PID440185,RIDTNChattanooga,137,31870.85,5784,4626.68
DRG195,PID110004,RIDTNChattanooga,11,11683.9,4199.27,3178.9
DRG195,PID440064,RIDTNChattanooga,18,21375.55,4433,3561.44
DRG195,PID440091,RIDTNChattanooga,71,15721.92,3691.63,2723.92
DRG195,PID440104,RIDTNChattanooga,13,14412.15,4915.53,3764.23
DRG195,PID440156,RIDTNChattanooga,46,19064.67,4801.76,3642.15
DRG195,PID440185,RIDTNChattanooga,64,20725.04,4005.53,3027.06
DRG202,PID440091,RIDTNChattanooga,33,17586.36,4455.75,3078.06
DRG202,PID440104,RIDTNChattanooga,14,23105.21,5837.85,4323.14
DRG202,PID440185,RIDTNChattanooga,26,21814.92,4789.07,3701.03
DRG203,PID440091,RIDTNChattanooga,17,13491.23,3152.58,2092.82
DRG203,PID440185,RIDTNChattanooga,20,19642.25,3463.15,2537.2
DRG207,PID440091,RIDTNChattanooga,49,107572.12,28912.28,25627.89
DRG207,PID440104,RIDTNChattanooga,52,158659.23,40460.09,36108.44
DRG207,PID440156,RIDTNChattanooga,12,137789.33,34667,33219.5
DRG207,PID440185,RIDTNChattanooga,19,147326.31,28215.26,25255.78
DRG208,PID110004,RIDTNChattanooga,15,49035.73,14534.4,13888.46
DRG208,PID440091,RIDTNChattanooga,60,54977.8,11951,11092.31
DRG208,PID440104,RIDTNChattanooga,124,56733.76,15753.37,14664.46
DRG208,PID440156,RIDTNChattanooga,38,59334.92,15579.18,14164.07
DRG208,PID440185,RIDTNChattanooga,28,78551.42,14280,11759.28
DRG238,PID440091,RIDTNChattanooga,69,76723.01,17591.76,14586.92
DRG238,PID440104,RIDTNChattanooga,31,56326.83,21714.7,19029.54
DRG238,PID440156,RIDTNChattanooga,24,80838.62,22829.7,18112.2
DRG243,PID440091,RIDTNChattanooga,33,48938.81,13741.12,12853.12
DRG243,PID440104,RIDTNChattanooga,16,33722.31,18321.81,17514.18
DRG243,PID440156,RIDTNChattanooga,22,85659.95,17825,17057.59
DRG244,PID440091,RIDTNChattanooga,74,40415.95,10573.83,9663.78
DRG244,PID440104,RIDTNChattanooga,11,32239.72,14141.27,13220.9
DRG244,PID440156,RIDTNChattanooga,27,76258.74,14982.03,12064.18
DRG244,PID440185,RIDTNChattanooga,12,105988.33,11473,10438
DRG246,PID440091,RIDTNChattanooga,42,66162.52,17047.3,15533.73
DRG246,PID440104,RIDTNChattanooga,12,52857.16,22662.91,19221.5
DRG246,PID440156,RIDTNChattanooga,13,95149.76,21187.07,20323.69
DRG247,PID440091,RIDTNChattanooga,187,41501.36,11079.7,8570.63
DRG247,PID440104,RIDTNChattanooga,31,44042.9,14045.19,11894.77
DRG247,PID440156,RIDTNChattanooga,79,70601.91,15018.62,11192.39
DRG249,PID440091,RIDTNChattanooga,102,42132.13,9385.12,8086.58
DRG249,PID440104,RIDTNChattanooga,51,37560.31,12653.25,10382.47
DRG249,PID440156,RIDTNChattanooga,31,78887.41,11907.45,10969.35
DRG251,PID440091,RIDTNChattanooga,76,55306.9,10130.1,8224.27
DRG251,PID440156,RIDTNChattanooga,76,101696.01,13446.68,10705.14
DRG252,PID440091,RIDTNChattanooga,60,58844.81,15565.4,14909.33
DRG252,PID440104,RIDTNChattanooga,45,50397.37,21796.02,21152.48
DRG252,PID440156,RIDTNChattanooga,22,75524.36,20737.54,20124.45
DRG253,PID440091,RIDTNChattanooga,58,55064.1,12621.79,11616.34
DRG253,PID440104,RIDTNChattanooga,31,48397.45,16766.87,16114.74
DRG253,PID440156,RIDTNChattanooga,20,70695.8,16749.25,14169.8
DRG254,PID440091,RIDTNChattanooga,67,42571.46,8827.01,6958.34
DRG254,PID440104,RIDTNChattanooga,21,35643.85,11404.23,9271.19
DRG254,PID440156,RIDTNChattanooga,17,67853,10896.05,9902.94
DRG280,PID440091,RIDTNChattanooga,70,42280.21,9607.81,8825.3
DRG280,PID440104,RIDTNChattanooga,30,33039.46,12207.2,11029.53
DRG280,PID440156,RIDTNChattanooga,27,52687.77,14594.11,10302.51
DRG280,PID440185,RIDTNChattanooga,18,43107.11,9645,8834.55
DRG281,PID440091,RIDTNChattanooga,49,25378.55,6274.34,5379.24
DRG281,PID440104,RIDTNChattanooga,26,22147.53,8421.19,5799.11
DRG281,PID440156,RIDTNChattanooga,18,41789,8553.16,6472.5
DRG281,PID440185,RIDTNChattanooga,16,29185.56,6502.62,5586.87
DRG282,PID440091,RIDTNChattanooga,38,19180.92,4170,3342.63
DRG282,PID440185,RIDTNChattanooga,23,24231.6,4412.17,3531.82
DRG286,PID440091,RIDTNChattanooga,25,41786.68,11098.32,9648.08
DRG286,PID440104,RIDTNChattanooga,15,32881.46,13939.73,12517.26
DRG286,PID440156,RIDTNChattanooga,19,69097.94,13500.31,12669.57
DRG287,PID110004,RIDTNChattanooga,13,19480.92,6567.53,5793.69
DRG287,PID440091,RIDTNChattanooga,190,20280.21,5748.76,4548.07
DRG287,PID440104,RIDTNChattanooga,67,20217.83,7623.31,6023.31
DRG287,PID440156,RIDTNChattanooga,64,41023.96,7783.01,5871.6
DRG287,PID440185,RIDTNChattanooga,20,39153.9,6340.6,4983.75
DRG291,PID110004,RIDTNChattanooga,16,26606.18,8912.06,8135.81
DRG291,PID440091,RIDTNChattanooga,221,33237.32,8079.73,6866.81
DRG291,PID440104,RIDTNChattanooga,82,31484.71,10118.79,9127.93
DRG291,PID440156,RIDTNChattanooga,58,40754.74,10457.58,8770.6
DRG291,PID440185,RIDTNChattanooga,64,39152.57,8239.34,7705.5
DRG292,PID110004,RIDTNChattanooga,20,21238.1,5945.05,5165.45
DRG292,PID440064,RIDTNChattanooga,22,20328.72,6282.04,5566.04
DRG292,PID440091,RIDTNChattanooga,256,20052.43,5315.82,4418.11
DRG292,PID440104,RIDTNChattanooga,94,15799.51,6920.94,5868.86
DRG292,PID440156,RIDTNChattanooga,75,27132.89,6881.24,5802.6
DRG292,PID440185,RIDTNChattanooga,91,24023.14,5640.36,5011.92
DRG293,PID440064,RIDTNChattanooga,12,15703.25,4077.16,3511.16
DRG293,PID440091,RIDTNChattanooga,109,14038.06,3550.29,2666.38
DRG293,PID440104,RIDTNChattanooga,25,10310.36,4684.48,3493.56
DRG293,PID440156,RIDTNChattanooga,32,19606.15,4616.75,3625.78
DRG293,PID440185,RIDTNChattanooga,72,19874.51,3812.01,3095.01
DRG300,PID440091,RIDTNChattanooga,50,16975.4,5155.76,3861.1
DRG300,PID440104,RIDTNChattanooga,30,17364.73,6703.6,5721.83
DRG300,PID440156,RIDTNChattanooga,21,19812.8,6096.9,5186.61
DRG300,PID440185,RIDTNChattanooga,17,21350.41,5201.23,4405.94
DRG301,PID440091,RIDTNChattanooga,39,12254.33,3573,2398.43
DRG301,PID440104,RIDTNChattanooga,16,13722,4796.56,3453.93
DRG301,PID440156,RIDTNChattanooga,11,18518.54,4401.36,3686.81
DRG303,PID440091,RIDTNChattanooga,44,14158.9,3022.5,2231.5
DRG303,PID440104,RIDTNChattanooga,19,12781.1,4037.94,3400.84
