drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID440002,RIDTNJackson,44,19872.77,6355.88,4957.81
DRG039,PID440189,RIDTNJackson,23,55503.21,6002,4927.56
DRG057,PID440002,RIDTNJackson,30,12343.8,5326.03,4520.1
DRG064,PID440002,RIDTNJackson,109,21326.05,11027.24,10030.87
DRG064,PID440132,RIDTNJackson,14,17375.07,8191.85,7387.85
DRG064,PID440189,RIDTNJackson,16,49105,13538.25,9592.31
DRG065,PID440002,RIDTNJackson,240,15371.9,6813.23,5679.23
DRG065,PID440132,RIDTNJackson,18,14953.33,5433.16,4556.27
DRG065,PID440189,RIDTNJackson,13,26035.92,6341.07,5477.69
DRG066,PID440002,RIDTNJackson,72,12112.12,4958.86,3834.95
DRG066,PID440016,RIDTNJackson,11,12751.45,4156.54,3237.45
DRG066,PID440132,RIDTNJackson,14,12064.78,4004.14,2962.14
DRG069,PID440002,RIDTNJackson,89,13360.6,4405.89,3517.26
DRG069,PID440008,RIDTNJackson,11,20802.45,4204.45,3284.09
DRG069,PID440189,RIDTNJackson,20,23526.35,4305.3,3406.1
DRG074,PID440002,RIDTNJackson,33,10635.6,5259.93,4087.57
DRG101,PID440002,RIDTNJackson,70,11858.64,4649.15,3544.21
DRG176,PID440002,RIDTNJackson,65,12161.13,6402.27,5305.75
DRG176,PID440189,RIDTNJackson,12,23468.58,6147.33,5301
DRG177,PID440002,RIDTNJackson,111,26546.35,12519.7,11618.7
DRG177,PID440070,RIDTNJackson,11,8226.63,11539.27,11130.54
DRG177,PID440132,RIDTNJackson,12,38489.16,10380.75,9724.41
DRG177,PID440189,RIDTNJackson,22,54004.45,11510.59,11000.4
DRG178,PID440002,RIDTNJackson,91,16720.36,8404.46,7749.73
DRG178,PID440070,RIDTNJackson,25,6982.4,8089.92,7547.84
DRG178,PID440132,RIDTNJackson,19,22935.42,7150.47,6379.31
DRG178,PID440189,RIDTNJackson,16,42500.06,8258.37,7188.43
DRG189,PID440002,RIDTNJackson,88,18562,7739.63,7203.18
DRG189,PID440061,RIDTNJackson,11,27901.63,6782.81,5971.18
DRG189,PID440132,RIDTNJackson,11,22293.45,6510.18,5892.72
DRG189,PID440189,RIDTNJackson,23,45196.73,7539.73,6902.69
DRG190,PID440002,RIDTNJackson,237,14507.02,7138.35,6220.46
DRG190,PID440008,RIDTNJackson,30,32608.7,6517.53,5630.8
DRG190,PID440047,RIDTNJackson,13,6587.38,5806,4860.46
DRG190,PID440061,RIDTNJackson,33,26166.24,6277.27,5594.12
DRG190,PID440070,RIDTNJackson,21,7027.66,6408.71,5815.76
DRG190,PID440132,RIDTNJackson,25,16645.96,5791.88,5068.68
DRG190,PID440182,RIDTNJackson,23,28800.56,5801.26,4925.08
DRG190,PID440189,RIDTNJackson,104,35285.19,6847.7,6167.81
DRG191,PID440002,RIDTNJackson,191,12723.23,5849.49,4959.81
DRG191,PID440008,RIDTNJackson,19,23597.84,5402.68,4578.68
DRG191,PID440016,RIDTNJackson,15,9696.66,4742,3989.46
DRG191,PID440061,RIDTNJackson,26,27334.53,5281.34,4461.5
DRG191,PID440070,RIDTNJackson,11,5706.54,5494,4573.63
DRG191,PID440115,RIDTNJackson,16,6927.37,5038.43,4342.93
DRG191,PID440132,RIDTNJackson,30,15034.6,4865.96,3773.1
DRG191,PID440182,RIDTNJackson,33,30508.27,5147.81,4603.81
DRG191,PID440189,RIDTNJackson,198,29347.57,5887.3,4803.48
DRG192,PID440002,RIDTNJackson,109,9582.19,4385.44,3427.98
DRG192,PID440008,RIDTNJackson,35,21221.22,4080.22,3198.57
DRG192,PID440016,RIDTNJackson,36,10008.13,3824.3,2862.83
DRG192,PID440047,RIDTNJackson,12,6976.08,3564.25,2628.91
DRG192,PID440061,RIDTNJackson,41,18586.34,3961.85,3027.36
DRG192,PID440070,RIDTNJackson,30,4886.56,4057.4,3162.46
DRG192,PID440115,RIDTNJackson,29,5100.34,3869.06,2931.62
DRG192,PID440132,RIDTNJackson,32,11924.46,3616.65,2599.78
DRG192,PID440182,RIDTNJackson,29,20815.72,3877.58,2949.58
DRG192,PID440189,RIDTNJackson,227,19577.16,4340.37,3245.31
DRG193,PID440002,RIDTNJackson,146,22068.3,8761.72,7893.15
DRG193,PID440061,RIDTNJackson,23,41938,7904.65,7013.39
DRG193,PID440132,RIDTNJackson,29,27900.03,7545.13,6690.79
DRG193,PID440189,RIDTNJackson,27,49714.81,9250.33,7694.66
DRG194,PID440002,RIDTNJackson,159,14117.01,6090.71,5008.76
DRG194,PID440008,RIDTNJackson,20,34665.7,5490.55,4759.55
DRG194,PID440016,RIDTNJackson,24,13127.87,5165.12,4099.45
DRG194,PID440047,RIDTNJackson,19,6482.89,4765.84,4115.52
DRG194,PID440061,RIDTNJackson,56,25990.66,5571.08,4947.87
DRG194,PID440070,RIDTNJackson,36,6423.41,5660.86,4911.52
DRG194,PID440115,RIDTNJackson,27,8259.33,5441.96,4611.74
DRG194,PID440132,RIDTNJackson,52,16293.92,5080.61,4197.92
DRG194,PID440181,RIDTNJackson,20,5908.45,7105,6146
DRG194,PID440182,RIDTNJackson,28,25243.42,5936.17,4619.21
DRG194,PID440189,RIDTNJackson,26,26643.76,5918.69,5142.38
DRG195,PID440002,RIDTNJackson,43,8724.3,4434.72,2961.39
DRG195,PID440008,RIDTNJackson,20,21992,4088.15,3240.75
DRG195,PID440016,RIDTNJackson,18,11925.72,3720.94,3038.05
DRG195,PID440061,RIDTNJackson,58,20694.91,3936,3259.51
DRG195,PID440070,RIDTNJackson,19,5251.05,3848.63,3259.57
DRG195,PID440132,RIDTNJackson,25,13387.88,3731.84,2509.16
DRG195,PID440182,RIDTNJackson,24,19398.87,3857.79,2784.95
DRG195,PID440189,RIDTNJackson,11,20753.81,4171.54,3148.27
DRG202,PID440002,RIDTNJackson,40,10438.87,5047.5,4204.1
DRG203,PID440002,RIDTNJackson,12,7230.91,3651.66,2905
DRG203,PID440061,RIDTNJackson,15,19019.8,3380.13,2707.33
DRG203,PID440115,RIDTNJackson,20,4819.95,3330.3,2376.1
DRG207,PID440002,RIDTNJackson,57,78445.8,32431.43,29532.68
DRG207,PID440189,RIDTNJackson,15,104645.26,28993.73,28622.8
DRG208,PID440002,RIDTNJackson,110,34846.72,14021.9,13360.04
DRG208,PID440132,RIDTNJackson,12,33438.83,10502.5,9656.16
DRG208,PID440189,RIDTNJackson,41,77462.8,13572.04,12858.87
DRG238,PID440002,RIDTNJackson,54,49846.92,18740.53,17871.35
DRG238,PID440132,RIDTNJackson,18,51233.55,15720.44,14717.77
DRG243,PID440002,RIDTNJackson,81,27979.07,15877.39,14789.29
DRG244,PID440002,RIDTNJackson,37,23794.81,12566.59,10888.59
DRG246,PID440002,RIDTNJackson,114,44447.29,19648.92,17705
DRG246,PID440189,RIDTNJackson,13,138629.23,18740,17787.07
DRG247,PID440002,RIDTNJackson,260,32795.57,12592.36,10252.13
DRG247,PID440189,RIDTNJackson,54,109954.48,11478.92,9962.61
DRG249,PID440002,RIDTNJackson,38,28888.97,11602.21,9213.31
DRG249,PID440189,RIDTNJackson,16,123552.93,10854.25,9276.31
DRG251,PID440002,RIDTNJackson,31,32585.38,11423.61,9312.29
DRG252,PID440002,RIDTNJackson,37,40115.75,18419.78,17722.16
DRG253,PID440002,RIDTNJackson,42,27589.38,15364.4,12650.26
DRG253,PID440132,RIDTNJackson,14,25970.92,12173.85,11212.71
DRG254,PID440002,RIDTNJackson,23,26556.21,9680.82,8754.04
DRG254,PID440189,RIDTNJackson,11,82799.54,9496.18,8675.81
DRG291,PID440070,RIDTNJackson,11,7303.81,7762.36,6942
DRG280,PID440002,RIDTNJackson,297,22648.66,10836.97,10173.13
DRG280,PID440132,RIDTNJackson,15,18712.06,7775.6,6956.13
DRG280,PID440189,RIDTNJackson,46,63661.13,10151.69,9323.56
DRG281,PID440002,RIDTNJackson,175,15193.45,7274.52,6086.23
DRG281,PID440132,RIDTNJackson,14,14881,4911.5,4184.71
DRG281,PID440189,RIDTNJackson,27,51884.81,6265.88,5530
DRG282,PID440002,RIDTNJackson,88,14307.77,5340.35,3633.1
DRG282,PID440132,RIDTNJackson,15,11184.86,3892.4,3590.53
DRG282,PID440189,RIDTNJackson,32,43180.65,5443.71,3730.12
DRG286,PID440002,RIDTNJackson,68,30938.5,12303.35,10937.61
DRG286,PID440189,RIDTNJackson,18,73744.55,11149.5,10434.27
DRG287,PID440002,RIDTNJackson,221,19151.38,6750.17,5281.65
DRG287,PID440189,RIDTNJackson,93,54309.97,6348.76,5387.88
DRG291,PID440002,RIDTNJackson,300,18211.25,8843.75,8147.9
DRG291,PID440008,RIDTNJackson,22,35879.4,8185.31,7619.31
DRG291,PID440061,RIDTNJackson,42,31516.33,8029.45,7494.97
DRG291,PID440115,RIDTNJackson,18,7932.94,8071.61,6853.72
DRG291,PID440132,RIDTNJackson,20,18509.3,6975.35,6401.6
DRG291,PID440189,RIDTNJackson,59,37404.83,8536.49,7778.55
DRG292,PID440002,RIDTNJackson,414,10729.86,6072.23,5462.47
DRG292,PID440008,RIDTNJackson,33,25947.27,5447.93,4883.51
DRG292,PID440016,RIDTNJackson,21,12117.76,5149.71,4280.52
DRG292,PID440061,RIDTNJackson,34,24985.73,5396.55,4801.02
DRG292,PID440115,RIDTNJackson,24,8072.45,5600.58,4593.25
DRG292,PID440132,RIDTNJackson,38,14583.57,5058.94,4206.5
DRG292,PID440181,RIDTNJackson,27,5132.18,6280.51,5697.11
DRG292,PID440182,RIDTNJackson,17,26190.11,5360.58,4696.58
DRG292,PID440189,RIDTNJackson,47,25497.21,5935.25,5316.53
DRG293,PID440002,RIDTNJackson,107,7179.42,4080.62,3454.97
DRG293,PID440008,RIDTNJackson,21,22561.85,3945.76,3411.28
DRG293,PID440016,RIDTNJackson,34,11533.91,3550.5,2824.61
DRG293,PID440061,RIDTNJackson,33,20964.9,3778.09,3119.69
DRG293,PID440115,RIDTNJackson,15,5568.73,3464.2,2713.8
DRG293,PID440132,RIDTNJackson,12,10156.16,3474.66,2730.66
DRG293,PID440189,RIDTNJackson,18,14745.05,3973.88,3352.11
DRG300,PID440002,RIDTNJackson,55,12448.1,5701.9,4992.72
DRG300,PID440132,RIDTNJackson,13,10185.53,4689.07,4082
DRG300,PID440189,RIDTNJackson,12,18653.83,5416.25,4572.58
DRG301,PID440002,RIDTNJackson,23,6918.43,4085.52,2817.73
DRG303,PID440002,RIDTNJackson,34,8982.41,3486.58,2790.23
DRG303,PID440182,RIDTNJackson,14,17951.28,3174,2776.57
DRG303,PID440189,RIDTNJackson,20,16135.45,3424.25,2833.15
DRG305,PID440002,RIDTNJackson,18,8972.83,3672.05,2547.16
DRG308,PID440002,RIDTNJackson,115,14491.8,7427.31,6750.88
DRG308,PID440189,RIDTNJackson,20,34767.3,7089.2,6696.2
DRG309,PID440002,RIDTNJackson,139,9539.28,5181.79,4083.42
DRG309,PID440132,RIDTNJackson,23,14297.26,4196.34,3511.47
DRG309,PID440189,RIDTNJackson,37,24364.35,4936.97,4205.29
DRG310,PID440002,RIDTNJackson,95,6607.96,3453.7,2471.03
DRG310,PID440132,RIDTNJackson,15,10025.4,2877.33,2129.06
DRG310,PID440189,RIDTNJackson,23,16845.6,3396.39,2371.47
DRG312,PID440002,RIDTNJackson,119,11951.1,4387.92,3411.42
DRG312,PID440008,RIDTNJackson,11,23595,4135,3123.36
DRG312,PID440061,RIDTNJackson,11,25351.27,3986.54,3063.27
DRG312,PID440189,RIDTNJackson,30,18423.76,4220.7,3419.56
DRG313,PID440002,RIDTNJackson,92,10585.36,3443.96,2492.16
DRG313,PID440182,RIDTNJackson,15,15039.8,2994,2094.8
DRG313,PID440189,RIDTNJackson,69,18390.89,3233.04,2369.1
DRG314,PID440002,RIDTNJackson,100,27671.41,11174.82,9849.89
DRG314,PID440189,RIDTNJackson,25,39160.08,10328.44,9924.76
DRG315,PID440002,RIDTNJackson,41,16179.21,5722.21,5171.58
DRG329,PID440002,RIDTNJackson,63,72562.25,31837.69,30445.14
DRG329,PID440189,RIDTNJackson,19,182425.68,30081.42,28813.42
DRG330,PID440002,RIDTNJackson,61,40924.8,15831.67,14303.5
DRG330,PID440132,RIDTNJackson,20,28570.65,12995.45,12159.25
DRG330,PID440189,RIDTNJackson,21,98195.42,15199.04,13794.71
DRG372,PID440002,RIDTNJackson,47,13445.51,7682.85,6936.12
DRG377,PID440002,RIDTNJackson,106,20431.93,10332.16,9760.91
DRG377,PID440132,RIDTNJackson,11,26861.63,7966.27,6638.63
DRG377,PID440189,RIDTNJackson,14,49683.07,10238.28,9998
DRG378,PID440002,RIDTNJackson,192,12002.12,6128.55,5313.65
DRG378,PID440061,RIDTNJackson,12,34226.16,5646.16,4993.83
DRG378,PID440132,RIDTNJackson,41,15463.14,5189.8,4327.85
DRG378,PID440189,RIDTNJackson,21,23269.8,5875.28,5285.38
DRG379,PID440002,RIDTNJackson,24,7879,4274.75,3478.25
DRG389,PID440002,RIDTNJackson,65,13806.96,5604.84,4808.24
DRG389,PID440189,RIDTNJackson,13,18238.23,5310.46,4703.38
DRG390,PID440002,RIDTNJackson,35,10280.14,3869.34,2744.48
DRG390,PID440132,RIDTNJackson,11,10313.9,3148,2327.63
DRG391,PID440002,RIDTNJackson,63,16439.42,6884.53,6103.38
DRG391,PID440189,RIDTNJackson,15,38974.66,7412.53,5661.6
DRG392,PID440002,RIDTNJackson,198,11474.26,4391.41,3321.82
DRG392,PID440008,RIDTNJackson,29,19854.82,4094.27,3051.37
DRG392,PID440016,RIDTNJackson,16,11341.18,3701.12,2782.31
DRG392,PID440061,RIDTNJackson,36,18966.91,4110.08,2722.88
DRG392,PID440070,RIDTNJackson,21,5082.19,4048,3028.38
DRG392,PID440115,RIDTNJackson,15,6296.4,3932.06,2810.73
DRG392,PID440132,RIDTNJackson,42,13049.02,3662.04,2509.35
DRG392,PID440182,RIDTNJackson,53,18425.09,3892.83,2969.2
DRG392,PID440189,RIDTNJackson,50,20656.18,4363.5,3371.84
DRG394,PID440002,RIDTNJackson,43,14760.44,5939.88,5256.9
DRG394,PID440189,RIDTNJackson,11,30944.9,5850.27,5238.63
DRG418,PID440002,RIDTNJackson,37,27429.35,10185.83,9199.29
DRG419,PID440002,RIDTNJackson,27,19944.7,7485.77,5314.22
DRG419,PID440189,RIDTNJackson,14,46675.21,6886.92,5637.21
DRG439,PID440002,RIDTNJackson,50,14707.12,6176.32,4993.76
