drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID440012,RIDTNKingsport,14,16276.78,5571.78,4603.78
DRG039,PID440017,RIDTNKingsport,28,20252.03,5809.64,4595.82
DRG057,PID440012,RIDTNKingsport,13,15344.92,5040.92,4088
DRG064,PID440012,RIDTNKingsport,59,30940.1,10194.38,9257.42
DRG064,PID440017,RIDTNKingsport,39,32708.87,10520.64,9050.38
DRG064,PID490002,RIDTNKingsport,11,34274.18,9402.09,8584.63
DRG064,PID490053,RIDTNKingsport,18,36369.61,9537.5,8728.83
DRG065,PID440012,RIDTNKingsport,70,15841.34,6268.62,5483.08
DRG065,PID440017,RIDTNKingsport,56,20900.37,6278.57,5261.39
DRG065,PID440176,RIDTNKingsport,21,29003.85,6381.61,5523.71
DRG065,PID490001,RIDTNKingsport,12,22797.08,6088.25,5338.91
DRG065,PID490012,RIDTNKingsport,13,16839.3,6773.46,5820.53
DRG065,PID490038,RIDTNKingsport,12,19323.25,6436,4857
DRG065,PID490053,RIDTNKingsport,19,28974.68,6103.31,5391.68
DRG065,PID490060,RIDTNKingsport,19,17512.89,5674.36,4908.26
DRG066,PID440012,RIDTNKingsport,67,13670.76,4522.29,3410.92
DRG066,PID440017,RIDTNKingsport,28,12926.35,4619.46,3464.32
DRG066,PID490038,RIDTNKingsport,11,28809.36,5015.36,4092.09
DRG066,PID490053,RIDTNKingsport,21,22807.66,4485.47,3217.42
DRG069,PID440012,RIDTNKingsport,56,12733.28,3999.69,3116.55
DRG069,PID440017,RIDTNKingsport,25,14356.64,4044.68,3058.76
DRG069,PID490001,RIDTNKingsport,22,16818.4,4552.36,3369.04
DRG069,PID490002,RIDTNKingsport,19,15251.47,4202.89,3314.26
DRG069,PID490012,RIDTNKingsport,16,9025.81,4427.5,3103.31
DRG069,PID490038,RIDTNKingsport,11,16593.72,4049.81,3126.54
DRG069,PID490053,RIDTNKingsport,29,19411.75,3989.62,2693.31
DRG069,PID490060,RIDTNKingsport,27,17565.77,4138.92,2867.25
DRG069,PID490114,RIDTNKingsport,18,11276.5,4266,3268.66
DRG074,PID440012,RIDTNKingsport,13,16997.46,4993.92,3203
DRG101,PID440012,RIDTNKingsport,33,11989.36,4132.3,3177.63
DRG101,PID440017,RIDTNKingsport,25,13271.64,4203.64,3275.24
DRG101,PID490053,RIDTNKingsport,13,15810.3,4081.07,3125.69
DRG149,PID440012,RIDTNKingsport,12,11061.08,3495.66,2560.33
DRG149,PID490060,RIDTNKingsport,11,14843.36,4565.45,2336.9
DRG176,PID440012,RIDTNKingsport,26,18030.61,5861.84,3873.19
DRG176,PID440017,RIDTNKingsport,26,16978,5622.34,4708.61
DRG176,PID490001,RIDTNKingsport,12,22418,6384.08,5456.75
DRG176,PID490053,RIDTNKingsport,23,19868.69,5181.65,4351.91
DRG176,PID490060,RIDTNKingsport,13,26395.23,5801.07,4620.07
DRG177,PID440012,RIDTNKingsport,28,36201.07,11163.85,10791.03
DRG177,PID440017,RIDTNKingsport,76,33378.42,10765.09,10111.05
DRG177,PID440176,RIDTNKingsport,27,48267.25,11341.33,10676.44
DRG177,PID490012,RIDTNKingsport,18,25741.16,10530.5,9906.94
DRG177,PID490027,RIDTNKingsport,20,20192.45,9559.6,8722.2
DRG177,PID490053,RIDTNKingsport,39,43066.82,11531.3,10898.48
DRG178,PID440012,RIDTNKingsport,37,22323.91,7727.72,7173.7
DRG178,PID440017,RIDTNKingsport,31,22011.51,7665.25,7086.16
DRG178,PID440176,RIDTNKingsport,21,29292.8,7732.33,6820.52
DRG178,PID490001,RIDTNKingsport,12,25694.58,8809.25,8059.91
DRG178,PID490027,RIDTNKingsport,11,15865.54,7350.9,6633.45
DRG178,PID490053,RIDTNKingsport,21,37786.23,8253.42,7452.47
DRG178,PID490060,RIDTNKingsport,11,25147.54,9301,6243.72
DRG178,PID490127,RIDTNKingsport,16,22948.56,12265.18,8028.25
DRG189,PID440012,RIDTNKingsport,80,26140.35,7561.31,6094.07
DRG189,PID440017,RIDTNKingsport,118,22744.53,7188.22,6242
DRG189,PID440176,RIDTNKingsport,28,37226.53,7616.6,7176.46
DRG189,PID490001,RIDTNKingsport,26,30679.57,7547.53,7028.76
DRG189,PID490002,RIDTNKingsport,22,31665.09,7311.72,6803
DRG189,PID490012,RIDTNKingsport,65,18123.67,7648.75,6299.53
DRG189,PID490027,RIDTNKingsport,59,14013.08,7094.93,5583.4
DRG189,PID490038,RIDTNKingsport,37,23781,7030,6296.59
DRG189,PID490053,RIDTNKingsport,63,33451.5,8637.03,6715.63
DRG189,PID490060,RIDTNKingsport,45,28683.42,7906.17,5758.33
DRG189,PID490114,RIDTNKingsport,27,15852.11,7471.22,6807.51
DRG190,PID440012,RIDTNKingsport,95,18227.6,6524.03,5547.78
DRG190,PID440017,RIDTNKingsport,73,18616.23,6366.53,5629.21
DRG190,PID440176,RIDTNKingsport,22,20146.18,6429.77,5380.31
DRG190,PID490001,RIDTNKingsport,40,26346.52,7032.7,5987.32
DRG190,PID490002,RIDTNKingsport,62,23559.2,6517.59,5614.62
DRG190,PID490012,RIDTNKingsport,74,15470.02,6889.09,6078.02
DRG190,PID490027,RIDTNKingsport,67,11765.52,6370.28,4762.61
DRG190,PID490038,RIDTNKingsport,40,19042.25,5964.67,5055.87
DRG190,PID490053,RIDTNKingsport,43,18792.11,6298.23,5523.11
DRG190,PID490060,RIDTNKingsport,89,23995.21,6786.76,5265.03
DRG190,PID490114,RIDTNKingsport,17,17735.35,6774.94,5375
DRG190,PID490127,RIDTNKingsport,80,16245.16,8793.78,6468.78
DRG191,PID440012,RIDTNKingsport,90,14140.73,5256.23,4325.67
DRG191,PID440017,RIDTNKingsport,65,13598.49,5254.43,4379.5
DRG191,PID440176,RIDTNKingsport,42,19502.69,5666.69,4466.71
DRG191,PID490001,RIDTNKingsport,60,21270.35,5825.96,4848.43
DRG191,PID490002,RIDTNKingsport,85,20692.67,5452.75,4560.58
DRG191,PID490012,RIDTNKingsport,48,13578.5,5649.33,4489.95
DRG191,PID490027,RIDTNKingsport,56,11182.03,5240.5,3933.37
DRG191,PID490038,RIDTNKingsport,18,14202.88,5562.72,4307.66
DRG191,PID490053,RIDTNKingsport,67,17444.83,5078.43,4297.1
DRG191,PID490060,RIDTNKingsport,158,20160.89,5286.79,4495.69
DRG191,PID490114,RIDTNKingsport,20,14600.85,5487.45,4531.4
DRG191,PID490127,RIDTNKingsport,61,11929.18,6349.83,5295.03
DRG192,PID440012,RIDTNKingsport,92,11953.1,3999.48,2970.01
DRG192,PID440017,RIDTNKingsport,68,12457.92,3914.19,2948.89
DRG192,PID440176,RIDTNKingsport,19,15675.68,4263.57,2955.52
DRG192,PID490001,RIDTNKingsport,44,15712.61,4426.06,3713.7
DRG192,PID490002,RIDTNKingsport,100,16930.57,4207.83,3457.81
DRG192,PID490012,RIDTNKingsport,46,10262.63,4198.04,3104.97
DRG192,PID490027,RIDTNKingsport,17,7473.7,3752.47,2529.64
DRG192,PID490038,RIDTNKingsport,15,11696.06,4283.6,3068.6
DRG192,PID490053,RIDTNKingsport,79,14205.11,3855.03,2860.05
DRG192,PID490060,RIDTNKingsport,109,16656.56,4182.86,2980.47
DRG192,PID490114,RIDTNKingsport,30,10650.33,4190.46,3210.03
DRG192,PID490127,RIDTNKingsport,111,10555.62,6001.81,2939.18
DRG193,PID440012,RIDTNKingsport,91,25441.98,7953.95,6852.96
DRG193,PID440017,RIDTNKingsport,84,25812.85,7777.17,6776.89
DRG193,PID440176,RIDTNKingsport,51,36452.5,8024.09,7317.58
DRG193,PID490001,RIDTNKingsport,26,41762.92,8772.57,8123.19
DRG193,PID490002,RIDTNKingsport,37,37383.64,8399.72,7889.64
DRG193,PID490012,RIDTNKingsport,54,19628.4,8992.4,7293.74
DRG193,PID490027,RIDTNKingsport,27,14995.48,7911.11,6691.7
DRG193,PID490038,RIDTNKingsport,44,20094.56,7641.4,6874.68
DRG193,PID490053,RIDTNKingsport,76,28260.57,7910.78,7186
