drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID440011,RIDTNKnoxville,13,23726.38,5176.76,4318.3
DRG039,PID440015,RIDTNKnoxville,41,19589.43,6720.24,5632
DRG039,PID440030,RIDTNKnoxville,16,10904.81,5612.12,4629.62
DRG039,PID440034,RIDTNKnoxville,40,12203.65,5220.6,4170.75
DRG039,PID440120,RIDTNKnoxville,15,22338.4,5232,4334.93
DRG039,PID440125,RIDTNKnoxville,27,12799.07,5219.29,4006.11
DRG039,PID440173,RIDTNKnoxville,21,12664.8,5221.61,4163.04
DRG057,PID440011,RIDTNKnoxville,20,20836.05,4920.25,4074.05
DRG057,PID440120,RIDTNKnoxville,16,19716.68,4888.62,3868.06
DRG057,PID440125,RIDTNKnoxville,14,24532.21,6714.14,3116.42
DRG057,PID440173,RIDTNKnoxville,14,14448.35,5088,3927
DRG064,PID440011,RIDTNKnoxville,23,46795.26,10237.34,8912.13
DRG064,PID440015,RIDTNKnoxville,86,43035.03,11833.66,10574.93
DRG064,PID440030,RIDTNKnoxville,18,20565.94,9905.61,9285.61
DRG064,PID440034,RIDTNKnoxville,47,24216.78,8775.97,7850.21
DRG064,PID440120,RIDTNKnoxville,53,28998.26,9200.9,8394.11
DRG064,PID440125,RIDTNKnoxville,59,31311.83,10180.45,9078.33
DRG064,PID440173,RIDTNKnoxville,63,24644.61,9874.26,9133.39
DRG065,PID180020,RIDTNKnoxville,11,17004.09,6517.45,5702.9
DRG065,PID440011,RIDTNKnoxville,35,23298.08,6019.2,4699.2
DRG065,PID440015,RIDTNKnoxville,92,27329.46,7440.36,6107.2
DRG065,PID440025,RIDTNKnoxville,17,11736.47,6017.41,5155.52
DRG065,PID440030,RIDTNKnoxville,34,13519.2,6165.2,4848.88
DRG065,PID440034,RIDTNKnoxville,42,15225.85,5887.71,4826.35
DRG065,PID440056,RIDTNKnoxville,13,18443,5683,4643
DRG065,PID440081,RIDTNKnoxville,19,14218.42,6298.89,5027
DRG065,PID440084,RIDTNKnoxville,22,12185.13,6003.09,5237.09
DRG065,PID440120,RIDTNKnoxville,79,21807.84,5937.17,4706.4
DRG065,PID440125,RIDTNKnoxville,59,16059.89,6479.13,4967.13
DRG065,PID440173,RIDTNKnoxville,72,14115.37,6144.55,5089.34
DRG066,PID440011,RIDTNKnoxville,30,18289.5,4171.46,3162.26
DRG066,PID440015,RIDTNKnoxville,59,20468.44,5399.4,4115.03
DRG066,PID440025,RIDTNKnoxville,13,8368.46,4312.23,2812.15
DRG066,PID440030,RIDTNKnoxville,27,11674.14,4488.74,3348.4
DRG066,PID440034,RIDTNKnoxville,22,12128.04,4129.95,3052.31
DRG066,PID440056,RIDTNKnoxville,14,14038.57,3993,3031.85
DRG066,PID440081,RIDTNKnoxville,21,11677.09,4412.42,3299.09
DRG066,PID440120,RIDTNKnoxville,37,17070.75,4208.72,2991.59
DRG066,PID440125,RIDTNKnoxville,18,14130.66,4481.38,3247.38
DRG066,PID440173,RIDTNKnoxville,29,11842.48,4785.1,2989.31
DRG069,PID180020,RIDTNKnoxville,17,12785.64,4280.29,3420.29
DRG069,PID180021,RIDTNKnoxville,21,5784.9,3990.9,2977.38
DRG069,PID440011,RIDTNKnoxville,52,15275.21,3707.09,2724.51
DRG069,PID440015,RIDTNKnoxville,46,19590.08,4783.56,4027.65
DRG069,PID440030,RIDTNKnoxville,24,9635.45,4075.79,3301.95
DRG069,PID440034,RIDTNKnoxville,47,10213.63,3819.89,2704.63
DRG069,PID440056,RIDTNKnoxville,17,14926.94,3561,2569.7
DRG069,PID440081,RIDTNKnoxville,19,10175.26,4168.21,3168.84
DRG069,PID440120,RIDTNKnoxville,50,16028.64,3756,2765.6
DRG069,PID440125,RIDTNKnoxville,26,12427,3869.92,2905.07
DRG069,PID440173,RIDTNKnoxville,72,10631.55,3979.25,2842.29
DRG074,PID440011,RIDTNKnoxville,13,20636.15,4682.84,3704.92
DRG074,PID440015,RIDTNKnoxville,11,17295.36,5804.18,4507.63
DRG074,PID440120,RIDTNKnoxville,13,21692,4666.84,3801
DRG074,PID440125,RIDTNKnoxville,15,27978.66,12055,3299.06
DRG101,PID440011,RIDTNKnoxville,19,15748.26,3819.47,3291.68
DRG101,PID440015,RIDTNKnoxville,13,13322.69,4877.3,4354.84
