drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID250009,RIDTNMemphis,36,24757.58,5848.66,4970.88
DRG039,PID250141,RIDTNMemphis,13,24547.23,6081.23,5061.07
DRG039,PID440048,RIDTNMemphis,44,23096.63,6195.93,4766.22
DRG039,PID440049,RIDTNMemphis,65,36575.1,8244.53,5924.16
DRG057,PID250042,RIDTNMemphis,21,19682.9,6676.04,5981.38
DRG057,PID250141,RIDTNMemphis,11,16098.9,5807.9,4342.45
DRG057,PID440048,RIDTNMemphis,41,21024.87,5357.09,4588.7
DRG057,PID440049,RIDTNMemphis,73,20599.57,6749.9,5671.65
DRG057,PID440183,RIDTNMemphis,22,52357,5832.81,5071.18
DRG064,PID250009,RIDTNMemphis,20,46591.7,10269.55,9483.55
DRG064,PID250093,RIDTNMemphis,12,32219.58,9727,9074.66
DRG064,PID250141,RIDTNMemphis,62,35452.98,11176.62,10309.75
DRG064,PID440048,RIDTNMemphis,174,41155.94,11876.59,10373.1
DRG064,PID440049,RIDTNMemphis,143,43015.08,13307.54,12160.35
DRG064,PID440183,RIDTNMemphis,53,72954.88,12162.9,11376.28
DRG064,PID440228,RIDTNMemphis,13,63313.53,10238,9108.76
DRG065,PID40042,RIDTNMemphis,21,20924.23,8208.76,7181.76
DRG065,PID40085,RIDTNMemphis,14,28164.07,7393,6431.85
DRG065,PID250009,RIDTNMemphis,41,43586.17,6634.68,5759.75
DRG065,PID250010,RIDTNMemphis,15,8513.2,7243.86,6719.86
DRG065,PID250042,RIDTNMemphis,39,32086.89,8587.51,7512.02
DRG065,PID250093,RIDTNMemphis,21,26025.66,6189,5277.19
DRG065,PID250141,RIDTNMemphis,73,23096.45,6815.83,5909.26
DRG065,PID440048,RIDTNMemphis,146,27936.93,7056.65,5771.71
DRG065,PID440049,RIDTNMemphis,274,34936.67,8747.58,6886.78
DRG065,PID440072,RIDTNMemphis,26,40107.88,6072.07,5254.69
DRG065,PID440183,RIDTNMemphis,71,49202.6,7381.36,6415.11
DRG065,PID440228,RIDTNMemphis,16,34643.43,6242.56,5118.56
DRG066,PID40042,RIDTNMemphis,15,16683.66,5598.73,4852.6
DRG066,PID40085,RIDTNMemphis,13,19127,5195,4242.07
DRG066,PID250009,RIDTNMemphis,24,27841.58,4655.25,3908.58
DRG066,PID250042,RIDTNMemphis,12,20450.33,6191,5063.91
DRG066,PID250141,RIDTNMemphis,50,22663.3,5289.06,3666.94
DRG066,PID440048,RIDTNMemphis,68,19557.79,5315.86,3572.86
DRG066,PID440049,RIDTNMemphis,136,27625.27,6484.74,4608.8
DRG066,PID440072,RIDTNMemphis,18,21874.5,4181.44,3428.55
DRG066,PID440183,RIDTNMemphis,27,34072.51,5115.85,3997.48
DRG066,PID440228,RIDTNMemphis,12,33100.66,4601.5,3757.83
DRG069,PID40042,RIDTNMemphis,16,16625.5,5248.12,3995.93
DRG069,PID250009,RIDTNMemphis,34,26461.08,5280.94,3141.38
DRG069,PID250010,RIDTNMemphis,15,7402.46,4649.2,3821.2
DRG069,PID250042,RIDTNMemphis,13,19921.23,5439.69,4433.15
DRG069,PID250082,RIDTNMemphis,17,13832.58,4862.17,3452.35
DRG069,PID250093,RIDTNMemphis,28,13554.85,3878,2951.57
DRG069,PID250141,RIDTNMemphis,59,17490,5110.32,3210.89
DRG069,PID440048,RIDTNMemphis,113,22633.91,5081.18,3583.9
DRG069,PID440049,RIDTNMemphis,154,24071.75,5688.75,4010.92
DRG069,PID440072,RIDTNMemphis,34,23175.02,3989.35,3186.05
DRG069,PID440130,RIDTNMemphis,13,9869.15,3788.23,2671
DRG069,PID440183,RIDTNMemphis,71,29710.59,4688.73,3621.61
DRG069,PID440228,RIDTNMemphis,23,30382.78,4030.82,2936.73
DRG074,PID250042,RIDTNMemphis,20,18644.7,6456.5,5353.6
DRG074,PID250141,RIDTNMemphis,20,17901.05,5321.4,4592
DRG074,PID440048,RIDTNMemphis,55,25817.7,5368.34,4149.07
DRG074,PID440049,RIDTNMemphis,82,32681.89,6948.5,4955.89
DRG074,PID440072,RIDTNMemphis,13,31028.07,4658,4055.84
DRG074,PID440183,RIDTNMemphis,24,46569.5,5524.37,4560.66
DRG074,PID440228,RIDTNMemphis,11,33863.9,5467.72,3786.72
DRG101,PID40042,RIDTNMemphis,13,13409.3,5486.69,4882.07
DRG101,PID250009,RIDTNMemphis,17,26005.7,5069,3109.64
DRG101,PID250042,RIDTNMemphis,38,18082.13,5671.57,4820.31
DRG101,PID250082,RIDTNMemphis,13,10063.46,4904.76,4128.46
DRG101,PID250093,RIDTNMemphis,12,10561.58,4041,3194.66
DRG101,PID250141,RIDTNMemphis,23,17178.39,4872.82,3725.04
DRG101,PID440048,RIDTNMemphis,45,16030.17,4588.8,3500.6
DRG101,PID440049,RIDTNMemphis,106,20129.85,6113.21,4370.57
DRG101,PID440183,RIDTNMemphis,33,34715.27,4862.63,4007.96
DRG101,PID440228,RIDTNMemphis,13,22986.3,4182.61,3403.84
DRG149,PID250042,RIDTNMemphis,12,19552.33,4749.66,3811.66
DRG149,PID250141,RIDTNMemphis,25,13967.96,4378.8,2574.92
DRG149,PID440048,RIDTNMemphis,44,15316.27,4027.34,2773.38
DRG149,PID440049,RIDTNMemphis,33,22460.69,5744.36,3235.39
