drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID180013,RIDTNNashville,65,18149.16,6416.32,5282.3
DRG039,PID180051,RIDTNNashville,14,15505,5833.35,4955.35
DRG039,PID440006,RIDTNNashville,11,41660.09,6186.81,5266.45
DRG039,PID440029,RIDTNNashville,23,20155.47,5723.65,4303.86
DRG039,PID440035,RIDTNNashville,20,27194.25,6021.85,4833.3
DRG039,PID440039,RIDTNNashville,34,34467.02,9329.14,6471.17
DRG039,PID440053,RIDTNNashville,22,25551.63,6651.5,4480.18
DRG039,PID440059,RIDTNNashville,74,12781.98,6161.5,4932.13
DRG039,PID440073,RIDTNNashville,26,23494.3,6059.92,5149.3
DRG039,PID440082,RIDTNNashville,48,15979.77,5684.75,4371.95
DRG039,PID440133,RIDTNNashville,24,16534.08,6348.29,5033.41
DRG039,PID440137,RIDTNNashville,18,27863.66,5767,4767.88
DRG039,PID440144,RIDTNNashville,12,47979.08,6036.25,4519.91
DRG039,PID440150,RIDTNNashville,19,36221.78,6321.89,4916.21
DRG039,PID440161,RIDTNNashville,23,35070.95,6464.13,5533.17
DRG039,PID440193,RIDTNNashville,14,56329.57,6093.64,4920.5
DRG057,PID180013,RIDTNNashville,26,19988.65,5688.26,4586.65
DRG057,PID180124,RIDTNNashville,12,23025.08,5284.33,4540.33
DRG057,PID440006,RIDTNNashville,12,33073.75,5155.16,4473.91
DRG057,PID440039,RIDTNNashville,43,27106.04,7639.02,6269.02
DRG057,PID440053,RIDTNNashville,13,14753.61,5224.46,4540.15
DRG057,PID440059,RIDTNNashville,18,10171.83,5371.77,4617.11
DRG057,PID440082,RIDTNNashville,26,23881.88,5007.61,4093.96
DRG057,PID440083,RIDTNNashville,11,12515.54,5091,4388.09
DRG057,PID440133,RIDTNNashville,15,13121.46,5140.2,4241
DRG064,PID180013,RIDTNNashville,39,47225.61,11481.33,10679.25
DRG064,PID180051,RIDTNNashville,13,25627.61,9186.61,8582
DRG064,PID440006,RIDTNNashville,122,61864.13,11416.03,9905.4
DRG064,PID440035,RIDTNNashville,15,46912.26,10763.8,10095.26
DRG064,PID440039,RIDTNNashville,71,60215.66,17190.7,15885.57
DRG064,PID440053,RIDTNNashville,41,28282.92,10860.6,9679.34
