drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450229,RIDTXAbilene,56,22869.07,6921.92,4198.69
DRG039,PID450558,RIDTXAbilene,42,35184.16,5890.3,4695.54
DRG057,PID450229,RIDTXAbilene,15,15660.06,5105.4,4353
DRG057,PID450587,RIDTXAbilene,12,20395.08,5055.16,4025.5
DRG064,PID450229,RIDTXAbilene,46,48526.84,11252.84,10300.43
DRG065,PID450229,RIDTXAbilene,114,24440.11,6411.34,5178.2
DRG065,PID450234,RIDTXAbilene,11,10614.18,6619.45,5699.09
DRG065,PID450558,RIDTXAbilene,25,52302.44,6686,5520.16
DRG065,PID450587,RIDTXAbilene,17,27729.23,5679.35,4819.35
DRG066,PID450229,RIDTXAbilene,63,21591.85,4475.74,3492.66
DRG066,PID450558,RIDTXAbilene,11,31730.09,4659,4147.36
DRG066,PID450587,RIDTXAbilene,26,19704.53,4458.69,3507
DRG069,PID450229,RIDTXAbilene,49,18497.32,4365.61,2992.61
DRG069,PID450587,RIDTXAbilene,17,19281.47,4015,2960.88
DRG074,PID450229,RIDTXAbilene,15,26586.06,4709.06,3877.33
DRG101,PID450229,RIDTXAbilene,20,18456.5,4102.4,3371.6
DRG101,PID450587,RIDTXAbilene,17,15941.23,4185,3524.76
DRG176,PID450229,RIDTXAbilene,23,26938.3,6645.65,4930.39
DRG176,PID450558,RIDTXAbilene,13,59179.61,6083.38,5215.07
DRG176,PID450587,RIDTXAbilene,16,26947.75,5905.81,4522.68
DRG177,PID450229,RIDTXAbilene,35,46365.4,11717.82,9882.62
DRG177,PID450587,RIDTXAbilene,16,45557.87,10589.5,10104.25
DRG178,PID450055,RIDTXAbilene,12,22520.66,10947.75,10646.25
DRG178,PID450229,RIDTXAbilene,25,35488.2,8527.64,7068.96
DRG178,PID450558,RIDTXAbilene,12,56629.83,8302.5,7010.75
DRG178,PID450587,RIDTXAbilene,30,45560.93,8071.33,7284.26
DRG189,PID450055,RIDTXAbilene,25,20098.96,9774.04,9138.04
DRG189,PID450229,RIDTXAbilene,77,32597.14,7712.31,6331.54
DRG189,PID450558,RIDTXAbilene,11,47720.54,7293.36,6581.72
DRG189,PID450587,RIDTXAbilene,18,33802.66,7035,6229.88
DRG190,PID450055,RIDTXAbilene,16,10536.06,8395.06,7686.62
DRG190,PID450229,RIDTXAbilene,67,30409.53,7634.5,5246.46
DRG190,PID450234,RIDTXAbilene,19,13401.89,6430.94,5352.63
DRG190,PID450411,RIDTXAbilene,34,12724.32,6781.29,5988.82
DRG190,PID450498,RIDTXAbilene,20,10456.9,6952.6,6140.4
DRG190,PID450558,RIDTXAbilene,24,59078.33,6720.33,6019.5
DRG190,PID450587,RIDTXAbilene,57,39705.52,6324.35,5675.71
DRG191,PID450055,RIDTXAbilene,25,10640.4,7140.16,6280.36
DRG191,PID450229,RIDTXAbilene,45,28349.53,6737.8,4299.64
DRG191,PID450234,RIDTXAbilene,18,13244.38,5595.55,4720.44
DRG191,PID450411,RIDTXAbilene,27,10396.85,5655.66,4908.11
DRG191,PID450498,RIDTXAbilene,17,8938.23,5715.29,5119.76
DRG191,PID450558,RIDTXAbilene,39,44251.94,5439.84,4660.25
DRG191,PID450587,RIDTXAbilene,49,31685.32,5347.42,4303.38
DRG192,PID450055,RIDTXAbilene,16,8679.87,5514.68,4675.68
DRG192,PID450078,RIDTXAbilene,26,11152.5,5887.65,4903.5
DRG192,PID450229,RIDTXAbilene,20,19927,4556.35,2754.55
DRG192,PID450234,RIDTXAbilene,25,9027,4040.32,3185.12
DRG192,PID450306,RIDTXAbilene,22,7908.54,4429.68,3712.22
DRG192,PID450411,RIDTXAbilene,18,8158.27,4054.5,3303.38
DRG192,PID450498,RIDTXAbilene,22,8327.36,4186.72,3549.36
DRG192,PID450558,RIDTXAbilene,16,32858.37,4102.25,3117.75
DRG192,PID450587,RIDTXAbilene,43,27899.81,3960.25,3205
DRG193,PID450229,RIDTXAbilene,63,34205.44,10156.41,7088.26
DRG193,PID450411,RIDTXAbilene,18,13525.33,7684.66,6849.94
DRG193,PID450558,RIDTXAbilene,33,73415.81,8342.39,7455.36
DRG193,PID450587,RIDTXAbilene,27,44571.44,7942.11,7255.07
DRG194,PID450055,RIDTXAbilene,57,14577.17,7683.21,6630.49
DRG194,PID450229,RIDTXAbilene,67,25440.38,5572.88,4438.89
