drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450209,RIDTXAmarillo,36,36196.63,6874.27,5998.27
DRG039,PID450231,RIDTXAmarillo,83,18249.95,5725.8,4287.27
DRG057,PID450209,RIDTXAmarillo,23,24402.26,6155.65,5243.17
DRG057,PID450231,RIDTXAmarillo,25,34496.08,5556.4,4884.88
DRG064,PID450209,RIDTXAmarillo,27,43062.18,12055.92,10994.85
DRG064,PID450231,RIDTXAmarillo,56,32175.83,9560.42,8695.21
DRG065,PID450209,RIDTXAmarillo,39,32154.15,7811,6945.97
DRG065,PID450231,RIDTXAmarillo,75,21776.33,6143.69,4791.01
DRG066,PID450209,RIDTXAmarillo,15,22142,5562.86,4667.93
DRG066,PID450231,RIDTXAmarillo,42,18400.33,4352.57,3351.61
DRG069,PID450209,RIDTXAmarillo,40,18395.75,4920.6,3907.42
DRG069,PID450231,RIDTXAmarillo,72,16039.69,3949.13,2907.3
DRG074,PID450209,RIDTXAmarillo,22,25776.13,5810.27,5089.9
DRG074,PID450231,RIDTXAmarillo,22,30990.72,4637,3821
DRG101,PID450209,RIDTXAmarillo,27,21622.74,5071.85,4280.88
DRG101,PID450231,RIDTXAmarillo,25,16374.08,4322.92,3194.12
DRG149,PID450231,RIDTXAmarillo,12,14448.25,3442.58,2407.58
DRG176,PID450231,RIDTXAmarillo,41,21635.87,5576.36,4598.12
DRG177,PID450209,RIDTXAmarillo,22,46020.36,13604.72,12848.68
DRG177,PID450231,RIDTXAmarillo,28,42396.25,10966.96,9317.35
DRG178,PID170166,RIDTXAmarillo,45,11495.66,10666.31,9196.68
DRG178,PID450099,RIDTXAmarillo,11,15008.63,8565.81,7854.18
DRG178,PID450231,RIDTXAmarillo,23,28645.39,7671.82,6648
DRG189,PID450099,RIDTXAmarillo,11,23379.27,7643,6925.54
DRG189,PID450209,RIDTXAmarillo,63,29557.31,8652.06,7882.98
DRG189,PID450231,RIDTXAmarillo,69,27492.28,6897.4,5886.14
DRG190,PID370138,RIDTXAmarillo,15,18636,9043.46,7574.33
DRG190,PID450099,RIDTXAmarillo,14,19102,7037,5409.92
DRG190,PID450209,RIDTXAmarillo,39,30507.28,7964,7024.69
DRG190,PID450231,RIDTXAmarillo,116,25868.12,6417.87,5374.07
DRG191,PID450099,RIDTXAmarillo,16,18765.62,5809,4826.5
DRG191,PID450209,RIDTXAmarillo,40,24745.7,6657.92,5327.27
DRG191,PID450231,RIDTXAmarillo,89,23776.85,5251.59,4281.5
DRG191,PID450369,RIDTXAmarillo,11,11283.45,6741.45,5356.54
DRG192,PID170166,RIDTXAmarillo,12,6035.75,4887,4119.5
DRG192,PID450099,RIDTXAmarillo,22,12537.81,4162.77,3138.04
DRG192,PID450155,RIDTXAmarillo,11,6495.9,4681.81,3967.27
DRG192,PID450209,RIDTXAmarillo,20,16177.5,4839.75,3885.55
DRG192,PID450221,RIDTXAmarillo,11,11983.54,6009.81,4615.45
DRG192,PID450231,RIDTXAmarillo,61,19303.45,3863.93,3038.29
DRG192,PID450369,RIDTXAmarillo,12,11862.16,4991.08,3966.75
DRG193,PID450099,RIDTXAmarillo,13,38474.53,8239.61,7526.15
DRG193,PID450209,RIDTXAmarillo,49,36494.87,9938.67,9182.18
DRG193,PID450221,RIDTXAmarillo,15,20962,11300.2,10443.26
DRG193,PID450231,RIDTXAmarillo,140,32050.55,7770.94,6822.42
DRG194,PID170166,RIDTXAmarillo,21,8261.42,6950,6144.47
DRG194,PID450099,RIDTXAmarillo,29,24697.2,5759.55,4870.58
DRG194,PID450209,RIDTXAmarillo,26,35595.96,6898.88,5861.61
DRG194,PID450221,RIDTXAmarillo,17,16435.29,8080.17,6706.47
DRG194,PID450231,RIDTXAmarillo,147,25563.03,5590.97,4217.43
DRG194,PID450369,RIDTXAmarillo,29,13793.17,6661.27,5927.34
DRG195,PID450099,RIDTXAmarillo,13,16020.61,4002.92,3139.53
DRG195,PID450155,RIDTXAmarillo,20,9670.75,4845.5,3891.3
DRG195,PID450209,RIDTXAmarillo,18,19500.11,4900.22,3582.83
DRG195,PID450231,RIDTXAmarillo,68,18116.66,3948.38,2863.83
DRG195,PID450369,RIDTXAmarillo,29,10305.62,4935.48,4021.72
DRG202,PID450209,RIDTXAmarillo,17,27824.23,5774.35,4915.64
DRG202,PID450231,RIDTXAmarillo,22,18132.81,4533.81,3614.9
DRG203,PID450231,RIDTXAmarillo,13,11796.53,3280.07,2242.53
DRG207,PID450209,RIDTXAmarillo,16,116993.12,32414,32060.18
DRG207,PID450231,RIDTXAmarillo,11,146075.54,29670.09,28846.72
DRG208,PID450099,RIDTXAmarillo,12,46983.5,13084.83,12243.75
DRG208,PID450209,RIDTXAmarillo,50,63594.02,15417.48,14333.3
DRG208,PID450231,RIDTXAmarillo,59,57053.54,13061.15,11042.3
DRG238,PID450209,RIDTXAmarillo,14,56943.71,20159,18674.64
DRG238,PID450231,RIDTXAmarillo,57,71824.87,16689.1,15378.49
DRG243,PID450209,RIDTXAmarillo,27,54090.37,17880.74,16964.29
DRG243,PID450231,RIDTXAmarillo,44,49747.68,14216.88,12918.75
DRG244,PID450209,RIDTXAmarillo,41,44337.63,13678.43,12804.29
DRG244,PID450231,RIDTXAmarillo,49,42332.87,11832.89,9399.59
DRG246,PID450209,RIDTXAmarillo,27,73525.96,21481.59,19853.77
DRG246,PID450231,RIDTXAmarillo,27,72562.4,19145.29,15598.44
DRG247,PID450209,RIDTXAmarillo,183,43383.19,13445.12,12049.56
DRG247,PID450231,RIDTXAmarillo,73,47264.79,11445.68,8817.57
DRG249,PID450209,RIDTXAmarillo,59,40341.81,11904.93,10451.69
DRG249,PID450231,RIDTXAmarillo,56,39663.57,9630.39,8436.71
DRG251,PID450209,RIDTXAmarillo,64,29466.46,12105.64,11013.23
DRG251,PID450231,RIDTXAmarillo,46,35739.15,9819.23,8431.65
DRG252,PID450209,RIDTXAmarillo,20,75225.8,21806.9,20979.3
DRG252,PID450231,RIDTXAmarillo,25,57108.96,15921.32,14027.72
DRG253,PID450209,RIDTXAmarillo,42,47633,16171.09,15038.88
DRG253,PID450231,RIDTXAmarillo,44,48232.09,13456.5,10861.43
DRG254,PID450209,RIDTXAmarillo,48,43633.66,10871.16,10139.52
DRG254,PID450231,RIDTXAmarillo,28,33370.28,9050.67,7662.64
DRG280,PID450209,RIDTXAmarillo,28,55566.21,12579.92,11239.42
DRG280,PID450231,RIDTXAmarillo,43,43670.06,10911.97,9998.79
DRG281,PID450209,RIDTXAmarillo,16,29960.25,8063.25,7359.75
DRG281,PID450231,RIDTXAmarillo,31,25735.03,6406.16,5537
DRG286,PID450209,RIDTXAmarillo,12,53723.25,13467.91,12527.25
DRG286,PID450231,RIDTXAmarillo,25,38917.52,11746.08,9217.96
DRG287,PID450099,RIDTXAmarillo,34,33986.2,6339.17,5509.64
DRG287,PID450209,RIDTXAmarillo,81,28976.55,7361.67,6359.08
DRG287,PID450231,RIDTXAmarillo,118,28022.39,6031.71,4705.18
DRG291,PID170166,RIDTXAmarillo,12,8132.16,10229,9663
DRG291,PID450099,RIDTXAmarillo,13,31463.07,8659.76,7965.61
