drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450056,RIDTXAustin,23,49458.78,6370.95,5145.65
DRG039,PID450431,RIDTXAustin,24,22755.75,7680.29,5485.2
DRG039,PID450713,RIDTXAustin,12,23768.5,5947.16,5103.5
DRG057,PID450056,RIDTXAustin,26,39889.84,5925.34,4485.23
DRG057,PID450124,RIDTXAustin,17,25881.94,9580.58,6266.47
DRG057,PID450431,RIDTXAustin,28,23191.75,6576.21,5435.03
DRG057,PID450809,RIDTXAustin,11,27094,6187.09,3886.72
DRG057,PID450867,RIDTXAustin,11,45422.81,7489,6565.72
DRG064,PID450056,RIDTXAustin,51,67794.29,11283.03,10577.88
DRG064,PID450124,RIDTXAustin,22,79680.27,16638.59,15671.13
DRG064,PID450272,RIDTXAustin,14,36429.71,12789,9967.35
DRG064,PID450431,RIDTXAustin,71,54035.52,13055.59,11465.84
DRG064,PID450718,RIDTXAustin,20,54876.65,11087.25,10409.65
DRG064,PID450809,RIDTXAustin,17,50021.29,12061.41,8202.23
DRG064,PID670034,RIDTXAustin,14,19947.14,9170.5,8773.07
DRG064,PID670041,RIDTXAustin,26,76447.26,12832.34,11330.3
DRG065,PID450056,RIDTXAustin,92,38852.18,6707.73,5482.84
DRG065,PID450124,RIDTXAustin,49,47185.22,9598.55,8651.89
DRG065,PID450431,RIDTXAustin,180,33859.06,8166.44,6920.23
DRG065,PID450713,RIDTXAustin,29,37565.82,6700.65,5687.96
DRG065,PID450718,RIDTXAustin,34,33245.64,6729.91,5471.35
DRG065,PID450809,RIDTXAustin,25,34499.64,6758.16,5347.96
DRG065,PID670034,RIDTXAustin,31,16459.06,6538.03,4597.77
DRG065,PID670041,RIDTXAustin,38,32994.73,6213.73,5357.42
DRG065,PID670056,RIDTXAustin,12,56326.41,8850,7823
DRG066,PID450056,RIDTXAustin,67,28106.44,4784.1,3710.1
DRG066,PID450124,RIDTXAustin,18,29512.44,6592.55,5717.44
DRG066,PID450431,RIDTXAustin,64,27903.89,5932.81,4622.15
DRG066,PID450713,RIDTXAustin,21,33828.33,4792.85,3828.66
DRG066,PID450718,RIDTXAustin,16,26133.75,6245.56,3116.25
DRG066,PID450809,RIDTXAustin,19,28245.26,4972.15,3653.68
DRG066,PID670034,RIDTXAustin,17,16824.23,4091.35,3231.35
DRG066,PID670041,RIDTXAustin,32,21786.03,4529.09,3689.09
DRG066,PID670056,RIDTXAustin,12,29510,7184.16,3633.08
DRG069,PID450056,RIDTXAustin,104,24398.18,4154.6,3224.37
DRG069,PID450124,RIDTXAustin,17,21579.23,5872.76,4816.76
DRG069,PID450431,RIDTXAustin,118,24736.81,5192,4304.16
DRG069,PID450713,RIDTXAustin,22,28459.81,4273.63,3356.18
DRG069,PID450718,RIDTXAustin,13,30685.3,4699.69,3214.46
DRG069,PID450809,RIDTXAustin,26,30866.03,4555.46,3632.73
DRG069,PID670041,RIDTXAustin,23,25965.56,4081.43,3104.04
DRG069,PID670056,RIDTXAustin,24,25518.79,5075.41,3443.33
DRG074,PID450056,RIDTXAustin,28,43954.57,14683.42,3811.82
DRG074,PID450431,RIDTXAustin,19,20520.26,6100.42,4696.57
DRG074,PID450809,RIDTXAustin,17,28154.52,5336.82,4162.58
DRG101,PID450056,RIDTXAustin,40,32693.55,4318.7,3591.7
DRG101,PID450124,RIDTXAustin,43,28620.48,6189.11,5272.18
DRG101,PID450431,RIDTXAustin,54,23326.05,5672.59,4404.31
DRG101,PID450713,RIDTXAustin,17,21639,4378.05,3584.64
DRG101,PID450809,RIDTXAustin,46,27980.19,4883.47,3606.63
DRG101,PID670041,RIDTXAustin,20,28647.5,4301.35,3321.15
DRG149,PID450056,RIDTXAustin,29,29667.72,5609.62,2503.13
DRG149,PID450431,RIDTXAustin,14,23570.85,4619.07,3166.35
DRG149,PID450713,RIDTXAustin,13,26720.69,3732.53,2864.23
DRG149,PID450867,RIDTXAustin,11,26397.9,3585.45,2459.27
DRG149,PID670041,RIDTXAustin,18,25764.94,3899.38,2439.66
DRG149,PID670056,RIDTXAustin,13,27368.38,4131.76,3099.15
DRG176,PID450056,RIDTXAustin,35,36707.94,6205.17,5470.42
DRG176,PID450431,RIDTXAustin,31,31329.16,7451.19,6691.58
DRG176,PID450713,RIDTXAustin,21,30716.66,6478.38,5163.95
DRG176,PID450809,RIDTXAustin,19,32202.73,6824.36,5276.68
DRG176,PID670034,RIDTXAustin,23,16535.52,6063.47,4354.56
DRG176,PID670041,RIDTXAustin,12,30650.66,5714.5,5151.16
DRG177,PID450056,RIDTXAustin,75,69996.17,11705.69,11038.29
DRG177,PID450272,RIDTXAustin,36,43113.44,11444.33,10851.33
DRG177,PID450431,RIDTXAustin,46,54937.71,14936.93,13262.95
DRG177,PID450713,RIDTXAustin,51,77637.88,13995.09,11241
DRG177,PID450718,RIDTXAustin,26,65680.19,12965.84,12235.53
DRG177,PID450809,RIDTXAustin,35,53067.2,12082.71,11530.74
DRG177,PID670034,RIDTXAustin,12,37023.25,11175.41,10426.08
DRG177,PID670041,RIDTXAustin,17,86260.29,11641.41,10981.11
DRG178,PID450056,RIDTXAustin,57,51220.59,9144.08,7486.66
DRG178,PID450219,RIDTXAustin,15,10687,9027.86,8277.46
DRG178,PID450431,RIDTXAustin,49,39738.89,9809.06,8982.61
DRG178,PID450713,RIDTXAustin,49,44980.67,8872.57,7008.73
DRG178,PID450809,RIDTXAustin,28,35265.28,8574.25,7566.53
DRG178,PID670034,RIDTXAustin,20,20775.8,7813.2,7024
DRG178,PID670041,RIDTXAustin,15,58653.53,8253.93,7281.4
DRG178,PID670043,RIDTXAustin,13,45514.46,7759.15,6890.92
DRG178,PID670056,RIDTXAustin,15,50344.33,9721.8,8430.8
DRG189,PID450056,RIDTXAustin,63,54902.88,8446.71,6916.23
DRG189,PID450124,RIDTXAustin,12,37059.83,10555.75,9001.5
DRG189,PID450272,RIDTXAustin,34,26321.11,7920,7093.29
DRG189,PID450431,RIDTXAustin,60,32114.93,9096,8486.03
DRG189,PID450713,RIDTXAustin,64,60183.53,7916.09,7050
DRG189,PID450718,RIDTXAustin,30,46664,7939.93,7329.96
DRG189,PID450809,RIDTXAustin,54,43841.55,7819.03,6926.24
DRG189,PID450867,RIDTXAustin,12,40255.33,7185,6831.25
DRG189,PID670034,RIDTXAustin,43,26330.48,6987.72,6308.46
DRG189,PID670041,RIDTXAustin,25,54735.44,7401.32,7029.32
DRG189,PID670056,RIDTXAustin,37,60249.05,9159.29,8620.56
DRG190,PID450056,RIDTXAustin,66,50629.66,8571.71,5862.33
DRG190,PID450124,RIDTXAustin,14,27715.57,9518.42,8793
DRG190,PID450143,RIDTXAustin,12,14601.33,6525.16,5592.5
DRG190,PID450219,RIDTXAustin,17,6745.7,6815.11,6093.94
DRG190,PID450272,RIDTXAustin,28,23713,7047.6,6266.1
DRG190,PID450431,RIDTXAustin,97,33914.08,8425.07,7417.4
DRG190,PID450713,RIDTXAustin,82,45695.37,6981.29,6159.8
DRG190,PID450718,RIDTXAustin,31,38932.87,7371.7,6322.25
DRG190,PID450809,RIDTXAustin,53,31839,7056.6,6017.84
DRG190,PID450867,RIDTXAustin,21,29623.71,6377.14,5379.04
DRG190,PID670034,RIDTXAustin,33,21546.51,8049.66,5349.39
DRG190,PID670041,RIDTXAustin,36,50849.55,7356.97,6636.88
DRG190,PID670043,RIDTXAustin,38,31507.15,6852.23,5798.94
DRG190,PID670056,RIDTXAustin,21,42136.42,8061.9,6801.23
DRG191,PID450056,RIDTXAustin,80,37367.82,5643.18,4599.93
DRG191,PID450124,RIDTXAustin,15,21521.8,7627,6803.26
DRG191,PID450272,RIDTXAustin,13,25787.38,6253.69,4689.3
DRG191,PID450431,RIDTXAustin,97,25782.68,6813.61,5732.96
DRG191,PID450713,RIDTXAustin,111,38393.1,6201.99,4725.13
DRG191,PID450718,RIDTXAustin,34,30156.47,6140.47,4588.91
DRG191,PID450809,RIDTXAustin,71,31081.36,5915.52,4582.49
DRG191,PID450867,RIDTXAustin,22,26367.18,6099.22,4425.36
DRG191,PID670034,RIDTXAustin,37,17316.29,5161.75,4317.08
DRG191,PID670041,RIDTXAustin,40,34444.6,5452.75,4694.25
DRG191,PID670043,RIDTXAustin,17,23362.41,5767.82,4243.17
DRG191,PID670056,RIDTXAustin,14,38583.07,6767.21,5437.64
DRG192,PID450056,RIDTXAustin,42,30613.76,4203.26,3040.47
DRG192,PID450124,RIDTXAustin,16,20948.25,5856.12,5083.87
DRG192,PID450219,RIDTXAustin,11,6846.09,4609,3803.18
DRG192,PID450431,RIDTXAustin,50,20339.36,5105.22,4090.54
DRG192,PID450713,RIDTXAustin,70,27913.04,4293.08,3406.98
DRG192,PID450718,RIDTXAustin,11,25315.9,4551.36,3156.36
DRG192,PID450809,RIDTXAustin,33,19401.96,4267.42,3316.63
DRG192,PID670034,RIDTXAustin,14,15682.57,3901,2942.14
DRG192,PID670041,RIDTXAustin,25,28712.68,3976.44,3260.92
DRG192,PID670043,RIDTXAustin,27,19939.77,3985.74,3069.29
DRG192,PID670056,RIDTXAustin,23,29337.34,4943.04,3964.26
DRG193,PID450056,RIDTXAustin,72,61099.5,9285.79,7614.56
DRG193,PID450124,RIDTXAustin,14,44252.42,11859.71,11215.14
DRG193,PID450219,RIDTXAustin,21,9815.9,9088.52,8283
DRG193,PID450272,RIDTXAustin,47,28305.53,8795.14,8077.36
DRG193,PID450431,RIDTXAustin,64,38151.2,10287.06,9588.85
DRG193,PID450713,RIDTXAustin,81,49272.9,9110.92,7490.12
DRG193,PID450718,RIDTXAustin,58,46222.82,8586.86,7627.94
DRG193,PID450809,RIDTXAustin,54,42108.57,8832.46,7213.53
DRG193,PID450867,RIDTXAustin,22,69252.95,10203.54,9203.04
DRG193,PID670034,RIDTXAustin,46,23230.56,7878.95,7146.28
DRG193,PID670041,RIDTXAustin,36,57122.47,9891.5,8572.19
DRG193,PID670043,RIDTXAustin,22,47172.68,8946.95,8385.36
