drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450034,RIDTXBeaumont,70,28846.34,5735.01,4457.08
DRG039,PID450346,RIDTXBeaumont,44,26826.65,6120.06,5136.25
DRG057,PID450034,RIDTXBeaumont,36,28683.47,5080.22,4234.77
DRG057,PID450346,RIDTXBeaumont,14,17758.71,5266.21,4700.21
DRG064,PID450034,RIDTXBeaumont,46,61291.71,10803.08,9624.23
DRG064,PID450346,RIDTXBeaumont,40,54531.65,11322.75,10415.7
DRG064,PID450518,RIDTXBeaumont,18,64194.16,10646.33,9649
DRG065,PID450034,RIDTXBeaumont,95,30440.48,6372.61,5311.54
DRG065,PID450346,RIDTXBeaumont,50,34510.38,6618.94,5899.58
DRG065,PID450518,RIDTXBeaumont,20,37186.4,6917.75,6186.75
DRG066,PID450034,RIDTXBeaumont,41,26158.02,4566.95,3502.19
DRG066,PID450346,RIDTXBeaumont,44,25946.11,4741.22,3676.27
DRG066,PID450518,RIDTXBeaumont,17,28910.52,4749.41,3618.64
DRG069,PID450034,RIDTXBeaumont,68,22949.61,4019.85,3042.79
DRG069,PID450346,RIDTXBeaumont,86,24665.76,4383.8,3451.59
DRG069,PID450518,RIDTXBeaumont,17,22026.88,4321.76,3458
DRG074,PID450034,RIDTXBeaumont,15,36567.26,5473.53,4417.2
DRG101,PID450034,RIDTXBeaumont,42,21521.38,4269.76,3298.73
DRG101,PID450346,RIDTXBeaumont,56,23567.51,4583.71,3965.07
DRG101,PID450518,RIDTXBeaumont,13,22470.61,4504.38,3479.23
DRG149,PID450034,RIDTXBeaumont,11,16598.72,3523,2391
DRG149,PID450346,RIDTXBeaumont,14,19554.07,3820.07,2856.64
DRG176,PID450034,RIDTXBeaumont,26,31372.73,6110.65,4909.69
DRG176,PID450346,RIDTXBeaumont,12,31125.5,6410.41,5752.75
DRG177,PID450034,RIDTXBeaumont,19,58625.36,11380.42,10581.15
DRG177,PID450346,RIDTXBeaumont,20,46253.5,12300.6,11932.7
DRG178,PID450034,RIDTXBeaumont,30,44514.73,8603.36,7519.46
DRG178,PID450346,RIDTXBeaumont,29,41872.2,8342.72,7635.03
DRG178,PID450518,RIDTXBeaumont,17,46698.29,10621.11,6725.52
DRG189,PID450034,RIDTXBeaumont,22,36408.18,7057,6285.18
DRG189,PID450123,RIDTXBeaumont,11,44756.72,6444,5349.36
