drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450011,RIDTXBryan,67,27721.61,6322.89,5243.49
DRG057,PID450011,RIDTXBryan,16,19786.43,5674.87,4906.62
DRG064,PID450011,RIDTXBryan,25,33350.4,11244.04,10665.64
DRG064,PID450299,RIDTXBryan,11,67822.09,12461.27,10014.45
DRG065,PID450011,RIDTXBryan,79,31722.2,7156.98,6117.39
DRG065,PID450299,RIDTXBryan,22,46318,7351.5,6386.95
DRG066,PID450011,RIDTXBryan,52,23996.75,5189.71,3932.57
DRG066,PID450299,RIDTXBryan,12,40599.25,5137.66,4199.66
DRG069,PID450011,RIDTXBryan,87,23338.14,4564.88,3545.52
DRG069,PID450299,RIDTXBryan,19,26042.57,4690.47,3330.78
DRG074,PID450011,RIDTXBryan,21,25548.76,5355.14,4438.76
DRG101,PID450011,RIDTXBryan,21,24144.38,5466.23,3641.66
DRG176,PID450011,RIDTXBryan,41,35456.65,6667.58,5814.58
DRG177,PID450011,RIDTXBryan,18,48407.27,12748.38,12376.38
DRG178,PID450011,RIDTXBryan,28,36470.07,9181.14,8495
DRG189,PID450011,RIDTXBryan,37,33768.32,7957.78,7414.86
DRG189,PID450299,RIDTXBryan,22,72872.9,8268.4,7505.31
DRG190,PID450011,RIDTXBryan,101,32519.93,7229,6262.41
DRG190,PID450299,RIDTXBryan,24,42553.58,7084.25,6291.75
DRG191,PID450011,RIDTXBryan,121,28393.02,6050.82,5126.85
DRG191,PID450299,RIDTXBryan,18,38268.22,6016.33,5085.44
DRG192,PID450011,RIDTXBryan,82,24018.63,4535.81,3574.75
DRG192,PID450299,RIDTXBryan,16,35802.12,4600.06,3690.31
DRG193,PID450011,RIDTXBryan,68,38777.05,9090.79,8365.85
DRG193,PID450299,RIDTXBryan,16,58494.5,9034.87,8050.37
DRG194,PID450011,RIDTXBryan,146,29832.34,6216.93,5213.78
DRG194,PID450299,RIDTXBryan,29,32710.03,6196.34,5061.24
DRG195,PID450011,RIDTXBryan,54,22909.53,4452.87,3457.72
DRG195,PID450299,RIDTXBryan,12,39401.66,5283,3390.83
DRG202,PID450011,RIDTXBryan,46,22745.65,5237.82,4407.39
DRG203,PID450011,RIDTXBryan,16,20291.06,3728,2812.25
DRG203,PID450299,RIDTXBryan,11,29407,3880.18,3062.72
DRG207,PID450011,RIDTXBryan,28,145382,31607.17,30924.46
DRG208,PID450011,RIDTXBryan,36,65729.97,14112.05,12967.13
DRG208,PID450299,RIDTXBryan,11,153723.81,16688.54,16082.72
DRG238,PID450011,RIDTXBryan,29,84670.79,19071.44,18021.58
DRG238,PID450299,RIDTXBryan,12,152326.5,19699.66,18761.66
DRG243,PID450011,RIDTXBryan,32,95565.34,16941.5,15038
DRG243,PID450299,RIDTXBryan,16,124698.5,16457.68,15614.68
DRG244,PID450011,RIDTXBryan,51,76237.54,12802.54,11380.94
DRG244,PID450299,RIDTXBryan,14,107070.78,13062.07,12177.21
DRG246,PID450299,RIDTXBryan,23,166582.6,20312.13,19481
DRG247,PID450011,RIDTXBryan,57,91577.59,12933.1,10737.59
DRG247,PID450299,RIDTXBryan,85,125550.14,13206,11566.72
DRG249,PID450011,RIDTXBryan,18,64449.72,10906.44,9519.22
DRG249,PID450299,RIDTXBryan,11,97708.09,11369.9,10346.63
DRG251,PID450011,RIDTXBryan,41,71452.17,11186.85,9777.53
DRG251,PID450299,RIDTXBryan,12,88092.41,11470.66,10535.33
DRG252,PID450011,RIDTXBryan,18,73431.11,18478.66,16999.27
DRG253,PID450011,RIDTXBryan,27,59563.92,14855.7,14129.11
DRG253,PID450299,RIDTXBryan,11,98570.09,17186.54,13326.72
DRG254,PID450011,RIDTXBryan,40,47490.35,10177.65,8309.17
DRG254,PID450299,RIDTXBryan,13,71461,10268.61,9320.61
DRG280,PID450011,RIDTXBryan,38,46820.36,11380.31,10550.42
DRG281,PID450011,RIDTXBryan,32,30905.59,7431.18,6324.31
DRG282,PID450011,RIDTXBryan,21,32270.38,4997.57,3982.52
DRG287,PID450011,RIDTXBryan,105,39380.4,6764.08,5603.44
DRG287,PID450299,RIDTXBryan,18,48379.33,6956.55,6016.77
DRG291,PID450011,RIDTXBryan,115,38163.24,9122.46,8382.74
DRG291,PID450299,RIDTXBryan,33,46007.33,8960.15,8447.54
DRG292,PID450011,RIDTXBryan,151,25842.11,6265.6,5567.68
DRG292,PID450299,RIDTXBryan,49,34307.73,6491.4,5448.22
DRG293,PID450011,RIDTXBryan,58,19540.32,4244.84,3527.67
DRG293,PID450299,RIDTXBryan,13,23880.92,4365.92,3587.15
DRG300,PID450011,RIDTXBryan,31,23495.35,6042.83,5300.77
DRG301,PID450011,RIDTXBryan,21,17580.23,4182.52,3083.8
DRG303,PID450011,RIDTXBryan,32,18382.68,3627.5,2819.87
DRG303,PID450299,RIDTXBryan,12,20658.16,3733.5,2790.16
DRG305,PID450011,RIDTXBryan,21,17546.71,3864.9,2779.23
DRG305,PID450299,RIDTXBryan,12,20524.75,3814.91,2774.66
DRG308,PID450011,RIDTXBryan,55,36587.87,7657.43,6785.94
DRG308,PID450299,RIDTXBryan,15,47473.06,7852.06,7328.06
DRG309,PID450011,RIDTXBryan,86,22846.29,5237.73,4176.7
DRG309,PID450299,RIDTXBryan,45,29155.77,5356.6,4508.42
DRG310,PID450011,RIDTXBryan,82,18756.37,3606.95,2542.81
DRG310,PID450299,RIDTXBryan,43,21148.41,3646.34,2649.9
DRG312,PID450011,RIDTXBryan,109,23992.88,4481.42,3564.66
DRG312,PID450299,RIDTXBryan,26,27570.19,4585.8,3655.61
DRG313,PID450011,RIDTXBryan,166,19215.59,3550.66,2371.18
DRG313,PID450299,RIDTXBryan,50,18871.48,3489.08,2593.08
DRG314,PID450011,RIDTXBryan,32,33031.06,10814.09,10322.84
DRG314,PID450299,RIDTXBryan,17,60567.88,11556.05,11158.41
DRG329,PID450011,RIDTXBryan,28,153148.67,32411.28,30916.92
DRG330,PID450011,RIDTXBryan,45,68095.33,15604.86,14098.75
DRG372,PID450011,RIDTXBryan,29,44558,8048.68,7227.62
DRG377,PID450011,RIDTXBryan,31,62524.16,10926.38,10308.7
DRG378,PID450011,RIDTXBryan,98,30830.63,6318.9,5469.35
DRG378,PID450299,RIDTXBryan,28,39946,6414.32,5487.89
DRG379,PID450011,RIDTXBryan,23,20080.08,4435.86,3506.3
DRG389,PID450011,RIDTXBryan,45,22426.6,5674.04,4788.75
DRG389,PID450299,RIDTXBryan,14,31640.71,5960.85,4992.85
DRG390,PID450011,RIDTXBryan,23,15119.82,4005,3089.65
DRG390,PID450299,RIDTXBryan,12,23275.66,4042.33,3204
DRG391,PID450011,RIDTXBryan,21,29621.14,7169.66,6473.47
DRG392,PID450011,RIDTXBryan,137,24244.68,4457.16,3565.35
DRG392,PID450299,RIDTXBryan,39,25787.56,4618,3656.25
DRG394,PID450011,RIDTXBryan,27,24245.07,6147.92,5046.33
DRG418,PID450011,RIDTXBryan,27,52076.37,10557,9226.96
DRG419,PID450011,RIDTXBryan,19,39726.68,7301.15,6029.84
DRG439,PID450011,RIDTXBryan,19,31749.31,6269.94,5386.36
DRG460,PID450011,RIDTXBryan,53,83021.66,25075.11,19908.18
DRG460,PID450299,RIDTXBryan,30,211071.4,25842.73,24867.06
DRG460,PID450834,RIDTXBryan,23,67486.65,21034.86,20108.04
DRG469,PID450011,RIDTXBryan,20,84811.75,20508.85,19777.85
DRG470,PID450011,RIDTXBryan,350,65854.78,13431.76,11209.74
DRG470,PID450299,RIDTXBryan,63,93368.12,13834.47,11617.8
DRG470,PID450834,RIDTXBryan,61,31992.18,11307.54,9852.09
DRG473,PID450011,RIDTXBryan,41,57382.19,13060.75,11451.9
DRG480,PID450011,RIDTXBryan,20,77283.1,18097.75,17373.15
DRG481,PID450011,RIDTXBryan,90,53937.03,11246.13,10381.82
DRG481,PID450299,RIDTXBryan,12,88752.16,11946.91,10922.58
DRG482,PID450011,RIDTXBryan,32,42379.93,9354.18,7840.81
DRG491,PID450011,RIDTXBryan,96,27282.42,6096.31,4836.93
DRG491,PID450299,RIDTXBryan,12,44792,6231.33,4914.08
DRG536,PID450011,RIDTXBryan,13,20182.3,4352.23,3312.23
DRG552,PID450011,RIDTXBryan,48,24274.22,5253.52,3929.52
DRG552,PID450299,RIDTXBryan,17,32410.47,5133.41,3759.41
DRG563,PID450011,RIDTXBryan,12,19660.83,4340.33,3491.33
