drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450046,RIDTXCorpusChristi,40,50022.85,6353.6,5259.5
DRG039,PID450788,RIDTXCorpusChristi,60,33780.43,6545.45,5390.21
DRG057,PID450046,RIDTXCorpusChristi,26,43465.42,5792.42,4971.3
DRG064,PID450046,RIDTXCorpusChristi,90,69916.35,11892.03,10677.38
DRG064,PID450788,RIDTXCorpusChristi,27,72064.66,12084.7,10550.48
DRG065,PID450046,RIDTXCorpusChristi,113,39997.84,7398.57,6171.58
DRG065,PID450163,RIDTXCorpusChristi,23,40914.65,6235.21,5278.69
DRG065,PID450788,RIDTXCorpusChristi,44,45734.5,7277.65,6145.31
DRG066,PID450046,RIDTXCorpusChristi,64,34968.43,5394.67,4001.92
DRG066,PID450163,RIDTXCorpusChristi,19,35094.84,4527,3517.52
DRG066,PID450788,RIDTXCorpusChristi,26,31347.96,5491.76,3727.34
DRG069,PID450046,RIDTXCorpusChristi,51,26690.15,4664,3401.25
DRG069,PID450163,RIDTXCorpusChristi,28,28634.64,4019.39,3172.67
DRG069,PID450788,RIDTXCorpusChristi,36,28668.11,4657.33,3749.88
DRG074,PID450046,RIDTXCorpusChristi,18,29816.05,8315.11,3477.72
DRG101,PID450046,RIDTXCorpusChristi,37,25414.05,4850.43,3967.13
DRG101,PID450788,RIDTXCorpusChristi,16,26886,4853.87,4291.87
DRG176,PID450046,RIDTXCorpusChristi,24,43058.37,6848.16,5525.29
DRG176,PID450788,RIDTXCorpusChristi,11,33893.45,6802.45,5782.09
DRG177,PID450046,RIDTXCorpusChristi,89,69722.64,12993.32,12269.55
DRG177,PID450605,RIDTXCorpusChristi,11,26010,11667,11049.54
DRG177,PID450788,RIDTXCorpusChristi,30,89679,13051.43,12433.1
DRG178,PID450046,RIDTXCorpusChristi,78,51850.69,9254.74,8484.67
DRG178,PID450788,RIDTXCorpusChristi,32,57447.5,9272.84,7602.68
DRG189,PID450046,RIDTXCorpusChristi,48,53800.29,8126.52,7401.77
DRG189,PID450605,RIDTXCorpusChristi,18,26190.83,8752,7941.55
DRG189,PID450788,RIDTXCorpusChristi,21,46289,8178,7643.52
DRG190,PID450046,RIDTXCorpusChristi,151,37993.67,7366.39,6422.01
DRG190,PID450082,RIDTXCorpusChristi,22,28266.63,8287.18,7561.22
DRG190,PID450163,RIDTXCorpusChristi,20,38434.3,6621.75,5887.55
DRG190,PID450605,RIDTXCorpusChristi,20,17398.7,8101.75,7145.95
DRG190,PID450788,RIDTXCorpusChristi,67,49012.2,7549.65,6623.56
DRG190,PID450828,RIDTXCorpusChristi,40,33230.7,6417.57,5277.6
DRG191,PID450046,RIDTXCorpusChristi,99,31266.03,6135.71,5108.09
DRG191,PID450082,RIDTXCorpusChristi,11,28550.72,6986.54,6066.18
DRG191,PID450605,RIDTXCorpusChristi,13,17159.23,6544.23,5852.53
DRG191,PID450788,RIDTXCorpusChristi,58,36512.18,6154.63,5371.63
DRG191,PID450828,RIDTXCorpusChristi,19,33898.78,5287,4343.84
DRG192,PID450046,RIDTXCorpusChristi,81,26694.25,4708.75,3558.95
DRG192,PID450163,RIDTXCorpusChristi,14,23766.64,4134.14,3143.07
DRG192,PID450605,RIDTXCorpusChristi,13,10732.76,4920.76,3801.07
DRG192,PID450788,RIDTXCorpusChristi,44,27949.15,4686.7,3536.5
DRG192,PID450828,RIDTXCorpusChristi,12,27147.75,3805.33,2964.33
DRG193,PID450046,RIDTXCorpusChristi,165,46493.25,9935.19,8104.78
DRG193,PID450082,RIDTXCorpusChristi,16,47773.5,10375.56,9536.56
DRG193,PID450163,RIDTXCorpusChristi,12,37693.25,8171,7230.33
DRG193,PID450788,RIDTXCorpusChristi,72,58646.01,9557.09,8291.97
DRG193,PID450828,RIDTXCorpusChristi,21,49009.14,7798.33,7102.14
DRG194,PID450046,RIDTXCorpusChristi,215,36713.64,6417.66,5438.07
DRG194,PID450082,RIDTXCorpusChristi,57,27152.47,7032.77,6093.31
DRG194,PID450163,RIDTXCorpusChristi,74,34804.83,5600.68,4785.78
DRG194,PID450605,RIDTXCorpusChristi,16,16874.62,6895.62,6196.12
DRG194,PID450788,RIDTXCorpusChristi,102,42435.91,6436.38,5420.85
DRG194,PID450828,RIDTXCorpusChristi,75,33203.57,5437.9,4560.46
DRG195,PID450046,RIDTXCorpusChristi,85,26423.14,4445.03,3485.69
DRG195,PID450082,RIDTXCorpusChristi,28,22368.64,4984.35,3982.78
DRG195,PID450163,RIDTXCorpusChristi,70,23157.58,3930.84,2947.04
DRG195,PID450788,RIDTXCorpusChristi,61,28336.22,4523.77,3440.01
DRG195,PID450828,RIDTXCorpusChristi,21,26581.52,3789.04,2989.61
DRG202,PID450046,RIDTXCorpusChristi,23,27246.78,5304.17,4525.04
DRG202,PID450788,RIDTXCorpusChristi,20,33603.2,5370.2,4422.4
DRG203,PID450046,RIDTXCorpusChristi,12,22429.58,3835.41,2997.08
DRG203,PID450163,RIDTXCorpusChristi,11,21660.81,3358,2337.63
DRG203,PID450788,RIDTXCorpusChristi,14,25597.07,3934.92,2780.78
DRG207,PID450046,RIDTXCorpusChristi,44,135643.13,31972.54,31273.65
DRG207,PID450788,RIDTXCorpusChristi,18,189403.61,33183.72,32483.33
DRG208,PID450046,RIDTXCorpusChristi,88,77336.77,14738.19,13555.2
DRG208,PID450082,RIDTXCorpusChristi,11,67635.18,16046.9,15638.18
DRG208,PID450163,RIDTXCorpusChristi,12,47946.5,10397,9839
DRG208,PID450788,RIDTXCorpusChristi,32,84799.81,14746,13874.62
DRG238,PID450046,RIDTXCorpusChristi,38,95323.92,19488.28,18575.73
DRG238,PID450788,RIDTXCorpusChristi,39,97652.1,22146.25,15808
DRG243,PID450046,RIDTXCorpusChristi,17,66090.58,16600.94,15678.11
DRG243,PID450788,RIDTXCorpusChristi,21,79858.19,16817.71,16127.61
DRG244,PID450046,RIDTXCorpusChristi,20,54880.7,12660.9,11701.9
DRG244,PID450788,RIDTXCorpusChristi,21,74797.57,13041.38,12189.52
DRG246,PID450788,RIDTXCorpusChristi,14,126988.14,21060.07,20175.28
DRG247,PID450046,RIDTXCorpusChristi,33,75114.39,12523.48,11265.54
DRG247,PID450788,RIDTXCorpusChristi,34,90301.26,14122.88,10860.88
DRG249,PID450046,RIDTXCorpusChristi,51,66710.17,11117.41,9953
