drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450651,RIDTXDallas,14,43531.42,5994,5111.42
DRG039,PID450051,RIDTXDallas,24,20865,7638.41,6701.75
DRG039,PID450079,RIDTXDallas,32,21921.25,6915.93,4788.59
DRG039,PID450196,RIDTXDallas,16,20954.37,6164,5258.25
DRG039,PID450236,RIDTXDallas,19,14489.57,5937,5085.21
DRG039,PID450271,RIDTXDallas,11,33407.72,5756.81,4836.45
DRG039,PID450280,RIDTXDallas,15,22643.8,6444.2,5542.86
DRG039,PID450324,RIDTXDallas,63,29074.8,6527.41,5230.25
DRG039,PID450447,RIDTXDallas,19,25269.63,6185.36,5531.68
DRG039,PID450462,RIDTXDallas,63,24938.22,6972.95,5313.87
DRG039,PID450469,RIDTXDallas,15,35735.8,6220.66,4336.06
DRG039,PID450563,RIDTXDallas,14,22092.28,5948,4096.92
DRG039,PID450634,RIDTXDallas,49,40769.87,6421.42,4297.75
DRG039,PID450647,RIDTXDallas,23,39673.56,6606.47,5442.13
DRG039,PID450742,RIDTXDallas,11,34236.63,6129.18,5311.72
DRG039,PID450851,RIDTXDallas,99,16224.38,6028.77,4764.6
DRG039,PID670025,RIDTXDallas,91,20473.45,5968.08,4315.49
DRG057,PID370014,RIDTXDallas,11,20405.27,5427.54,4788
DRG057,PID450015,RIDTXDallas,15,31093.53,9658.13,8834.4
DRG057,PID450021,RIDTXDallas,19,21072.47,6942.21,5553.15
DRG057,PID450044,RIDTXDallas,14,20116.71,6793.21,5865.64
DRG057,PID450051,RIDTXDallas,20,29376.05,7339.45,6888.25
DRG057,PID450280,RIDTXDallas,12,20026.33,5661.08,5006.08
DRG057,PID450324,RIDTXDallas,24,23925.66,5431.66,4729.5
DRG057,PID450389,RIDTXDallas,17,27345.88,5458.52,4665.11
DRG057,PID450403,RIDTXDallas,22,50558.59,7345.36,3854.36
DRG057,PID450462,RIDTXDallas,26,24685.96,5943.84,5035.69
DRG057,PID450469,RIDTXDallas,16,16755.56,4848.81,3637.12
DRG057,PID450563,RIDTXDallas,15,21184.53,5082.53,4112.13
DRG057,PID450647,RIDTXDallas,20,33308.5,5433.3,4504.2
DRG057,PID450651,RIDTXDallas,23,41931.52,5347.82,4518.08
DRG057,PID450723,RIDTXDallas,17,18625.17,5880.47,5168.41
DRG057,PID450743,RIDTXDallas,12,17003.08,6024.58,4287.75
DRG057,PID450890,RIDTXDallas,14,43559.14,5662.42,5098.71
DRG064,PID370014,RIDTXDallas,16,63210.81,10564.75,9932
DRG064,PID450015,RIDTXDallas,38,59652.97,21459.52,19563.97
DRG064,PID450021,RIDTXDallas,206,43161.63,15061.36,13047.83
DRG064,PID450044,RIDTXDallas,15,46091.8,14656.86,14074.13
DRG064,PID450051,RIDTXDallas,52,50021.69,15473.61,14691.25
DRG064,PID450196,RIDTXDallas,19,30722,10905,10104.78
DRG064,PID450280,RIDTXDallas,14,42694.85,11137,10494.71
DRG064,PID450324,RIDTXDallas,32,39093.81,13000.87,9444.46
DRG064,PID450352,RIDTXDallas,14,30623.85,11258.57,10623.14
DRG064,PID450389,RIDTXDallas,19,56294.1,10829.68,10123.15
DRG064,PID450403,RIDTXDallas,34,72055.79,10824.29,9931.94
DRG064,PID450462,RIDTXDallas,61,49793.5,12532.08,11611.59
DRG064,PID450469,RIDTXDallas,31,56262.45,12965.22,12277.67
DRG064,PID450537,RIDTXDallas,19,57911.31,13815.73,12927.1
DRG064,PID450563,RIDTXDallas,21,44562.52,10297.23,9548.66
DRG064,PID450634,RIDTXDallas,19,72012.47,10739.94,9910.89
DRG064,PID450647,RIDTXDallas,53,98408.88,13641.58,12885.84
DRG064,PID450651,RIDTXDallas,98,91142.27,12939.35,10497.68
DRG064,PID450723,RIDTXDallas,28,44985.42,11832,10987.57
DRG064,PID450742,RIDTXDallas,16,50661.5,10166.75,9329.75
DRG064,PID450766,RIDTXDallas,26,53585.65,13607.46,12358.15
DRG064,PID450771,RIDTXDallas,14,43179.92,11130.21,10326.28
DRG064,PID450890,RIDTXDallas,15,39790.86,10258.73,9377.86
DRG065,PID370014,RIDTXDallas,26,43222.53,7328.57,6507.5
DRG065,PID450015,RIDTXDallas,51,36168.62,12820.39,11898.19
DRG065,PID450021,RIDTXDallas,194,25587.88,8747.42,7457.98
DRG065,PID450044,RIDTXDallas,16,32824,8448.37,7532.62
DRG065,PID450051,RIDTXDallas,76,33664.61,9684.28,8841.59
DRG065,PID450079,RIDTXDallas,29,25343.75,6836.27,5869.24
DRG065,PID450090,RIDTXDallas,12,21726.91,6377.33,5109.08
DRG065,PID450196,RIDTXDallas,21,17056.23,6395.47,5326.52
DRG065,PID450236,RIDTXDallas,24,14544.83,6677.37,5558.37
DRG065,PID450271,RIDTXDallas,14,28231.21,7630.92,4988.64
DRG065,PID450280,RIDTXDallas,40,24880.17,7472.12,5654.67
DRG065,PID450292,RIDTXDallas,13,20364.61,6973.23,6192
DRG065,PID450324,RIDTXDallas,50,31682.18,7170.36,5956.96
DRG065,PID450352,RIDTXDallas,33,20467.48,6775.81,5924.06
DRG065,PID450372,RIDTXDallas,23,21683.26,6650.34,5822
DRG065,PID450389,RIDTXDallas,28,37480.07,7015.89,6253.46
DRG065,PID450403,RIDTXDallas,43,55774.18,6645.13,5514.58
DRG065,PID450447,RIDTXDallas,27,24516.22,6886.85,5891.29
DRG065,PID450462,RIDTXDallas,90,33592.4,7538.28,6394.56
DRG065,PID450469,RIDTXDallas,64,28233.06,6839.17,5590.43
DRG065,PID450537,RIDTXDallas,23,30876,7293.21,5095.3
DRG065,PID450563,RIDTXDallas,46,23099.69,6075.65,5065.91
DRG065,PID450634,RIDTXDallas,35,44696.14,6356.05,5554.8
DRG065,PID450647,RIDTXDallas,81,56776.74,7654.24,6199.67
DRG065,PID450651,RIDTXDallas,99,60996.13,7220.22,5491.97
DRG065,PID450669,RIDTXDallas,13,33883.38,7106.69,4952.53
DRG065,PID450678,RIDTXDallas,25,60566.76,6970.32,6066
DRG065,PID450688,RIDTXDallas,20,38346.45,7109.75,6155.55
DRG065,PID450723,RIDTXDallas,34,27355.44,7125.79,6133.55
DRG065,PID450730,RIDTXDallas,13,22194,7635.46,6767.15
DRG065,PID450742,RIDTXDallas,13,38198.61,6538.15,5061.15
DRG065,PID450743,RIDTXDallas,32,27565.93,6929.96,6228.46
DRG065,PID450766,RIDTXDallas,42,27737.19,7846.92,6592.14
DRG065,PID450771,RIDTXDallas,20,27520.45,7064.45,5085.7
DRG065,PID450890,RIDTXDallas,34,26517.7,6309.91,5385.2
DRG065,PID670060,RIDTXDallas,13,39952.38,10972.69,10111.76
DRG066,PID450015,RIDTXDallas,12,27682.41,9330.08,8305.75
DRG066,PID450021,RIDTXDallas,57,20625.21,6000.8,5055.96
DRG066,PID450051,RIDTXDallas,38,22603.44,6458.23,5510.15
DRG066,PID450079,RIDTXDallas,12,18213.16,4956.16,4107.16
DRG066,PID450196,RIDTXDallas,40,12963.2,5108.37,3614.52
DRG066,PID450236,RIDTXDallas,22,11108.09,4778,3706.18
DRG066,PID450271,RIDTXDallas,11,16897.27,4649.18,3828.81
DRG066,PID450280,RIDTXDallas,24,20427.33,5489.37,3997.12
DRG066,PID450292,RIDTXDallas,17,16262.29,4843.64,3717.29
DRG066,PID450324,RIDTXDallas,45,27403.02,5478.22,4075.66
DRG066,PID450352,RIDTXDallas,32,18024.68,5043.59,4179.46
DRG066,PID450389,RIDTXDallas,43,34321.37,4975.67,3987.95
DRG066,PID450403,RIDTXDallas,17,34859.29,4885.29,3895.88
DRG066,PID450447,RIDTXDallas,17,18438.76,4825.94,3969.7
DRG066,PID450462,RIDTXDallas,50,27695.06,5276.94,4289.74
DRG066,PID450469,RIDTXDallas,19,17252.1,4751.47,3333.42
DRG066,PID450563,RIDTXDallas,26,19849.3,4456.5,3466.19
DRG066,PID450634,RIDTXDallas,18,34517.16,4623,3623.88
DRG066,PID450647,RIDTXDallas,28,37126.78,5085,4126.14
DRG066,PID450651,RIDTXDallas,69,47345.57,4952.08,3814.17
DRG066,PID450678,RIDTXDallas,25,42575.48,4875.88,3795.56
DRG066,PID450723,RIDTXDallas,27,22851.11,5164.88,4247.25
DRG066,PID450742,RIDTXDallas,16,31361.06,4929.06,4229.56
DRG066,PID450743,RIDTXDallas,21,25482.19,4994.95,4027.71
DRG066,PID450766,RIDTXDallas,19,20855,5678.05,4673.68
DRG066,PID450771,RIDTXDallas,19,19783.52,4543.31,3421.42
DRG066,PID450833,RIDTXDallas,12,22688.41,5542,4695.66
DRG066,PID450890,RIDTXDallas,12,23392,4500,3465
DRG069,PID370014,RIDTXDallas,47,31353.12,4681.27,3867.14
DRG069,PID450021,RIDTXDallas,77,21994.83,5573.67,4407.98
DRG069,PID450051,RIDTXDallas,20,24769.35,6729.2,4894.25
DRG069,PID450079,RIDTXDallas,11,23537.27,4517.27,3491.09
DRG069,PID450188,RIDTXDallas,28,23006.96,4338.67,2962.32
DRG069,PID450196,RIDTXDallas,25,13416.68,5023.28,3282.84
DRG069,PID450236,RIDTXDallas,17,10818,4261,3532.29
DRG069,PID450271,RIDTXDallas,11,18785.63,4118,2991.81
DRG069,PID450280,RIDTXDallas,18,21906.11,4852.72,3648.11
DRG069,PID450324,RIDTXDallas,35,22439.85,4592.42,3562.94
DRG069,PID450352,RIDTXDallas,17,20232.88,4564.52,3769.23
DRG069,PID450389,RIDTXDallas,34,32662.94,4415.2,3452.5
DRG069,PID450403,RIDTXDallas,39,43766.2,5015.71,3436
DRG069,PID450447,RIDTXDallas,14,22005.71,4536.07,3154.57
DRG069,PID450462,RIDTXDallas,47,22400.53,4710.21,3660.42
DRG069,PID450469,RIDTXDallas,57,17917.31,4241.54,3033.64
DRG069,PID450563,RIDTXDallas,32,19423.65,3967.03,3013.09
DRG069,PID450634,RIDTXDallas,40,23514.82,4350.62,2960.9
DRG069,PID450647,RIDTXDallas,40,34334.22,4730.17,3370.67
DRG069,PID450651,RIDTXDallas,85,44780.77,4555.37,3245.37
DRG069,PID450669,RIDTXDallas,19,31524.15,4333.89,3329.47
DRG069,PID450678,RIDTXDallas,32,38484.78,4350.31,3394.34
DRG069,PID450688,RIDTXDallas,12,25472.5,4585.25,3329.25
DRG069,PID450723,RIDTXDallas,25,20459.48,4719.52,3729.76
DRG069,PID450742,RIDTXDallas,29,24286.17,4391.62,3501.55
DRG069,PID450743,RIDTXDallas,25,23174.32,4675.68,3420
DRG069,PID450766,RIDTXDallas,19,15648.89,4707.42,3762.57
DRG069,PID450771,RIDTXDallas,14,22326.64,4968.42,2927.5
DRG069,PID450833,RIDTXDallas,15,22499.8,4942,3967.33
DRG069,PID450885,RIDTXDallas,11,44695.54,4018,3100.54
DRG069,PID450890,RIDTXDallas,14,19426.85,4013,2883.28
DRG074,PID450021,RIDTXDallas,32,30827.56,7785.43,6667.18
DRG074,PID450044,RIDTXDallas,20,22856.2,6433.15,6029.2
DRG074,PID450051,RIDTXDallas,21,23683.42,7203.09,6399.09
DRG074,PID450079,RIDTXDallas,13,18191.76,5317.84,4889.84
DRG074,PID450280,RIDTXDallas,14,19067.07,5483.64,4391
DRG074,PID450324,RIDTXDallas,13,27152.76,5384.46,4777.38
DRG074,PID450389,RIDTXDallas,15,26347.8,5226.8,4851.6
DRG074,PID450462,RIDTXDallas,16,22941.12,5544.62,4701.62
DRG074,PID450469,RIDTXDallas,13,26611.38,5298.23,3554.53
DRG074,PID450634,RIDTXDallas,12,35129.25,5150.66,3510.58
DRG074,PID450647,RIDTXDallas,11,35281.9,6254.63,3753.18
DRG074,PID450651,RIDTXDallas,14,43783.64,5576.5,3532.85
DRG074,PID450678,RIDTXDallas,11,43847,5126.81,4306.45
DRG074,PID450688,RIDTXDallas,14,23384.5,5369,4475.35
DRG074,PID450890,RIDTXDallas,19,36241.15,6102.63,4671.89
DRG101,PID370014,RIDTXDallas,13,18388.3,4880.38,4104.07
DRG101,PID370100,RIDTXDallas,13,5293.23,4614.46,4096.92
DRG101,PID450015,RIDTXDallas,50,24905.48,9205,7195.08
DRG101,PID450021,RIDTXDallas,54,18100.72,5790.66,4530.46
DRG101,PID450044,RIDTXDallas,18,22382.72,5868,4807.22
DRG101,PID450079,RIDTXDallas,13,17211.23,4711,3755.61
DRG101,PID450280,RIDTXDallas,16,15026.06,4844.81,3999.81
