drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID320018,RIDTXElPaso,23,32478.47,6677.6,5646.82
DRG039,PID320085,RIDTXElPaso,23,33745.52,6035.04,5302.34
DRG039,PID450668,RIDTXElPaso,14,44351.78,6153.71,5167.78
DRG057,PID450002,RIDTXElPaso,20,45638.1,6604.8,5762.2
DRG057,PID450107,RIDTXElPaso,13,31845.76,6208,5431.69
DRG057,PID450668,RIDTXElPaso,11,41338.45,5396.9,4785.27
DRG064,PID320018,RIDTXElPaso,15,34564.93,11242.6,10565.53
DRG064,PID320085,RIDTXElPaso,20,32618.05,10712.55,10093.15
DRG064,PID450002,RIDTXElPaso,28,88026.07,13064,12223
DRG064,PID450107,RIDTXElPaso,49,83613.12,12757.77,11725.02
DRG064,PID450668,RIDTXElPaso,26,82872.15,10689.03,9826.88
DRG064,PID670047,RIDTXElPaso,14,52734.21,10681.5,9796.64
DRG065,PID320004,RIDTXElPaso,19,20472.73,8762.78,7702.15
DRG065,PID320018,RIDTXElPaso,35,27685.37,7895.4,6456.94
DRG065,PID320085,RIDTXElPaso,31,25187.93,6808.51,5934.19
DRG065,PID450002,RIDTXElPaso,33,56191.36,8058.3,7067.39
DRG065,PID450024,RIDTXElPaso,17,28042.11,10886.41,9898.88
DRG065,PID450107,RIDTXElPaso,77,59744.36,8110.7,6825.12
DRG065,PID450668,RIDTXElPaso,34,62318.64,7509.82,5508.2
DRG065,PID670047,RIDTXElPaso,20,66252.3,7112,6267.8
DRG066,PID320004,RIDTXElPaso,13,15391.07,7709.76,5244.3
DRG066,PID320018,RIDTXElPaso,12,21330.58,5268.16,4330.16
DRG066,PID320085,RIDTXElPaso,20,17241,4789.5,3948.5
DRG066,PID450002,RIDTXElPaso,18,49387.33,6811.44,4211.05
DRG066,PID450024,RIDTXElPaso,14,22050.78,7603.92,7047.07
DRG066,PID450107,RIDTXElPaso,34,42451.85,5604.73,4678.14
DRG066,PID450668,RIDTXElPaso,23,37800,4944.86,3879.95
DRG069,PID320004,RIDTXElPaso,13,17015.84,5812,4692.3
DRG069,PID320085,RIDTXElPaso,20,18131.6,4324.2,3428.2
DRG069,PID450002,RIDTXElPaso,38,48940.34,5252,4109.84
DRG069,PID450024,RIDTXElPaso,11,17417.72,6613.9,5793.54
DRG069,PID450107,RIDTXElPaso,57,45898.98,5038.91,4109.43
DRG069,PID450668,RIDTXElPaso,48,44832.22,4409.31,3450.39
DRG069,PID670047,RIDTXElPaso,19,44624.42,4463.36,3560.26
DRG074,PID320085,RIDTXElPaso,15,17424.6,5101.2,4350.8
DRG074,PID450107,RIDTXElPaso,12,43361.5,5903.25,5056.91
DRG101,PID320018,RIDTXElPaso,14,21872.78,4907.21,4020.07
DRG101,PID450002,RIDTXElPaso,11,39932,5386.36,4363.09
DRG101,PID450024,RIDTXElPaso,14,16559.07,7126.78,6322.78
DRG101,PID450107,RIDTXElPaso,24,30208.66,5415.79,3972.83
DRG101,PID450668,RIDTXElPaso,21,39749.95,4600.85,3528.85
DRG101,PID670047,RIDTXElPaso,11,31866.18,4547,3703.81
DRG149,PID450107,RIDTXElPaso,12,36577.33,4391,3447.66
DRG149,PID450668,RIDTXElPaso,11,30625.81,4274.18,2789.63
DRG176,PID450668,RIDTXElPaso,16,56385.31,6409.93,5637.68
DRG176,PID670047,RIDTXElPaso,11,45580.9,6273.9,5350.63
DRG177,PID320004,RIDTXElPaso,13,26083.61,15847.07,15157.84
DRG177,PID320018,RIDTXElPaso,15,42467.2,13327.33,12654.53
DRG177,PID320085,RIDTXElPaso,14,26357.35,10926.42,10205.57
DRG177,PID450002,RIDTXElPaso,23,77343.17,13689.43,12683.26
DRG177,PID450107,RIDTXElPaso,63,93017.6,14491.44,13614.09
DRG177,PID450668,RIDTXElPaso,38,109447.02,11480.81,10848.31
DRG177,PID670047,RIDTXElPaso,13,66574.07,11197,10418.23
DRG178,PID320018,RIDTXElPaso,20,34674.25,9347.1,8562.7
DRG178,PID320085,RIDTXElPaso,13,29528.3,8665.38,7978.61
DRG178,PID450002,RIDTXElPaso,14,63151.85,10095.07,9457.35
DRG178,PID450107,RIDTXElPaso,32,61125.75,9846.18,8987.5
DRG178,PID450668,RIDTXElPaso,13,60326,8566.23,7874.53
DRG189,PID450002,RIDTXElPaso,45,68091.48,9041.82,8445.2
DRG189,PID450107,RIDTXElPaso,59,59650.66,9301.84,8157.05
DRG189,PID450668,RIDTXElPaso,44,65672.25,7721.18,7002.56
DRG189,PID670047,RIDTXElPaso,30,50632.13,8016.03,7268.83
DRG190,PID320004,RIDTXElPaso,58,18369.82,9325.05,8530.91
DRG190,PID320014,RIDTXElPaso,19,33774.1,7642.57,6757.31
DRG190,PID320018,RIDTXElPaso,45,30596.26,7739.73,7018.04
DRG190,PID320085,RIDTXElPaso,26,24843.19,6997.5,6016.15
DRG190,PID450002,RIDTXElPaso,64,60401.4,8317.67,7603.78
DRG190,PID450107,RIDTXElPaso,103,53131.24,8184.99,7100.18
DRG190,PID450668,RIDTXElPaso,60,65968.3,7197.33,6464.2
DRG190,PID450877,RIDTXElPaso,31,44075.67,7251.25,6455.12
DRG190,PID670047,RIDTXElPaso,18,51388.44,7191.66,6381.22
DRG191,PID320004,RIDTXElPaso,20,16345.45,7368.9,6642.7
DRG191,PID320014,RIDTXElPaso,39,23688.38,6279.89,5414.87
DRG191,PID320018,RIDTXElPaso,51,31631.52,6990.7,5692.15
DRG191,PID320085,RIDTXElPaso,31,22716.45,5721.96,4890.35
DRG191,PID450002,RIDTXElPaso,43,46886.93,7048.48,5573.48
DRG191,PID450024,RIDTXElPaso,12,18286.08,8825.58,8267.58
DRG191,PID450107,RIDTXElPaso,63,45995.76,6677.76,5783.36
DRG191,PID450668,RIDTXElPaso,37,47299.89,5880.94,5056.62
DRG191,PID450877,RIDTXElPaso,17,27889.47,5357.88,4566.35
DRG191,PID670047,RIDTXElPaso,13,44928.61,6681.23,4717.76
DRG192,PID320004,RIDTXElPaso,27,13541.44,5572.77,4825.22
DRG192,PID320014,RIDTXElPaso,30,17634.1,4671.93,4025.3
DRG192,PID320018,RIDTXElPaso,26,17302,4742,3878.61
DRG192,PID320085,RIDTXElPaso,26,14469.46,4267.53,3378
DRG192,PID450002,RIDTXElPaso,39,44540.41,5112.51,4114.15
DRG192,PID450107,RIDTXElPaso,59,32701.67,4945.05,3938.05
DRG192,PID450668,RIDTXElPaso,27,36713,4346.66,3515.25
DRG192,PID450877,RIDTXElPaso,11,21494.54,4074,3256.54
DRG193,PID320004,RIDTXElPaso,17,31512.88,11476.41,10512.58
DRG193,PID320018,RIDTXElPaso,54,44253.81,10148.74,8736.22
DRG193,PID320085,RIDTXElPaso,36,33880.86,8566.66,7798.19
DRG193,PID450002,RIDTXElPaso,60,64227.23,10398.11,9578.11
DRG193,PID450107,RIDTXElPaso,122,72181.4,10260.22,9434.4
DRG193,PID450668,RIDTXElPaso,65,72634.96,8985.69,7887.83
DRG193,PID450877,RIDTXElPaso,11,45917.09,8306.09,7179.9
DRG193,PID670047,RIDTXElPaso,46,67717.73,9325.5,8616.73
DRG194,PID320004,RIDTXElPaso,25,18804.48,7931.4,7212.04
DRG194,PID320014,RIDTXElPaso,23,25208.69,6570.39,5839.08
DRG194,PID320018,RIDTXElPaso,73,28087.01,6654.47,5750.82
DRG194,PID320085,RIDTXElPaso,73,20909.56,5906.46,5151.45
DRG194,PID450002,RIDTXElPaso,60,53372.36,7153.51,6174.45
DRG194,PID450024,RIDTXElPaso,12,15762.08,9102,8075
DRG194,PID450107,RIDTXElPaso,82,45705.56,6923.24,5993.92
DRG194,PID450668,RIDTXElPaso,79,59683.43,6621.08,4931.13
DRG194,PID450877,RIDTXElPaso,30,29770.06,5693.26,4503.5
DRG194,PID670047,RIDTXElPaso,39,46144.38,6075.35,5080.53
DRG195,PID320004,RIDTXElPaso,20,11395.3,5776.45,4445.4
DRG195,PID320014,RIDTXElPaso,11,21615.27,5671.63,3455.63
DRG195,PID320018,RIDTXElPaso,49,18013.73,4996.28,3581.14
DRG195,PID320085,RIDTXElPaso,39,14664.07,4246.38,3216.87
DRG195,PID450002,RIDTXElPaso,20,35731,4999.8,3932.4
DRG195,PID450024,RIDTXElPaso,11,15084.27,6525.45,5605.09
DRG195,PID450107,RIDTXElPaso,50,33798.16,4860.9,3827.78
DRG195,PID450668,RIDTXElPaso,22,40164.95,4314.5,3100
DRG195,PID450877,RIDTXElPaso,17,19404.23,4004,2948
DRG195,PID670047,RIDTXElPaso,18,33728.66,4261,3321.22
DRG202,PID320018,RIDTXElPaso,14,27175.64,5540.85,4736.85
DRG202,PID320085,RIDTXElPaso,13,17209.23,4975.92,3770.38
DRG202,PID450002,RIDTXElPaso,26,42887.46,6179.8,4843.65
DRG202,PID450107,RIDTXElPaso,31,41386.8,5809.83,4902.09
DRG202,PID450668,RIDTXElPaso,22,45523.95,5529.77,3979.86
DRG202,PID450877,RIDTXElPaso,13,27673.38,4754,3718.92
DRG203,PID320018,RIDTXElPaso,13,17604.38,4005.07,2882.92
DRG203,PID320085,RIDTXElPaso,12,14569.91,3609,2668.33
DRG203,PID450002,RIDTXElPaso,15,29666.2,4289.2,3241.2
DRG203,PID450107,RIDTXElPaso,13,29938.23,4214.15,3181.53
DRG207,PID320018,RIDTXElPaso,11,149825.54,37069,36351.45
DRG207,PID320085,RIDTXElPaso,29,109361.06,29217.75,28525.96
DRG207,PID450107,RIDTXElPaso,23,173757.21,33942.34,32554.95
DRG207,PID450668,RIDTXElPaso,16,214897.87,32857.56,26502.62
DRG208,PID320004,RIDTXElPaso,13,28160.23,17197,16418.23
DRG208,PID320018,RIDTXElPaso,18,60670.05,15456.88,14650
DRG208,PID320085,RIDTXElPaso,24,60316.87,14108.33,13184.83
DRG208,PID450002,RIDTXElPaso,18,119811.5,24429.33,14271.77
DRG208,PID450024,RIDTXElPaso,12,43219.16,20328.66,19493
DRG208,PID450107,RIDTXElPaso,58,83296.58,16072.36,15434.65
DRG208,PID450668,RIDTXElPaso,30,89225.76,14264.83,12489.96
DRG208,PID670047,RIDTXElPaso,14,107431.64,13795.28,12917.28
DRG238,PID320018,RIDTXElPaso,17,81070.64,20210.11,19152.23
DRG238,PID320085,RIDTXElPaso,22,115739.86,23600.4,21268.63
DRG238,PID450107,RIDTXElPaso,15,125687.86,21254.13,20510.13
DRG238,PID450668,RIDTXElPaso,29,138330.1,20112.75,17021.34
DRG243,PID320085,RIDTXElPaso,14,51051.42,15433.42,14631.71
DRG243,PID450002,RIDTXElPaso,13,108045.53,18744.69,17702.23
DRG243,PID450107,RIDTXElPaso,30,99158.9,18803.03,16852.73
DRG243,PID450668,RIDTXElPaso,14,112925.07,15991.71,15028.28
DRG244,PID320085,RIDTXElPaso,20,56692.85,12084.4,11067.2
DRG244,PID450107,RIDTXElPaso,31,76279.41,14390.35,12093.9
DRG246,PID320018,RIDTXElPaso,20,79470.05,25249.2,20260.95
DRG246,PID320085,RIDTXElPaso,33,75828.51,18713.39,17543.57
DRG246,PID450107,RIDTXElPaso,46,162282.52,22700.58,21728.06
DRG246,PID450668,RIDTXElPaso,11,161256.27,19133.27,18321.63
DRG246,PID670047,RIDTXElPaso,18,143352.33,18795,18112.11
DRG247,PID320018,RIDTXElPaso,52,56240.42,14063.32,11927.17
DRG247,PID320085,RIDTXElPaso,125,59460.57,11613.56,10423.48
DRG247,PID450002,RIDTXElPaso,20,125319.55,13887.95,12991.95
DRG247,PID450107,RIDTXElPaso,87,108392.1,13743.2,12505.21
DRG247,PID450668,RIDTXElPaso,21,121651.85,12002.95,11037.23
DRG247,PID450877,RIDTXElPaso,16,67947.12,11112,10271
DRG247,PID670047,RIDTXElPaso,28,120993.35,11600.39,10558.39
DRG249,PID320018,RIDTXElPaso,20,46026.5,14882.2,9664.5
DRG249,PID320085,RIDTXElPaso,18,51515.94,10503.11,9500.44
DRG251,PID450107,RIDTXElPaso,17,101404.29,12404.58,11611.17
