drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450064,RIDTXFortWorth,12,16668.25,5957,5307.33
DRG039,PID450087,RIDTXFortWorth,13,33950.69,5543,4677.15
DRG039,PID450135,RIDTXFortWorth,91,23441.96,6442.84,5215.29
DRG039,PID450137,RIDTXFortWorth,13,20026.3,7099.84,5248.15
DRG039,PID450565,RIDTXFortWorth,17,15187.82,7045.58,6120.88
DRG039,PID450672,RIDTXFortWorth,25,37590.68,6937.76,5239.52
DRG057,PID450087,RIDTXFortWorth,12,29077.75,4928.08,4000.75
DRG057,PID450135,RIDTXFortWorth,41,24113.51,5610.78,4754.02
DRG057,PID450137,RIDTXFortWorth,15,21439,6279.4,5600.2
DRG057,PID450203,RIDTXFortWorth,17,17572.52,4960.64,4004.52
DRG057,PID450672,RIDTXFortWorth,14,39363.28,5558.07,4758.64
DRG057,PID450675,RIDTXFortWorth,15,38864.53,6140.2,5259.86
DRG064,PID450039,RIDTXFortWorth,31,66790.9,16042.96,15134.64
DRG064,PID450064,RIDTXFortWorth,49,43636.63,12161.14,10141.28
DRG064,PID450135,RIDTXFortWorth,144,48042.44,12899.75,11231.22
DRG064,PID450137,RIDTXFortWorth,40,36249.7,12889.7,11495.35
DRG064,PID450639,RIDTXFortWorth,21,35131.71,9589.33,8890.09
DRG064,PID450672,RIDTXFortWorth,48,67389.68,11529.77,10240.77
DRG064,PID450675,RIDTXFortWorth,34,71463.85,12744.82,10654.26
DRG064,PID450677,RIDTXFortWorth,14,36013.28,10553.14,9672.85
DRG065,PID450039,RIDTXFortWorth,36,38174.27,9886.8,8829.25
DRG065,PID450064,RIDTXFortWorth,54,26104.29,6478.5,5364.88
DRG065,PID450087,RIDTXFortWorth,29,38296.03,6625.82,5111.93
DRG065,PID450135,RIDTXFortWorth,226,31198.14,7537.35,6285.79
DRG065,PID450137,RIDTXFortWorth,56,24228.17,7827.39,6505.19
DRG065,PID450351,RIDTXFortWorth,17,19811.29,7043.58,5432.7
DRG065,PID450639,RIDTXFortWorth,52,30451.5,6100.69,5153.46
DRG065,PID450672,RIDTXFortWorth,69,57232.04,7254.39,5991.08
DRG065,PID450675,RIDTXFortWorth,54,50885.83,7830.64,6599.74
DRG065,PID450677,RIDTXFortWorth,23,29886.13,6558.43,5532.43
DRG065,PID450779,RIDTXFortWorth,12,30446.08,6326.33,5482.66
DRG066,PID450064,RIDTXFortWorth,26,23060.03,4876.42,3253.53
DRG066,PID450135,RIDTXFortWorth,79,23485.26,5273.18,4161.7
DRG066,PID450137,RIDTXFortWorth,23,19507.73,5835.73,4313.08
DRG066,PID450639,RIDTXFortWorth,23,21622.13,4421.43,3591.69
DRG066,PID450672,RIDTXFortWorth,17,37814.05,5183,4324.88
DRG066,PID450675,RIDTXFortWorth,19,46513.73,6023.36,3886.52
DRG066,PID450677,RIDTXFortWorth,11,23149,4784.36,3769.81
DRG066,PID450779,RIDTXFortWorth,13,22874.76,5749.38,2944.3
DRG069,PID450064,RIDTXFortWorth,55,19974,4274.18,3396.14
DRG069,PID450087,RIDTXFortWorth,31,26610.38,3979,3033.7
DRG069,PID450135,RIDTXFortWorth,158,22951.65,4793,3579.53
DRG069,PID450137,RIDTXFortWorth,29,18091.65,5049,4044.03
DRG069,PID450203,RIDTXFortWorth,28,15973.17,4131.35,3132.17
DRG069,PID450639,RIDTXFortWorth,26,18915.38,4454.19,2900.38
DRG069,PID450672,RIDTXFortWorth,64,37981.25,4790.53,3608.95
DRG069,PID450675,RIDTXFortWorth,39,36394.35,4949.05,3879.79
DRG069,PID450677,RIDTXFortWorth,19,22042.73,4436.89,3090.84
DRG069,PID450779,RIDTXFortWorth,17,17975.11,4089.35,2784.23
DRG074,PID450064,RIDTXFortWorth,22,22238.81,5272.45,4622.54
DRG074,PID450087,RIDTXFortWorth,12,24625.08,4684,4023.66
DRG074,PID450135,RIDTXFortWorth,52,17142.44,5590.82,4574.55
DRG074,PID450137,RIDTXFortWorth,20,24409.85,6619,4895.5
DRG074,PID450672,RIDTXFortWorth,25,32844.28,5441,4610.36
DRG074,PID450675,RIDTXFortWorth,21,38376.85,5716.85,4806.57
DRG101,PID450039,RIDTXFortWorth,14,23367.85,6547.14,6068.85
DRG101,PID450064,RIDTXFortWorth,15,18720.53,4528.53,3477.13
DRG101,PID450135,RIDTXFortWorth,82,22190.19,4947.18,3757.08
DRG101,PID450137,RIDTXFortWorth,11,16981.72,5353.45,4436
DRG101,PID450639,RIDTXFortWorth,21,20353.8,4257.04,3454.57
DRG101,PID450672,RIDTXFortWorth,21,29572.9,4762.76,3822.85
DRG101,PID450675,RIDTXFortWorth,22,27062.09,4930.68,4266.13
DRG101,PID450677,RIDTXFortWorth,14,18875.5,4446.78,3889.92
DRG149,PID450064,RIDTXFortWorth,16,15910.37,4228.25,2669.06
DRG149,PID450135,RIDTXFortWorth,21,18432.33,4211.04,2839.23
DRG149,PID450137,RIDTXFortWorth,11,13642.63,4440.63,3523.18
DRG149,PID450203,RIDTXFortWorth,12,16174.66,3591.5,2656.16
DRG149,PID450672,RIDTXFortWorth,21,28908.61,4039,3070.23
DRG149,PID450675,RIDTXFortWorth,25,33055.56,4535.72,2814.96
DRG176,PID450064,RIDTXFortWorth,13,26666.92,6118,5262
DRG176,PID450135,RIDTXFortWorth,37,26795.78,6634.35,5906.13
DRG176,PID450137,RIDTXFortWorth,14,23959.35,7516.57,6481.42
DRG176,PID450203,RIDTXFortWorth,11,45336.72,5828.27,4802.09
DRG176,PID450639,RIDTXFortWorth,25,34930.84,5978.2,4996.12
DRG177,PID450064,RIDTXFortWorth,24,44281.91,11900.62,10922.79
DRG177,PID450087,RIDTXFortWorth,30,54540.7,10624.9,9479.6
DRG177,PID450135,RIDTXFortWorth,37,41313.56,12457.56,11601.45
DRG177,PID450137,RIDTXFortWorth,32,42088.59,13598.65,12969.37
DRG177,PID450148,RIDTXFortWorth,17,51823.7,11965.11,11436.17
DRG177,PID450203,RIDTXFortWorth,12,57059.58,12569.16,11628.5
DRG177,PID450639,RIDTXFortWorth,32,45798.34,10830.59,10268.59
DRG177,PID450672,RIDTXFortWorth,27,89049,12878.37,12030.14
DRG177,PID450675,RIDTXFortWorth,39,84013.56,13072.46,12335.97
DRG177,PID450677,RIDTXFortWorth,30,56459.03,11917.13,10854.36
DRG177,PID450779,RIDTXFortWorth,25,56921.56,12268.92,10314.4
DRG178,PID450064,RIDTXFortWorth,23,34744.17,8230.82,7234.04
DRG178,PID450087,RIDTXFortWorth,15,39258.86,7523.26,7072.6
DRG178,PID450135,RIDTXFortWorth,49,36072.97,9603.93,8601.69
DRG178,PID450137,RIDTXFortWorth,23,26188,9875.56,9164.34
DRG178,PID450148,RIDTXFortWorth,23,40714.43,8775.91,7512.95
DRG178,PID450203,RIDTXFortWorth,22,37694.22,8017.45,7304.36
DRG178,PID450596,RIDTXFortWorth,11,53938.63,8901.09,7632
DRG178,PID450639,RIDTXFortWorth,31,32825.51,7925.06,7238.48
DRG178,PID450672,RIDTXFortWorth,25,59043.8,8949.56,7479.2
DRG178,PID450675,RIDTXFortWorth,16,62929.25,9447.93,8602.93
DRG178,PID450677,RIDTXFortWorth,17,39268.88,8165.17,7504.94
DRG178,PID450779,RIDTXFortWorth,28,33370.14,7956.5,7032.35
DRG189,PID450039,RIDTXFortWorth,16,39426.18,11008.06,10039.25
DRG189,PID450064,RIDTXFortWorth,29,33957.96,7764.51,7416.51
DRG189,PID450087,RIDTXFortWorth,22,46120,7932.68,5778.54
DRG189,PID450135,RIDTXFortWorth,100,35239.45,8276.3,7208.69
DRG189,PID450137,RIDTXFortWorth,61,28262.09,8870.5,7869.11
DRG189,PID450203,RIDTXFortWorth,21,32512.71,6993.38,6360.23
DRG189,PID450419,RIDTXFortWorth,22,15926.36,7515.86,6696.95
DRG189,PID450596,RIDTXFortWorth,11,50536.63,8067.9,7250.45
DRG189,PID450639,RIDTXFortWorth,30,35495.6,7414.16,6512.86
DRG189,PID450672,RIDTXFortWorth,35,44630.51,8921.77,6402.05
DRG189,PID450675,RIDTXFortWorth,17,59082.52,8400.94,6795
DRG189,PID450677,RIDTXFortWorth,48,38912.91,7473.54,6901.08
DRG189,PID450779,RIDTXFortWorth,19,31755.94,7736.05,6025.1
DRG190,PID450039,RIDTXFortWorth,51,33059.76,10336.07,9652.37
DRG190,PID450064,RIDTXFortWorth,79,23583.64,7243.5,5859.49
DRG190,PID450085,RIDTXFortWorth,13,11546.61,7413.61,6378.53
DRG190,PID450087,RIDTXFortWorth,54,37604.38,6685.74,5247.48
DRG190,PID450135,RIDTXFortWorth,91,31585.85,7748.89,6625.08
DRG190,PID450137,RIDTXFortWorth,76,25933.27,8124.52,7102.69
DRG190,PID450148,RIDTXFortWorth,45,25867.73,7032.51,5750.82
DRG190,PID450203,RIDTXFortWorth,64,28544.03,6486.29,5599.96
DRG190,PID450351,RIDTXFortWorth,16,16709.06,6853.18,6155.68
DRG190,PID450419,RIDTXFortWorth,27,15607.07,6836.92,5921.66
DRG190,PID450451,RIDTXFortWorth,38,17769.78,7735.44,6095.42
DRG190,PID450565,RIDTXFortWorth,12,13208.25,6791,6041.66
DRG190,PID450596,RIDTXFortWorth,20,39958.85,7814.95,6155.7
DRG190,PID450639,RIDTXFortWorth,42,34131.69,6436.11,5588
DRG190,PID450672,RIDTXFortWorth,61,52390.75,7770.96,6421.31
DRG190,PID450675,RIDTXFortWorth,66,52664.33,7786.84,6875.48
DRG190,PID450677,RIDTXFortWorth,84,38826.33,6989.63,6003.9
DRG190,PID450779,RIDTXFortWorth,39,28241.58,6751.89,5507.51
DRG190,PID670023,RIDTXFortWorth,30,30696.33,6475.1,5768.83
DRG191,PID450039,RIDTXFortWorth,48,30803.87,8372.12,7523.45
DRG191,PID450064,RIDTXFortWorth,80,19318.33,6016.03,4551.87
DRG191,PID450085,RIDTXFortWorth,12,8408.25,6156.5,5504.16
DRG191,PID450087,RIDTXFortWorth,53,36465.11,5413.45,4183.39
DRG191,PID450135,RIDTXFortWorth,99,21402.52,6025.17,5099.94
DRG191,PID450137,RIDTXFortWorth,73,23059.63,7551.16,6686.28
DRG191,PID450148,RIDTXFortWorth,45,26397.15,5603.02,4907.2
DRG191,PID450203,RIDTXFortWorth,63,27596.03,5386.77,4491.68
