drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450033,RIDTXHarlingen,15,30502.2,7365.86,6462.4
DRG039,PID450855,RIDTXHarlingen,12,35208.16,7089.66,5976.33
DRG057,PID450033,RIDTXHarlingen,18,17408.11,6377,5500.11
DRG057,PID450128,RIDTXHarlingen,21,18133.09,6361.14,5395.42
DRG064,PID450028,RIDTXHarlingen,27,114087.11,15122.22,14060.22
DRG064,PID450033,RIDTXHarlingen,48,49322.45,13807.52,12988.77
DRG064,PID450128,RIDTXHarlingen,13,52037.46,15308.92,14445.53
DRG064,PID450662,RIDTXHarlingen,20,104341.9,14360.55,13434.6
DRG064,PID450855,RIDTXHarlingen,11,28596.81,10546,9928.54
DRG065,PID450028,RIDTXHarlingen,35,62086.88,9123.62,8095.05
DRG065,PID450033,RIDTXHarlingen,61,42623.47,8848.63,7488.16
DRG065,PID450128,RIDTXHarlingen,44,25124.9,8277.38,7205
DRG065,PID450662,RIDTXHarlingen,12,47256.5,8969.16,7942.16
DRG065,PID450855,RIDTXHarlingen,13,26954.92,7968.15,7010.3
DRG066,PID450028,RIDTXHarlingen,13,29164.69,6582,5634
DRG066,PID450033,RIDTXHarlingen,42,33434.52,6938.3,4605
DRG066,PID450128,RIDTXHarlingen,19,19139,5728.94,4430.63
DRG066,PID450662,RIDTXHarlingen,13,34105.23,6180.23,5222.38
DRG066,PID450855,RIDTXHarlingen,15,23823.4,5707.4,4737
DRG069,PID450028,RIDTXHarlingen,49,38242.16,5871.65,4908.55
DRG069,PID450033,RIDTXHarlingen,49,27353.36,5311.71,4344.69
DRG069,PID450128,RIDTXHarlingen,48,16542.43,5121.83,4172.04
DRG069,PID450662,RIDTXHarlingen,20,34824.2,5851.65,4610.4
DRG074,PID450033,RIDTXHarlingen,14,25970.5,6273.42,5548
DRG074,PID450128,RIDTXHarlingen,12,19945.58,6149.5,5683.16
DRG101,PID450033,RIDTXHarlingen,33,18756.12,5391.15,4709.93
DRG101,PID450128,RIDTXHarlingen,16,16456.62,5426.31,4795.56
DRG101,PID450662,RIDTXHarlingen,12,37864.41,5839.58,4998.58
DRG149,PID450033,RIDTXHarlingen,19,23462.36,4651.63,3708.47
DRG176,PID450662,RIDTXHarlingen,12,56986.33,8039.08,7386.75
DRG177,PID450028,RIDTXHarlingen,35,108679.85,16106.08,15442.94
DRG177,PID450033,RIDTXHarlingen,32,54520.53,13673.4,13216.53
DRG177,PID450128,RIDTXHarlingen,19,32458.1,13936.26,12889.26
DRG177,PID450662,RIDTXHarlingen,20,129538.85,17446.2,15247.65
DRG177,PID450855,RIDTXHarlingen,28,36079.03,13437.89,12139.32
DRG178,PID450028,RIDTXHarlingen,24,118988.45,11842.87,11024.45
DRG178,PID450033,RIDTXHarlingen,45,42265.33,10998.84,9574.64
DRG178,PID450128,RIDTXHarlingen,29,28798.44,11050.03,10421.24
DRG178,PID450662,RIDTXHarlingen,28,106710.57,11689,10801.17
DRG178,PID450855,RIDTXHarlingen,15,26817.4,9124.86,8454.2
DRG189,PID450028,RIDTXHarlingen,37,104586.24,11192.51,10501.21
DRG189,PID450033,RIDTXHarlingen,62,49697.46,10381.93,8839.32
DRG189,PID450128,RIDTXHarlingen,25,17185.68,9001.04,8421.36
DRG189,PID450662,RIDTXHarlingen,35,70480.28,10057,9494.65
DRG189,PID450855,RIDTXHarlingen,14,24973.5,8925.5,8123.78
DRG190,PID450028,RIDTXHarlingen,39,78216.76,9219.48,8473.02
DRG190,PID450033,RIDTXHarlingen,111,36813.85,8533.72,7750
DRG190,PID450128,RIDTXHarlingen,73,21213.17,8274.84,7596.49
DRG190,PID450662,RIDTXHarlingen,53,69803.07,9405.69,8711.13
DRG190,PID450855,RIDTXHarlingen,43,25478.02,8297.39,7250.3
DRG191,PID450028,RIDTXHarlingen,26,66841.42,7690.3,6780.92
DRG191,PID450033,RIDTXHarlingen,48,28350.52,6953.18,6114.18
DRG191,PID450128,RIDTXHarlingen,75,19072.41,6956.14,6059.09
DRG191,PID450662,RIDTXHarlingen,26,50679.65,7520.15,6784.92
DRG192,PID450028,RIDTXHarlingen,15,40261.8,5757.33,5015.46
DRG192,PID450033,RIDTXHarlingen,39,24743.89,5312.48,4205.64
DRG192,PID450128,RIDTXHarlingen,50,12765.08,5152.86,4233.58
DRG192,PID450662,RIDTXHarlingen,15,39085.26,5669,4623.13
DRG192,PID450841,RIDTXHarlingen,22,26086.86,8753.81,7934.9
DRG192,PID450855,RIDTXHarlingen,12,16885.25,5013.41,4169.75
DRG193,PID450028,RIDTXHarlingen,38,85476.89,11700.94,10969.55
DRG193,PID450033,RIDTXHarlingen,102,40912.67,10489.55,9290.35
DRG193,PID450128,RIDTXHarlingen,33,23833.12,10291.9,9541.12
DRG193,PID450662,RIDTXHarlingen,64,92489.23,11721.7,10985.32
DRG193,PID450855,RIDTXHarlingen,26,26577.46,9918.61,8608.76
DRG194,PID450028,RIDTXHarlingen,34,72291.52,8127,7102.55
DRG194,PID450033,RIDTXHarlingen,124,32725.85,7276.67,6438.95
DRG194,PID450128,RIDTXHarlingen,53,20342.73,6921.83,6202.28
DRG194,PID450662,RIDTXHarlingen,65,54807.21,7953.46,7091.06
DRG194,PID450855,RIDTXHarlingen,43,23761.97,6948.6,6109.9
DRG195,PID450028,RIDTXHarlingen,15,39645,5537.66,4724.6
DRG195,PID450033,RIDTXHarlingen,76,20059.28,5353.48,4116.78
DRG195,PID450128,RIDTXHarlingen,28,17050.1,4996.75,4033.32
DRG195,PID450662,RIDTXHarlingen,24,49114.25,6041.87,4449
DRG195,PID450855,RIDTXHarlingen,20,19409.55,4940,3987.4
DRG202,PID450028,RIDTXHarlingen,11,40879.45,6766.36,5851.81
DRG202,PID450033,RIDTXHarlingen,23,24133.78,6119.39,5144.78
DRG202,PID450128,RIDTXHarlingen,38,19061.5,5913.52,5096.13
DRG202,PID450662,RIDTXHarlingen,19,65654.94,6673.57,5477.84
DRG203,PID450033,RIDTXHarlingen,16,20817.93,4988,3390.06
DRG203,PID450128,RIDTXHarlingen,24,12033.5,4532.5,3036.83
DRG203,PID450662,RIDTXHarlingen,11,26051.81,4775,3657.54
DRG207,PID450028,RIDTXHarlingen,14,177565.85,34749.14,32951.57
DRG207,PID450128,RIDTXHarlingen,17,88850.58,35961.47,34819.88
DRG207,PID450662,RIDTXHarlingen,21,233344.47,39188.85,37364.71
DRG208,PID450028,RIDTXHarlingen,21,108960.38,18167.66,17387.95
DRG208,PID450033,RIDTXHarlingen,32,79689.37,17016.59,16294.15
DRG208,PID450128,RIDTXHarlingen,40,46512.1,16025,15389.85
DRG208,PID450662,RIDTXHarlingen,20,134752.45,19171.8,16887.4
DRG208,PID450855,RIDTXHarlingen,13,56113.69,15759.76,15152.69
DRG238,PID450855,RIDTXHarlingen,22,102370.54,21456,20690
DRG243,PID450033,RIDTXHarlingen,16,67386.5,18900.12,18053.12
DRG243,PID450662,RIDTXHarlingen,11,86322.45,20813,20104.27
DRG244,PID450033,RIDTXHarlingen,19,66584.89,16872.63,13738.84
DRG244,PID450855,RIDTXHarlingen,15,40758.86,15347.53,12430.66
DRG247,PID450033,RIDTXHarlingen,29,57979.51,14215.72,13175.03
DRG247,PID450662,RIDTXHarlingen,13,103135,15461,14428.38
DRG247,PID450855,RIDTXHarlingen,17,56862.82,13917.29,12177.76
DRG251,PID450033,RIDTXHarlingen,13,49256.53,17171.53,11128.69
DRG252,PID450028,RIDTXHarlingen,13,88425.84,25638.15,21365.15
DRG252,PID450033,RIDTXHarlingen,27,71014.03,21567.11,20955.81
DRG252,PID450128,RIDTXHarlingen,18,36151,20406.66,19844.22
DRG252,PID450662,RIDTXHarlingen,15,128740.06,23818.6,22546.4
DRG253,PID450033,RIDTXHarlingen,18,70474.61,17722.22,16974.66
DRG254,PID450033,RIDTXHarlingen,19,42847.21,13318.94,9816.94
DRG280,PID450028,RIDTXHarlingen,43,93473.46,14393.65,13767.04
DRG280,PID450033,RIDTXHarlingen,38,60239.07,13476.68,12314.18
DRG280,PID450128,RIDTXHarlingen,38,28245.42,11822.97,11071.76
DRG280,PID450662,RIDTXHarlingen,38,65940.23,13792.71,13006.65
DRG280,PID450855,RIDTXHarlingen,14,41562.5,12383,11585.85
DRG281,PID450028,RIDTXHarlingen,18,67872.38,9562.16,8629.5
DRG281,PID450033,RIDTXHarlingen,15,31101.73,8643.6,7742.26
DRG281,PID450128,RIDTXHarlingen,15,17843.86,7926.8,6956.4
DRG282,PID450033,RIDTXHarlingen,12,20980.91,5869.33,4934
DRG282,PID450128,RIDTXHarlingen,15,11256.13,5477.93,4507.53
DRG282,PID450662,RIDTXHarlingen,13,44963.15,6712,4979.07
DRG287,PID450028,RIDTXHarlingen,18,48505.88,8735,7615.44
DRG287,PID450033,RIDTXHarlingen,41,36089.34,8917.36,6582.17
DRG287,PID450662,RIDTXHarlingen,16,53154.5,8542,7701
DRG287,PID450855,RIDTXHarlingen,11,27137.18,7573.18,6549.9
DRG291,PID450028,RIDTXHarlingen,98,93919.61,11717.8,10816.01
DRG291,PID450033,RIDTXHarlingen,139,41946.09,10611.72,9793.1
DRG291,PID450128,RIDTXHarlingen,60,29837.58,10598.95,9857.45
DRG291,PID450662,RIDTXHarlingen,74,69726.93,11565.78,10989.04
DRG291,PID450855,RIDTXHarlingen,51,24030.68,10283.45,9437.33
DRG292,PID450028,RIDTXHarlingen,27,59841,8270.77,7624.48
DRG292,PID450033,RIDTXHarlingen,100,30468.74,7426.28,6779.86
DRG292,PID450128,RIDTXHarlingen,89,19859.31,6967.64,6212.7
DRG292,PID450662,RIDTXHarlingen,35,51190.2,8007.05,7143.2
DRG292,PID450855,RIDTXHarlingen,39,21824.82,6990.69,6255.46
DRG293,PID450028,RIDTXHarlingen,15,39428.13,5502.66,4678.93
DRG293,PID450033,RIDTXHarlingen,43,21354.97,4931.83,4252.58
